Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,612763,612763,610360,612763,11,,,,,,11.0
1985-01-05,612763,642801,612763,636793,74,,,,,,85.0
1985-01-07,654816,659622,644002,652413,288,,,,,,373.0
1985-01-08,660823,671637,640398,648808,478,,,,,,-105.0
1985-01-09,660823,708883,656017,699271,797,,,,,,692.0
1985-01-10,720898,732913,672838,684853,1161,,,,,,-469.0
1985-01-11,670435,670435,644002,645204,252,,,,,,-721.0
1985-01-12,647607,659622,647607,648808,160,,,,,,-561.0
1985-01-14,659622,659622,637995,644002,44,,,,,,-605.0
1985-01-15,637995,642801,636793,636793,39,,,,,,-644.0
1985-01-16,642801,648808,642801,648808,68,,,,,,-576.0
1985-01-17,648808,648808,636793,636793,68,649609.0833333334,,,,,-644.0
1985-01-18,636793,636793,630786,630786,8,646713.2243589744,,,,,-652.0
1985-01-19,625980,625980,623577,623577,19,643153.8052268245,,,,,-671.0
1985-01-21,629584,629584,618771,621174,49,639772.2967303899,,44.65229577828715,,20507.891004007844,-720.0
1985-01-22,624778,636793,622375,631987,143,638574.5587718685,,49.79901846290263,,19987.44413775984,-577.0
1985-01-23,639196,640398,628383,629584,79,637191.3958838887,,48.714879285501674,,19167.45879262456,-656.0
1985-01-24,630786,636793,623577,624778,78,635281.6426709828,,46.532955521669614,,18573.98593860468,-734.0
1985-01-25,624778,630786,624778,630786,72,634590.0053369853,,49.573607282871755,,17355.39413958191,-662.0
1985-01-26,630786,630786,624778,629584,53,633819.8506697568,,48.973538249729536,,16282.38773068891,-715.0
1985-01-28,625980,628383,622375,622375,48,632059.1044128711,,45.42233605325459,,15443.808041471128,-763.0
1985-01-29,622375,622375,618771,618771,60,630014.7806570447,,43.71568154519871,,14372.050301586643,-823.0
1985-01-30,618771,622375,618771,622375,69,628839.4297867301,,45.904559228136,,13415.57175187359,-754.0
1985-01-31,622375,624778,619972,622375,61,627844.9021272331,,45.904559228135994,,12663.898245525623,-754.0
1985-02-01,622375,622375,612763,612763,84,625524.6094922741,,40.975574427939605,,12401.611634027959,-838.0
1985-02-02,612763,618771,612763,613965,19,623746.2080319243,635776.5,41.81691873999043,-12030.291968075675,11859.991907954629,-819.0
1985-02-04,615166,618771,613965,616368,41,622611.0991039359,634338.8333333334,43.549307101158476,-11727.734229397494,11270.263616475671,-778.0
1985-02-05,621174,621174,615166,615166,46,621465.699241792,632918.6234567901,42.86183561952413,-11452.924214998144,10835.618658156553,-824.0
1985-02-06,615166,616368,607957,612763,27,620126.8224353624,631425.6143118426,41.452990377343085,-11298.791876480216,10637.565318813997,-851.0
1985-02-07,611562,612763,606756,612763,51,618993.9266760758,630043.1984368912,41.452990377343085,-11049.271760815405,10263.160518224284,-851.0
1985-02-08,612763,616368,606756,606756,68,617111.1687259102,628318.2207748992,37.84644923184965,-11207.05204898899,10211.00254082921,-919.0
1985-02-09,607957,607957,605554,605554,25,615333.1427680779,626631.9821989808,37.14994348809838,-11298.839430902852,9590.957989836103,-944.0
1985-02-11,605554,605554,600749,601950,65,613274.1977268351,624803.6872212784,35.06615919453256,-11529.489494443289,9213.908211330332,-1009.0
1985-02-13,604353,610360,604353,604353,20,611901.7057688605,623288.8215011837,37.580190679165085,-11387.115732323145,9151.036658892517,-989.0
1985-02-14,600749,603151,598346,600749,106,610185.9048813435,621619.2050936886,35.368463722014546,-11433.300212345086,8906.805395288702,-1095.0
1985-02-15,599547,600749,595943,595943,29,607994.6887457522,619717.2639756376,32.61210913217434,-11722.575229885406,8590.230871039654,-1124.0
1985-02-16,595943,600749,595943,600749,46,606879.9674002519,618312.2073848497,37.829883056209546,-11432.239984597778,8299.77113493219,-1078.0
1985-02-18,600749,600749,595943,599547,64,605751.8185694439,616922.192023009,37.057060576649654,-11170.373453565058,8033.02659293975,-1142.0
1985-02-19,600749,624778,598346,624778,74,608678.9234049141,617504.1037250082,56.94165570713687,-8825.180320094107,9430.884985422776,-1068.0
1985-02-21,594741,600749,589935,600749,31,607458.9351887734,616262.9849305631,43.00703500367004,-8804.049741789699,11352.827836134802,-1099.0
1985-02-22,603151,612763,600749,607957,94,607535.5605443468,615647.7267875584,47.18251620187628,-8112.166243211599,11402.623664919602,-1005.0
1985-02-23,607957,618771,607957,607957,41,607600.3973836781,615078.0433218133,47.18251620187629,-7477.645938135218,11358.463389823375,-1005.0
1985-02-25,600749,606756,599547,600749,40,606546.3362477276,614016.6327053828,43.487478492597276,-7470.296457655146,11138.053246105052,-1045.0
1985-02-26,601950,618771,601950,612763,136,607502.7460557695,613923.7710235025,50.45242399673762,-6421.024967732956,11650.951731825317,-909.0
1985-02-27,611562,624778,610360,624778,182,610160.477431805,614727.7879847244,56.258556930986515,-4567.3105529194,11856.482096773381,-727.0
1985-02-28,618771,621174,612763,615166,63,610930.5578269119,614760.2481340041,51.09965576953622,-3829.6903070921544,11868.223011018119,-790.0
1985-03-02,618771,623577,617569,619972,44,612321.548930464,615146.3038277815,53.400587577006085,-2824.7548973175,11612.831339029539,-746.0
1985-03-04,625980,625980,618771,625980,94,614422.849095008,615948.7998405384,56.176644097861676,-1525.9507455304265,11288.304829091969,-652.0
1985-03-05,630786,642801,629584,630786,157,616940.2569265452,617047.8517042022,58.31587226083704,-107.59477765706833,11695.098720462443,-495.0
1985-03-06,631987,640398,619972,621174,76,617591.602014769,617353.4923187058,52.767880527562625,238.10969606321305,12335.69888941069,-571.0
1985-03-07,623577,624778,610360,622375,577,618327.5093971123,617725.4558506535,53.36488286277432,602.053546458832,12488.184363892324,6.0
1985-03-08,612763,617569,612763,613965,29,617656.3541052488,617446.9035654198,48.720890616950726,209.45053982897662,12277.941957896846,-23.0
1985-03-09,630786,630786,615166,624778,602,618751.9919352105,617989.947745759,54.23532755180618,762.0441894514952,12609.475597791614,579.0
1985-03-11,627181,627181,622375,622375,170,619309.377791332,618314.7664312583,52.874511816636264,994.6113600736717,12040.889906149217,409.0
1985-03-12,622375,622375,615166,622375,76,619781.011977281,618615.5244733873,52.874511816636264,1165.4875038936734,11689.32760056283,409.0
1985-03-13,622375,622375,610360,622375,69,620180.0870576992,618894.0041420253,52.87451181663626,1286.0829156739637,11712.991642096866,409.0
1985-03-14,624778,624778,621174,624778,68,620887.4582795918,619329.8556870604,54.306455548478695,1557.6025925313588,11124.50117539035,477.0
1985-03-15,627181,637995,624778,637995,179,623519.3877750391,620712.4589695004,61.27613208898397,2806.928805538686,11276.185690628996,656.0
1985-03-16,642801,646405,640398,644002,234,626670.5588865714,622437.6101569447,63.96628081359156,4232.948729626718,11068.637108501027,890.0
1985-03-18,648808,650010,636793,640398,222,628782.472904022,623768.0094045785,61.218439497713305,5014.463499443489,11224.053151407492,668.0
1985-03-19,645204,666831,642801,665629,339,634451.1693803263,626868.8235227579,70.70598403244114,7582.345857568434,12323.28928975207,1007.0
