Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,11535,11535,11535,11535,168,,,,,,168.0
1985-01-05,11535,11535,11535,11535,0,,,,,,168.0
1985-01-07,11559,11559,11559,11559,630,,,,,,798.0
1985-01-08,11530,11559,11530,11559,273,,,,,,798.0
1985-01-09,11549,11549,11549,11549,21,,,,,,777.0
1985-01-10,11340,11340,11340,11340,0,,,,,,777.0
1985-01-11,11340,11340,11340,11340,0,,,,,,777.0
1985-01-12,11340,11340,11340,11340,0,,,,,,777.0
1985-01-14,11340,11340,11340,11340,21,,,,,,777.0
1985-01-15,11292,11292,11292,11292,63,,,,,,714.0
1985-01-16,11197,11197,11197,11197,42,,,,,,672.0
1985-01-17,11149,11149,11149,11149,21,11394.583333333334,,,,,651.0
1985-01-18,11139,11139,11139,11139,2624,11355.262820512822,,,,,-1973.0
1985-01-19,11092,11092,11092,11092,0,11314.760848126234,,,,,-1973.0
1985-01-21,10958,10958,10958,10958,0,11259.874563799121,,2.1899378879407285,,51.24261856306218,-1973.0
1985-01-22,10768,10892,10768,10768,3064,11184.201553983872,,1.5058014182318897,,66.01403487781165,-5037.0
1985-01-23,10672,10672,10672,10672,0,11105.40131490943,,1.2870251138801412,,69.09816460453824,-5037.0
1985-01-24,10672,10672,10387,10672,965,11038.724189538749,,1.2870251138801412,,90.62765559237195,-5037.0
1985-01-25,10196,10682,10196,10682,273,10983.843544994326,,2.9897648494933793,,128.9690558461622,-4764.0
1985-01-26,10672,10672,10672,10672,63,10935.867614995199,,2.9352390317100228,,117.71937527521973,-4827.0
1985-01-28,10649,10649,10649,10649,42,10891.734135765168,,2.808376602884942,,108.96523110781672,-4869.0
1985-01-29,10625,10625,10625,10625,21,10850.698114878218,,2.6782949520466124,,101.27404694824973,-4890.0
1985-01-30,10601,10601,10482,10482,3358,10793.975327973876,,2.0646506020251136,,104.98037984441501,-8248.0
1985-01-31,10482,10482,10482,10482,63,10745.979123670202,,2.0646506020251136,,95.81488677581723,-8248.0
1985-02-01,10482,10820,10010,10820,5604,10757.366950797863,,39.84575490152701,,157.19347094200887,-2644.0
1985-02-02,10858,10858,10858,10858,273,10772.848958367424,11050.23076923077,42.530034123132104,-277.3818108633459,147.09627724670318,-2371.0
1985-02-04,10958,10958,10620,10958,399,10801.333734003205,11043.398860398862,48.98191906352694,-242.065126395657,163.05622272513773,-1972.0
1985-02-05,10577,10982,10577,10982,483,10829.128544156558,11038.850796665613,50.420530392646924,-209.72225250905467,183.03995038559881,-1489.0
1985-02-06,10982,10982,10982,10982,42,10852.647229670933,11034.639626542234,50.420530392646924,-181.99239687130103,168.08845552474273,-1489.0
1985-02-07,10982,10982,10982,10982,42,10872.547655875404,11030.740394946513,50.420530392646924,-158.19273907110983,154.49764741833795,-1489.0
1985-02-08,10982,10982,10982,10982,21,10889.386478048418,11027.129995320845,50.420530392646924,-137.7435172724272,142.12238114203984,-1489.0
1985-02-09,10958,10982,10958,10982,147,10903.634712194815,11023.787032704488,50.42053039264692,-120.15232050967279,132.74211539616388,-1489.0
1985-02-11,11001,11001,11001,11001,420,10918.613987241766,11022.099104356006,51.973510790949234,-103.48511711423998,123.78122616396023,-1069.0
1985-02-13,10863,11001,10863,11001,1112,10931.288758435341,11020.536207737043,51.97351079094923,-89.24744930170164,124.89323916772675,-1069.0
1985-02-14,11016,11016,11016,11016,105,10944.321257137595,11020.200192349113,53.31248400902327,-75.87893521151818,116.3566451087681,-964.0
1985-02-15,10958,10958,10958,10958,0,10946.425679116426,11015.592770693624,47.76698882299909,-69.16709157719743,111.85162100221008,-964.0
1985-02-16,10911,10911,10911,10911,21,10940.975574636976,11007.845158049651,43.79179164121238,-66.86958341267564,106.8739160565105,-985.0
1985-02-18,10858,10858,10858,10858,840,10928.210101615903,10996.745516712639,39.772274085739234,-68.53541509673596,102.76071787928875,-1825.0
1985-02-19,10815,10868,10811,10863,1658,10918.17777829038,10986.83844140059,40.32872308496659,-68.66066311021132,99.2840563222333,-167.0
1985-02-21,10839,10839,10839,10839,105,10905.99658163032,10975.887445741288,38.4904589639723,-69.89086411096832,93.59025028766601,-272.0
1985-02-22,10811,10811,10811,10811,21,10891.381722917962,10963.673560871564,36.405525423716554,-72.29183795360223,88.65035557978365,-293.0
1985-02-23,10792,10792,10792,10792,0,10876.092227084431,10950.957000807004,35.019321553043476,-74.86477372257286,83.4249814634144,-293.0
1985-02-25,10768,10768,10768,10768,21,10859.462653686827,10937.404630376855,33.29476257936224,-77.94197669002824,78.98271205962352,-314.0
1985-02-26,10744,10744,10744,10744,21,10841.699168504238,10923.078361460051,31.617934634976997,-81.37919295581378,74.88614496456016,-335.0
1985-02-27,10720,10720,10720,10720,0,10822.976219503586,10908.035519870418,29.991290976865187,-85.05930036683276,71.10643209664357,-335.0
1985-02-28,10792,10792,10792,10792,21,10818.210647272266,10899.440296176313,39.96918928959502,-81.22964890404728,71.17261581413925,-314.0
1985-03-02,10792,10792,10792,10792,0,10814.178239999608,10891.481755718809,39.96918928959502,-77.30351571920073,65.91495864402197,-314.0
1985-03-04,10744,10744,10744,10744,0,10803.381587691976,10880.55718122112,36.001927453490374,-77.17559352914395,64.59477207082283,-314.0
1985-03-05,10720,10720,10720,10720,12635,10790.55365112398,10868.664056686222,34.17536959796707,-78.1104055622418,61.610023265788406,-12949.0
1985-03-06,10696,10696,10696,10696,0,10776.006935566444,10855.874126561317,32.40484365682594,-79.86719099487345,58.85051580065674,-12949.0
1985-03-07,10649,10649,10649,10649,210,10756.46740701776,10840.550117186405,29.213033644665323,-84.08271016864455,57.98271070007557,-13159.0
1985-03-08,10572,10649,10530,10649,26551,10739.933959784259,10826.361219617043,29.213033644665316,-86.42725983278433,62.44293302475908,-13159.0
1985-03-09,10620,10620,10620,10620,0,10721.482581355911,10811.075203349114,27.28953144229186,-89.59262199320256,60.00240569455518,-13159.0
1985-03-11,10620,10620,10620,10620,0,10705.869876531924,10796.921484582512,27.289531442291853,-91.05160805058767,55.63044234123845,-13159.0
1985-03-12,10482,10620,10482,10620,84,10692.659126296243,10783.816189428251,27.28953144229185,-91.15706313200826,61.62354900614655,-13159.0
1985-03-13,10720,10720,10720,10720,105,10696.865414558359,10779.08906428542,43.35327860880541,-82.22364972706055,64.41206265304098,-13054.0
1985-03-14,10482,10720,10482,10720,504,10700.424581549381,10774.712096560574,43.35327860880542,-74.28751501119223,77.00978759501875,-13054.0
1985-03-15,10720,10720,10720,10720,0,10703.436184387938,10770.659348667199,43.35327860880542,-67.22316427926125,71.4273747579838,-13054.0
1985-03-16,10720,10720,10720,10720,42,10705.98446371287,10766.906804321481,43.353278608805425,-60.922340608611194,66.25511728540901,-13054.0
