Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,3724,3783,3724,3724,3827,,,,,,3827.0
1985-01-05,3734,3813,3734,3813,37180,,,,,,41007.0
1985-01-07,3878,4022,3878,3977,241793,,,,,,282800.0
1985-01-08,3972,3972,3898,3922,99517,,,,,,183283.0
1985-01-09,3922,3922,3798,3823,44955,,,,,,138328.0
1985-01-10,3818,3828,3719,3719,24632,,,,,,113696.0
1985-01-11,3754,3773,3704,3724,83283,,,,,,196979.0
1985-01-12,3744,3818,3744,3768,12729,,,,,,209708.0
1985-01-14,3768,3768,3649,3674,24632,,,,,,185076.0
1985-01-15,3679,3724,3674,3724,26848,,,,,,211924.0
1985-01-16,3724,3724,3674,3699,11118,,,,,,200806.0
1985-01-17,3699,3699,3674,3674,28620,3770.0833333333335,,,,,172186.0
1985-01-18,3674,3699,3669,3684,36516,3756.8397435897436,,,,,208702.0
1985-01-19,3674,3674,3639,3639,5539,3738.7105522682446,,,,,203163.0
1985-01-21,3674,3674,3649,3674,23283,3728.7550826885144,,43.97703159334868,,70.20388027292898,226446.0
1985-01-22,3674,3694,3674,3674,31380,3720.3312238133585,,43.97703159334867,,64.85942646119209,226446.0
1985-01-23,3699,3724,3694,3694,25740,3716.280266303611,,46.59061288187807,,63.33109816879509,252186.0
1985-01-24,3689,3689,3649,3654,26586,3706.698686872286,,42.33658440936999,,61.50314143975996,225600.0
1985-01-25,3674,3674,3624,3649,17986,3697.821965815011,,41.822532481334036,,60.38761943536028,207614.0
1985-01-26,3624,3624,3600,3610,11138,3684.3108941511637,,37.951721687020125,,59.310809333774586,196476.0
1985-01-28,3600,3600,3575,3590,21088,3669.8015258202154,,36.106182539754116,,57.063958263275744,175388.0
1985-01-29,3585,3585,3550,3555,36032,3652.139752617105,,33.07498546376934,,55.51930236364689,139356.0
1985-01-30,3570,3610,3570,3610,25015,3645.6567137529346,,41.400411967334925,,55.47317501860928,164371.0
1985-01-31,3610,3610,3575,3595,15670,3637.86337317556,,39.941089796891475,,53.68572917393475,148701.0
1985-02-01,3595,3595,3575,3575,18993,3628.1920849947046,,38.01690535287482,,50.79070612596361,129708.0
1985-02-02,3575,3595,3575,3575,17543,3620.0086873032114,3693.0384615384614,38.016905352874815,-73.02977423524999,48.182344096466615,129708.0
1985-02-04,3575,3575,3550,3555,8459,3610.0073507950246,3682.8133903133903,36.00521310960613,-72.80603951836565,46.244252253595384,121249.0
1985-02-05,3535,3535,3500,3525,21349,3596.9292968265595,3671.1235095494358,33.169876793275904,-74.19421272287627,46.96744704041177,99900.0
1985-02-06,3525,3540,3500,3515,29325,3584.3247896224734,3659.5588051383666,32.2579920410598,-75.23401551589313,46.39831582944636,70575.0
1985-02-07,3515,3525,3515,3515,18409,3573.659437372862,3648.8507454984874,32.2579920410598,-75.19130812562526,43.4553265308059,70575.0
