Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,3572,3572,3420,3491,34294,,,,,,34294.0
1985-01-05,3437,3561,3437,3561,321563,,,,,,355857.0
1985-01-07,3631,3794,3631,3734,417129,,,,,,772986.0
1985-01-08,3788,3788,3626,3631,185717,,,,,,587269.0
1985-01-09,3675,3675,3577,3615,172062,,,,,,415207.0
1985-01-10,3615,3642,3539,3539,120140,,,,,,295067.0
1985-01-11,3572,3572,3485,3518,88692,,,,,,206375.0
1985-01-12,3518,3572,3518,3545,28234,,,,,,234609.0
1985-01-14,3572,3572,3464,3507,48984,,,,,,185625.0
1985-01-15,3507,3512,3437,3491,38211,,,,,,147414.0
1985-01-16,3518,3518,3464,3469,33610,,,,,,113804.0
1985-01-17,3496,3496,3437,3453,32483,3546.1666666666665,,,,,81321.0
1985-01-18,3453,3453,3437,3442,24279,3530.1410256410254,,,,,57042.0
1985-01-19,3437,3437,3410,3410,18810,3511.657790927022,,,,,38232.0
1985-01-21,3410,3437,3383,3388,26497,3492.633515399788,,33.1545965532192,,77.49195747021994,11735.0
1985-01-22,3383,3410,3383,3393,55931,3477.305282261359,,34.186356024916016,,72.11683640195295,67666.0
1985-01-23,3437,3442,3393,3410,31615,3466.9506234519195,,37.70690526769415,,69.73921333580782,99281.0
1985-01-24,3410,3420,3383,3410,68256,3458.188989074701,,37.70690526769415,,66.47449538113658,99281.0
1985-01-25,3410,3431,3393,3410,47931,3450.7752984478243,,37.70690526769414,,63.71316915315118,99281.0
1985-01-26,3410,3410,3399,3410,26183,3444.5021756096976,,37.70690526769414,,58.72862665479076,99281.0
1985-01-28,3404,3410,3355,3355,9054,3430.7326101312824,,30.586871598701347,,58.384019913164586,90227.0
1985-01-29,3361,3393,3361,3393,28973,3424.9275931880084,,39.137819418090935,,56.53882689691201,119200.0
1985-01-30,3410,3410,3383,3399,18089,3420.9387326975457,,40.3865513622693,,53.915022817317364,137289.0
1985-01-31,3399,3404,3372,3372,30248,3413.4096968979234,,36.73407037279377,,52.00169396455488,107041.0
1985-02-01,3372,3399,3372,3372,21970,3407.038974298243,,36.734070372793774,,49.85299533042486,107041.0
1985-02-02,3399,3399,3377,3383,6837,3403.340670560052,3465.423076923077,39.32673789480998,-62.08240636302526,47.91705774470355,113878.0
1985-02-04,3377,3377,3112,3112,63692,3358.5190289354287,3439.2435897435903,18.841213325646276,-80.72456080816164,66.56725243034809,50186.0
1985-02-05,3117,3171,3117,3166,71896,3328.900716791517,3419.0033238366577,27.001108561484628,-90.10260704514076,65.94222328758886,122082.0
1985-02-06,3166,3247,3166,3247,52217,3316.300606515899,3406.2623368857944,37.200639525018985,-89.96173036989558,67.1722076197374,174299.0
1985-02-07,3274,3296,3220,3258,29342,3307.3312824365294,3395.279941560921,38.45819319205442,-87.94865912439172,67.88597961477885,203641.0
1985-02-08,3247,3269,3220,3242,38396,3297.2803159078326,3383.925871815668,37.28853593505336,-86.64555590783539,66.37321207089012,165245.0
1985-02-09,3242,3242,3193,3193,20750,3281.237190383551,3369.7832146441374,33.88921596854161,-88.54602426058636,64.99358067073703,144495.0
1985-02-11,3220,3220,3198,3215,30580,3271.0468534014663,3358.317791337164,36.6802626613532,-87.27093793569793,62.000351058825395,175075.0
1985-02-13,3220,3242,3193,3198,37916,3259.808875955087,3346.442399386263,35.4353401383941,-86.63352343117595,60.98362770436137,137159.0
1985-02-14,3198,3198,3166,3182,36585,3247.838279654304,3334.2614809132065,34.25688382661827,-86.42320125890228,58.732156495195454,100574.0
1985-02-15,3193,3193,3166,3182,18976,3237.709313553642,3322.9828526974134,34.25688382661827,-85.27353914377136,56.2824932272423,100574.0
