Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,4406,4406,4406,4406,272,,,,,,272.0
1985-01-05,4495,4627,4495,4627,1770,,,,,,2042.0
1985-01-07,4700,4957,4700,4920,9695,,,,,,11737.0
1985-01-08,4884,4994,4774,4774,3568,,,,,,8169.0
1985-01-09,4781,4920,4781,4920,2805,,,,,,10974.0
1985-01-10,4972,4994,4810,4810,14365,,,,,,-3391.0
1985-01-11,4818,4847,4818,4847,5991,,,,,,2600.0
1985-01-12,4935,4994,4935,4935,5093,,,,,,7693.0
1985-01-14,4957,4957,4774,4774,3622,,,,,,4071.0
1985-01-15,4847,4847,4810,4810,2832,,,,,,6903.0
1985-01-16,4810,4847,4781,4781,2873,,,,,,4030.0
1985-01-17,4781,4803,4752,4803,3159,4783.916666666667,,,,,7189.0
1985-01-18,4700,4796,4627,4700,6481,4771.00641025641,,,,,708.0
1985-01-19,4634,4634,4627,4634,2832,4749.928500986193,,,,,-2124.0
1985-01-21,4627,4671,4627,4634,2451,4732.0933469883175,,49.598099670577206,,122.84525636561042,-2124.0
1985-01-22,4627,4627,4561,4627,3132,4715.925139759346,,49.12666736680446,,117.53897986005045,-5256.0
1985-01-23,4693,4693,4597,4627,1539,4702.244349027139,,49.12666736680446,,115.32364319174384,-5256.0
1985-01-24,4627,4627,4561,4590,2465,4684.975987638349,,46.42178026177674,,110.40514433026499,-7721.0
1985-01-25,4590,4590,4568,4590,4779,4670.364297232449,,46.42178026177674,,101.83201808305803,-7721.0
1985-01-26,4590,4590,4575,4575,2819,4655.692866888995,,45.25035987218365,,93.62120679421467,-10540.0
1985-01-28,4553,4553,4517,4524,4235,4635.432425829149,,41.42302551262019,,90.32902735587528,-14775.0
1985-01-29,4487,4517,4450,4450,4425,4606.904360316972,,36.58740509433327,,88.85089853890923,-19200.0
1985-01-30,4450,4450,4414,4436,6672,4580.611381806669,,35.737413744795795,,84.15638566334445,-25872.0
1985-01-31,4436,4436,4260,4370,7557,4548.209630759489,,31.967028334827624,,92.17495076898754,-33429.0
1985-02-01,4260,4318,4201,4318,6236,4512.792764488799,,29.34054364249124,,98.7774585264089,-39665.0
1985-02-02,4289,4289,4282,4289,4711,4478.363108413599,4645.038461538462,27.96079050223056,-166.67535312486325,93.45941422892746,-44376.0
1985-02-04,4274,4274,4274,4274,2451,4446.922630196122,4617.554131054131,27.247065493061626,-170.63150085800953,86.9000451642298,-46827.0
1985-02-05,4245,4260,4230,4245,2873,4415.857610165949,4589.9575287538255,25.872061599002738,-174.09991858787635,83.35664831046611,-49700.0
1985-02-06,4223,4245,4223,4230,2478,4387.26413167888,4563.294008105394,25.164680331483936,-176.0298764265135,78.34477188698199,-52178.0
1985-02-07,4245,4245,4201,4215,3105,4360.7619575744375,4537.494451949439,24.44490725829063,-176.7324943750018,75.56782207970917,-55283.0
1985-02-08,4201,4201,4186,4186,7966,4333.875502562985,4511.457825879111,23.07098626193292,-177.58232331612544,71.83773810902423,-63249.0
1985-02-09,4186,4186,4149,4149,1770,4305.433117553295,4484.609098036213,21.41704060437497,-179.17598048291802,69.0712239371255,-65019.0
1985-02-11,4149,4149,4120,4120,2601,4276.904945622019,4457.601016700198,20.19501524580984,-180.69607107817865,65.91431237583834,-67620.0
1985-02-13,4113,4480,4113,4480,5637,4308.150338603247,4459.260200648331,54.72824846930188,-151.1098620450839,89.46143421256235,-61983.0
1985-02-14,4465,4465,4186,4186,4235,4289.357978818132,4439.0187043040105,39.641722295512295,-149.66072548587817,105.35015237896381,-66218.0
1985-02-15,4179,4421,4179,4406,5692,4307.302905153804,4436.572874355566,50.61285888443061,-129.26996920176134,115.89926562121484,-60526.0
1985-02-16,4458,4458,4399,4421,4630,4324.794765899373,4435.419328107006,51.26332391124231,-110.62456220763306,111.53194601512907,-55896.0
1985-02-18,4406,4406,4260,4260,1457,4314.826340376392,4422.425303802783,44.490136360500465,-107.59896342639058,115.30876278240933,-57353.0
1985-02-19,4406,4406,4296,4406,844,4328.853057241563,4421.208614632206,50.83411695581807,-92.3555573906433,117.64052350465886,-56509.0
1985-02-21,4333,4333,4120,4186,15251,4306.875663819785,4403.78575428908,42.881405810028404,-96.91009046929503,130.37371363913707,-71760.0
1985-02-22,4326,4406,4260,4260,26021,4299.664023232125,4393.134957675074,45.944721506139494,-93.47093444294842,137.12386958059767,-45739.0
1985-02-23,4406,4539,4406,4428,10444,4319.408019657952,4395.7175534028465,52.21093292918134,-76.3095337448949,147.76783332569238,-35295.0
1985-02-25,4450,4517,4399,4480,8592,4344.114478172113,4401.960697595228,53.98883923311201,-57.846219423115144,145.5425615301718,-26703.0
1985-02-26,4524,4847,4524,4700,21609,4398.866096914865,4424.037682958545,60.65760065188289,-25.17158604367978,162.0425707404983,-5094.0
1985-02-27,4774,4994,4700,4920,37881,4479.040543543348,4460.775632369023,65.96934307185575,18.26491117432488,171.8440833867539,32787.0
1985-02-28,4847,4884,4737,4774,20915,4524.418921459755,4483.977437378725,60.16400200570498,40.44148408103047,172.67036646022046,11872.0
1985-03-02,4737,4810,4737,4810,10035,4568.354472004408,4508.127256832153,61.07362999511316,60.227215172255455,165.30752597904078,21907.0
1985-03-04,4847,5178,4847,5178,19989,4662.146091696038,4557.747460029771,68.89306445631307,104.39863166626674,180.2443108194723,41896.0
1985-03-05,5332,5537,5317,5457,65169,4784.431308358186,4624.358759286824,73.27607703207708,160.0725490713612,193.38740295813128,107065.0
1985-03-06,5508,5508,5222,5332,40509,4868.672645533849,4676.776628969282,68.61159428135497,191.89601656456762,200.18253709288575,66556.0
1985-03-07,5332,5354,5288,5288,20983,4933.184546220949,4722.052434230816,66.99496372226194,211.13211199013313,190.35644242689025,45573.0
1985-03-08,5244,5288,5178,5229,28853,4978.694616033111,4759.604105769274,64.79047218138233,219.09051026383713,184.48257286374326,16720.0
1985-03-09,5185,5324,5163,5324,8592,5031.818521258786,4801.411209045624,66.69104107275217,230.4073122131622,182.76891154058595,25312.0
1985-03-11,5332,5427,5310,5324,11315,5076.769517988203,4840.121489857059,66.69104107275218,236.6480281311442,177.97678249651557,25312.0
1985-03-12,5324,5324,5258,5258,5542,5104.651130605403,4871.075453571351,63.91138329710481,233.5756770340513,169.82949094160642,19770.0
1985-03-13,5236,5405,5178,5295,18587,5133.935572050726,4902.477271825326,64.7971992998797,231.4583002253994,173.98362037725343,38357.0
1985-03-14,5346,5368,5339,5361,9545,5168.868560965998,4936.441918356783,66.38233945793071,232.42664260921447,166.65497823425127,47902.0
1985-03-15,5471,5523,5435,5449,10825,5211.965705432767,4974.409183663688,68.42394458289213,237.55652176907915,166.31754047390245,58727.0
1985-03-16,5471,5486,5449,5471,12786,5251.817135366187,5011.1936885774885,68.9319207721252,240.62344678869886,156.95329298031288,71513.0
1985-03-18,5501,5508,5398,5427,11506,5278.768345309851,5041.994156090267,66.62343511587932,236.7741892195836,153.5566158987531,60007.0
1985-03-19,5435,5464,5368,5464,7244,5307.265522954489,5073.253848231729,67.6058767556922,234.0116747227603,149.39667551454545,67251.0
1985-03-20,5471,5471,5420,5449,3745,5329.070827115337,5101.08689651086,66.74809224437098,227.98393060447688,142.2910131748488,63506.0
1985-03-21,5457,5464,5398,5457,7857,5348.752238328362,5127.450830102649,66.98866159431813,221.3014082257132,136.78602548504867,71363.0
1985-03-22,5457,5589,5457,5581,19349,5384.482663200922,5161.047064909861,70.5457019054797,223.43559829106107,136.44092830174577,90712.0
1985-03-23,5626,5868,5626,5802,34123,5448.716099631549,5208.525060101722,75.59335028683374,240.1910395298264,147.28967557537592,124835.0
1985-03-25,5802,5831,5692,5772,18900,5498.452084303618,5250.263944538632,73.74582031782367,248.18813976498586,146.69272604640753,105935.0
1985-03-26,5816,5890,5787,5816,21950,5547.305609795369,5292.170319017252,74.72164719192475,255.13529077811654,144.62773139873164,127885.0
1985-03-27,5875,6132,5838,6059,26593,5626.027823673005,5348.972517608567,79.29804666482495,277.0553060644379,156.9546038990878,154478.0
1985-03-28,6110,6154,5883,5949,26362,5675.715850800235,5393.41899778571,72.86706150987003,282.29685301452446,165.15381820263912,128116.0
1985-03-29,5956,6007,5728,5787,10008,5692.83648913866,5422.57314609788,64.5627429039635,270.26334304077955,173.33489994165737,118108.0
1985-03-30,5787,5883,5765,5875,10090,5720.86164465579,5456.086246386926,66.77764962989953,264.7753982688637,169.36020591850723,128198.0
1985-04-01,5985,6015,5787,5824,8429,5736.729083939515,5483.339117024932,64.27050580912812,253.38996691458215,173.57060050878044,119769.0
1985-04-02,5831,5912,5809,5809,11152,5747.847686410359,5507.462145393456,63.51518499554859,240.3855410169026,168.50544864155395,108617.0
1985-04-03,5838,5838,5692,5765,9436,5750.486503885688,5526.53902351246,61.24159409757561,223.94748037322825,166.89069514675253,99181.0
1985-04-04,5750,5765,5618,5618,15536,5730.103964826351,5533.313910659685,54.25416833534651,196.79005416666678,165.46400655881115,83645.0
1985-04-06,5662,5662,5581,5589,11152,5708.395662545375,5537.438806166375,52.97016141932953,170.95685637899987,159.407508747275,72493.0
1985-04-08,5589,5655,5508,5508,9804,5677.565560615317,5535.258153857754,49.44992679857805,142.3074067575626,158.51807334953884,62689.0
1985-04-09,5515,5618,5493,5581,12119,5662.709320520653,5538.64643875718,52.51286878991269,124.06288176347334,156.11593838000954,74808.0
