Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,13720,13851,13720,13851,1827,,,,,,1827.0
1985-01-05,14163,14474,14163,14474,6972,,,,,,8799.0
1985-01-07,15098,15098,15098,15098,8383,,,,,,17182.0
1985-01-08,15722,15722,14974,15042,16477,,,,,,705.0
1985-01-09,14974,14974,14418,14425,5594,,,,,,-4889.0
1985-01-10,14425,14425,13913,13913,2949,,,,,,-7838.0
1985-01-11,13913,14106,13601,13720,3045,,,,,,-10883.0
1985-01-12,13913,14106,13913,14038,3382,,,,,,-7501.0
1985-01-14,13726,14225,13726,13975,1234,,,,,,-8735.0
1985-01-15,14100,14100,13607,13851,3943,,,,,,-12678.0
1985-01-16,14287,14287,13732,13732,625,,,,,,-13303.0
1985-01-17,13788,13788,13726,13726,2132,14153.75,,,,,-15435.0
1985-01-18,13726,13726,13607,13726,2212,14087.942307692309,,,,,-15435.0
1985-01-19,13726,13726,13726,13726,2452,14032.258875739644,,,,,-15435.0
1985-01-21,14032,14032,13601,13607,1987,13966.83443331816,,39.96727100178261,,392.77241295938495,-17422.0
1985-01-22,13913,13913,13726,13851,7597,13949.013751269213,,47.963377572615,,383.5350561918752,-9825.0
1985-01-23,14119,14119,13726,13851,1939,13933.934712612412,,47.963377572614995,,384.5085487722035,-9825.0
1985-01-24,13738,13769,13726,13726,13672,13901.944756825887,,44.446047036359,,358.63064480800955,-23497.0
1985-01-25,13794,14094,13726,14038,31079,13922.876332698826,,53.59369914353342,,359.5392419889132,7582.0
1985-01-26,14350,14350,14169,14350,9745,13988.587666129777,,60.583399003533934,,355.04394459282764,17327.0
1985-01-28,14412,14412,13975,13982,5594,13987.574179032888,,50.854026540535415,,362.6184785500185,11733.0
1985-01-29,13975,14038,13975,13975,5065,13985.639689950905,,50.68727684171827,,335.4965503672626,6668.0
1985-01-30,13982,14007,13851,13975,1843,13984.002814573843,,50.68727684171828,,319.5526612354967,6668.0
1985-01-31,14038,14038,13975,14007,8110,13987.540843100945,,51.52990294196635,,297.1538888004077,14778.0
1985-02-01,13975,14038,13925,13925,4921,13977.919174931569,,49.20944885532677,,281.32731281335083,9857.0
1985-02-02,13944,13975,13794,13944,7389,13972.700840326712,14020.307692307691,49.77382441427954,-47.60685198097963,272.8283211957748,17246.0
1985-02-04,13944,13944,13726,13726,3767,13934.746864891833,13998.507122507122,43.76487508882231,-63.76025761528945,268.24456031181603,13479.0
1985-02-05,13726,13788,13726,13788,7934,13912.170424139244,13982.91400232141,45.770069374266185,-70.74357818216595,251.2094657491625,21413.0
1985-02-06,13788,13788,13632,13632,5482,13869.067281963975,13956.920372519824,41.73740710572191,-87.85309055584912,243.43234477172228,15931.0
1985-02-07,13638,13726,13576,13632,14089,13832.595392431056,13932.852196777614,41.73740710572191,-100.25680434655806,235.87786362214084,15931.0
1985-02-08,13576,13726,13539,13726,2532,13816.196101287816,13917.529811831124,45.116680096256864,-101.33371054330746,231.96274525336247,18463.0
1985-02-09,13726,13726,13545,13545,2260,13774.473624166614,13889.935010954745,40.27292629479983,-115.46138678813077,227.91572140407956,16203.0
1985-02-11,13545,13651,13545,13651,4632,13755.477681987135,13872.236121254393,44.06061751843986,-116.75843926725793,218.31089498282768,20835.0
1985-02-13,13601,13726,13601,13676,2661,13743.250346296807,13857.700112272585,44.947365610946534,-114.44976597577806,211.0132946545214,23496.0
1985-02-14,13726,13726,13414,13601,8078,13721.36567763576,13838.685289141284,42.75757974850743,-117.31961150552343,218.85802209558125,15418.0
1985-02-15,13720,13726,13464,13726,3478,13722.078650307183,13830.338230686373,47.36058911083941,-108.25958037919008,222.18850228514233,18896.0
1985-02-16,13763,14038,13763,14038,13159,13770.681934875309,13845.720583968865,56.7163127604599,-75.03864909355616,229.08200979424066,32055.0
1985-02-18,14337,14337,13788,13969,9328,13801.192406432954,13854.852392563764,54.41302390306997,-53.65998613080956,253.507301113225,22727.0
1985-02-19,14044,14593,14038,14287,14441,13875.9320362125,13886.863326447929,62.060157158319,-10.931290235428605,281.6554111753784,37168.0
1985-02-21,14250,14287,14038,14038,5353,13900.865569102883,13898.058635599935,54.36939650609039,2.8069335029485956,279.18565082644335,31815.0
1985-02-22,14038,14287,13857,14287,6203,13960.270866163979,13926.869107036977,59.742092918274345,33.40175912700215,290.5441530746848,38018.0
1985-02-23,14481,14662,14481,14481,6604,14040.38304060029,13967.915839849053,63.36167754742183,72.46720075123812,296.8802786095224,44622.0
1985-02-25,14481,14543,14350,14543,3703,14117.708726661784,14010.5146665269,64.46139854696749,107.19406013488333,289.11478719563854,48325.0
1985-02-26,14668,14855,14568,14599,19907,14191.753537944585,14054.106172710093,65.46955996073399,137.6473652344921,290.8198833290596,68232.0
1985-02-27,14599,14786,14468,14643,20548,14261.176070568496,14097.72793769453,66.27899059578938,163.44813287396573,292.838763651084,88780.0
