Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1997-07-18,22600,22600,19600,22600,449660,,,,,,449660.0
1997-07-19,24400,24400,23100,23300,35530,,,,,,485190.0
1997-07-21,23000,23200,21500,22400,40960,,,,,,444230.0
1997-07-22,22000,22000,20700,20700,15060,,,,,,429170.0
1997-07-23,19100,19700,19100,19400,19050,,,,,,410120.0
1997-07-24,18600,20900,18600,20900,42910,,,,,,453030.0
1997-07-25,21000,21800,20500,21000,25140,,,,,,478170.0
1997-07-26,20500,22000,20500,22000,18460,,,,,,496630.0
1997-07-28,22000,22000,21500,21600,130330,,,,,,366300.0
1997-07-29,21500,21500,20600,20700,5180,,,,,,361120.0
1997-07-30,20700,22300,20200,22300,22950,,,,,,384070.0
1997-07-31,20900,21500,20700,20900,8170,21483.333333333332,,,,,375900.0
1997-08-01,20500,21000,20500,20600,5890,21347.435897435895,,,,,370010.0
1997-08-02,20600,20600,20500,20500,3680,21217.061143984218,,,,,366330.0
1997-08-04,20300,20600,20300,20400,4620,21091.359429525106,,40.69972398943889,,1151.705763108229,361710.0
1997-08-05,20200,20200,20000,20000,4020,20923.457978828937,,38.362044137012035,,1071.6829300302315,357690.0
1997-08-06,20200,20300,19700,19700,6290,20735.233674393716,,36.66126858162228,,1023.169189012795,351400.0
1997-08-07,19800,20500,19800,20300,4300,20668.27464756391,,42.18230622484834,,1000.9150056020219,355700.0
1997-08-08,20200,20800,20000,20300,28000,20611.617009477155,,42.18230622484834,,981.4311879912547,355700.0
1997-08-09,20400,20400,20000,20300,7090,20563.67593109605,,42.18230622484834,,926.4512178438642,355700.0
1997-08-11,20000,21000,19900,20900,17810,20615.418095542813,,47.858873713170844,,942.4909251862912,373510.0
1997-08-12,20000,20500,20000,20000,6940,20520.73838853623,,41.30753227582111,,938.6445809057295,366570.0
1997-08-13,20100,20500,19700,19700,5530,20394.47094414604,,39.37277191963527,,926.3293925516459,361040.0
1997-08-14,19800,20000,19700,19800,5650,20303.013875815883,,40.375279610821586,,871.6466250230945,366690.0
1997-08-16,19800,19800,19400,19400,2470,20164.088664151903,,37.69056963447792,,831.1123132114269,364220.0
1997-08-18,19400,19400,19000,19300,3270,20031.15194659007,20730.76923076923,37.027692296702284,-699.6172841791595,794.5916506573099,360950.0
1997-08-19,19100,19300,19000,19000,4790,19872.513185576212,20602.564102564105,35.0368734078475,-730.0509169878933,753.2427672267834,356160.0
1997-08-20,19000,19300,18800,19000,7070,19738.280387795254,20483.85565052232,35.0368734078475,-745.5752627270667,732.3257816806237,356160.0
1997-08-21,19000,19000,18500,18500,7160,19547.77571274983,20336.903380113257,31.738432576100468,-789.1276673634275,713.3484069407127,349000.0
1997-08-22,18500,19900,18100,19900,12580,19601.96406463447,20304.540166771534,46.83158025049862,-702.5761021370636,801.2097251596424,361580.0
1997-08-23,19400,19400,18700,19400,5410,19570.89267007532,20237.537191455125,43.16110132502347,-666.6445213798033,833.152838352716,356170.0
