Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1998-12-23,28750,28750,28750,28750,1960,,,,,,1960.0
1998-12-24,33050,33050,33050,33050,4090,,,,,,6050.0
1998-12-28,38000,38000,38000,38000,250410,,,,,,256460.0
1999-01-04,43700,43700,42000,43700,15661950,,,,,,15918410.0
1999-01-05,43500,44450,42500,43600,3637630,,,,,,12280780.0
1999-01-06,43600,44100,42500,42500,2022400,,,,,,10258380.0
1999-01-07,41600,45000,41600,45000,3067480,,,,,,13325860.0
1999-01-08,44000,44500,43400,43900,1679230,,,,,,11646630.0
1999-01-11,43700,43700,42650,42700,756770,,,,,,10889860.0
1999-01-12,42900,43000,40800,42500,742810,,,,,,10147050.0
1999-01-13,41500,41600,40600,40600,385980,,,,,,9761070.0
1999-01-14,40000,40200,39500,39800,585070,40341.666666666664,,,,,9176000.0
1999-01-15,39600,41450,38900,40300,540690,40335.25641025641,,,,,9716690.0
1999-01-18,40300,41000,39600,39600,382130,40222.14003944773,,,,,9334560.0
1999-01-19,39000,39800,38350,38700,380360,39987.96464876347,,58.09793883989077,,2250.400604287388,8954200.0
1999-01-20,39000,39650,38600,38700,473100,39789.8162412614,,58.097938839890766,,2122.611964239691,8954200.0
1999-01-21,39100,40700,38900,39400,787970,39729.84451183656,,60.42792554975783,,2110.001024347543,9742170.0
1999-01-22,39000,39400,38100,38200,387920,39494.48381770786,,54.802136576023166,,2029.2286227517711,9354250.0
1999-01-25,38100,38200,36900,37000,396310,39110.71707652204,,49.80832269234486,,1958.5113687583569,8957940.0
1999-01-26,37300,38200,36000,36000,331550,38632.14521859558,,46.04300232107981,,1981.3464660335299,8626390.0
1999-01-27,36200,37700,36000,37700,337720,38488.73826188857,,52.602745113130545,,1955.3438924577388,8964110.0
1999-01-28,37700,39400,37700,38900,403900,38552.009298521094,,56.612524037336605,,1932.229768300046,9368010.0
1999-01-29,38800,39200,38300,38850,284270,38597.85402182554,,56.39842846602133,,1840.5413377947768,9083740.0
1999-02-01,39000,41500,39000,40000,534900,38813.56878769853,,60.132846356407896,,1911.2125219603683,9618640.0
1999-02-02,40000,40000,39000,39450,244160,38911.481281898756,,57.592257398705534,,1832.900984185601,9374480.0
1999-02-03,39200,39200,38500,38900,219700,38909.71493083741,39453.846153846156,55.0858736289994,-544.1312230087497,1758.1081102081716,9154780.0
1999-02-04,37950,38750,37950,38700,132180,38877.45109532396,39398.0056980057,54.1627995377864,-520.5546026817392,1690.5486032818958,9022600.0
1999-02-05,38700,39400,38200,38750,128550,38857.843234504886,39350.0052759312,54.3686653279806,-492.16204142631614,1650.030968141116,9151150.0
1999-02-08,39400,39500,38800,38950,208020,38872.02119842721,39320.375255491854,55.2347332438957,-448.3540570646437,1576.512545706972,9359170.0
1999-02-09,38750,38750,37900,38700,246540,38845.55639866918,39274.42153286283,53.8586678219304,-428.8651341936493,1533.9413235966897,9112630.0
1999-02-10,38300,38500,37300,38100,230030,38730.855414258534,39187.427345243355,50.60047107226496,-456.57193098482094,1523.2126194862599,8882600.0
1999-02-11,38450,38600,37700,38100,188360,38633.800735141835,39106.87717152162,50.600471072264966,-473.0764363797862,1473.72242185864,8882600.0
1999-02-12,38100,38600,38100,38550,188530,38620.90831435078,39065.62701066817,53.069939311979454,-444.7186963173881,1397.0101263751449,9071130.0
1999-02-18,38650,38650,37600,37600,93850,38463.84549675835,38957.06204691497,47.653977787679175,-493.21655015661963,1369.8713746503126,8977280.0
