Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2000-10-25,3978,4475,3825,3833,7139935,,,,,,7139935.0
2000-10-26,3756,3771,3259,3282,4280719,,,,,,2859216.0
2000-10-27,3328,3469,3251,3286,3143412,,,,,,6002628.0
2000-10-30,3290,3477,3290,3309,1700667,,,,,,7703295.0
2000-10-31,3282,3305,3098,3213,1430458,,,,,,6272837.0
2000-11-01,3236,3366,3190,3328,1764118,,,,,,8036955.0
2000-11-02,3251,3366,3232,3328,1001569,,,,,,8036955.0
2000-11-03,3343,3504,3305,3343,1134967,,,,,,9171922.0
2000-11-06,3312,3377,3290,3312,826484,,,,,,8345438.0
2000-11-07,3293,3312,3251,3251,636353,,,,,,7709085.0
2000-11-08,3213,3274,3182,3228,485856,,,,,,7223229.0
2000-11-09,3251,3251,3182,3186,390118,3324.9166666666665,,,,,6833111.0
2000-11-10,3205,3228,3121,3137,470105,3296.00641025641,,,,,6363006.0
2000-11-13,3068,3091,3014,3083,895987,3263.2361932938857,,,,,5467019.0
2000-11-14,3068,3125,3022,3114,454118,3240.27677894098,,19.37017485130009,,144.65387925447502,5921137.0
2000-11-15,3098,3137,3087,3114,550431,3220.849582180829,,19.37017485130009,,134.57750103376526,5921137.0
2000-11-16,3087,3106,3071,3094,229765,3201.334261845317,,18.615165404174125,,125.1585314562752,5691372.0
2000-11-17,3068,3071,3029,3029,409085,3174.821298484499,,16.380493037782518,,119.15958958319277,5282287.0
2000-11-20,3029,3049,2995,2995,285477,3147.1564833330376,,15.342950107057316,,112.84071083530003,4996810.0
2000-11-21,2984,2984,2804,2930,717242,3113.7477935894935,,13.572952935562691,,120.2314313087967,4279568.0
2000-11-22,2930,3060,2930,3060,548614,3105.478902268033,,30.7737694456108,,121.13426093983571,4828182.0
2000-11-23,2991,3083,2957,3033,334523,3094.328301919105,,29.4622625486475,,121.57471516677276,4493659.0
2000-11-24,2987,3037,2972,3037,346719,3085.5085631623197,,29.93863799576092,,116.54943203773959,4840378.0
2000-11-27,3060,3060,3018,3018,150497,3075.1226303681165,,28.938895642936323,,110.04076533618588,4689881.0
2000-11-28,3014,3049,3003,3037,330013,3069.2576103114834,,31.4056674149002,,104.536966065561,5019894.0
