Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2009-11-11,32250,36550,31550,35650,7755136,,,,,,7755136.0
2009-11-12,36000,38000,35700,37050,2210381,,,,,,9965517.0
2009-11-13,37600,38300,35750,35750,1189162,,,,,,8776355.0
2009-11-16,35750,38150,35750,37900,978617,,,,,,9754972.0
2009-11-17,38400,38800,37200,38400,745654,,,,,,10500626.0
2009-11-18,38500,38700,37800,38100,463238,,,,,,10037388.0
2009-11-19,38400,40150,38250,39850,995245,,,,,,11032633.0
2009-11-20,39850,42500,39350,41000,1043494,,,,,,12076127.0
2009-11-23,41050,42150,40350,41650,469349,,,,,,12545476.0
2009-11-24,42200,42300,41150,41500,444040,,,,,,12101436.0
2009-11-25,41450,45650,41450,45000,939520,,,,,,13040956.0
2009-11-26,45500,47850,45200,47600,1079445,39954.166666666664,,,,,14120401.0
2009-11-27,47050,51100,45600,47200,1927043,41068.91025641025,,,,,12193358.0
2009-11-30,49000,50500,47400,47800,1008738,42104.46252465483,,,,,13202096.0
2009-12-01,48050,48650,44100,44300,1399505,42442.23752086178,,66.08198208667977,,2981.239776409749,11802591.0
2009-12-02,45100,46200,44000,45050,694884,42843.43174842151,,67.97420039447094,,2898.07290010029,12497475.0
2009-12-03,45450,47800,45100,47650,674154,43582.9037871259,,73.49461461597352,,2882.843240789308,13171629.0
2009-12-04,47800,48700,47350,47600,425687,44200.91858910653,,73.23318130414789,,2729.9898170197157,12745942.0
2009-12-07,47550,47850,45200,46050,883973,44485.39265232091,,65.45953621394705,,2722.2327706962674,11861969.0
2009-12-08,45600,45950,44650,44950,427591,44556.87070581,,60.547529978411816,,2597.202810552685,11434378.0
2009-12-09,44950,45900,44950,45350,315544,44678.89059722384,,61.67377786092946,,2444.9652051564203,11749922.0
2009-12-10,45350,46600,44400,46300,447482,44928.29204380479,,64.2817237608257,,2422.7905758288857,12197404.0
2009-12-11,47000,47650,46250,46700,604893,45200.86249860405,,65.35081950882206,,2331.9405872766547,12802297.0
2009-12-14,47400,49450,47250,49100,766945,45800.729806511124,,70.96605629726437,,2368.4399851189623,13569242.0
2009-12-15,49700,49700,48700,48700,440119,46246.77137474019,,68.96016752150267,,2250.8333489013285,13129123.0
2009-12-16,49300,51100,49100,49700,696679,46778.037317087845,43688.46153846154,71.15523499298432,3089.5757786263057,2263.46964984231,13825802.0
2009-12-17,50000,50000,48450,49400,390053,47181.41619138202,44111.53846153847,69.56584487882932,3069.8777298435525,2203.8221136509055,13435749.0
2009-12-18,48650,49350,48400,48600,251586,47399.659854246325,44444.0170940171,65.37239495104532,2955.642760229224,2104.390528586784,13184163.0
2009-12-21,48300,49600,48100,48550,281217,47576.63526128535,44748.16397594177,65.10822952038367,2828.471285343585,2055.0212960062536,12902946.0
2009-12-22,48900,49150,48200,48900,214354,47780.229836472216,45055.70738513126,66.13969610525774,2724.5224513409557,1965.6746937031523,13117300.0
2009-12-23,48500,48900,46700,47100,556547,47675.57909239957,45207.13646771413,56.8343561348547,2468.4426246854346,1984.4441578934168,12560753.0
2009-12-24,47000,47100,45700,46400,442213,47479.336155107325,45295.49672936494,53.67188124551718,2183.839425742386,1938.032618762042,12118540.0
2009-12-28,45400,46350,44850,44850,554457,47074.822900475425,45262.4969716342,47.3844873459247,1812.3259288412228,1907.4624354741916,11564083.0
2009-12-29,44700,45900,42550,43200,523312,46478.69630040228,45109.71941817982,41.774384298960804,1368.9768822224578,2020.2795144060249,11040771.0
2009-12-30,43500,44800,41900,44800,381188,46220.43533110962,45086.77723905539,48.18120648946572,1133.6580920542328,2088.616900106375,11421959.0
2010-01-04,45300,47600,44700,47250,417372,46378.8298955543,45247.01596208832,56.13970151946178,1131.813933465979,2151.254161344776,11839331.0
2010-01-05,48000,49800,47350,49050,814860,46789.77914239209,45528.71848341511,60.891967344033866,1261.0606589769814,2181.86001363463,12654191.0
2010-01-06,49250,51300,48600,50000,716281,47283.659274331774,45859.92452168066,63.16066542268197,1423.7347526511148,2221.4192772535625,13370472.0
2010-01-07,50000,52500,49700,52100,718497,48024.634770588425,46322.1523348895,67.63082238165836,1702.4824356989266,2265.3768340762517,14088969.0
2010-01-08,52400,58500,51000,55000,1100618,49097.76788280559,46964.955865638425,72.5791195917636,2132.8120171671617,2661.2764498361985,15189587.0
2010-01-11,55000,55500,53300,55000,928868,50005.80359314319,47560.14432003558,72.5791195917636,2445.659273107609,2626.5356601087183,15189587.0
2010-01-12,54400,57500,53400,55900,884380,50912.603040351925,48177.91140744035,74.00919119766776,2734.6916329115775,2737.0792798644197,16073967.0
