Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1999-11-11,1058,1058,1058,1058,127,,,,,,127.0
1999-11-12,1181,1181,1181,1181,1481,,,,,,1608.0
1999-11-15,1323,1323,1323,1323,4286,,,,,,5894.0
1999-11-16,1479,1479,1479,1479,2265,,,,,,8159.0
1999-11-17,1654,1654,1654,1654,2021,,,,,,10180.0
1999-11-18,1852,1852,1852,1852,8169,,,,,,18349.0
1999-11-19,2074,2074,2074,2074,2677,,,,,,21026.0
1999-11-22,2320,2320,2320,2320,2106,,,,,,23132.0
1999-11-23,2594,2594,2594,2594,1259,,,,,,24391.0
1999-11-24,2901,2901,2901,2901,2392,,,,,,26783.0
1999-11-25,3246,3246,3246,3246,783,,,,,,27566.0
1999-11-26,3634,3634,3634,3634,1460,2109.6666666666665,,,,,29026.0
1999-11-29,4068,4068,4068,4068,7640,2410.948717948718,,,,,36666.0
1999-11-30,4555,4555,4555,4555,7143,2740.802761341223,,,,,43809.0
1999-12-01,5094,5094,5094,5094,5270,3102.8331057502655,,100.0,,326.20533270446293,49079.0
1999-12-02,5698,5698,5698,5698,278127,3502.0895510194555,,100.0,,355.7779625577051,327206.0
1999-12-03,6379,6379,6379,6379,44487,3944.691158554924,,100.0,,389.22784317269225,371693.0
1999-12-06,7144,7144,7144,7144,24116,4436.892518777244,,100.0,,426.69942487126275,395809.0
1999-12-07,7995,7995,7995,7995,19661,4984.29366973459,,100.0,,467.8461525294617,415470.0
1999-12-08,8949,8949,8949,8949,5608,5594.248489775422,,100.0,,513.8167240657295,421078.0
1999-12-09,10017,10017,10017,10017,3206,6274.6717990407415,,100.0,,565.0353926707103,424284.0
1999-12-10,11198,11198,11198,11198,9725,7032.106906880628,,100.0,,620.7934618123486,434009.0
1999-12-13,12521,12521,12521,12521,2974,7876.551998129762,,100.0,,683.1673802500982,436983.0
1999-12-14,13986,13986,13986,13986,3577,8816.467075340568,,99.99999999999999,,751.4266251465397,440560.0
1999-12-15,15640,15640,15640,15640,17619,9866.24137144202,,100.0,,828.9956962862473,458179.0
1999-12-16,17483,17483,17483,17483,4718519,11038.050391220171,6001.653846153846,100.0,5036.396545066325,914.894678684811,5176698.0
1999-12-17,19562,19562,16160,18333,8645481,12160.350331032452,6915.086894586894,100.0,5245.263436445558,1122.8218199413027,13822179.0
1999-12-20,17861,20507,17483,20507,4120212,13444.450280104382,7921.895272765643,100.0,5522.5550073387385,1279.852628554091,17942391.0
1999-12-21,22491,22964,18900,20790,4260899,14574.534852396017,8875.088215523745,100.0,5699.4466368722715,1507.2738282886085,22203290.0
1999-12-22,21735,23247,21735,23247,5333841,15908.760259719707,9939.674273633098,100.0,5969.085986086609,1584.0640285023285,27537131.0
1999-12-23,26035,26035,25137,26035,1449788,17466.643296685907,11131.92062373435,100.0,6334.722672951557,1680.4993365854011,28986919.0
1999-12-24,25940,29153,24570,29153,3244011,19264.544327965,12466.81539234662,100.0,6797.728935618379,1910.9910290756768,32230930.0
1999-12-27,28823,32650,28208,32650,3842815,21323.84520058577,13961.866104024648,100.0,7361.979096561121,2110.390266158369,36073745.0
1999-12-28,34540,36524,33642,36524,1898804,23662.330554341803,15633.135281504305,100.0,8029.195272837498,2248.3175572325285,37972549.0
2000-01-04,37800,38414,32177,32177,3171481,24972.27969982768,16858.606742133616,82.41045954407463,8113.672957694063,2558.1615758625767,34801068.0
2000-01-05,28350,28350,28350,28350,124180,25491.928976777264,17709.821057531124,70.63151167079135,7782.10791924614,2656.1135345026278,34676888.0
2000-01-06,26933,28256,24948,24948,3038053,25408.24759573461,18245.982460676965,62.13017403974753,7162.265135057645,2713.364266109015,31638835.0
2000-01-07,21971,21971,21971,21971,136878,24879.440273313903,18521.909685812007,55.80083094320204,6357.530587501897,2733.4924858388276,31501957.0
2000-01-10,21971,23153,19373,22208,7924593,24468.44946203484,18794.953412788895,56.183521489259384,5673.496049245947,2813.000688775052,39426550.0
2000-01-11,24854,24854,23720,24854,1678709,24527.764929414097,19243.771678508234,60.314833648482534,5283.9932509058635,2800.3702650708037,41105259.0
2000-01-12,21877,27736,21877,23342,8844402,24345.33955565808,19547.34414676688,57.00713172763709,4797.995408891198,3030.7293317717526,32260857.0
