Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2005-07-19,4688,5388,4555,5388,713289,,,,,,713289.0
2005-07-20,5381,5381,4583,4583,604099,,,,,,109190.0
2005-07-21,4513,4604,4009,4016,261090,,,,,,-151900.0
2005-07-22,4093,4093,3869,3904,99930,,,,,,-251830.0
2005-07-25,3848,4163,3848,3953,87232,,,,,,-164598.0
2005-07-26,4079,4114,3890,3890,56927,,,,,,-221525.0
2005-07-27,3890,4044,3869,3953,63810,,,,,,-157715.0
2005-07-28,3974,4009,3813,3813,59501,,,,,,-217216.0
2005-07-29,3813,3813,3673,3722,82788,,,,,,-300004.0
2005-08-01,3771,3799,3694,3764,40559,,,,,,-259445.0
2005-08-02,3743,3743,3645,3708,59836,,,,,,-319281.0
2005-08-03,3652,3722,3519,3519,45168,4017.75,,,,,-364449.0
2005-08-04,3533,3659,3533,3603,25907,3953.9423076923076,,,,,-338542.0
2005-08-05,3512,3533,3450,3499,25701,3883.951183431953,,,,,-364243.0
2005-08-08,3394,3568,3394,3492,13666,3823.651001365499,,13.083130392144906,,218.97176654458855,-377909.0
2005-08-09,3401,3638,3401,3446,36250,3765.550847309268,,12.572571559053491,,220.89096204274233,-414159.0
2005-08-10,3397,3512,3394,3485,42228,3722.3891784924576,,15.58050574244973,,210.30837537746575,-371931.0
2005-08-11,3533,3533,3450,3499,21403,3688.021612570541,,16.68859109945863,,197.61332572518052,-350528.0
2005-08-12,3505,3533,3184,3401,29620,3643.8644414058426,,15.18595032884108,,212.29411246598687,-380148.0
2005-08-16,3380,3383,3289,3359,19697,3600.039142728021,,14.580048369012907,,202.81032930604067,-399845.0
2005-08-17,3282,3408,3208,3208,20316,3539.7254284621713,,12.629102535223266,,202.55059334566855,-420161.0
2005-08-18,3205,3233,3107,3110,26817,3473.6138240833757,,11.549001240213986,,195.62111521362482,-446978.0
2005-08-19,3030,3114,2869,2939,93444,3391.3655434551642,,9.949933398874428,,200.0072243776915,-540422.0
2005-08-22,2974,3054,2953,3009,28306,3332.540075231293,,15.130314014608462,,192.5855220846614,-512116.0
2005-08-23,3044,3058,2911,2946,34268,3273.0723713495554,,14.331237237344686,,188.6678055820004,-546384.0
2005-08-24,2925,2970,2872,2960,38805,3224.9073911419314,3621.8846153846152,15.400490496275285,-396.97722424268386,180.98709633127987,-507579.0
2005-08-25,2911,2956,2893,2939,25148,3180.921638658557,3571.30056980057,15.096122186540663,-390.3789311420128,171.4575396707046,-532727.0
2005-08-26,2904,2974,2869,2928,52067,3142.0106173264717,3523.648675741268,14.92967619457168,-381.63805841479643,165.96837442445448,-584794.0
2005-08-29,2897,2911,2788,2816,59041,3091.8551377377835,3471.230255315989,13.319392559489028,-379.3751175782054,163.84716527894236,-643835.0
2005-08-30,2816,2848,2778,2834,24748,3052.1851165473554,3424.0280141814715,14.907868205191035,-371.84289763411607,156.25914377767745,-619087.0
2005-08-31,2774,2865,2774,2799,22440,3013.2335601554546,3377.729642760622,14.356933017333727,-364.49608260516743,151.03188436818482,-641527.0
2005-09-01,2820,2925,2820,2925,58294,2999.659166285385,3344.1941136672426,25.08974294238146,-344.5349473818578,149.04406694337976,-583233.0
2005-09-02,2918,3068,2904,2974,38105,2995.7116022414793,3316.772327469669,28.825314023659548,-321.06072522818977,150.22233287432223,-545128.0
2005-09-05,2988,2995,2939,2942,17819,2987.4482788197133,3289.011414323768,27.848621199682924,-301.56313550405457,142.85345137935877,-562947.0
2005-09-06,2995,2995,2935,2946,37786,2981.0716205397575,3263.603161410896,28.17622345500623,-282.53154087113853,136.41732950174497,-525161.0
2005-09-07,2974,3135,2974,3054,98998,2992.2913712259488,3248.0770013063852,36.55274198742136,-255.78563008043648,140.47661354283943,-426163.0
2005-09-08,3072,3212,3058,3177,66443,3020.7080833450336,3242.812038246653,44.49259208639578,-222.10395490161955,141.82162614368468,-359720.0
2005-09-09,3222,3222,3079,3079,28224,3029.6760705227207,3230.677813191345,40.17841567094695,-201.0017426686245,141.91159334029237,-387944.0
