Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2007-07-20,1690,1943,1531,1943,13695426,,,,,,13695426.0
2007-07-23,2049,2233,2033,2233,3106184,,,,,,16801610.0
2007-07-24,2566,2566,2233,2323,10050691,,,,,,26852301.0
2007-07-25,2270,2429,2101,2228,5385871,,,,,,21466430.0
2007-07-26,2344,2561,2286,2482,8120919,,,,,,29587349.0
2007-07-27,2439,2561,2112,2186,4267150,,,,,,25320199.0
2007-07-30,2112,2165,2001,2112,2083097,,,,,,23237102.0
2007-07-31,2123,2207,2038,2049,1714006,,,,,,21523096.0
2007-08-01,2006,2117,1742,1764,2643835,,,,,,18879261.0
2007-08-02,1837,1869,1610,1742,2011212,,,,,,16868049.0
2007-08-03,1790,1954,1716,1827,2558920,,,,,,19426969.0
2007-08-06,1748,1790,1558,1558,4900492,2037.25,,,,,14526477.0
2007-08-07,1584,1605,1331,1368,8875085,1934.2884615384617,,,,,5651392.0
2007-08-08,1373,1452,1352,1362,2902680,1846.2440828402368,,,,,2748712.0
2007-08-09,1431,1563,1420,1563,2884934,1802.668070095585,,38.39508852792292,,257.3553491194757,5633646.0
2007-08-10,1637,1795,1621,1795,8784896,1801.4883670039567,,47.793037672127994,,254.6561455616469,14418542.0
2007-08-13,1880,1927,1642,1668,6472206,1780.951695157194,,43.849526460552916,,257.7770850783657,7946336.0
2007-08-14,1716,1816,1510,1521,4584460,1740.959126671472,,39.760084566232976,,262.5858205405294,3361876.0
2007-08-16,1415,1436,1294,1294,2219735,1672.1961841066302,,34.421542512897084,,259.13487054869773,1142141.0
2007-08-17,1246,1304,1104,1135,3552841,1589.5506173209947,,31.25589034774026,,253.54309376653086,-2410700.0
2007-08-20,1204,1304,1193,1304,3736383,1545.6197531177645,,37.80336762382944,,245.72946082142312,1325683.0
2007-08-21,1288,1373,1236,1320,4406458,1510.9090218688777,,38.401539960591826,,235.8871018253437,5732141.0
2007-08-22,1315,1352,1283,1288,1833608,1476.6153261967427,,37.622215161977905,,221.06325455039186,3898533.0
2007-08-23,1352,1478,1325,1478,6946913,1476.8283529357054,,44.786946755163356,,218.35122355286967,10845446.0
2007-08-24,1505,1547,1410,1478,5388835,1477.0086063302124,,44.786946755163356,,211.35972676946486,10845446.0
2007-08-27,1521,1542,1457,1473,3021941,1476.3918976640257,1711.3076923076924,44.630492482956,-234.9157946436667,200.65546061802488,7823505.0
2007-08-28,1505,1616,1447,1447,5232330,1471.8700672541754,1691.7293447293448,43.77416116047455,-219.8592774751694,198.00899873518722,2591175.0
