Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2011-05-13,6161,6161,5242,5242,452573,,,,,,452573.0
2011-05-16,4465,4465,4465,4465,514202,,,,,,-61629.0
2011-05-17,3939,4057,3796,3796,12942983,,,,,,-13004612.0
2011-05-18,3882,3896,3706,3730,6528294,,,,,,-19532906.0
2011-05-19,3739,3763,3194,3280,6521059,,,,,,-26053965.0
2011-05-20,3299,3431,3171,3266,2949781,,,,,,-29003746.0
2011-05-23,3318,3384,3128,3270,3426809,,,,,,-25576937.0
2011-05-24,3190,3370,3157,3157,2935668,,,,,,-28512605.0
2011-05-25,3204,3213,2929,2938,3303309,,,,,,-31815914.0
2011-05-26,2938,2986,2792,2796,2940025,,,,,,-34755939.0
2011-05-27,2820,2863,2744,2801,1961887,,,,,,-32794052.0
2011-05-30,2829,2891,2749,2749,1674700,3457.5,,,,,-34468752.0
2011-05-31,2773,2782,2649,2692,1509640,3339.730769230769,,,,,-35978392.0
2011-06-01,2711,2915,2664,2834,2187722,3261.9260355029583,,,,,-33790670.0
2011-06-02,2763,2905,2730,2877,1739435,3202.70664542558,,12.917523991193276,,262.11459070657764,-32051235.0
2011-06-03,2910,2934,2782,2801,1412833,3140.9056230524143,,12.203832787139133,,250.39234252914048,-33464068.0
2011-06-07,2806,3119,2806,3071,2126318,3130.1509118135814,,27.523901968962427,,257.3459551712741,-31337750.0
2011-06-08,3057,3090,2938,3033,1007882,3115.204617688415,,26.81471162134046,,246.84097364432063,-32345632.0
2011-06-09,2981,3052,2905,2938,676659,3087.9423688132742,,25.07522031258063,,237.15885301456228,-33022291.0
2011-06-10,2976,2976,2773,2777,1142846,3040.1050813035395,,22.42070436517966,,233.92880144904842,-34165137.0
2011-06-13,2735,2782,2564,2635,839503,2977.781222641456,,20.372248128185095,,232.45663143215657,-35004640.0
2011-06-14,2621,2725,2621,2664,462874,2929.5071883889245,,21.94078932718879,,220.82853843481473,-34541766.0
2011-06-15,2654,2711,2630,2697,409346,2893.7368517137056,,23.780701317129942,,208.40818434054373,-34132420.0
2011-06-16,2664,2758,2659,2673,517909,2859.777336065443,,23.349643881854007,,198.85611416602842,-34650329.0
2011-06-17,2635,2668,2555,2607,1138833,2820.8885151322975,,22.160050328613472,,191.90716813397503,-35789162.0
2011-06-20,2645,2649,2593,2616,361634,2789.3672051119443,3092.5,22.738102408768093,-303.13279488805574,180.39411301120845,-35427528.0
2011-06-21,2630,2635,2593,2616,440896,2762.6953274024145,3057.203703703704,22.738102408768096,-294.50837630128945,168.8240793505786,-35427528.0
