Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2016-11-10,133421,146268,124032,142315,7264007,,,,,,7264007.0
2016-11-11,147751,184318,140339,159610,8236911,,,,,,15500918.0
2016-11-14,163070,175423,163070,173447,3012422,,,,,,18513340.0
2016-11-15,176906,179376,160599,164058,2623646,,,,,,15889694.0
2016-11-16,166529,170976,161587,168011,1680639,,,,,,17570333.0
2016-11-17,174435,175423,165540,165540,923060,,,,,,16647273.0
2016-11-18,165046,166034,155657,166034,1327987,,,,,,17975260.0
2016-11-21,165540,169988,162081,167023,649726,,,,,,18624986.0
2016-11-22,168011,171964,167023,168999,574968,,,,,,19199954.0
2016-11-23,170482,170482,163070,164058,464520,,,,,,18735434.0
2016-11-24,163070,163564,153681,153681,847813,,,,,,17887621.0
2016-11-25,152198,161587,151210,160105,710685,162740.08333333334,,,,,18598306.0
2016-11-28,159116,163564,157140,159610,416201,162258.53205128206,,,,,18182105.0
2016-11-29,155657,157140,149233,155163,904503,161166.9117357002,,,,,17277602.0
2016-11-30,154175,156646,148739,152198,2473867,159787.07916097713,,47.111939804010746,,10948.810721660491,14803735.0
2016-12-01,151704,152198,142315,142809,862375,157175.06698236524,,38.547958028445564,,10835.349846863528,13941360.0
2016-12-02,142809,144292,137374,140339,710865,154584.90283123212,,36.65997035275366,,10432.440850489094,13230495.0
2016-12-05,141821,144786,140339,140339,411777,152393.22547258102,,36.65997035275365,,9835.579343439927,13230495.0
2016-12-06,140833,146268,140833,144292,414504,151146.88309218394,,41.93819130019011,,9456.73715999274,13644999.0
2016-12-07,144786,150222,144786,148739,349765,150776.43953954027,,47.2623954706834,,9123.249882772569,13994764.0
2016-12-08,150716,152692,145280,148739,364023,150462.98730268792,,47.2623954706834,,8965.092925584931,13994764.0
2016-12-09,148739,148739,142809,143304,291657,149361.60464073592,,41.8259865114606,,8690.351618726707,13703107.0
2016-12-12,143304,146268,140833,141327,318519,148125.51161908425,,40.02258142289586,,8401.193051680733,13384588.0
2016-12-13,141821,143798,139350,143798,243537,147459.7406007636,,43.31250008540559,,8056.052716241795,13628125.0
2016-12-14,145280,145280,140833,141821,188138,146592.24204679995,,41.357828815589706,,7745.883067221772,13439987.0
2016-12-15,140833,142315,139350,140833,204755,145706.20480883072,153699.6923076923,40.37714051406883,-7993.487498861592,7340.881837013181,13235232.0
2016-12-16,141327,142809,139844,142809,235264,145260.48099208754,152892.97435897434,43.27427082321852,-7632.493366886803,6975.049078324371,13470496.0
2016-12-19,142315,149233,141327,148245,358416,145719.6377625356,152548.6799620133,50.41270325933624,-6829.042199477699,7051.942437159907,13828912.0
2016-12-20,149727,151704,148245,149727,269369,146336.1550298378,152339.66663149378,52.179514627453166,-6003.511601655977,6758.455358129456,14098281.0
2016-12-21,150716,151210,146268,146268,148885,146325.66964063197,151889.9135476794,47.890512351326095,-5564.243907047436,6611.585686865482,13949396.0
2016-12-22,146268,147257,142315,142315,157078,145708.6435420732,151180.66069229576,43.49088932941108,-5472.017150222557,6477.851822361316,13792318.0
2016-12-23,142315,144786,142315,142315,87537,145186.5445356004,150523.94508545904,43.49088932941108,-5337.400549858634,6159.662038725811,13792318.0
2016-12-26,143304,143798,142315,142315,63735,144744.76845320035,149915.87507912875,43.490889329411075,-5171.106625928398,5791.222869474285,13792318.0
2016-12-27,142315,145280,142315,143798,109056,144599.1117680926,149462.69914734142,45.82300085482344,-4863.587379248813,5570.191392453967,13901374.0
2016-12-28,145774,153187,145280,150222,320528,145464.17149607837,149518.94365494576,54.56938458589885,-4054.7721588673885,5866.8394767070995,14221902.0
2016-12-29,149233,150716,147751,149233,127368,146043.99126591248,149497.7626434683,53.14683813567295,-3453.7713775558223,5642.822884054089,14094534.0
2017-01-02,149727,156151,149233,154669,245113,147370.91568654132,149880.81726247063,59.4101331301332,-2509.9015759293106,5740.699472774525,14339647.0
2017-01-03,154669,156151,152692,156151,165592,148721.6978886119,150345.27524302836,60.94304023077114,-1623.577354416455,5566.494907757576,14505239.0
2017-01-04,157634,159116,152692,152692,182276,149332.51359805622,150519.10670650774,55.65950519094313,-1186.5931084515178,5631.643688793806,14322963.0
2017-01-05,154175,156151,154175,155657,97145,150305.51150604757,150899.69139491458,58.94517208069554,-594.1798888670164,5467.32454406986,14420108.0
2017-01-06,156151,156646,153681,155657,89148,151128.8174281941,151252.0846249209,58.945172080695535,-123.26719672681065,5278.863306028521,14420108.0
2017-01-09,155657,156151,151210,152692,126358,151369.3070546258,151358.7450230749,54.28035081070887,10.562031550885877,5253.51580909909,14293750.0
2017-01-10,152198,152198,148739,149233,158556,151040.64443083722,151201.28242877306,49.37156368649789,-160.63799793584622,5156.296736486269,14135194.0
2017-01-11,149727,159116,149727,157140,357202,151979.00682609304,151641.18743404912,58.59044070805093,337.81939204392256,5508.466651939718,14492396.0
2017-01-12,155657,156646,152692,155163,153538,152468.85192977104,151902.06243893437,55.85200896502665,566.7894908366725,5429.69748101658,14338858.0
2017-01-13,153187,156151,150716,151210,187323,152275.18240211398,151850.79855456884,50.744929263965176,424.3838475451339,5430.090221643337,14151535.0
2017-01-16,152198,152692,149233,149727,127020,151883.1543402503,151693.4801431193,48.93704510689162,189.67419713101117,5284.482019412383,14024515.0
2017-01-17,149233,152198,148245,150222,112262,151627.59213405795,151584.48161399935,49.58270853760742,43.11052005860256,5186.362636643344,14136777.0
2017-01-18,151210,151704,150222,151210,74543,151563.34719035673,151556.74223518456,50.916751971425704,6.604955172166228,4913.997714040854,14211320.0
2017-01-19,153681,154669,150222,150716,97539,151432.986084148,151494.4650325783,50.20149549066672,-61.47894843030372,4879.733346029484,14113781.0
2017-01-20,150716,153681,150222,153187,80698,151702.83437889445,151619.83799312808,53.70472250521432,82.9963857663679,4775.694022763756,14194479.0
2017-01-23,154175,154669,152198,153681,90566,152007.16755137223,151772.51666030378,54.39543793375234,234.6508910684497,4607.2262351934505,14285045.0
2017-01-24,153681,154175,150716,153187,113610,152188.6802357765,151877.293203985,53.53526240234438,311.3870317914989,4523.433419946889,14171435.0
2017-01-25,154175,154669,150716,153187,142352,152342.2678918109,151974.30852220833,53.53526240234437,367.95936960255494,4481.869852975753,14171435.0
2017-01-26,154669,162081,153681,159116,412014,153384.38052384,152503.32270574846,61.91772081681331,881.0578180915327,4802.89096007114,14583449.0
2017-01-31,160105,162081,158622,159116,231698,154266.16813555692,152993.1506534708,61.91772081681332,1273.017482086114,4705.2410162892975,14583449.0
2017-02-01,160105,161093,157634,161093,139852,155316.44996085585,153593.13949395443,64.40129268697278,1723.3104669014283,4614.798087047944,14723301.0
2017-02-02,161587,170976,160599,169493,604916,157497.45765918572,154770.9069388467,72.5828127241842,2726.55072033903,5032.498108473942,15328217.0
2017-02-03,171470,174435,169493,170976,404150,159571.07955777252,155971.2842026358,73.73068879980295,3599.79535513671,5025.944885435937,15732367.0
2017-02-06,169988,170482,165046,166529,254506,160641.52885657674,156753.3372246628,64.94940622594083,3888.191631913942,5091.345693200245,15477861.0
2017-02-07,166529,170482,165046,169493,215270,162003.29364787263,157697.01594876184,67.70982992419486,4306.277699110797,5116.255798616613,15693131.0
2017-02-08,169493,169988,159610,161093,378498,161863.24847127683,157948.5703229276,54.58875714669624,3914.678148349223,5496.229790800527,15314633.0
2017-02-09,161093,164058,158622,159116,221970,161440.59486031116,158035.04659530334,52.033061868237716,3405.5482650078193,5491.883744744535,15092663.0
2017-02-10,158128,159116,154175,156151,713096,160626.8110356479,157895.48758824382,48.375168301044,2731.32344740408,5452.1621784401805,14379567.0
2017-02-13,154175,157634,153681,156151,179304,159938.22472247132,157766.26628541094,48.375168301044,2171.9584370603843,5344.137923158651,14379567.0
2017-02-14,156151,157634,154669,154669,152618,159127.57476516804,157536.83915315827,46.48099390900735,1590.7356120097684,5172.813333955295,14226949.0
2017-02-15,154175,159610,154175,158622,131970,159049.79403206529,157617.22143810953,51.89200050999777,1432.5725939557597,5191.682717826267,14358919.0
2017-02-16,159116,160599,156646,157140,134142,158755.9795655937,157581.87170195326,49.856830190809696,1174.1078636404418,5102.583798522319,14224777.0
2017-02-17,153681,158622,153187,158622,195284,158735.36732473315,157658.91824254932,51.88886270730027,1076.4490821838262,5126.482629751564,14420061.0
2017-02-20,157634,159610,157140,159116,77105,158793.92619785113,157766.8502245827,52.578714222656096,1027.0759732684237,4935.585568566297,14497166.0
2017-02-21,159116,164058,158622,163564,165900,159527.78370587403,158196.26872646547,58.36723700091049,1331.5149794085592,4971.530230105664,14663066.0
2017-02-22,164552,165046,162081,163070,107899,160072.74005881647,158557.2858578384,57.52735994180934,1515.4542009780707,4827.459396324838,14555167.0
2017-02-23,163070,166034,163070,166034,146272,160989.85697284472,159111.11653503554,61.14046140149535,1878.7404378091742,4693.710997235884,14701439.0
2017-02-24,165540,166034,163070,163564,85064,161385.87897702245,159440.95975466253,56.80383513802609,1944.9192223599239,4569.605189692637,14616375.0
2017-02-27,165046,165540,162081,164552,90391,161872.97451901902,159819.55532839126,58.08452036148334,2053.4191906277556,4489.945442350843,14706766.0
2017-02-28,165046,166034,160599,162575,153293,161980.97843916994,160023.66234110302,54.59636858422547,1957.31609806692,4557.710649015519,14553473.0
2017-03-02,163070,164058,159116,159610,152889,161616.2125254515,159993.0206862065,49.76914050793044,1623.1918392450025,4585.258528182941,14400584.0
2017-03-03,159610,161093,158622,160105,74477,161383.71829076664,160001.3154501912,50.55513667304671,1382.4028405754361,4433.736264590674,14475061.0
2017-03-06,160599,163564,160105,162575,95108,161566.99239987947,160191.95875017703,54.390296800795326,1375.03364970244,4363.896621886156,14570169.0
2017-03-07,162575,166034,161587,166034,139462,162254.22433835955,160624.7025464602,59.16683895124811,1629.521791899344,4369.849644085599,14709631.0
2017-03-08,167023,169988,166034,168011,274449,163139.8821324581,161171.83569116687,61.639590024850314,1968.046441291226,4340.066813028783,14984080.0
2017-03-09,168011,168999,166034,166034,110886,163585.13103515684,161531.99601033967,57.86583009815085,2053.1350248171657,4241.604360154171,14873194.0
2017-03-10,166034,168999,165046,168999,151098,164418.033952825,162085.10741698116,61.65723896640176,2332.9265358438424,4220.942335652858,15024292.0
2017-03-13,168011,170976,167517,170976,139470,165426.95180623655,162743.69205276034,63.98438516338048,2683.259753476217,4166.401633362008,15163762.0
2017-03-14,170482,172953,168011,168999,134825,165976.49768220016,163207.04819700032,60.05882362865213,2769.449485199846,4221.9113808048905,15028937.0
