Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2023-05-31,16600,21580,16600,21580,750965,,,,,,750965.0
2023-06-01,28040,28040,28040,28040,506180,,,,,,1257145.0
2023-06-02,34000,34980,30300,30300,11941920,,,,,,13199065.0
2023-06-05,30480,32380,28420,32380,7093055,,,,,,20292120.0
2023-06-07,33160,42000,33140,42000,12706325,,,,,,32998445.0
2023-06-08,44000,48600,41400,45600,11761845,,,,,,44760290.0
2023-06-09,44400,48400,42500,47700,3289230,,,,,,48049520.0
2023-06-12,50000,62000,48700,62000,5689585,,,,,,53739105.0
2023-06-13,66700,80600,66500,80600,9602070,,,,,,63341175.0
2023-06-14,80600,80600,80600,80600,0,,,,,,63341175.0
2023-06-15,86600,90000,72600,84000,8332430,,,,,,71673605.0
2023-06-16,84000,84000,84000,84000,0,53233.333333333336,,,,,71673605.0
2023-06-19,82600,87300,78000,87300,2759515,58474.35897435898,,,,,74433120.0
2023-06-20,83400,86200,80600,80600,1927865,61878.30374753452,,,,,72505255.0
2023-06-21,80700,83000,70200,71500,4454765,63358.56470945229,,71.11240808680475,,8742.206767113563,68050490.0
2023-06-22,68600,69900,60000,62800,5615270,63272.631677228856,,60.43628074229616,,9035.78763128891,62435220.0
2023-06-23,64000,71900,63100,67700,4303720,63953.765265347494,,63.73828905599574,,9042.392030192143,66738940.0
2023-06-26,67700,70300,62500,67600,2845455,64514.72445529403,,63.62158816809086,,8918.502078222145,63893485.0
2023-06-27,66600,66700,63000,63400,1436080,64343.228385248796,,58.755745382583044,,8499.713513417444,62457405.0
2023-06-28,65600,65600,60100,61000,1642365,63828.88555674898,,56.114694291484845,,8216.061444480105,60815040.0
2023-06-29,60000,60200,54300,55100,2326715,62485.98008647991,,50.14711904672492,,8075.944172664735,58488325.0
2023-06-30,53800,65000,51400,65000,4851760,62872.75238086762,,58.18313266064359,,8575.990251770332,63340085.0
2023-07-03,64600,67500,62300,66600,2727400,63446.17509150338,,59.32431425314956,,8276.11588552755,66067485.0
2023-07-04,66900,67000,62800,65500,1690245,63762.148154349015,,58.14940075793118,,7920.243560137106,64377240.0
2023-07-05,64300,64400,62000,62300,1278830,63537.202284449166,,54.752233115147945,,7540.358448606115,63098410.0
2023-07-06,59600,66400,58800,62500,1812345,63377.63270222622,60680.769230769234,54.92945983480883,2696.8634714569853,7545.410841928948,64910755.0
2023-07-07,62100,62800,60800,62000,711920,63165.689209576034,60778.49002849003,54.35625967144841,2387.1991810860054,7081.803043106295,64198835.0
2023-07-10,61000,61700,59400,59400,755040,62586.3524081028,60676.37965600929,51.355207845285,1909.972752093512,6711.62145608613,63443795.0
2023-07-11,60800,64800,60400,63000,1567330,62649.99049916391,60848.49968149008,55.05532922069185,1801.4908176738318,6604.482542320323,65011125.0
2023-07-12,64400,64600,61000,62400,720920,62611.53042236946,60963.42563100933,54.31380847163257,1648.1047913601287,6361.554819745657,64290205.0
2023-07-13,61500,66400,61000,66300,1313870,63178.98728046647,61358.72743611975,58.25001856460314,1820.2598443467214,6284.534249319819,65604075.0
2023-07-14,65300,69500,64000,68200,1704415,63951.450775779325,61865.48836677755,60.05562312285277,2085.962409001775,6222.233272365147,67308490.0
2023-07-17,66800,69300,62600,68300,1007585,64620.458348736356,62342.11885812736,60.153299558467616,2278.339490608996,6259.872933894712,68316075.0
2023-07-18,67400,68700,66600,68300,1124250,65186.54167969999,62783.44338715497,60.15329955846762,2403.0982925450226,5934.540183697759,68316075.0
2023-07-19,73500,74400,69400,72700,2672520,66342.45834436153,63518.0031362546,64.57388440864239,2824.455208106927,5947.393233580895,70988595.0
2023-07-20,70200,71100,67200,67600,1004645,66535.92629138283,63820.373274309815,56.71934447624768,2715.5530170730126,5912.855310802157,69983950.0
2023-07-21,65700,67000,64300,65500,983540,66376.55301578547,63944.790068805385,53.81656771147737,2431.7629469800813,5712.30484495437,69000410.0
2023-07-24,63500,65300,61600,62000,1385705,65703.23716720309,63800.73154519017,49.28899120458839,1902.505622012919,5573.937903575591,67614705.0
2023-07-25,60100,65000,59400,59900,1797225,64810.43144917184,63511.788467768674,46.74774689362772,1298.6429814031653,5575.917966234879,65817480.0
2023-07-26,59300,59500,51000,54200,2694220,63178.05738006848,62822.02635904507,40.62519845571827,356.03102102340927,5827.32150727467,63123260.0
2023-07-27,56200,62200,53000,54300,2351950,61812.20239851948,62190.76514726395,40.77175669040162,-378.56274874446535,6081.332988623377,65475210.0
2023-07-28,53300,55200,51000,53800,1027385,60579.55587567033,61569.22698820736,40.236960981682785,-989.6711125370275,5940.189865645874,64447825.0
2023-07-31,53300,58400,53000,56900,917860,60013.47035633644,61223.35832241423,45.04952290082034,-1209.8879660777893,5899.808382079506,65365685.0
2023-08-01,58200,59000,53400,54100,745995,59103.70568613083,60695.70215038354,41.77714511329137,-1591.996464252712,5877.4707216250845,64619690.0
2023-08-02,52000,53900,50200,50300,750445,57749.289426726085,59925.65013924402,37.76753513003063,-2176.3607125179333,5730.588470323475,63869245.0
2023-08-03,50300,50900,47900,48800,779960,56372.475668768224,59101.52790670743,36.28703908920636,-2729.052237939206,5528.342513146617,63089285.0
2023-08-04,48100,49500,46400,46900,689140,54915.17171972696,58197.7110247291,34.44514903855849,-3282.5393050021376,5348.9562101465035,62400145.0
2023-08-07,45200,45600,40500,41300,1550245,52820.529916692045,56946.02872660101,29.665623756833277,-4125.498809908968,5426.409578964183,60849900.0
2023-08-08,40400,44400,39940,42400,1236505,51217.37146797019,55868.545117223155,31.67124779588925,-4651.173649252967,5355.353881670088,62086405.0
2023-08-09,41200,48000,40800,43300,1532490,49999.31431905169,54937.54177520663,33.3459701050968,-4938.227456154935,5490.698513022335,63618895.0
2023-08-10,43300,44200,41000,41500,582320,48691.727500736044,53942.16831037651,31.673896145966335,-5250.440809640466,5322.952240460568,63036575.0
2023-08-11,41900,45000,40800,44400,942585,48031.46173139204,53235.3410281264,37.14253408933368,-5203.879296734362,5240.867036251704,63979160.0
2023-08-14,47000,51400,45100,48200,1754250,48057.39069579326,52862.352803820744,43.52144284658649,-4804.962108027481,5369.241305108801,65733410.0
2023-08-16,47300,47300,42500,43600,817040,47371.638281055835,52176.25259613032,38.436435905312216,-4804.614315074483,5393.3414203644525,64916370.0
2023-08-17,42400,44400,41600,43400,692130,46760.61700704724,51526.15981123178,38.227304723814456,-4765.542804184537,5204.653121039644,64224240.0
2023-08-18,43400,43600,40700,42000,505220,46028.21439057843,50820.51834373313,36.721133043947354,-4792.3039531546965,5037.192177858468,63719020.0
