Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1996-12-26,182300,182300,182300,182300,0,,,,,,0.0
1996-12-27,182300,182300,182300,182300,0,,,,,,0.0
1997-01-03,182292,183203,182292,182292,15983,,,,,,-15983.0
1997-01-04,182292,182292,182292,182292,30477,,,,,,-15983.0
1997-01-06,182292,182292,182292,182292,47856,,,,,,-15983.0
1997-01-07,182292,182292,182292,182292,31108,,,,,,-15983.0
1997-01-08,182292,182292,182292,182292,22636,,,,,,-15983.0
1997-01-09,182292,183203,182292,182292,22343,,,,,,-15983.0
1997-01-10,182292,183203,182292,182292,235273,,,,,,-15983.0
1997-01-11,183203,183203,182292,182292,7637,,,,,,-15983.0
1997-01-13,182292,183203,182292,182292,10357,,,,,,-15983.0
1997-01-14,183203,191407,182292,190495,43877,182976.91666666666,,,,,27894.0
1997-01-15,190495,195964,186849,190495,29835,184133.54487179487,,,,,27894.0
1997-01-16,190495,198698,183203,190495,211181,185112.2302761341,,,,,27894.0
1997-01-17,191407,194141,186849,187761,23948,185519.733310575,,70.58283289651376,,4385.78187445788,3946.0
1997-01-18,191407,193230,189584,191407,17227,186425.4666474096,,79.31238832509109,,4501.095854343967,21173.0
1997-01-20,192318,205990,192318,205990,35556,189435.39485550043,,90.91940350058256,,5538.044311761388,56729.0
1997-01-21,214193,222396,207813,212370,176244,192963.7956469619,,92.8179357165269,,6621.784770092979,232973.0
1997-01-22,209636,217839,205990,207813,36209,195248.28862435237,,79.9587715844,,7128.69617696655,196764.0
1997-01-23,207813,211459,198698,204167,34920,196620.3980667597,,71.43180120041492,,7661.285247603177,161844.0
1997-01-24,200521,207813,196875,204167,18501,197781.41374879665,,71.43180120041494,,7964.125434783365,161844.0
1997-01-25,206901,217839,206901,213282,15787,200166.11932590485,,78.17887135978312,,8480.811070406271,177631.0
1997-01-27,216016,216927,205079,208724,95018,201482.71635268873,,69.35764373887561,,8779.903653908887,82613.0
1997-01-28,206901,225131,205079,224219,47062,204980.6061445828,,78.31530876752194,,9764.03346065735,129675.0
1997-01-29,221485,230599,220573,224219,34157,207940.35904541623,,78.31530876752194,,9786.547420954254,129675.0
1997-01-30,224219,226954,218750,223308,19230,210304.61149996758,195543.84615384616,76.78477146214615,14760.765346121421,9652.485649658442,110445.0
1997-01-31,223308,226042,221485,222396,26936,212164.82511535718,197532.8945868946,75.20032304136203,14631.930528462573,9226.492526099568,83509.0
1997-02-01,222396,222396,217839,218750,5923,213177.92894376378,199104.5320249024,69.06460944185048,14073.39691886137,8840.808430376279,77586.0
1997-02-03,218750,223308,216927,218750,8639,214035.1706447232,200559.75187490965,69.06460944185046,13475.41876981355,8639.880638230445,77586.0
1997-02-04,219662,232422,218750,226954,20639,216022.6828532273,202514.8813656571,74.49518545960636,13507.801487570221,9046.753129269944,98225.0
1997-02-05,228776,230599,223308,225131,18836,217423.96241426928,204190.14941264543,71.49192508520898,13233.813001623843,8906.117249997777,79389.0
1997-02-06,225131,225131,219662,223308,5336,218329.19896592014,205606.28649319021,68.51718532952795,12722.91247272992,8633.170896453275,74053.0
1997-02-10,223308,229688,223308,229688,15997,220076.70681731706,207390.11712332428,72.7851143940178,12686.589693992777,8455.660439978823,90050.0
1997-02-11,226042,227865,224219,227865,7779,221274.90576849904,208906.77511418913,69.87045452389172,12368.130654309905,8222.081561420859,82271.0
1997-02-12,223308,236980,223308,236980,28085,223691.07411180687,210986.27325387884,75.21477877646578,12704.800857928029,8645.435552229847,110356.0
1997-02-13,236980,255209,228776,255209,24132,228539.9857869135,214262.03079062855,82.06600284905157,14277.954996284941,10018.602335289466,134488.0
1997-02-14,258855,275261,257032,275261,43663,235727.83412738834,218780.4729542857,86.48996482922462,16947.361173102632,10788.718677887879,178151.0
1997-02-15,282553,297136,280730,297136,9148,245175.2442616363,224584.58606878307,89.52553994238207,20590.65819285324,11635.140758630021,187299.0
1997-02-17,297136,316277,287110,297136,37292,253169.20668292305,229958.76487850284,89.52553994238205,23210.441804420203,12967.120322608085,187299.0
1997-02-18,297136,298959,273438,273438,24306,256287.48257785797,233179.4489615767,69.81614227304564,23108.03361628126,13916.5823914214,162993.0
1997-02-19,277995,295313,270704,295313,18803,262291.4083351106,237781.93422368215,75.23579893465568,24509.474111428426,14721.876119184748,181796.0
1997-02-20,299870,302605,284376,295313,19989,267371.653206632,242043.49465155753,75.23579893465569,25328.15855507448,14984.990846987112,181796.0
1997-02-21,291667,295313,273438,273438,26566,268304.9373286886,244369.01356625697,62.26886381912821,23935.92376243166,15500.048253796938,155230.0
1997-02-22,270704,281641,260678,278907,11838,269936.02389350574,246927.38293171942,63.94210194661274,23008.640961786325,15907.07343547852,167068.0
1997-02-24,280730,294402,278907,288021,5703,272718.32790988946,249971.35456640687,66.60029367045027,22746.97334348259,15876.46551130408,172771.0
1997-02-25,282553,310808,282553,310808,23346,278578.2774622142,254477.772746673,72.131951031605,24100.504715541174,16793.30398159048,196117.0
1997-02-26,300782,335417,300782,330860,26083,286621.61939110426,260135.7155061787,75.91253543956277,26485.90388492556,18111.304169235802,222200.0
1997-02-27,328126,338152,319922,337240,22198,294409.0625617036,265847.1439872025,76.98247362971321,28561.91857450112,18120.051085440486,244398.0
1997-02-28,339975,344532,328126,328126,164168,299596.2837060569,270460.39258074306,72.05839250702265,29135.89112531382,17994.024711401216,80230.0
1997-03-03,331771,339063,329037,329949,5873,304265.93236666353,274866.95609328063,72.43814799738655,29398.976273382897,17476.239539211638,86103.0
1997-03-04,329949,331771,311719,318100,7190,306394.2504640999,278069.4037900747,66.1455098817971,28324.846674025233,17664.860701644382,78913.0
1997-03-05,319011,319922,298047,300782,13888,305530.82731577684,279751.81832414324,58.18925102092926,25779.0089916336,17972.61211938192,65025.0
1997-03-06,300782,309896,298959,302605,9934,305080.70003642654,281444.64659642894,58.751706483352365,23636.053439997602,17459.182162465364,74959.0
1997-03-07,305339,311719,300782,302605,7213,304699.82310774556,283012.08018187864,58.751706483352365,21687.742925866914,16983.95552666829,74959.0
1997-03-08,303516,307162,296225,296225,2356,303396.0041680924,283990.81498322095,55.70987100356583,19405.189184871444,16543.986556342956,72603.0
1997-03-10,288021,298959,288021,294402,20536,302012.3112191551,284762.0138733527,54.83622903127929,17250.297345802363,16136.64378201573,52067.0
1997-03-11,294402,294402,288021,291667,3235,300420.7248777466,285273.49432717846,53.481171923836236,15147.230550568143,15428.651516677004,48832.0
1997-03-12,291667,309896,291667,309896,11308,301878.45951193944,287097.38363627635,60.489202804076754,14781.075875663082,15631.647808572827,60140.0
1997-03-13,307162,308985,291667,294402,37827,300728.23497164104,287638.46632988553,53.158800583716996,13089.768641755509,15819.729399510987,22313.0
1997-03-14,298047,298959,284376,288021,29323,298773.27574523474,287666.8021573014,50.44737082938076,11106.473587933346,15730.262396436856,-7010.0
