Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1996-07-03,541,541,511,511,389610,,,,,,389610.0
1996-07-04,511,541,487,541,1462338,,,,,,1851948.0
1996-07-05,531,531,508,508,440693,,,,,,1411255.0
1996-07-06,506,506,490,490,334632,,,,,,1076623.0
1996-07-08,497,508,492,497,357143,,,,,,1433766.0
1996-07-09,497,497,492,492,231602,,,,,,1202164.0
1996-07-10,497,501,492,494,258874,,,,,,1461038.0
1996-07-11,494,494,492,492,296970,,,,,,1164068.0
1996-07-12,492,494,492,494,353680,,,,,,1517748.0
1996-07-13,492,492,492,492,166667,,,,,,1351081.0
1996-07-15,494,494,487,487,208225,,,,,,1142856.0
1996-07-16,487,487,487,487,366667,498.75,,,,,1142856.0
1996-07-18,487,490,487,487,512554,496.94230769230774,,,,,1142856.0
1996-07-19,487,492,487,487,165368,495.41272189349115,,,,,1142856.0
1996-07-20,487,490,487,490,65368,494.57999544833865,,39.90127031967412,,8.578106435414877,1208224.0
1996-07-22,487,492,487,487,168831,493.41384230244046,,37.50444447685296,,8.19719913355708,1039393.0
1996-07-23,487,490,487,487,164502,492.42709733283425,,37.50444447685296,,7.662654513158639,1039393.0
1996-07-24,487,487,487,487,198701,491.59215928162894,,37.50444447685296,,6.898543124379774,1039393.0
1996-07-25,487,494,487,492,223810,491.65490400753214,,44.450421238599496,,6.908381947786814,1263203.0
1996-07-26,490,492,487,492,215152,491.70799569868103,,44.45042123859949,,6.727925885769177,1263203.0
1996-07-27,487,487,485,485,50216,490.67599636042246,,37.65516085670031,,6.753071491019154,1212987.0
1996-07-29,485,487,485,487,101732,490.11045845881904,,40.45597967078613,,6.322816106735821,1314719.0
1996-07-30,487,490,485,485,74459,489.3242340805392,,38.58902819052686,,6.205316169804682,1240260.0
1996-07-31,485,485,485,485,435931,488.6589672989178,,38.589028190526854,,5.66355034244634,1240260.0
1996-08-01,485,487,485,487,87446,488.40374156062273,,41.70879892382834,,5.348697051783674,1327706.0
1996-08-02,485,487,485,487,119481,488.18778132052694,492.6923076923077,41.70879892382833,-4.504526371780742,5.065020081128044,1327706.0
1996-08-03,487,487,485,485,95671,487.69735342506124,492.1225071225071,39.38813881903371,-4.4251536974458645,4.808778072435913,1232035.0
1996-08-05,485,485,485,485,67965,487.28237597505176,491.5949140023214,39.38813881903371,-4.312538027269625,4.411589467456897,1232035.0
