Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2000-08-22,3844,3844,3844,3844,921196,,,,,,921196.0
2000-08-23,4037,4306,4037,4306,669968,,,,,,1591164.0
2000-08-24,4815,4815,4306,4517,5719430,,,,,,7310594.0
2000-08-25,4421,4421,3979,3979,2105730,,,,,,5204864.0
2000-08-28,3941,4017,3652,3748,3009450,,,,,,2195414.0
2000-08-29,3796,4190,3652,3989,3319724,,,,,,5515138.0
2000-08-30,3989,4238,3960,4008,1925908,,,,,,7441046.0
2000-08-31,4008,4008,3671,3777,1014700,,,,,,6426346.0
2000-09-01,3710,3892,3710,3739,678167,,,,,,5748179.0
2000-09-04,3652,3719,3546,3575,628169,,,,,,5120010.0
2000-09-05,3508,3691,3460,3595,796473,,,,,,5916483.0
2000-09-06,3527,3652,3498,3518,533250,3882.9166666666665,,,,,5383233.0
2000-09-07,3470,3479,3104,3104,1025327,3763.083333333333,,,,,4357906.0
2000-09-08,3076,3316,2893,3133,1047445,3666.1474358974356,,,,,5405351.0
2000-09-14,2979,3104,2941,3095,531559,3578.2785996055222,,28.90264012701728,,322.4393044711719,4873792.0
2000-09-15,3076,3220,2979,3085,585404,3502.389584281596,,28.699158031051848,,313.7696837398666,4288388.0
2000-09-18,2941,2979,2720,2758,601503,3387.868109776735,,22.9974938505306,,319.03884685146403,3686885.0
2000-09-19,2758,2806,2653,2672,802051,3277.734554426468,,21.77238716676568,,302.4816376439964,2884834.0
2000-09-20,2739,2970,2701,2970,1210220,3230.390776822396,,34.74455726101793,,302.0470289387306,4095054.0
2000-09-21,2970,3085,2710,3085,1680745,3208.0229650035662,,38.95174662279749,,308.9454414318223,5775799.0
2000-09-22,2883,2883,2720,2720,242304,3132.9425088491716,,31.9179472160592,,314.12610996474007,5533495.0
2000-09-25,2595,2739,2403,2480,1211749,3032.489815180068,,28.299332871489753,,316.10616832924705,4321746.0
2000-09-26,2412,2499,2355,2441,595145,2941.491382075442,,27.748792108774783,,300.8187343305432,3726601.0
2000-09-27,2441,2710,2441,2595,1021610,2888.1850156022965,,33.26930851596918,,298.04074486822304,4748211.0
2000-09-28,2691,2730,2518,2537,733452,2834.156551663482,,32.26927231620135,,290.6462206715834,4014759.0
2000-09-29,2547,2633,2451,2557,691183,2791.517082176792,3301.0384615384614,33.01696554926229,-509.52137936166946,281.4425124003675,4705942.0
2000-10-02,2595,2854,2557,2854,1727186,2801.1298387649776,3267.924501424501,43.0678922971306,-466.7946626595235,282.7431504931742,6433128.0
2000-10-04,2835,3018,2739,2768,1561154,2796.0329404934428,3230.893056874538,41.14275653846439,-434.8601163810954,282.43397907785516,4871974.0
2000-10-05,2787,2951,2787,2874,1052636,2808.0278727252207,3204.4565341430907,44.439362647072606,-396.42866141787,274.31178157919373,5924610.0
2000-10-06,2922,3018,2835,2903,664103,2822.638969229033,3182.1264205028615,45.3413549229786,-359.48745127382836,266.9287587688372,6588713.0
2000-10-09,2874,2970,2643,2739,614022,2809.7714355014896,3149.302241206353,41.261787021075214,-339.53080570486327,271.7404670259245,5974691.0
2000-10-10,2739,2854,2557,2672,385681,2788.575830039722,3113.9465196355122,39.690617081801115,-325.3706895957903,273.74636234925555,5589010.0
2000-10-11,2528,2585,2364,2412,413716,2730.641086956688,3061.950481143993,34.24166237804042,-331.30939418730486,276.44494986645867,5175294.0
2000-10-12,2259,2441,2259,2364,349721,2674.2347658864282,3010.2504455036974,33.33187957482826,-336.01567961726914,269.0586580804976,4825573.0
2000-10-13,2307,2326,2114,2182,329394,2598.506340365439,2948.8985606515716,30.069571602254523,-350.39222028613267,267.5781663908006,4496179.0
2000-10-16,2393,2432,2297,2432,576578,2572.8899803092177,2910.609778381085,38.91382877709522,-337.71979807186744,266.2211647469939,5072757.0
2000-10-17,2364,2403,2143,2182,378124,2512.7530602616457,2856.63868368619,34.24907520120124,-343.88562342454406,267.96956084170836,4694633.0
2000-10-18,2114,2374,1961,2162,630773,2458.7910509906233,2805.1839663761016,33.89898009106342,-346.3929153854783,279.0424321243866,4063860.0
2000-10-19,2028,2249,2028,2105,312946,2404.361658530527,2753.3184873852792,32.86779342664124,-348.9568288547521,274.63266973872726,3750914.0
2000-10-20,2249,2297,2172,2172,474750,2368.613711064292,2710.257858690073,35.35697709910993,-341.644147625781,268.38308095996985,4225664.0
2000-10-23,2172,2249,2066,2095,269323,2326.519293977478,2664.6832024908085,33.80560717458383,-338.1639085133306,261.95249976951874,3956341.0
2000-10-24,2066,2143,2018,2105,572266,2292.4394025963275,2623.2251874914896,34.20934404775848,-330.7857848951621,251.67792124783458,4528607.0
2000-10-25,2114,2239,2028,2105,835805,2263.6025714276616,2584.8381365661944,34.20934404775848,-321.2355651385328,248.6370741071363,4528607.0
2000-10-26,2143,2355,2143,2307,2062037,2270.2790989003292,2564.257533857587,42.43476661328948,-293.97843495725783,248.73862088714344,6590644.0
2000-10-27,2451,2576,2403,2576,2239767,2317.313083684894,2565.1273461644323,51.18693515686495,-247.81426247953823,250.24359233679712,8830411.0
2000-10-30,2643,2643,2268,2268,1725190,2309.72645542568,2543.1179131152153,43.105770827207756,-233.3914576895354,259.4839005546084,7105221.0
2000-10-31,2047,2211,1999,2134,876753,2282.691616129421,2512.812882514088,40.13686116627508,-230.1212663846668,260.1868730097907,6228468.0
2000-11-01,2134,2230,2124,2172,750061,2265.662136724895,2487.5674838093405,41.37009168576456,-221.90534708444557,248.8245559899292,6978529.0
2000-11-02,2066,2287,2066,2191,1149683,2254.1756541518344,2465.5995220456853,42.013323746695214,-211.4238678938509,246.77874304395024,8128212.0
2000-11-03,2220,2278,2143,2153,781913,2238.610168897706,2442.4440018941527,41.04346788378022,-203.83383299644674,238.57735817127994,7346299.0
2000-11-06,2095,2239,2095,2172,830124,2228.3624506057513,2422.411112864956,41.767306454469455,-194.04866225920478,231.65152344803687,8176423.0
2000-11-07,2220,2239,2134,2182,577425,2221.2297658971743,2404.602882282367,42.1697416966886,-183.3731163851926,222.39359083878196,8753848.0
2000-11-08,2182,2182,2038,2105,620726,2203.3482634514553,2382.410076187377,39.884119004983546,-179.06181273592165,216.67274988224185,8133122.0
2000-11-09,2124,2355,2124,2355,2188220,2226.679299843539,2380.379700173497,49.46174376927832,-153.70040032995803,219.10107778834913,10321342.0
2000-11-10,2384,2633,2355,2633,2927393,2289.1901767906866,2399.09231497546,57.55909079024353,-109.90213818477332,223.38649018214753,13248735.0
2000-11-13,2787,2941,2710,2941,3492119,2389.468611130581,2439.2336249772775,64.37031380380493,-49.76501384669655,229.53468577419193,16740854.0
2000-11-14,3076,3258,2903,3037,4808868,2489.0888248027995,2483.5126157197014,66.19156833677194,5.576209083098092,238.64002766909772,21549722.0
2000-11-15,3172,3393,2787,2931,7241366,2557.0751594485228,2516.6598293700936,62.39881741214497,40.41533007842918,265.2698248597795,14308356.0
2000-11-16,2979,2989,2605,2624,2750104,2567.3712887641345,2524.610953120457,52.937857437092006,42.760335643677536,273.86741139673217,11558252.0
2000-11-17,2557,2874,2547,2720,2555882,2590.852628954268,2539.0842158522746,55.22409201331322,51.76841310199325,277.7111087081931,14114134.0
2000-11-20,2720,2912,2691,2739,2116676,2613.644532192073,2553.8927924558097,55.682959090690225,59.75173973626306,273.6122778845846,16230810.0
2000-11-21,2691,2720,2412,2576,1544389,2607.8530657009846,2555.530363385009,50.86685290615976,52.322702315975675,277.4676431644981,14686421.0
2000-11-22,2508,2720,2508,2633,1515577,2611.7218248239096,2561.2688549861195,52.416739353283724,50.45296983779008,272.74364547849535,16201998.0
2000-11-23,2643,2672,2326,2326,1209953,2567.7646210048465,2543.841532394555,44.30954173092776,23.923088610291416,278.02580740667247,14992045.0
2000-11-24,2307,2489,2114,2335,1401668,2531.954679311793,2528.3717892542177,44.5801585930171,3.5828900575752414,285.01342027943133,16393713.0
2000-11-27,2384,2614,2374,2614,1864542,2544.577036340748,2534.7146196798312,52.31577871128762,9.862416660916551,284.58038663768565,18258255.0
2000-11-28,2576,2662,2364,2432,1621698,2527.257492288325,2527.1061293331773,47.643924797993805,0.15136295514776066,285.546186461733,16636557.0
2000-11-29,2307,2374,2172,2211,886538,2478.6024934747365,2503.6908604936825,42.6619365930253,-25.088367018945974,283.7086395473206,15750019.0
2000-11-30,2211,2307,2076,2220,1147608,2438.8174944786233,2482.6767226793354,42.92368617744256,-43.859228200712096,279.91918862626176,16897627.0
2000-12-01,2086,2259,2086,2220,861109,2405.153264558835,2463.2191876660513,42.92368617744257,-58.06592310721635,272.2358864038131,16897627.0
2000-12-04,2268,2326,2162,2201,951442,2373.745070011322,2443.795544135233,42.449233079331265,-70.05047412391104,264.4613258419763,15946185.0
2000-12-05,2201,2297,2162,2268,704352,2357.476597701888,2430.7736519770674,44.767671236001696,-73.29705427517956,255.16587597704088,16650537.0
2000-12-06,2384,2393,2162,2182,1025792,2330.4801980554435,2412.34597405284,42.40620293819381,-81.86577599739667,253.43138837248887,15624745.0
2000-12-07,2134,2211,2124,2153,398120,2303.1755522007597,2393.135161160037,41.60914365549558,-89.95960895927738,241.49002829122745,15226625.0
2000-12-08,2172,2182,2124,2182,433374,2284.533159554489,2377.495519592627,42.767621454316156,-92.96236003813783,228.32894329984262,15659999.0
2000-12-11,2191,2211,2114,2153,653845,2264.2972888537984,2360.8662218450245,41.872954978064875,-96.56893299122612,218.91199174743156,15006154.0
2000-12-12,2162,2326,2124,2259,1646456,2263.4823213378295,2353.3205757824303,46.29528391504954,-89.8382544446008,217.6996513483413,16652610.0
2000-12-13,2355,2355,2191,2239,983058,2259.715810362779,2344.8523849837316,45.590500028188316,-85.13657462095262,213.85116611441433,15669552.0
2000-12-14,2230,2230,2153,2201,472164,2250.6826087685054,2334.196652762714,44.2132587682609,-83.5140439942088,204.69065769264515,15197388.0
2000-12-15,2162,2182,2105,2105,479623,2228.269899727197,2317.2191229284394,40.85543550517668,-88.9492232012426,196.9047179053361,14717765.0
2000-12-18,2076,2105,2018,2057,369385,2201.9206843845514,2297.943632341148,39.250330982079085,-96.02294795659645,189.03342670122993,14348380.0
2000-12-19,2057,2086,1845,1845,627386,2147.0098098638514,2264.392252167729,33.070536626610895,-117.38244230387772,192.75452317887294,13720994.0
2000-12-20,1826,1826,1624,1634,556420,2068.085223730951,2217.6965297849342,28.295475134300947,-149.6113060539833,194.77669891390912,13164574.0
2000-12-21,1538,1759,1461,1547,839151,1987.9182662338815,2168.0153053564204,26.590619302410822,-180.09703912253894,202.16554065505127,12325423.0
2000-12-22,1586,1643,1461,1499,450675,1912.7000714286692,2118.4586160707595,25.671588475786237,-205.75854464209033,200.72228842946538,11874748.0
2000-12-26,1499,1567,1470,1567,345632,1859.5154450550278,2077.6098296951477,29.39457982640258,-218.09438464011987,193.29991258416374,12220380.0
2001-01-02,1499,1740,1499,1720,696279,1838.0515304311775,2051.1202126806925,37.036354725283836,-213.06868224951495,196.7128860712324,12916659.0
2001-01-03,1634,1922,1634,1922,993881,1850.9666795956118,2041.5557524821227,45.433420444688814,-190.58907288651085,203.2437433126679,13910540.0
2001-01-04,2018,2143,1970,1989,1715544,1872.2025750424407,2037.6627337797431,47.91461971445341,-165.46015873730244,204.5139163680359,15626084.0
2001-01-05,1922,2018,1845,1874,891649,1872.4791019589884,2025.5395683145769,44.19960117872703,-153.06046635558846,202.2598424792463,14734435.0
2001-01-08,1797,1941,1759,1865,631861,1871.3284708883748,2013.6477484394231,43.912647423433405,-142.31927755104834,200.81087248256836,14102574.0
2001-01-09,1884,2066,1865,2028,1308057,1895.431783059394,2014.710878184651,50.21653502324821,-119.27909512525684,200.8243975252368,15410631.0
2001-01-10,2105,2191,1788,1788,1914547,1878.903816434872,1997.9174798006027,42.62074608733993,-119.01366336573074,215.2813275708551,13496084.0
2001-01-11,1826,1941,1797,1922,833420,1885.5339985218147,1992.293962778336,47.40433990345062,-106.75996425652124,210.8281375962823,14329504.0
2001-01-12,1989,2114,1970,2009,1172518,1904.5287679799972,1993.5314470169778,50.301306631423344,-89.00267903698068,209.48200084376737,15502022.0
2001-01-15,2066,2201,1999,2114,1439312,1936.75511136769,2002.4550435342387,53.62151175439488,-65.6999321665487,208.94710369506015,16941334.0
2001-01-16,2114,2114,1961,1989,1123533,1944.7927865418915,2001.4583736428135,49.39117716022236,-56.66558710092204,204.94762908287055,15817801.0
2001-01-17,1970,2124,1913,1989,1055475,1951.5938963046774,2000.5355311507533,49.39117716022236,-48.941634846075885,205.38026803803024,15817801.0
2001-01-18,1989,2095,1970,1989,1054158,1957.3486814885732,1999.6810473618086,49.39117716022236,-42.3323658732354,199.63479104407625,15817801.0
2001-01-19,2114,2220,2105,2220,1288593,1997.7565766441771,2016.0009697794524,57.18708172182411,-18.24439313527523,201.87662299989572,17106394.0
2001-01-22,2393,2480,2335,2480,881072,2071.947872545073,2050.3712683143076,63.92326056769784,21.576604230765497,206.03080477129322,17987466.0
2001-01-26,2768,2768,2489,2557,3502858,2146.571276768908,2087.899322513248,65.64712809120081,58.671954255659784,211.88903666377266,21490324.0
2001-01-29,2653,2854,2614,2854,3935281,2255.406464958307,2144.6475208456,71.336411583891,110.75894411270701,217.97156255303227,25425605.0
2001-01-30,2979,3172,2816,2835,2957590,2344.5747011185676,2195.784741523704,70.53166251909036,148.78995959486383,227.83551226208954,22468015.0
2001-01-31,2787,2835,2499,2653,1831981,2392.0247471003267,2229.652538447874,63.179306231581954,162.37220865245263,235.56502202106017,20636034.0
2001-02-01,2547,2883,2499,2739,2172397,2445.405555238738,2267.3819800443275,65.0341131940427,178.02357519441057,246.17194834806804,22808431.0
2001-02-02,2691,2912,2691,2835,2727228,2505.343162125086,2309.4277593003035,67.03063820832902,195.91540282478263,244.37325479998782,25535659.0
2001-02-05,2701,2768,2499,2499,989537,2504.367291028919,2323.470147500281,55.15925491479783,180.89714352863803,250.92037893370681,24546122.0
2001-02-06,2518,2797,2470,2797,1512073,2549.387707793701,2358.5464328706307,61.64693874782027,190.84127492307016,256.356454517519,26058195.0
2001-02-07,2806,2979,2643,2691,2672713,2571.1742142869775,2383.172623028362,58.40969020453561,188.00159125861546,262.047045341936,23385482.0
2001-02-08,2739,2826,2701,2749,925754,2598.5320274735964,2410.2709472484835,59.658017807657735,188.2610802251129,252.96964033591905,24311236.0
2001-02-09,2778,2845,2710,2739,884538,2620.1424847853505,2434.6212474522995,59.327383206167895,185.52123733305098,244.54098187287659,23426698.0
2001-02-12,2595,2826,2595,2758,897756,2641.351333279912,2458.5752291224994,59.78344390007954,182.77610415741265,243.5735284758385,24324454.0
2001-02-13,2797,3076,2758,3056,3513116,2705.1434358522333,2502.828915854166,66.18737639547902,202.31451999806723,248.8909319732541,27837570.0
2001-02-14,3056,3220,2999,3076,1797553,2762.1982918749663,2545.286033198302,66.57210047643491,216.91225867666435,246.8982955994131,29635123.0
2001-02-15,3172,3441,3056,3441,3274593,2866.629323894202,2611.6352159243534,72.68122841094566,254.99410796984876,256.76466604995574,32909716.0
2001-02-16,3460,3787,3373,3556,4414135,2972.686350987402,2681.5881628929196,74.2763451237765,291.09818809448234,267.9978366234834,37323851.0
2001-02-19,3460,3614,3431,3546,1849763,3060.888450835494,2745.618669345296,73.87242036907502,315.26978149019806,261.92552087000763,35474088.0
2001-02-20,3643,3700,3364,3431,1740873,3117.8286891684947,2796.3876568012,69.21110736936555,321.4410323672946,267.2173980732857,33733215.0
2001-02-21,3412,3508,3220,3249,1203165,3138.0088908348803,2829.914497038148,62.49064469015082,308.0943937967322,268.7020892528652,32530050.0
2001-02-22,3124,3172,2864,2931,1856236,3106.161369167976,2837.4023120723596,52.83680017646683,268.7590570956163,277.010224024491,30673814.0
2001-02-23,2883,3027,2883,2941,873714,3080.751927757518,2845.0762148818144,53.08225973268595,235.67571287570354,267.50828184006855,31547528.0
2001-02-26,2970,3066,2941,2989,707396,3066.6362465640536,2855.73723600168,54.31142482364185,210.89901056237386,257.3279131712769,32254924.0
2001-02-27,3076,3133,2883,2883,1085845,3038.38451632343,2857.7567000015556,51.126021420355336,180.62781632187443,256.8044332335228,31169079.0
2001-02-28,2835,2979,2749,2931,751398,3021.863821504441,2863.18212963107,52.48503474503439,158.68169187337116,254.88963532573501,31920477.0
2001-03-02,2903,2922,2720,2787,949832,2985.7309258883733,2857.539008917657,48.158639722709594,128.1919169707162,251.7543640774639,30970645.0
2001-03-05,2508,2854,2508,2797,680178,2956.6953988286236,2853.05463788672,48.47626874574296,103.64076094190386,258.48678800544485,31650823.0
2001-03-06,2816,2864,2643,2662,711414,2911.3576451626814,2838.9024424877034,44.51136075666711,72.45520267497795,255.80894134784506,30939409.0
2001-03-07,2720,2758,2566,2614,866156,2865.6103151376533,2822.243002303429,43.159679498351366,43.36731283422432,251.25081376650354,30073253.0
2001-03-08,2691,2797,2653,2768,1007095,2850.5933435780144,2818.2250021328045,48.55717622167997,32.36834144520981,246.3754119349993,31080348.0
2001-03-09,2710,2864,2672,2749,789678,2834.963598412166,2813.097224197041,47.952167444994345,21.86637421512478,242.49119967023125,30290670.0
2001-03-12,2595,2653,2422,2422,760911,2771.4307371179866,2784.1270594417047,38.9559341371587,-12.69632232371805,248.52790950083372,29529759.0
2001-03-13,2220,2422,2182,2259,1502461,2692.5952390998345,2745.2287587423193,35.39160902433917,-52.63351964248477,247.91873872356405,28027298.0
2001-03-14,2412,2441,2307,2422,1380409,2650.965202315245,2721.28588772437,41.186744469190266,-70.32068540912496,243.2100105886825,29407707.0
2001-03-15,2259,2470,2211,2403,890726,2612.8167096513607,2697.7091553003424,40.72815917192552,-84.89244564898172,244.33792186952,28516981.0
2001-03-16,2403,2441,2326,2335,710012,2570.075677397305,2670.84181046328,39.05225651378157,-100.76613306597528,235.09908135121492,27806969.0
2001-03-19,2259,2537,2259,2441,1512887,2550.2178808746426,2653.816491169704,42.990333015276946,-103.59861029506146,238.16356128293774,29319856.0
2001-03-20,2508,2547,2364,2384,894086,2524.645899201621,2633.8300844163928,41.439742099915264,-109.18418521477179,234.22315335921218,28425770.0
2001-03-21,2307,2585,2287,2528,2148193,2525.161914709064,2625.990818904067,46.67271207520105,-100.8289041950029,238.77880724566984,30573963.0
2001-03-22,2547,2643,2470,2595,1758133,2535.906235523054,2623.6952026889508,48.95814613816777,-87.78896716589679,234.0801631431263,32332096.0
2001-03-23,2605,2643,2508,2528,929364,2534.6898915964302,2616.6066691564356,46.79824701799619,-81.91677756000536,227.00278782401267,31402732.0
2001-03-26,2614,2826,2576,2826,2235337,2579.506831350826,2632.1172862559592,56.0794173090633,-52.61045490513334,232.07416418669965,33638069.0
2001-03-27,2883,2922,2710,2710,1961780,2599.5827034506992,2637.8863761629254,52.257741497808844,-38.303672712226216,230.64025674209634,31676289.0
2001-03-28,2787,2816,2576,2643,851901,2606.262287535207,2638.26516311382,50.13267405259172,-32.00287557861293,231.30882653273707,30824388.0
2001-03-29,2576,2691,2547,2547,587837,2597.1450125297906,2631.5047806609446,47.17266135312606,-34.35976813115394,225.07233712129036,30236551.0
2001-03-30,2595,2633,2470,2595,785857,2596.8150106021303,2628.800722834208,48.80043372783343,-31.98571223207773,220.63850325615334,31022408.0
2001-04-02,2595,2710,2508,2653,1300951,2605.4588551248794,2630.5932618835263,50.774215033375455,-25.134406758646946,219.30715496765168,32323359.0
2001-04-03,2585,2614,2480,2518,740915,2592.0036466441284,2622.2530202625244,46.30011887610437,-30.24937361839602,215.99943961150984,31582444.0
2001-04-04,2451,2489,2220,2230,1177920,2536.310777929647,2593.197240983819,38.50500173863395,-56.886463054172054,221.85672350611455,30404524.0
2001-04-06,2451,2451,2307,2364,668833,2509.801427478932,2576.2196675776104,43.28914045347033,-66.41824009867833,221.79552799001831,31073357.0
2001-04-09,2307,2355,2249,2259,302501,2471.216592482173,2552.7219144237133,40.62229637704253,-81.50532194154039,214.16716256045663,30770856.0
2001-04-10,2278,2326,2182,2182,524167,2426.7217321003,2525.2610318738084,38.737616197788846,-98.53929977350845,209.15515317460438,30246689.0
2001-04-11,2287,2297,2201,2278,895792,2403.841465623331,2506.945399883156,42.330043651962356,-103.10393425982511,202.4296988624179,31142481.0
2001-04-12,2307,2384,2297,2335,648991,2393.250470912049,2494.2087035955146,44.414273944336806,-100.95823268346567,195.54178122607675,31791472.0
2001-04-13,2432,2528,2374,2432,1162014,2399.2119369255797,2489.6006514773285,47.86721055873218,-90.38871455174876,195.36022341709247,32953486.0
2001-04-16,2403,2499,2355,2422,1081663,2402.7177927831826,2484.593195812341,47.539348247706556,-81.8754030291584,191.69159837040976,31871823.0
2001-04-17,2470,2528,2355,2412,799081,2404.145824662693,2479.2159220484637,47.19125182741863,-75.07009738577062,190.35647147450814,31072742.0
2001-04-18,2451,2624,2432,2614,1633616,2436.4310824068943,2489.1999278226513,54.44724743770812,-52.768845415756914,191.90245148161634,32706358.0
2001-04-19,2787,2797,2624,2624,2629701,2465.28783895968,2499.1851183543067,54.77850770077462,-33.89727939462682,191.26655686364185,35336059.0
2001-04-20,2730,2730,2537,2547,1534842,2477.8589406581905,2502.7269614391726,51.66312909651394,-24.86802078098208,191.39037517549934,33801217.0
2001-04-23,2595,2653,2518,2595,1325630,2495.8806420953915,2509.562001332567,53.44076048309775,-13.681359237175457,187.36246268935022,35126847.0
2001-04-24,2547,2547,2470,2499,666110,2496.3605433114853,2508.7796308634884,49.518425484682766,-12.41908755200302,182.90797175542664,34460737.0
2001-04-25,2547,2576,2480,2528,746599,2501.2281520327956,2510.2033619106373,50.69567499682265,-8.975209877841735,176.70022155432727,35207336.0
2001-04-26,2576,2605,2460,2460,627812,2494.8853594123657,2506.484594361701,47.876306369991724,-11.599234949335369,174.43590716679728,34579524.0
2001-04-27,2460,2672,2412,2585,2666829,2508.7491502720018,2512.300550334908,53.04572684449787,-3.5514000629063958,180.5476602850753,37246353.0
2001-04-30,2633,2653,2537,2566,2171850,2517.5569733070784,2516.278287347137,52.19832095142241,1.2786859599414129,175.9370905648298,35074503.0
2001-05-02,2614,2624,2508,2576,2290045,2526.5482081829123,2520.7021179140156,52.62726497063797,5.84609026889666,171.65585036053272,37364548.0
2001-05-03,2585,2605,2432,2460,1179161,2516.310022308618,2516.2056647351997,47.32248165092523,0.10435757341838325,171.75186145408873,36185387.0
2001-05-04,2374,2499,2374,2499,881397,2513.646941953446,2514.931171051111,49.17731854280421,-1.2842290976650474,168.41242969765148,37066784.0
2001-05-07,2528,2797,2528,2797,3347309,2557.2397201144545,2535.8251583806586,60.59479958714722,21.414561733795836,177.66871838787443,40414093.0
2001-05-08,2797,2922,2691,2758,3065252,2588.1259170199232,2552.2825540561653,58.73509722620939,35.843362963757954,181.47810851234945,37348841.0
2001-05-09,2797,2835,2614,2624,1792990,2593.6450067091655,2557.5949574594124,52.7452429007537,36.0500492497531,184.3011096152772,35555851.0
2001-05-10,2624,2758,2576,2739,1326474,2616.0073133692936,2571.0323680179745,56.81552010085869,44.97494535131909,184.13674416407773,36882325.0
2001-05-11,2701,2806,2662,2806,1405285,2645.2369574663253,2588.4373777944206,59.02968228725252,56.79957967190467,181.269826113728,38287610.0
2001-05-14,2845,2893,2768,2778,1463215,2665.6620409330444,2602.4790535133525,57.698270362059944,63.182987419691926,177.25054272704253,36824395.0
2001-05-15,2787,2787,2681,2701,912194,2671.098650020268,2609.776901401252,54.08550104900079,61.321748619016034,172.1612063795225,35912201.0
2001-05-16,2730,2730,2633,2633,714665,2665.237319247919,2611.497130927085,51.04573758065511,53.74018832083402,166.79253715680392,35197536.0
2001-05-17,2701,2768,2672,2701,908075,2670.7392701328545,2618.126973080634,53.83964952859715,52.61229705222058,164.5216370798858,36105611.0
2001-05-18,2672,2720,2643,2672,608447,2670.933228573954,2622.1175676672538,52.46446425094564,48.81566090670003,158.27007990300504,35497164.0
2001-05-21,2681,2758,2672,2691,766910,2674.0204241779606,2627.2199700622723,53.305976751475754,46.80045411568835,153.10792238953724,36264074.0
2001-05-22,2797,2845,2710,2710,1217194,2679.5557435351975,2633.351824131734,54.179524115428165,46.203919403463715,153.17164232142883,37481268.0
2001-05-23,2806,2816,2720,2739,891442,2688.7010137605516,2641.17761493679,55.54649801494128,47.523398823761454,149.80223426200348,38372710.0
2001-05-24,2691,2720,2653,2691,597727,2689.0547039512358,2644.8681619785098,52.74181600278443,44.18654197272599,145.24492548919974,37774983.0
2001-05-25,2710,2835,2710,2778,1331927,2702.7385956510457,2654.7297796097314,56.981601478103016,48.008816041314276,145.15600212536216,39106910.0
2001-05-28,2883,3037,2845,2845,4800772,2724.6249655508846,2668.8238700090105,59.960755530145036,55.80109554187402,153.28772599123758,43907682.0
2001-05-29,2893,2941,2826,2854,1893514,2744.528817004594,2682.5406203787134,60.35789931731874,61.988196625880846,150.5528853811907,45801196.0
2001-05-30,2835,2893,2749,2883,947303,2765.832075926964,2697.3894633136238,61.676951919280896,68.44261261334032,150.08482165666956,46748499.0
2001-05-31,2787,2835,2749,2758,738513,2764.6271411689695,2701.8791326977994,53.42516466409004,62.748008471170124,148.9359047231377,46009986.0
2001-06-01,2720,2787,2653,2672,743051,2750.3768117583586,2699.6658636090738,48.60684434534295,50.71094814928483,147.86905343651458,45266935.0
2001-06-04,2691,2701,2614,2624,592621,2730.9342253339955,2694.0609848232166,46.10737581268923,36.87324051077894,143.52126031310846,44674314.0
