Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1996-07-01,27053,27053,26829,26978,8896,,,,,,8896.0
1996-07-02,26229,27353,26229,26754,9219,,,,,,-323.0
1996-07-03,26754,26754,26529,26754,7776,,,,,,-323.0
1996-07-04,26754,27353,26754,27353,4381,,,,,,4058.0
1996-07-05,27728,27728,27503,27653,5551,,,,,,9609.0
1996-07-06,27728,28028,27728,27878,1137,,,,,,10746.0
1996-07-08,27878,27878,26754,26754,5442,,,,,,5304.0
1996-07-09,26754,27353,26754,27353,6045,,,,,,11349.0
1996-07-10,26978,27353,26978,27053,6517,,,,,,4832.0
1996-07-11,26978,27053,26604,26978,10057,,,,,,-5225.0
1996-07-12,26978,27353,26229,26978,10278,,,,,,-5225.0
1996-07-13,26978,26978,25854,26154,8191,27053.333333333332,,,,,-13416.0
1996-07-15,25480,25480,25030,25030,15036,26742.05128205128,,,,,-28452.0
1996-07-16,24356,25480,24281,25480,10850,26547.889546351085,,,,,-17602.0
1996-07-18,25480,26079,24730,25854,5496,26441.137308450918,,39.32455368221463,,868.7596024556952,-12106.0
1996-07-19,25854,26229,25555,25854,12090,26350.80849176616,,39.324553682214635,,848.0264699954546,-12106.0
1996-07-20,25854,25854,25854,25854,1026,26274.37641610983,,39.32455368221463,,760.8048770099851,-12106.0
1996-07-22,25854,25854,25480,25704,7772,26186.62619824678,,37.66490278032103,,722.2331247208814,-19878.0
1996-07-23,25555,25854,25555,25704,5679,26112.37601390112,,37.66490278032102,,681.1899135172791,-19878.0
1996-07-24,25704,26229,25704,26229,5701,26130.31816560864,,46.7818623274803,,666.4206390788521,-14177.0
1996-07-25,25854,26004,25779,26004,8309,26110.884601668848,,43.823621358956956,,646.4186334723664,-22486.0
1996-07-26,26229,26229,25480,25480,5699,26013.825432181333,,37.824797565124264,,655.7044574619805,-28185.0
1996-07-27,25480,25480,25105,25480,1943,25931.698442614972,,37.82479756512427,,630.7707150618671,-28185.0
1996-07-29,25629,25629,25255,25480,2276,25862.20637452036,,37.82479756512427,,608.3529050615002,-28185.0
1996-07-30,25480,25854,25480,25629,6338,25826.328470747998,,40.7072899913343,,588.2121190921998,-21847.0
1996-07-31,25629,25854,25180,25480,3252,25773.047167555997,26303.923076923078,38.77154239542286,-530.8759093670815,595.4794370366309,-25099.0
1996-08-01,25480,25480,25105,25480,2757,25727.962987932,26242.89173789174,38.77154239542286,-514.9287499597413,577.0469007640515,-25099.0
1996-08-02,25480,26604,25480,25629,2267,25712.737912865538,26197.418275825687,41.9718004557396,-484.68036296014907,622.2233541586724,-22832.0
1996-08-03,25480,25480,24880,25480,1533,25676.932080116992,26144.27618132008,39.73518362612408,-467.34410120308894,632.5790189454036,-24365.0
1996-08-05,25480,25480,24805,24805,6719,25542.788683175917,26045.070538259337,31.53641697369107,-502.28185508341994,636.0089714153612,-31084.0
1996-08-06,24805,25480,24430,25105,6432,25475.436578071927,25975.435683573458,37.69006645849359,-499.9991055015307,669.1696654475562,-24652.0
1996-08-07,25105,25480,25105,25480,6194,25476.138642983937,25938.7367440495,44.415517201047805,-462.59810106556324,645.809235276788,-18458.0
1996-08-08,25480,25629,25255,25255,5606,25442.1173132941,25888.08957782361,41.51980530483118,-445.97226452951145,624.395421746752,-24064.0
1996-08-09,25105,25180,24730,24955,5826,25367.176188171932,25818.97183131816,37.96566133533095,-451.7956431462262,616.6219665408544,-29890.0
1996-08-10,24730,25255,24730,25255,3459,25349.91831306856,25777.196140109405,43.201665596979936,-427.2778270408453,609.5046994444772,-26431.0
1996-08-12,25255,25854,25255,25330,7411,25346.85395721186,25744.0705001013,44.463695099063116,-397.21654288944046,608.6937562495538,-19020.0
1996-08-13,25105,25480,25105,25255,6912,25332.72257917927,25707.843055649355,43.42460205469353,-375.1204764700851,590.7565243302024,-25932.0
1996-08-14,25480,25704,25105,25105,7306,25297.688336228613,25663.188014490144,41.34360298109104,-365.4996782615308,591.385902173525,-33238.0
1996-08-16,25105,25255,24730,25105,5810,25268.043976808825,25621.840754157543,41.343602981091045,-353.796777348718,586.3422462888869,-33238.0
1996-08-17,25105,25180,24730,24955,4289,25219.88336499208,25572.445142738467,39.166779234408665,-352.5617777463849,576.0305502590749,-37527.0
1996-08-19,25854,26004,25779,26004,8309,25340.51669345484,25604.412169202285,56.43995457071944,-263.89547574744574,611.6519920361401,-29218.0
1996-08-20,24356,24730,24356,24430,10705,25200.437202154095,25517.4186751873,38.68868938166036,-316.98147303320366,689.4018615276464,-39923.0
1996-08-21,24430,24730,24430,24505,5388,25093.446863361158,25442.4246992475,39.662492676877385,-348.9778358863405,660.2924208068536,-34535.0
1996-08-22,24505,24730,24356,24580,5530,25014.455038228672,25378.541388192127,40.67719120162425,-364.08634996345427,638.9617867455221,-29005.0
1996-08-23,24580,24730,23456,23906,16843,24843.9234938858,25269.464248326043,34.983473742651086,-425.5407544402442,686.1310527201481,-45848.0
1996-08-24,24580,24730,23456,23906,16843,24699.627571749523,25168.466896598187,34.983473742651086,-468.83932484866455,729.6726259851524,-45848.0
1996-08-26,25030,25030,23231,23606,10978,24531.37717609575,25052.728607961282,32.626037219816624,-521.3514318655325,808.6658830248206,-56826.0
1996-08-27,23606,23981,23531,23981,4025,24446.703764388712,24973.341303667854,38.22945738922903,-526.6375392791415,782.2351280092636,-52801.0
1996-08-28,24206,24206,23981,23981,8012,24375.057031405835,24899.834540433196,38.229457389229026,-524.7775090273608,741.2641655526405,-52801.0
1996-08-29,24356,24356,22857,23981,8567,24314.432872728015,24831.77272262333,38.229457389229026,-517.3398498953138,796.8604537276947,-52801.0
1996-08-30,23981,23981,23756,23981,12148,24263.135507692936,24768.752520947524,38.22945738922902,-505.6170132545885,754.9835070265178,-52801.0
1996-08-31,24356,24356,23606,23981,2186,24219.730044970947,24710.40048235882,38.229457389229026,-490.67043738787106,754.6192242215963,-52801.0
1996-09-02,23606,23906,23007,23231,9997,24067.61773036003,24600.81526144335,30.806776816660644,-533.1975310833186,770.6287284900212,-62798.0
1996-09-03,23306,23306,22107,22557,9303,23835.21500261233,24449.42153837347,25.933632184985907,-614.2065357611391,801.8412020396487,-72101.0
1996-09-04,22857,23082,22332,22482,10035,23627.02807913351,24303.686609605065,25.45117701942917,-676.6585304715554,798.0693005958193,-82136.0
1996-09-05,22482,22857,22407,22857,5438,23508.562220805277,24196.524638523206,32.23896590656757,-687.9624177179285,772.7778531159078,-76698.0
1996-09-06,22857,23007,22257,22857,44203,23408.321879142928,24097.30059122519,32.23896590656758,-688.9787120822621,771.1248054865126,-76698.0
1996-09-07,22557,22857,22482,22482,4111,23265.810820813247,23977.64869557888,29.15974642817781,-711.8378747656316,742.4098555006109,-80809.0
1996-09-09,22482,22857,22482,22707,6927,23179.839925303517,23883.526569980444,33.277566387674995,-703.6866446769272,715.8046725851035,-73882.0
1996-09-10,22857,23231,22707,23082,4513,23164.787629102975,23824.154231463373,39.58122382893845,-659.3666023603982,701.9292126513548,-69369.0
1996-09-11,23231,23606,22857,23606,5422,23232.666455394825,23807.99465876238,47.10172735787544,-575.3282033675569,705.3312832239633,-63947.0
1996-09-12,23606,23606,23156,23231,11645,23232.410077641776,23765.254313668873,42.97872843113739,-532.8442360270965,686.8926736483508,-75592.0
1996-09-13,22482,23606,22482,23381,6781,23255.270065696885,23736.791031174882,45.05069740088354,-481.5209654779974,718.4333538746367,-68811.0
1996-09-14,23381,23381,22707,23082,3586,23228.613132512746,23688.287991828594,41.79088553924535,-459.67485931584815,715.2294793205333,-72397.0
1996-09-16,23381,23381,22707,23082,0,23206.057265972322,23643.37777021166,41.79088553924535,-437.32050423933833,712.2586307603863,-72397.0
