Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1985-01-04,3750,3862,3750,3862,1424,,,,,,1424.0
1985-01-05,3855,3855,3729,3855,5212,,,,,,-3788.0
1985-01-07,3785,3848,3785,3806,34349,,,,,,-38137.0
1985-01-08,3813,3834,3722,3722,13258,,,,,,-51395.0
1985-01-09,3687,3694,3546,3581,7776,,,,,,-59171.0
1985-01-10,3567,3581,3546,3546,8402,,,,,,-67573.0
1985-01-11,3546,3595,3546,3574,2478,,,,,,-65095.0
1985-01-12,3567,3567,3567,3567,2763,,,,,,-67858.0
1985-01-14,3567,3567,3511,3511,3560,,,,,,-71418.0
1985-01-15,3518,3518,3504,3504,5141,,,,,,-76559.0
1985-01-16,3504,3504,3448,3448,6423,,,,,,-82982.0
1985-01-17,3441,3441,3371,3371,8488,3612.25,,,,,-91470.0
1985-01-18,3378,3476,3378,3427,4358,3583.75,,,,,-87112.0
1985-01-19,3406,3406,3378,3378,3945,3552.096153846154,,,,,-91057.0
1985-01-21,3371,3441,3371,3406,12475,3529.619822485207,,21.310773611520027,,68.26465797466437,-78582.0
1985-01-22,3406,3441,3406,3441,11179,3515.986003641329,,27.64448647528467,,64.723468984046,-67403.0
1985-01-23,3476,3476,3441,3462,3005,3507.680464619586,,31.221587271295792,,61.66633762603947,-64398.0
1985-01-24,3462,3462,3441,3441,7818,3497.421931601188,,29.64335269973437,,57.61113565045486,-72216.0
1985-01-25,3441,3448,3434,3434,9128,3487.6647113548515,,29.11503242086526,,53.381927332908795,-81344.0
1985-01-26,3434,3434,3406,3406,1481,3475.100909607951,,27.039128168221694,,50.98181939946999,-82825.0
1985-01-28,3427,3427,3406,3413,8687,3465.54692351442,,28.413318731092705,,48.21084283146188,-74138.0
1985-01-29,3406,3406,3378,3378,3774,3452.078166050663,,25.79705366825892,,47.01497690142122,-77912.0
1985-01-30,3406,3406,3371,3371,7320,3439.604602042869,,25.295386389222685,,45.94773934590815,-85232.0
1985-01-31,3385,3392,3371,3371,4856,3429.050047882428,,25.295386389222685,,43.769633947632904,-85232.0
1985-02-01,3371,3371,3328,3335,8402,3414.5808097466697,,22.666325650179783,,43.70348997297249,-93634.0
1985-02-02,3300,3300,3293,3300,5810,3396.9529928625666,3496.5384615384614,20.441840438117012,-99.58546867589484,43.55918283870435,-99444.0
1985-02-04,3300,3328,3300,3300,14825,3382.037147806787,3481.980056980057,20.441840438117012,-99.94290917326998,42.25840302041017,-99444.0
1985-02-05,3300,3335,3265,3293,8160,3368.339125067281,3467.9815342407937,19.986860402349027,-99.64240917351253,44.54976395207233,-107604.0
1985-02-06,3293,3293,3230,3237,6465,3348.1331058261608,3450.871790963698,16.770945398662434,-102.73868513753723,46.05685903634786,-114069.0
1985-02-07,3244,3265,3244,3244,7946,3332.112628006751,3435.5479545960166,18.53545217426026,-103.43532658926551,44.596869976413394,-106123.0
1985-02-08,3244,3300,3244,3300,4899,3327.17222369802,3425.507365366682,31.117024978523816,-98.33514166866189,45.51026103953442,-101224.0
1985-02-09,3307,3364,3307,3364,1011,3332.838035436786,3420.951264228409,42.119176367401586,-88.11322879162299,46.97855742286322,-100213.0
1985-02-11,3371,3406,3371,3371,12034,3338.7091069080498,3417.2511705818597,43.188006040554356,-78.54206367380993,46.58633417778765,-88179.0
1985-02-13,3364,3406,3364,3399,4657,3347.984628922196,3415.8992320202406,47.37418070305246,-67.91460309804461,46.22764901237685,-83522.0
1985-02-14,3321,3321,3314,3321,1851,3343.8331475495506,3408.8696592780007,38.7977738611396,-65.03651172845002,49.23951601711253,-85373.0
1985-02-15,3300,3307,3300,3307,7719,3338.1665094650043,3401.3237585907414,37.486023618594935,-63.15724912573705,47.05947807666025,-93092.0
1985-02-16,3307,3307,3265,3265,5397,3326.9101233934653,3391.2257023988345,33.794571588509186,-64.31557900536927,46.67113637207908,-98489.0
1985-02-18,3371,3371,3357,3357,1823,3331.5393351790863,3388.690465184106,46.274953493400545,-57.151130005019695,51.200812170568064,-96666.0
1985-02-19,3335,3349,3335,3335,1567,3332.0717451515347,3384.713393688987,44.13249558561214,-52.641648537452056,48.98228619866325,-98233.0
1985-02-21,3335,3335,3335,3335,1424,3332.522245897452,3381.030920082395,44.13249558561214,-48.50867418494272,45.27770849165033,-98233.0
1985-02-22,3321,3321,3237,3237,2919,3317.826515759383,3370.3619630392545,35.614048742822234,-52.53544727987173,49.24845974915092,-101152.0
1985-02-23,3272,3300,3272,3300,1709,3315.0839748733238,3365.1499657770873,43.203689396961074,-50.06599090376358,50.28014066289278,-99443.0
1985-02-25,3307,3314,3307,3314,4685,3314.917209508197,3361.361079423229,44.76195179763753,-46.44386991503188,47.5680462732425,-94758.0
1985-02-26,3335,3335,3300,3300,4984,3312.622254199244,3356.8158142807674,43.477350892031126,-44.19356008152363,46.631645668696706,-99742.0
1985-02-27,3300,3300,3237,3244,5397,3302.0649843224373,3348.4590872970066,38.69385031584244,-46.39410297456925,47.847451651557726,-105139.0
1985-02-28,3258,3300,3251,3251,9456,3294.2088328882164,3341.2398956453762,39.58858944172076,-47.031062757159816,48.45128484066,-95683.0
1985-03-02,3251,3265,3230,3251,5725,3287.561320136183,3334.555458930904,39.58858944172076,-46.99413879472104,47.45761271858329,-95683.0
1985-03-04,3265,3272,3251,3265,6836,3284.0903478075393,3329.4032027138,41.566707060962024,-45.31285490626078,45.50790210166083,-88847.0
1985-03-05,3265,3279,3265,3265,9470,3281.1533712217642,3324.6325951053705,41.56670706096203,-43.47922388360621,43.191269482489986,-88847.0
1985-03-06,3265,3265,3244,3244,8274,3275.4374679568773,3318.65981028275,39.326544431552485,-43.22234232587289,41.563060604103484,-97121.0
1985-03-07,3230,3230,3160,3195,2535,3263.0624728865882,3309.4998243358796,34.6360012114333,-46.43735144929133,44.670688413753105,-99656.0
1985-03-08,3188,3188,3125,3160,12831,3247.206707827113,3298.4257632739623,31.72528702594895,-51.219055446849325,46.522202342051834,-112487.0
