Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1995-10-05,70054,70054,70054,70054,0,,,,,,0.0
1995-10-06,74199,74199,74199,74199,0,,,,,,0.0
1995-10-07,78344,78344,78344,78344,0,,,,,,0.0
1995-10-09,82904,82904,82904,82904,0,,,,,,0.0
1995-10-10,87878,87878,87878,87878,0,,,,,,0.0
1995-10-11,92852,92852,92852,92852,0,,,,,,0.0
1995-10-12,98241,98241,98241,98241,0,,,,,,0.0
1995-10-13,104045,104045,104045,104045,340321,,,,,,340321.0
1995-10-14,110262,110262,110262,110262,12622,,,,,,352943.0
1995-10-16,116480,116480,116480,116480,10101,,,,,,363044.0
1995-10-17,123112,123112,123112,123112,31600,,,,,,394644.0
1995-10-18,130159,130159,126429,130159,191788,97377.5,,,,,586432.0
1995-10-19,128087,130574,123527,128501,32088,102165.73076923078,,,,,554344.0
1995-10-20,121040,126429,121040,121040,6750,105069.46449704142,,,,,547594.0
1995-10-21,116066,124356,116066,120211,12716,107398.93149749658,,79.44721250034534,,6284.285986099158,534878.0
1995-10-23,116480,119382,113993,114822,9329,108540.94203634326,,70.3172834380459,,6277.229511795848,525549.0
1995-10-24,114822,120211,114822,119382,13529,110208.79710767505,,73.13100726021281,,6185.872937801224,539078.0
1995-10-25,119382,121454,117309,117309,17536,111301.13601418657,,69.88763134966207,,5982.3593574686465,521542.0
1995-10-26,117309,121454,117309,120625,4514,112735.57662738864,,72.02493733876871,,5804.180656982399,526056.0
1995-10-27,120625,121040,118553,118967,6994,113694.25714625193,,69.37356639043875,,5490.508983943188,519062.0
1995-10-28,118553,120625,117309,120211,6851,114696.83296990547,,70.25822364904081,,5289.536742694339,525913.0
1995-10-30,118138,118138,115651,117724,4422,115162.5509745354,,66.14470214770701,,5223.497948165402,521491.0
1995-10-31,114408,117309,114408,114822,2704,115110.15851691457,,61.61169825085469,,5054.063294728369,518787.0
1995-11-01,115237,116066,114822,116066,3389,115257.21105277387,,62.7889533196049,,4721.419149503269,522176.0
1995-11-02,116066,116895,114822,116066,3549,115381.64012157789,,62.7889533196049,,4493.808387720122,522176.0
1995-11-03,116066,116066,115651,115651,1925,115423.08010287359,108843.34615384616,62.05269636556505,6579.733949027432,4148.281757684445,520251.0
1995-11-04,115651,115651,114822,114822,719,115330.60624089303,109286.2094017094,60.52590884018059,6044.396839183624,3870.7829477284654,519532.0
1995-11-06,113993,114822,113164,113164,10176,114997.28220383257,109573.45314973092,57.47978364275969,5423.829054101647,3688.014652146795,509356.0
1995-11-07,111920,113164,109848,111091,4769,114396.31571093525,109685.86402752863,53.831863653607314,4710.451683406616,3657.626886262798,504587.0
1995-11-08,110262,111506,109433,111506,3908,113951.65175540675,109820.68891437836,54.45503012212026,4130.962841028391,3529.5017282070908,508495.0
1995-11-09,108190,108604,106117,106946,4241,112873.85917765186,109607.74899479478,46.955268042725265,3266.1101828570827,3678.447596563544,504254.0
