Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1989-09-05,12238,12238,12238,12238,1327,,,,,,1327.0
1989-09-06,12733,12733,12733,12733,15774,,,,,,17101.0
1989-09-07,13351,13351,13351,13351,59731,,,,,,76832.0
1989-09-08,13969,13969,13969,13969,237551,,,,,,314383.0
1989-09-09,14587,14587,14587,14587,498867,,,,,,813250.0
1989-09-11,14464,14464,13969,13969,209837,,,,,,603413.0
1989-09-12,13722,14154,13660,14093,190277,,,,,,793690.0
1989-09-16,14216,14525,14216,14340,89354,,,,,,883044.0
1989-09-18,14464,14834,14464,14711,250963,,,,,,1134007.0
1989-09-19,14958,15329,14896,15329,253131,,,,,,1387138.0
1989-09-20,15453,15762,15329,15576,615402,,,,,,2002540.0
1989-09-21,15576,15762,15391,15638,372529,14211.166666666666,,,,,2375069.0
1989-09-22,15762,16256,15762,16132,431613,14506.679487179486,,,,,2806682.0
1989-09-23,16256,16256,15700,15823,196878,14709.19033530572,,,,,2609804.0
1989-09-25,15823,15823,15453,15576,170733,14842.54566833561,,74.97638777365076,,513.2840782993579,2439071.0
1989-09-26,15576,15638,15329,15453,173839,14936.461719360901,,72.16591549158332,,491.53701781302186,2265232.0
1989-09-27,15514,16071,15514,16071,243601,15111.006070228455,,76.85941857185843,,504.54404430371665,2508833.0
1989-09-28,16256,16689,16194,16689,468905,15353.774367116384,,80.41581629403697,,515.8577460663953,2977738.0
1989-09-29,16936,16936,16689,16812,410581,15578.116772175403,,81.04036644202843,,489.78515247437707,3388319.0
1989-09-30,16751,16812,16565,16627,178709,15739.483422609956,,77.05983362593807,,466.8274565148826,3209610.0
1989-10-04,16812,16812,16503,16503,209125,15856.947511439193,,74.42124677339692,,452.24074388199983,3000485.0
1989-10-05,16503,16812,16380,16565,360718,15965.878663525471,,74.88431296827972,,450.4085204337337,3361203.0
1989-10-06,16627,16627,16380,16441,215693,16038.974253752322,,72.07398553568058,,432.34063616734346,3145510.0
1989-10-07,16380,16441,16318,16380,115111,16091.439753175042,,70.6689492499249,,405.3331185642506,3030399.0
1989-10-10,16318,16318,16071,16071,52516,16088.295175763498,,63.8759763615011,,397.0540459312545,2977883.0
1989-10-11,16071,16380,15947,16318,140592,16123.63437949219,15307.5,66.636702766538,816.1343794921904,400.09912262820944,3118475.0
1989-10-12,16441,16503,16194,16441,154522,16172.459859570316,15391.462962962964,67.95024722523017,780.996896607352,392.4830478376809,3272997.0
1989-10-13,16441,16689,16318,16689,157936,16251.927573482575,15487.5768175583,70.4743473112503,764.3507559242753,390.7086216377578,3430933.0
1989-10-14,16689,16751,16503,16751,103106,16328.707946792949,15581.163719961387,71.0873943688558,747.5442268315619,379.05156415647116,3534039.0
1989-10-16,16565,16751,16380,16565,141450,16365.060570363265,15654.040481445729,66.61854817696135,711.0200889175358,378.4005541685134,3392589.0
1989-10-17,16441,16627,16441,16441,140932,16376.743559538147,15712.333779116416,63.74168139875704,664.4097804217308,362.98926390403744,3251657.0
1989-10-18,16380,16441,16132,16256,93707,16358.167627301507,15752.605351033719,59.6059802511453,605.5622762677885,358.7018999180785,3157950.0
1989-10-19,16194,16194,15885,15885,111988,16285.372607716661,15762.412362068257,52.28026138575537,522.9602456484045,359.6707750987169,3045962.0
1989-10-20,15947,16009,15514,15700,66785,16195.315283452559,15757.789224137276,49.043404303595764,437.5260593152834,370.25451878964157,2979177.0
1989-10-21,15638,15700,15514,15576,84630,16100.036009075244,15744.323355682662,46.945367245361474,355.71265339258207,355.9414814968263,2894547.0
1989-10-23,15576,15823,15329,15823,191506,16057.41508460213,15750.151255261724,51.404858802984,307.2638293404052,366.599341502542,3086053.0
1989-10-24,15823,16071,15762,15885,214706,16030.889686971033,15760.140051168262,52.4844934580138,270.7496358027711,362.17828736950077,3300759.0
1989-10-25,15823,15885,15700,15823,247840,15998.906658206259,15764.796343674316,51.258096331098656,234.110314531943,348.6509728173701,3052919.0
1989-10-26,15762,15823,15700,15762,53745,15962.45948002068,15764.589207105848,50.019687842077545,197.87027291483173,331.5071844577608,2999174.0
1989-10-27,15762,15762,15576,15762,99240,15931.619560017498,15764.397413986895,50.01968784207754,167.22214603060274,320.50233528501747,2999174.0
1989-10-28,15762,15885,15762,15823,118185,15914.908858476345,15768.73834628416,51.381973364982436,146.1705121921841,305.62755227092777,3117359.0
1989-10-30,15823,15885,15700,15823,47517,15900.76903409537,15772.757728040888,51.38197336498244,128.0113060544827,296.57771922828874,3117359.0
1989-10-31,15700,16009,15638,15885,107005,15898.34302884993,15781.07197040823,52.89540791978672,117.2710584417,302.1411003634776,3224364.0
1989-11-01,16071,16071,15885,15947,34347,15905.82871671917,15793.362935563175,54.42330408033928,112.4657811559955,293.48783841420277,3258711.0
1989-11-02,15823,16132,15762,16071,128345,15931.23968337776,15813.928644039977,57.399490077170974,117.31103933778286,299.17099641132285,3387056.0
1989-11-03,16194,16380,16071,16318,184695,15990.741270550412,15851.26726299998,62.63376493449177,139.47400755043236,299.898999279749,3571751.0
1989-11-04,16380,16441,16380,16441,92590,16060.011844311886,15894.951169444426,64.94370435769592,165.06067486745997,286.83113207674285,3664341.0
1989-11-06,16318,16380,16194,16194,80246,16080.625406725441,15917.102934670764,57.28525841690655,163.52247205467756,283.8959019817192,3584095.0
1989-11-07,16256,16380,16071,16318,115790,16117.144574921527,15946.799013584041,59.84531316296823,170.3455613374863,285.74169203642884,3699885.0
1989-11-08,16441,16503,16194,16256,113088,16138.506948010523,15969.702790355594,57.97436331995506,168.80415765492944,287.44819123208845,3586797.0
1989-11-09,16256,16874,16194,16812,113946,16242.121263701212,16032.09517625518,67.72039809285418,210.02608744603276,316.19448950479995,3700743.0
1989-11-10,16441,16998,16441,16936,210613,16348.87183851641,16099.051089125165,69.42347165070015,249.82074939124504,333.7968137991182,3911356.0
1989-11-11,16936,17060,16812,16936,135043,16439.199247975423,16161.047304745523,69.42347165070015,278.1519432298992,327.5357161625519,3911356.0
1989-11-13,16874,17554,16812,17369,348601,16582.245517517666,16250.525282171782,74.80652709306969,331.72023534588334,357.73488299963117,4259957.0
