Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1989-08-10,23223,23223,23223,23223,20699,,,,,,20699.0
1989-08-11,24233,24233,24233,24233,25938,,,,,,46637.0
1989-08-12,25243,25243,25243,25243,60256,,,,,,106893.0
1989-08-14,26252,26252,26252,26252,221759,,,,,,328652.0
1989-08-16,27262,27262,25747,25949,439517,,,,,,-110865.0
1989-08-17,25747,25949,25243,25343,195504,,,,,,-306369.0
1989-08-18,25243,25243,24738,24839,133049,,,,,,-439418.0
1989-08-19,24940,25243,24738,25041,88610,,,,,,-350808.0
1989-08-21,24940,25041,24334,24738,84758,,,,,,-435566.0
1989-08-22,24637,24738,24233,24435,99624,,,,,,-535190.0
1989-08-23,24435,24435,24233,24233,169238,,,,,,-704428.0
1989-08-24,24233,24435,24132,24334,160969,24821.916666666668,,,,,-543459.0
1989-08-25,24435,25041,24435,24637,136100,24793.46794871795,,,,,-407359.0
1989-08-26,24637,25444,24637,25041,137754,24831.549802761343,,,,,-269605.0
1989-08-28,25142,25444,24839,25142,197663,24879.31137156729,,62.926179301970976,,677.5990400141744,-71942.0
1989-08-29,25142,25142,24738,24738,171051,24857.571160556938,,55.92100606551387,,648.473055641214,-242993.0
1989-08-30,24435,24940,24233,24839,118293,24854.714058932794,,57.20368678214475,,654.4926947682482,-124700.0
1989-08-31,24839,24839,24334,24637,160671,24821.21958832775,,53.829845085991025,,639.5854494506494,-285371.0
1989-09-01,24536,24738,24435,24435,98465,24761.80119012348,,50.614968292687514,,606.9449331891376,-383836.0
1989-09-02,24334,24536,24233,24435,72586,24711.524083950637,,50.614968292687514,,578.203985509804,-383836.0
1989-09-04,24233,24435,24233,24233,119560,24637.90499411208,,47.336247763952855,,543.4345002177488,-503396.0
1989-09-05,24031,24233,23930,24233,113866,24575.611918094837,,47.336247763952855,,521.6699973101821,-503396.0
1989-09-06,25243,25243,24334,24334,197534,24538.440853772554,,49.2428581764207,,565.0462037424002,-305862.0
