Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2010-05-12,119500,121000,112500,114000,9504811,,,,,,9504811.0
2010-05-13,115500,117000,115000,115500,2184611,,,,,,11689422.0
2010-05-14,115000,116500,112000,114000,1769839,,,,,,9919583.0
2010-05-17,112000,113500,107500,107500,2444115,,,,,,7475468.0
2010-05-18,108500,110000,107000,110000,996647,,,,,,8472115.0
2010-05-19,109000,110000,107500,109500,852205,,,,,,7619910.0
2010-05-20,109500,111000,107500,107500,740106,,,,,,6879804.0
2010-05-24,105000,106000,101500,102500,1219811,,,,,,5659993.0
2010-05-25,100500,101000,95500,98000,1596770,,,,,,4063223.0
2010-05-26,98000,110000,97800,110000,3451763,,,,,,7514986.0
2010-05-27,107000,110000,106000,109000,1536027,,,,,,5978959.0
2010-05-28,111000,111000,105500,108000,692635,108791.66666666667,,,,,5286324.0
2010-05-31,107500,110000,106000,109000,477955,108823.71794871795,,,,,5764279.0
2010-06-01,108500,109000,106000,106000,302368,108389.29980276135,,,,,5461911.0
2010-06-03,105500,107000,103000,104000,905501,107714.02291002883,,39.02661609744869,,4935.299597919438,4556410.0
2010-06-04,104500,105500,103000,103000,418999,106988.78861617824,,37.579019296856195,,4676.049791966889,4137411.0
2010-06-07,100500,102500,99800,102000,576382,106221.28267522773,,36.13555472944203,,4524.234466931206,3561029.0
2010-06-08,102000,104500,102000,102500,389336,105648.77764826962,,37.42970169648184,,4322.380056415278,3950365.0
2010-06-09,103000,104000,102000,102000,243579,105087.42724084352,,36.630327834510155,,4097.166268592438,3706786.0
2010-06-10,103000,104000,102000,102500,267676,104689.36151148297,,38.05503071677159,,3898.8588141201813,3974462.0
2010-06-11,104000,105000,102500,103000,457232,104429.45974048559,,39.51937697625219,,3769.5736315155805,4431694.0
2010-06-14,103500,104000,100500,101000,770796,103901.85054964165,,35.866985716800905,,3745.1714093652213,3660898.0
2010-06-15,101500,101500,100000,100500,475216,103378.48892661986,,34.99619708399828,,3545.74270747938,3185682.0
2010-06-16,101500,101500,99900,100500,588117,102935.64447637065,,34.99619708399828,,3375.8662855698085,3185682.0
2010-06-17,100500,103500,100000,100500,663445,102560.92994154441,,34.99619708399829,,3386.5346004057465,3185682.0
2010-06-18,101000,102000,100000,101500,489330,102397.70995053757,105519.23076923077,38.71300602806205,-3121.5208186931995,3269.0775927786126,3675012.0
2010-06-21,101500,102000,100000,100500,754193,102105.7545735318,105147.43589743589,36.46746141332955,-3041.681323904093,3162.980085110707,2920819.0
2010-06-22,100500,101500,100000,100500,458046,101858.71540837307,104803.18138651471,36.46746141332955,-2944.4659781416412,3025.6236236222658,2920819.0
2010-06-23,100500,101000,100000,100500,398825,101649.68226862338,104484.42720973583,36.467461413329545,-2834.7449411124544,2860.1619244969374,2920819.0
2010-06-24,100500,101000,100000,100500,332013,101472.80807345056,104189.2844534591,36.46746141332955,-2716.4763800085348,2709.758354639892,2920819.0
2010-06-25,100500,107000,99900,106500,1830190,102246.22221599663,104360.44856801769,56.72516453131085,-2114.2263520210545,3061.4168445035752,4751009.0
2010-06-28,107000,107000,105000,106500,597171,102900.64956738177,104518.93385927564,56.72516453131085,-1618.2842918938695,2977.1282281352655,4751009.0
2010-06-29,106000,107000,102500,105000,713802,103223.62655701535,104554.56838821819,51.92475970150171,-1330.9418312028429,3097.103887239192,4037207.0
2010-06-30,103000,103500,102000,103500,713599,103266.14554824376,104476.45221131314,47.587827235769524,-1210.3066630693793,3089.509646936096,3323608.0
2010-07-01,102500,104500,101500,104000,477422,103379.04623312934,104441.15945491957,49.11354359029325,-1062.113221790234,3082.5564665035135,3801030.0
2010-07-02,104000,104500,102500,102500,274805,103243.80835110943,104297.36986566627,44.8915979213408,-1053.5615145568445,2998.9851273832005,3526225.0
2010-07-05,102500,104000,102500,104000,204626,103360.14552786182,104275.34246820952,49.56101229021276,-915.1969403476978,2883.9300899485743,3730851.0
2010-07-06,103500,104000,102500,103000,257913,103304.73852357539,104180.87265574957,46.71896540609002,-876.1341321741784,2778.2689622628154,3472938.0
2010-07-07,103500,105500,103000,105000,584680,103565.54798148687,104241.54875532367,52.5763138057343,-676.0007738368004,2757.1275324851435,4057618.0
2010-07-08,106500,106500,104500,105000,324837,103786.23290741198,104297.7303290034,52.576313805734294,-511.49742159142625,2699.8652445054795,4057618.0
2010-07-09,105500,108500,104500,106500,1174862,104203.7355370409,104460.8614157439,56.71529540630884,-257.12587870299467,2797.784199990988,5232480.0
2010-07-12,107500,109000,106000,108500,642435,104864.69930057306,104760.05686642954,61.535660045475495,104.6424341435195,2812.955022860336,5874915.0
2010-07-13,109000,109500,107000,107500,348934,105270.13017740796,104963.01561706439,58.05440909811366,307.1145603435725,2789.5603075641934,5525981.0
2010-07-14,108000,108500,106500,107000,492225,105536.26399626827,105113.90334913369,56.338215637275106,422.3606471345847,2730.7329661258864,5033756.0
2010-07-15,107000,107000,105000,105500,424219,105530.68491991931,105142.50310104972,51.426595756364094,388.18181886959064,2676.455700732714,4609537.0
2010-07-16,105500,109000,105000,107500,880590,105833.65647070095,105317.13250097196,56.83065985061285,516.5239697289944,2774.486395061243,5490127.0
2010-07-19,107000,107500,105500,106000,265796,105859.24778290081,105367.71527867774,52.1449028881056,491.5325042230688,2717.273604698365,5224331.0
2010-07-20,106000,107000,105500,107000,228649,106034.74812399299,105488.62525803495,54.81940201001456,546.1228659580374,2627.570452111477,5452980.0
2010-07-21,108000,108000,106000,106500,217135,106106.32533568639,105563.54190558792,53.217902897839494,542.7834300984687,2581.4280534364284,5235845.0
2010-07-22,106500,106500,104500,105000,348021,105936.12143788848,105521.79806072956,48.628181003192516,414.3233771589148,2538.7677486938283,4887824.0
2010-07-23,106000,106500,104500,105500,389252,105869.02583205949,105520.18338956441,50.17085954516329,348.842442495079,2499.314157963269,5277076.0
2010-07-26,105500,107000,105000,106000,297556,105889.17570405034,105555.72536070779,51.73183462703303,333.45034334255615,2462.8154511224675,5574632.0
2010-07-27,106500,107000,106000,106000,294818,105906.22559573491,105588.63459324796,51.73183462703303,317.59100248695177,2356.0652122942556,5574632.0
2010-07-28,106500,108000,105500,107500,534868,106151.42165792955,105730.21721597033,56.475725959988466,421.204441959213,2366.5527520825817,6109500.0
2010-07-29,108500,111000,108000,109000,964757,106589.66447978653,105972.42334812068,60.641512602507404,617.2411316658545,2449.0209654479727,7074257.0
2010-07-30,109000,111000,108000,110000,614795,107114.33148289629,106270.762359371,63.17217919872913,843.5691235252889,2489.0562609797853,7689052.0
2010-08-02,111500,115000,111000,114000,1376628,108173.66510091224,106843.29848089907,71.16011739479741,1330.3666200131702,2671.2819331803435,9065680.0
2010-08-03,115000,115000,113500,114500,692869,109146.94739307958,107410.46155638804,71.97829562201215,1736.4858366915432,2586.376111417033,9758549.0
2010-08-04,114000,114500,111500,112500,713731,109662.80164029812,107787.464404063,64.13989672558584,1875.337236235122,2616.327782688831,9044818.0
2010-08-05,113000,114000,111500,112500,356455,110099.29369563686,108136.54111487314,64.13989672558584,1962.7525807637285,2607.912442926112,9044818.0
2010-08-06,113500,115000,112000,113000,493267,110545.55620400043,108496.79732858624,65.2375019245242,2048.7588754141907,2636.250816149551,9538085.0
2010-08-09,114500,114500,113000,114500,418679,111153.93217261575,108941.47900795023,68.36572977164032,2212.453164665523,2554.1970822145067,9956764.0
2010-08-10,113500,114500,112000,112500,396707,111361.01953067486,109205.07315550947,60.54273793370774,2155.9463751653966,2550.2863428233527,9560057.0
2010-08-11,112500,113500,110500,111500,450548,111382.40114134028,109375.06773658283,57.02888187173232,2007.3334047574463,2582.71302272076,9109509.0
2010-08-12,110000,111000,109000,109500,594133,111092.80096574945,109384.32197831743,50.691994757859625,1708.4789874320268,2576.753018653161,8515376.0
2010-08-13,110000,112500,109000,112500,410388,111309.29312486493,109615.11294288651,58.195732902229466,1694.180181978416,2643.237146484844,8925764.0
2010-08-16,111000,112000,109500,110500,321561,111184.78649027031,109680.66013230232,52.463653567703574,1504.1263579679944,2668.9131098564253,8604203.0
2010-08-17,111000,112000,110500,111500,319640,111233.28087638257,109815.42604842807,54.8578405691776,1417.8548279545066,2584.8327450062616,8923843.0
2010-08-18,111500,112500,110000,110500,374284,111120.46843386217,109866.13523002599,52.03545520981132,1254.333203836184,2578.733753902321,8549559.0
2010-08-19,110500,111000,108500,109000,745403,110794.2425209603,109801.97706483888,48.042629828926465,992.2654561214149,2573.0758805672176,7804156.0
2010-08-20,108500,109000,108000,109000,319891,110518.20521004332,109742.5713563323,48.042629828926465,775.6338537110278,2460.082176647187,7804156.0
2010-08-23,109000,109500,107000,107500,371686,110053.86594695973,109576.45495956694,44.116610245346784,477.4109873927955,2462.948315420911,7432470.0
2010-08-24,107500,108500,105500,108000,300428,109737.8865705044,109459.68051811753,45.709240761685834,278.2060523868713,2501.4947968640504,7732898.0
2010-08-25,107000,108000,106500,107500,200611,109393.59632888835,109314.51899825697,44.3481335911721,79.07733063137857,2429.6380990030825,7532287.0
2010-08-26,108000,109000,107500,108500,340304,109256.11997059784,109254.18425764535,47.70230709443511,1.9357129524869379,2362.9584753409727,7872591.0
2010-08-27,108000,108500,107000,107500,357363,108985.94766742893,109124.24468300496,44.79481702395744,-138.29701557602675,2301.0799743050306,7515228.0
2010-08-30,108500,110000,107500,110000,364196,109141.95571859372,109189.11544722681,52.57686353637591,-47.159728633094346,2315.339606578959,7879424.0
2010-08-31,109000,109500,108000,109000,345485,109120.1163772716,109175.10689558038,49.56697078118218,-54.99051830878307,2292.7402080890292,7533939.0
2010-09-01,109000,110000,108500,110000,365208,109255.48308846058,109236.21008850035,52.495666544740374,19.272999960230663,2235.940543501098,7899147.0
2010-09-02,110500,111000,109000,109000,636342,109216.17799792817,109218.71304490772,49.40591984299222,-2.535046979552135,2219.039193338334,7262805.0
2010-09-03,110000,111000,108500,111000,561444,109490.61215209306,109350.66022676641,55.09810213186163,139.95192532664805,2239.161389803816,7824249.0
2010-09-06,113000,114000,111500,114000,976867,110184.36412869414,109695.05576552445,62.00363354467534,489.3083631696936,2293.6416776646056,8801116.0
2010-09-07,114000,114500,113000,113500,493201,110694.4619550489,109976.90348659671,60.33808474757303,717.5584684521891,2236.8225645354432,8307915.0
2010-09-08,113000,114000,111000,113500,698232,111126.08319273367,110237.87359870065,60.33808474757303,888.2095940330182,2291.4516766809197,8307915.0
2010-09-09,114500,115000,110000,111000,1649180,111106.68577846696,110294.3274062043,52.20603054740797,812.3583722626499,2485.3030820365216,6658735.0
2010-09-10,110000,112500,109000,109500,1112577,110859.5033510105,110235.48833907806,48.023859976076615,624.0150119324389,2557.9148804092097,5546158.0
2010-09-13,110000,110000,108000,108000,747835,110419.57975854733,110069.89661025746,44.20982599969952,349.6831482898706,2517.9956937151082,4798323.0
2010-09-14,108000,109000,107500,107500,467086,109970.41364184776,109879.53389838654,42.984359669072774,90.87974346122064,2445.1663067192903,4331237.0
2010-09-15,107500,108500,107000,108000,345469,109667.2730815635,109740.30916517272,44.637031518594036,-73.03608360921498,2377.5549403836712,4676706.0
2010-09-16,107500,108000,107000,108000,407036,109410.76953055372,109611.39737515993,44.63703151859404,-200.62784460620605,2279.023530157507,4676706.0
2010-09-17,108000,110000,107000,110000,760469,109501.42037200699,109640.1827547777,51.199220598700904,-138.76238277071388,2330.5872712962982,5437175.0
2010-09-20,110500,110500,108500,108500,201430,109347.35569939052,109555.72477294233,46.725872093484256,-208.369073551803,2306.94604229565,5235745.0
2010-09-24,109000,109000,107000,107000,424202,108986.22405333043,109366.41182679844,42.707431768108556,-380.18777346801653,2284.997313532487,4811543.0
2010-09-27,107500,107500,105000,105000,913830,108372.95881435652,109042.97391370227,38.01326320893699,-670.0150993457501,2300.370264707847,3897713.0
2010-09-28,105000,105500,103500,104000,568204,107700.19591984013,108669.42029046507,35.889171124494986,-969.2243706249428,2278.8949886420028,3329509.0
2010-09-29,104000,105000,103500,103500,720459,107054.01193217242,108286.50026894915,34.840879806880615,-1232.4883367767325,2223.210858518709,2609050.0
2010-09-30,104000,105000,103500,104000,410041,106584.16394260743,107968.98173050847,36.82801656383731,-1384.8177879010473,2171.510890569147,3019091.0
2010-10-01,105000,107500,104500,106000,644084,106494.29256682168,107823.1312319523,44.163300945087975,-1328.838665130621,2266.4746903948444,3663175.0
2010-10-04,106500,107000,106000,106500,309644,106495.1706334645,107725.12151106694,45.855953589850245,-1229.950877602445,2175.9487270620793,3972819.0
2010-10-05,106500,107000,104500,105500,503429,106342.06745908535,107560.29769543235,43.04541418690639,-1218.230236347008,2199.110329461001,3469390.0
2010-10-06,106000,107000,105500,106000,376649,106289.44169614914,107444.72008836329,44.86501408911827,-1155.2783922141534,2149.143663091334,3846039.0
2010-10-07,106000,106500,105000,105000,369965,106091.06605058773,107263.6297114475,41.97653970138838,-1172.5636608597706,2102.750208827057,3476074.0
