Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
1999-10-08,36800,36800,36800,36800,2726950,,,,,,2726950.0
1999-10-11,39700,39700,36800,38400,6580210,,,,,,9307160.0
1999-10-12,37800,37950,36800,36900,2009970,,,,,,7297190.0
1999-10-13,36000,36800,34900,36400,1408180,,,,,,5889010.0
1999-10-14,35100,37450,35100,36500,926530,,,,,,6815540.0
1999-10-15,36500,37000,36000,36050,582570,,,,,,6232970.0
1999-10-18,35300,35350,34800,35000,764030,,,,,,5468940.0
1999-10-19,35100,35500,34500,34900,540430,,,,,,4928510.0
1999-10-20,35100,35400,35000,35100,318910,,,,,,5247420.0
1999-10-21,35100,35300,34550,34650,372010,,,,,,4875410.0
1999-10-22,33700,34400,33600,33800,379930,,,,,,4495480.0
1999-10-25,33000,33500,31600,31850,435760,35529.166666666664,,,,,4059720.0
1999-10-26,31500,31800,31000,31400,309180,34893.91025641026,,,,,3750540.0
1999-10-27,31000,31200,30150,30750,356180,34256.38560157791,,,,,3394360.0
1999-10-28,30200,33400,29700,32000,729430,33909.24935518131,,28.125537845359958,,1608.8292105379032,4123790.0
1999-10-29,31800,33300,31700,32700,522720,33723.21099284572,,34.90315181138858,,1607.8892969762942,4646510.0
1999-11-01,32900,33500,32300,32950,430950,33604.25545548484,,37.181481467793134,,1565.936886877366,5077460.0
1999-11-02,32100,32800,32100,32200,399000,33388.21615464102,,33.404322934712646,,1494.544456490422,4678460.0
1999-11-03,32200,32200,31200,31400,349790,33082.33674623471,,29.91356233468263,,1446.5857987395825,4328670.0
1999-11-04,31600,32900,31550,32000,312110,32915.82340066014,,35.36870596832503,,1451.63663063749,4640780.0
1999-11-05,32000,32300,31600,31650,333340,32721.08133902012,,33.71993471746255,,1382.1689487932765,4307440.0
1999-11-08,31650,31850,31250,31350,369450,32510.145748401636,,32.32880145965031,,1311.3658055471853,3937990.0
1999-11-09,31100,32000,31100,31600,361030,32370.123325570614,,34.7448209379712,,1274.8259902536647,4299020.0
1999-11-10,31700,31700,30600,30750,820880,32120.873583175133,,30.727901961861217,,1259.562505741078,3478140.0
1999-11-11,30200,30500,29750,29900,1179270,31779.200724225113,,27.325707783435643,,1237.2551531933705,2298870.0
1999-11-12,30000,30500,28750,29000,1092900,31351.631382036634,33307.692307692305,24.262540411138232,-1956.0609256556709,1280.691123247429,1205970.0
1999-11-15,29000,31500,29000,31200,905070,31328.303477107922,33151.56695156695,41.519836196035975,-1823.2634744590287,1382.627863472712,2111040.0
1999-11-16,30900,31200,30300,30400,662130,31185.487557552857,32947.747177376805,38.118498272452285,-1762.259619823948,1342.7644543219494,1448910.0
1999-11-17,30400,31200,29000,29000,544930,30849.258702544725,32655.321460534076,33.02049142726515,-1806.0627579893517,1412.7871615437764,903980.0
1999-11-18,29000,29700,29000,29150,311620,30587.834286768615,32395.668019013032,34.03838833884407,-1807.8337322444168,1355.154687600172,1215600.0
1999-11-19,29150,29850,28900,29250,386460,30382.01362726575,32162.655573160217,34.75031244815801,-1780.6419458944656,1322.7017847506793,1602060.0
1999-11-22,29300,29600,28850,28900,280110,30154.011530763328,31920.977382555757,33.39188602882508,-1766.965851792429,1277.2227241174621,1321950.0
1999-11-23,29800,30000,29050,29150,354150,29999.548218338197,31715.719798662736,35.336325519429465,-1716.1715803245388,1263.260673256049,1676100.0
1999-11-24,29200,29250,28800,29200,271540,29876.54080013232,31529.37018394698,35.74036169527625,-1652.82938381466,1199.6576893039162,1947640.0
1999-11-25,29000,29050,28300,28300,392740,29633.996061650425,31290.157577728685,31.879148563957276,-1656.1615160782603,1176.3800421110002,1554900.0
1999-11-26,28000,28300,27000,28000,431850,29382.612052165743,31046.442201600632,30.688974093181635,-1663.8301494348889,1185.9232721802346,1123050.0
1999-11-29,27200,27700,27150,27500,234200,29092.97942875563,30783.742779259843,28.761664988012825,-1690.763350504214,1160.1393841683966,888850.0
1999-11-30,26600,27800,26550,26700,616190,28724.82874740861,30481.243314129482,25.953225861705977,-1756.4145667208722,1167.0001165654044,272660.0
1999-12-01,26500,26650,25600,25700,547700,28259.470478576513,30127.077142712486,22.938114212170294,-1867.606664135972,1161.909795862927,-275040.0
1999-12-02,26000,29200,25950,27900,768310,28204.16732802628,29962.108465474525,39.570916470935664,-1757.9411374482443,1338.7418206504487,493270.0
1999-12-03,28900,29000,28000,28200,512890,28203.52620063762,29831.58191247641,41.42745159093109,-1628.0557118387878,1320.7611077974116,1006160.0
1999-12-06,28500,28900,27500,28500,463970,28249.137554385678,29732.94621525593,43.30330789055758,-1483.8086608702542,1326.7058420759163,1470130.0
1999-12-07,28200,28450,27650,28000,376940,28210.808699864803,29604.579828940678,40.949415595880374,-1393.7711290758743,1291.0700585264344,1093190.0
1999-12-08,27650,29200,26900,28700,566470,28286.068899885606,29537.573915685814,45.42235510315656,-1251.5050158002086,1366.241854253477,1659660.0
1999-12-09,29100,30900,28700,30500,1069460,28626.673684518588,29608.864736746124,54.8856554722097,-982.1910522275357,1428.171607320902,2729120.0
1999-12-10,29500,30500,28900,29050,2369760,28691.800809977267,29567.467348839004,47.70919778914507,-875.6665388617366,1440.898386960248,359360.0
1999-12-13,28100,28800,27500,27500,752130,28508.446839211534,29414.321619295373,41.46744043053463,-905.8747800838391,1448.9579316532206,-392770.0
1999-12-14,27900,28300,27400,27600,546380,28368.685787025144,29279.927425273494,41.99470115452378,-911.2416382483498,1408.504202173829,153610.0
1999-12-15,27600,27900,26700,26750,394020,28119.657204405892,29092.525393771753,38.795695165316324,-972.8681893658613,1393.1738372884872,-240410.0
1999-12-16,26200,26600,26050,26100,333700,27808.94071142037,28870.856846084956,36.505572047901225,-1061.9161346645851,1342.3145659417576,-574110.0
1999-12-17,26200,26900,26200,26500,428420,27607.5652173557,28695.237820449034,38.89600314134375,-1087.672603093335,1302.6012442298334,-145690.0
1999-12-20,26700,27000,26300,26700,227190,27467.939799300977,28547.4424263417,40.11008781973091,-1079.5026270407216,1258.5524909464045,81500.0
1999-12-21,26700,26850,25900,26650,316380,27342.102907100827,28406.891135501573,39.896665101489795,-1064.7882284007464,1236.0356026579373,-234880.0
1999-12-22,26000,26500,25500,25500,253720,27058.702459854543,28191.565866205157,35.25078170435243,-1132.8634063506142,1229.7667789741702,-488600.0
1999-12-23,25500,25550,24100,24750,418190,26703.517466030768,27936.63506130107,32.58572074019647,-1233.1175952703015,1245.790674479741,-906790.0
1999-12-24,24700,24750,23600,24400,272120,26349.130163564492,27674.662093797288,31.392936739317467,-1325.5319302327953,1238.83032259429,-1178910.0
1999-12-27,24550,24700,23000,23000,298710,25833.879369169954,27328.390827590083,27.117089142237447,-1494.5114584201292,1272.2985971548987,-1477620.0
1999-12-28,22600,25100,21600,25100,487570,25720.974850836115,27163.324840361187,40.26098904359782,-1442.3499895250716,1433.783900474027,-990050.0
2000-01-04,21350,24000,21350,22000,309730,25148.517181476716,26780.85633366777,31.29014684529174,-1632.3391521910526,1601.5076348190607,-1299780.0
2000-01-05,22200,22950,21400,21600,431700,24602.59146124953,26397.089197840527,30.350430849835732,-1794.497736590998,1597.7814892899578,-1731480.0
