Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2001-02-02,15547,17879,15547,17879,972094,,,,,,972094.0
2001-02-05,18612,18656,15636,17768,768679,,,,,,203415.0
2001-02-06,20433,20433,18701,19945,771481,,,,,,974896.0
2001-02-07,19767,19767,18035,18079,385581,,,,,,589315.0
2001-02-08,16880,18123,16880,17191,400459,,,,,,188856.0
2001-02-09,16880,17679,16880,16968,327431,,,,,,-138575.0
2001-02-12,16546,16880,16013,16036,415810,,,,,,-554385.0
2001-02-13,15769,15925,14037,14570,767281,,,,,,-1321666.0
2001-02-14,14570,15414,14392,14481,421585,,,,,,-1743251.0
2001-02-15,14525,14836,13681,13992,487656,,,,,,-2230907.0
2001-02-16,14037,14348,13570,13726,442571,,,,,,-2673478.0
2001-02-19,13593,14148,13548,13615,349856,16187.5,,,,,-3023334.0
2001-02-20,14037,15636,13992,15636,1046878,16102.653846153848,,,,,-1976456.0
2001-02-21,15325,15325,14081,14259,550002,15819.014792899408,,,,,-2526458.0
2001-02-22,14192,15103,13815,14881,500639,15674.704824761038,,40.675255817574126,,1415.9292954210057,-2025819.0
2001-02-23,14525,14947,14481,14614,195259,15511.519467105492,,39.26619169768785,,1314.8045772479588,-2221078.0
2001-02-26,14525,15081,14459,14725,151556,15390.516472166186,,40.19375466681658,,1243.5479349222594,-2069522.0
2001-02-27,14725,14925,14037,14214,199833,15209.513937986772,,37.364605212208446,,1208.0930901469446,-2269355.0
2001-02-28,14126,14659,13903,14659,177873,15124.819485988808,,41.24324049063632,,1164.251171594782,-2091482.0
2001-03-02,14259,14881,14259,14303,147350,14998.385718913607,,39.15435849147731,,1112.9760528147467,-2238832.0
2001-03-05,14348,14659,14059,14570,136866,14932.48022369613,,41.54560444258951,,1065.5658338630549,-2101966.0
2001-03-06,14881,15991,14747,15147,946157,14965.483266204417,,46.44398231748799,,1097.740284432046,-1155809.0
2001-03-07,15369,15591,14703,14836,522463,14945.56276371143,,44.28967875228426,,1079.1099774171905,-1678272.0
2001-03-08,14747,14970,14747,14925,181754,14942.399261601979,,45.0748475295967,,1004.365819741216,-1496518.0
2001-03-09,14925,15769,14437,15414,456587,15014.95322135552,,49.30266316487407,,1032.5233964483946,-1039931.0
2001-03-12,15014,15591,14792,14836,230646,14987.421956531594,15433.423076923076,44.90295976261859,-446.0011203914819,1012.7410128355177,-1270577.0
2001-03-13,14259,14525,13948,14437,196733,14902.741655526734,15359.613960113958,42.10937678405169,-456.8723045872248,1002.3124065460933,-1467310.0
2001-03-14,14659,14836,14570,14703,174989,14872.012170061082,15310.975888994406,44.58457891100226,-438.96371893332434,952.480867324906,-1292321.0
2001-03-15,14081,14814,14081,14681,155943,14842.625682359378,15264.311008328154,44.41543277920954,-421.68532596877594,934.5527207484264,-1448264.0
2001-03-16,14681,15014,14614,14725,149424,14824.529423534857,15224.36204474829,44.86595059639969,-399.8326212134325,891.3314095181673,-1298840.0
2001-03-19,14659,15147,14636,14925,160101,14839.986435298724,15202.187078470639,46.969932150403096,-362.20064317191463,860.8668520011029,-1138739.0
2001-03-20,15103,15636,14970,15325,345072,14914.603906791228,15211.284331917257,50.99760358799163,-296.68042512602915,848.9657128209014,-793667.0
2001-03-21,15147,16147,15103,15836,520925,15056.357151900269,15257.559566590053,55.63348927898822,-201.20241468978384,864.3310033098863,-272742.0
2001-03-22,15991,18190,15991,18190,1282735,15538.45605160792,15474.777376472271,69.80510050483521,63.67867513564852,980.8341079185611,1009993.0
2001-03-23,18590,19656,17546,17635,1514471,15861.00127443747,15634.793867103954,64.56842842352967,226.20740733351704,1068.548610820865,-504478.0
2001-03-26,18390,19678,18301,18790,672062,16311.616462985552,15868.512839911069,69.66809311015183,443.10362307448304,1143.7744397001431,167584.0
2001-03-27,18879,21588,18879,20522,1989118,16959.36777637239,16213.215592510249,75.38863845469616,746.1521838621411,1270.7450015080992,2156702.0
2001-03-28,20922,21322,19278,19700,653077,17381.003503084332,16471.49591899097,68.76058650180904,909.5075840933605,1329.7819396617742,1503625.0
2001-03-29,19700,21299,19700,21100,920342,17953.156810302127,16814.348073139787,73.09864204998243,1138.8087371623405,1350.2357289426143,2423967.0
2001-03-30,21633,22166,21388,21855,1000448,18553.440377947954,17187.729697351657,75.10628102818643,1365.7106805962976,1328.7387056981968,3424415.0
2001-04-02,22121,22121,21011,21766,488323,19047.680319802115,17526.860830881164,74.40139286128306,1520.8194889209517,1312.2645167760857,2936092.0
2001-04-03,21011,21633,20655,21277,383897,19390.6525782941,17804.64891748256,70.48706733672317,1586.0036608115406,1297.1650619671202,2552195.0
2001-04-04,20478,21233,20211,20211,256992,19516.85987394116,17982.897145817184,62.738156623096636,1533.9627281239773,1279.8844931438184,2295203.0
2001-04-06,21188,23232,21100,23232,960885,20088.41989333483,18371.719579460354,72.09922932949391,1716.7003138744767,1409.6088415236688,3256088.0
2001-04-09,23987,25764,23631,24920,907974,20831.739909744858,18856.77738838922,75.76313384642677,1974.9625213556392,1492.9776309551216,4164062.0
2001-04-10,25319,25675,23809,24475,378192,21392.241462091803,19272.942026286313,73.04004850232347,2119.2994358054893,1520.606205123577,3785870.0
2001-04-11,25231,25497,24076,24653,338055,21893.896621769985,19671.464839153996,73.45109840975479,2222.4317826159895,1513.2481043629737,4123925.0
2001-04-12,24076,27496,23409,25852,680592,22502.835603036143,20129.282258475923,76.09501520763243,2373.5533445602196,1702.9126613894362,4804517.0
2001-04-13,25852,26963,25142,25675,359027,22990.860894876736,20540.076165255483,74.90904372571309,2450.784729621253,1711.595085869925,4445490.0
2001-04-16,25764,26563,25275,25319,151824,23349.036141818775,20894.070523384707,72.46282811822954,2454.9656184340674,1680.5152379955834,4293666.0
2001-04-17,25319,25897,24431,24653,224633,23549.64596615435,21172.509743874733,67.98968857803008,2377.136222279616,1664.8064350357463,4069033.0
2001-04-18,24786,25097,23987,24653,302055,23719.392740592142,21430.32383692105,67.98968857803007,2289.0689036710937,1624.2513714494069,4069033.0
2001-04-19,25941,26385,24342,24475,682656,23835.640011270276,21655.85540455653,66.71317939085175,2179.784606713747,1654.8099194005247,3386377.0
2001-04-20,24475,24742,23276,23898,359478,23845.233855690232,21821.940189404195,62.60960464426922,2023.2936662860375,1641.0526368581568,3026899.0
2001-04-23,23543,24653,23454,23942,291443,23860.120954814814,21978.981656855736,62.79752941909719,1881.1392979590782,1608.8894362838605,3318342.0
2001-04-24,23543,25319,23543,24209,358170,23913.794654074074,22144.16820079235,63.98058171888624,1769.6264532817258,1621.0320413292648,3676512.0
2001-04-25,24875,25053,24031,24076,222958,23938.74932267806,22287.266852585508,62.907434755467904,1651.4824700925528,1577.5587389590999,3453554.0
2001-04-26,24209,24875,23987,24164,263888,23973.40327303528,22426.284122764362,63.34551518369071,1547.119150270919,1527.5728647414192,3717442.0
