Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2005-07-22,1224,1407,1124,1407,19366941,,,,,,19366941.0
2005-07-25,1430,1612,1389,1612,7654435,,,,,,27021376.0
2005-07-26,1754,1854,1748,1854,1435990,,,,,,28457366.0
2005-07-27,2130,2130,2130,2130,371105,,,,,,28828471.0
2005-07-28,2072,2083,1813,1813,10972591,,,,,,17855880.0
2005-07-29,1766,1924,1660,1789,7254257,,,,,,10601623.0
2005-08-01,1766,1789,1577,1612,3312744,,,,,,7288879.0
2005-08-02,1577,1665,1577,1636,3141308,,,,,,10430187.0
2005-08-03,1636,1665,1442,1454,3585896,,,,,,6844291.0
2005-08-04,1430,1577,1412,1554,4001240,,,,,,10845531.0
2005-08-05,1501,1565,1448,1518,1802974,,,,,,9042557.0
2005-08-08,1459,1530,1459,1471,1032056,1654.1666666666667,,,,,8010501.0
2005-08-09,1430,1495,1430,1471,1240068,1625.9871794871797,,,,,8010501.0
2005-08-10,1483,1689,1483,1689,2053942,1635.681459566075,,,,,10064443.0
2005-08-11,1748,1760,1554,1554,5107213,1623.1150811712944,,50.35555626208833,,180.10305677371576,4957230.0
2005-08-12,1589,1607,1518,1583,2005055,1616.9435302218644,,51.65396366131211,,170.40468134161372,6962285.0
2005-08-16,1583,1612,1465,1477,1914894,1595.4137563415777,,46.83248663745425,,167.99745272062057,5047391.0
2005-08-17,1448,1518,1448,1495,1204163,1579.9654861351812,,47.724812279442325,,158.22525568804448,6251554.0
2005-08-18,1524,1542,1418,1448,1381903,1559.6631036528456,,45.573991954968925,,154.90624704799984,4869651.0
2005-08-19,1412,1489,1401,1465,792234,1545.0995492447155,,46.512945980182515,,148.5796110825616,5661885.0
2005-08-22,1354,1371,1248,1259,7739660,1501.0842339762976,,37.96560300493319,,154.90315309107544,-2077775.0
2005-08-23,1254,1295,1242,1248,2485633,1462.1481979799441,,37.568601221764865,,145.67872203092261,-4563408.0
2005-08-24,1265,1271,1175,1189,2914877,1420.125398290722,,35.4286644280784,,141.26597964312626,-7478285.0
2005-08-25,1161,1206,1161,1189,2077052,1384.5676447075339,,35.4286644280784,,132.86131230939696,-7478285.0
2005-08-26,1212,1254,1177,1177,3764172,1352.6341609063747,,34.95895106589142,,128.06047258909328,-11242457.0
2005-08-29,1153,1171,1062,1070,2439728,1309.1519823053939,1506.3076923076924,31.010924528511847,-197.15571000229852,126.9540854653517,-13682185.0
2005-08-30,1088,1099,1030,1046,2158845,1268.6670619507179,1472.2108262108263,30.187431402077642,-203.54376426010845,122.10900423309701,-15841030.0
2005-08-31,1035,1118,1024,1078,2314996,1239.3336678044536,1443.0100242692838,32.7516231081885,-203.67635646483018,119.78729672018666,-13526034.0
2005-09-01,1084,1113,1075,1075,1635225,1214.051565065307,1415.750022471559,32.630619546614426,-201.69845740625215,113.10655656472281,-15161259.0
2005-09-02,1071,1230,1071,1177,5553679,1208.351324286029,1398.064835621814,40.65828099874055,-189.71351133578491,116.81727531172909,-9607580.0
2005-09-05,1212,1212,1145,1161,1703110,1201.0665051651015,1380.5044774276055,39.85600327160699,-179.437972262504,112.82691003792671,-11310690.0
2005-09-06,1195,1224,1166,1166,3135871,1195.6716582166243,1364.6152568774125,40.25276360751155,-168.9435986607882,108.87008447334908,-8174819.0
2005-09-07,1177,1201,1155,1162,2982413,1190.4914031063745,1349.6067193309377,40.02528265272275,-159.11531622456323,103.91702147621083,-11157232.0
2005-09-08,1165,1177,1130,1138,1784282,1182.4158026284708,1333.932147528646,38.61520315719021,-151.51634490017523,99.46569052833544,-12941514.0
2005-09-09,1131,1172,1131,1135,1931750,1175.1210637625522,1319.1964328968945,38.43293640559057,-144.07536913434228,94.92402927422185,-14873264.0
2005-09-12,1142,1155,1083,1095,2198581,1162.7947462606212,1302.5892897193467,35.99346250267995,-139.79454345872546,93.15433699140942,-17071845.0
2005-09-13,1102,1118,1068,1080,2296729,1150.0570929897563,1286.1011941845802,35.0938821258478,-136.04410119482395,89.84201336170084,-19368574.0
2005-09-14,1066,1100,1066,1085,1170816,1140.0483094528706,1271.204809430167,35.67102904170438,-131.15649997729633,85.57855370655324,-18197758.0
2005-09-15,1079,1125,1071,1083,2214138,1131.2716464601212,1257.2637124353398,35.53491569599006,-125.99206597521857,83.1793792882543,-20411896.0
