Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2015-10-02,68400,76100,62000,72800,2259313,,,,,,2259313.0
2015-10-05,74300,77000,72800,76600,408457,,,,,,2667770.0
2015-10-06,77700,78300,74600,76000,205539,,,,,,2462231.0
2015-10-07,75000,77600,75000,77000,162093,,,,,,2624324.0
2015-10-08,77000,77800,76100,77000,115875,,,,,,2624324.0
2015-10-12,77800,77800,75900,76300,143593,,,,,,2480731.0
2015-10-13,76000,76900,75500,75900,101099,,,,,,2379632.0
2015-10-14,76300,85700,76300,83400,625458,,,,,,3005090.0
2015-10-15,84000,89500,83900,88300,346696,,,,,,3351786.0
2015-10-16,89900,90000,86300,87400,174679,,,,,,3177107.0
2015-10-19,87000,87900,84100,87900,237955,,,,,,3415062.0
2015-10-20,89600,91800,84600,86900,271396,80458.33333333333,,,,,3143666.0
2015-10-21,86900,88700,84800,86400,135929,81372.43589743589,,,,,3007737.0
2015-10-22,86400,86700,82600,82600,114030,81561.29191321498,,,,,2893707.0
2015-10-23,83200,86300,81100,83500,140168,81859.55469579728,,63.43257976415214,,4435.204771918209,3033875.0
2015-10-26,84000,84600,80000,82400,124196,81942.70012721309,,59.29546126858748,,4452.74804706128,2909679.0
2015-10-27,82200,88500,80500,88000,215791,82874.59241533416,,70.01670135756319,,4817.591571412343,3125470.0
2015-10-28,88600,95500,87100,95000,376123,84740.03973605199,,77.86501182383662,,5174.825357020257,3501593.0
2015-10-29,96000,96300,92400,96000,168972,86472.34131512091,,78.7218850219477,,5051.198629054678,3670565.0
2015-10-30,95000,95900,92500,93600,143719,87568.9041897177,,71.56185595940656,,4904.51772152933,3526846.0
2015-11-02,94000,95100,91700,94700,188402,88665.99585283804,,72.7836965954351,,4765.467342465796,3715248.0
2015-11-03,95000,96300,93600,95000,123260,89640.45802932448,,73.12286049013755,,4578.498043384889,3838508.0
2015-11-04,94800,94800,90800,93500,139493,90234.23371712072,,68.52471804661182,,4544.877726849716,3699015.0
2015-11-05,92500,93100,90100,92200,113578,90536.65929910215,,64.72593609915731,,4444.9222029186285,3585437.0
2015-11-06,91000,95300,89700,94900,140823,91207.94248385566,,68.6172255681745,,4544.192039931324,3726260.0
2015-11-09,94600,94900,90400,90900,94797,91160.56671710864,85930.76923076923,58.347854569794755,5229.797486339405,4540.448415524293,3631463.0
