Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2005-12-12,46582,49555,45690,49555,2659931,,,,,,2659931.0
2005-12-13,48762,49654,48415,49505,1427928,,,,,,1232003.0
2005-12-14,49208,49208,47176,47325,1183841,,,,,,48162.0
2005-12-15,47573,47672,46383,46582,1246556,,,,,,-1198394.0
2005-12-16,45491,46829,45145,45145,1076045,,,,,,-2274439.0
2005-12-19,44798,46730,44798,46334,1189492,,,,,,-1084947.0
2005-12-20,46086,46582,45045,46582,924899,,,,,,-160048.0
2005-12-21,46086,46582,45789,46086,956589,,,,,,-1116637.0
2005-12-22,46730,46730,44500,45194,827789,,,,,,-1944426.0
2005-12-23,44699,45491,44104,45491,734566,,,,,,-1209860.0
2005-12-26,45293,45541,44451,44600,490496,,,,,,-1700356.0
2005-12-27,44154,45244,44154,44649,401270,46420.666666666664,,,,,-1299086.0
2005-12-28,45000,47200,44700,46450,793029,46425.179487179485,,,,,-506057.0
2005-12-29,47000,47000,46000,46200,709545,46390.53648915187,,,,,-1215602.0
2006-01-02,46500,46750,45700,46550,512667,46415.06933697466,,43.957665817816164,,1478.4853752781928,-702935.0
2006-01-03,46550,46700,45450,45600,665943,46289.674054363175,,38.04640549757497,,1454.1619658486206,-1368878.0
2006-01-04,46250,46300,45600,46000,799674,46245.10881523038,,41.607037113401006,,1376.5945662947809,-569204.0
2006-01-05,45900,46000,45250,46000,601543,46207.3997667334,,41.607037113401006,,1314.1112527863093,-569204.0
2006-01-06,45550,47400,45550,47400,740635,46390.87672569749,,52.65272845352432,,1366.0792906095078,171431.0
2006-01-09,46600,47600,46200,46900,837304,46469.20338328249,,49.08181244995314,,1369.2868233806869,-665873.0
2006-01-10,46900,48000,46900,48000,1412594,46704.71055508518,,56.13078725880575,,1344.3988248333267,746721.0
2006-01-11,47400,48400,46800,47400,657645,46811.67816199515,,51.90951609453867,,1367.536238619844,89076.0
2006-01-12,48300,48950,47800,48500,1065272,47071.41998322667,,58.126845969352786,,1383.7436920559005,1154348.0
2006-01-13,48650,48650,47500,48350,480993,47268.1246011918,,57.04382550412386,,1363.3362960020675,673355.0
2006-01-16,48000,48200,47050,47500,432990,47303.797739469985,,51.21995815539686,,1357.8930403209351,240365.0
2006-01-17,47850,47850,46050,46400,636271,47164.75193339768,46703.769230769234,44.839883634926885,460.98270262844744,1395.345088412513,-395906.0
2006-01-18,46500,46900,45000,46400,939894,47047.09778979804,46681.26780626781,44.839883634926885,365.8299835302314,1437.5352812395486,-395906.0
