Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2008-10-10,47062,47062,40025,45938,13312741,,,,,,13312741.0
2008-10-13,47062,50336,45498,49554,3254127,,,,,,16566868.0
2008-10-14,52780,54734,50629,51900,4049071,,,,,,20615939.0
2008-10-15,49065,50141,48577,49847,2918014,,,,,,17697925.0
2008-10-16,44618,44912,42419,42419,4032208,,,,,,13665717.0
2008-10-17,42419,42761,36653,37141,6211665,,,,,,7454052.0
2008-10-20,38314,38901,36213,38167,5004476,,,,,,12458528.0
2008-10-21,38998,40073,38314,38314,3902726,,,,,,16361254.0
2008-10-22,37141,40073,35186,37630,3721802,,,,,,12639452.0
2008-10-23,34356,36555,34307,35968,3007566,,,,,,9631886.0
2008-10-24,35626,36310,32547,35968,3810060,,,,,,9631886.0
2008-10-27,35968,39096,34209,39096,3902801,41828.5,,,,,13534687.0
2008-10-28,37141,37434,35675,36750,5265020,41047.19230769231,,,,,8269667.0
2008-10-29,37923,38461,31277,31277,6888434,39544.08579881657,,,,,1381233.0
2008-10-30,33232,35480,27563,34209,12635387,38723.30336822941,,34.73548354653249,,4913.641891175191,14016620.0
2008-10-31,32303,35382,30446,31277,9983231,37577.71823465566,,30.738596523174465,,4916.022023533135,4033389.0
2008-11-03,30299,32987,29860,32303,7523911,36766.22312163171,,33.617138525106554,,4732.016740326015,11557300.0
2008-11-04,32743,35138,32645,34991,6496551,36493.11187214991,,40.58420253531957,,4542.848340067584,18053851.0
2008-11-05,36213,37825,34942,35675,6194716,36367.24850720377,,42.245290962892604,,4381.883845541617,24248567.0
2008-11-06,33329,33427,30397,30397,4852360,35448.74873686473,,34.281072116481944,,4466.62033790442,19396207.0
2008-11-07,28833,32254,28736,31228,4082446,34799.40277734708,,36.31673801652387,,4378.947048527073,23478653.0
2008-11-10,31326,33427,30837,32841,3206799,34498.11004237061,,40.189421990063586,,4217.0087942254295,26685452.0
2008-11-11,31961,32792,31326,31961,2195351,34107.78542046744,,38.803032019890814,,3977.0012366426186,24490101.0
2008-11-12,30984,32156,30788,31375,2135141,33687.356894241675,,37.866277308662376,,3749.2178852597162,22354960.0
2008-11-13,29566,29762,27660,29762,4081916,33083.45583358911,,35.33746253725457,,3746.277127588472,18273044.0
2008-11-14,31277,31423,30544,31423,2548500,32828.00108996002,36823.5,39.79616520809098,-3995.4989100399835,3569.627795211067,20821544.0
2008-11-17,30837,33574,29615,31668,4090043,32649.53938381232,36441.61111111112,40.44843918634864,-3792.0717272987968,3602.1801156667557,24911587.0
2008-11-18,30837,31179,29420,29420,2758046,32152.687170918118,35921.49176954733,36.53686082748346,-3768.804598629209,3490.329474416526,22153541.0
2008-11-19,29664,29762,28100,28198,2412563,31544.27376000764,35349.38126809937,34.57925400873895,-3805.1075080917326,3340.9836147661995,19740978.0
2008-11-20,26390,26781,23995,23995,4443566,30382.847027698772,34508.3159889809,28.85313782239529,-4125.468961282131,3410.682031827119,15297412.0
2008-11-21,22578,26536,21161,24435,7030811,29467.793638822037,33762.14443424158,30.157040389299482,-4294.350795419541,3568.023961064618,22328223.0
2008-11-24,24337,24679,22187,22285,3952744,28362.748463618645,32911.98558726072,27.504491059072766,-4549.237123642077,3482.5753728620225,18375479.0
2008-11-25,23800,24630,22529,23458,4894820,27608.171776908086,32211.690358574742,31.06692359257556,-4603.518581666656,3392.9543307880754,23270299.0
2008-11-26,23751,26976,23751,26976,6352952,27510.91458046069,31823.861443124762,40.509033965454165,-4312.946862664074,3402.7338245638252,29623251.0
2008-11-27,28442,30739,27660,29322,5592258,27789.543106543657,31638.53837326367,45.83699476637699,-3848.9952667200123,3430.7195870744586,35215509.0
2008-11-28,29811,30593,28736,29517,3341362,28055.305705536943,31481.38738265155,46.26775565847439,-3426.0816771146056,3309.2313715761393,38556871.0
