Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2016-09-22,7200,7200,6330,6350,3346717,,,,,,3346717.0
2016-09-23,6410,6870,6350,6590,1203796,,,,,,4550513.0
2016-09-26,6650,7090,6510,6970,1087013,,,,,,5637526.0
2016-09-27,6950,7100,6730,6890,449980,,,,,,5187546.0
2016-09-28,6890,7060,6660,6660,354530,,,,,,4833016.0
2016-09-29,6680,6970,6650,6890,183261,,,,,,5016277.0
2016-09-30,6890,6900,6720,6750,90210,,,,,,4926067.0
2016-10-04,6720,6880,6620,6710,122618,,,,,,4803449.0
2016-10-05,6780,6780,6550,6600,90513,,,,,,4712936.0
2016-10-06,6640,6640,6470,6500,110384,,,,,,4602552.0
2016-10-07,6500,6570,6400,6440,90763,,,,,,4511789.0
2016-10-10,6440,6590,6400,6560,67692,6659.166666666667,,,,,4579481.0
2016-10-11,6570,6860,6520,6790,129120,6679.294871794872,,,,,4708601.0
2016-10-12,6750,6800,6600,6610,61713,6668.634122287969,,,,,4646888.0
2016-10-13,6630,6650,6550,6610,56688,6659.61348808982,,52.491325393041755,,257.9689834825635,4646888.0
2016-10-14,6610,6750,6590,6680,66161,6662.74987453754,,55.177883370327905,,247.53969585860057,4713049.0
2016-10-17,6690,6690,6600,6620,56815,6656.172970762533,,52.440545552418314,,231.3363534896918,4656234.0
2016-10-18,6740,6740,6570,6590,30485,6645.9925137221435,,51.076162524128,,225.21996051292945,4625749.0
2016-10-19,6580,6600,6520,6530,114221,6628.147511611044,,48.36583085798041,,211.13719344633535,4511528.0
2016-10-20,6530,6630,6420,6470,73358,6603.817125209345,,45.75130837562369,,211.0296607528324,4438170.0
2016-10-21,6470,6640,6470,6480,64026,6584.7683367156,,46.27260266084949,,207.23762174997486,4502196.0
2016-10-24,6560,6600,6440,6440,38161,6562.496284913199,,44.43332545760238,,202.9615991534142,4464035.0
2016-10-25,6490,6500,6370,6460,28630,6546.727625695784,,45.597706582197,,196.480741190416,4492665.0
2016-10-26,6390,6390,5940,5980,292849,6459.538760204125,,29.57821720338449,,224.7261478899507,4199816.0
2016-10-27,6000,6080,5510,5540,482600,6318.07125863426,,21.96155260596842,,254.3997154282726,3717216.0
2016-10-28,5560,5560,5300,5380,240258,6173.752603459758,6503.461538461538,19.949762965752505,-329.70893500178045,254.87413032384245,3476958.0
2016-10-31,5370,5410,5200,5210,107814,6025.482972158256,6407.649572649572,18.05706896223116,-382.1666004913159,251.12256035427086,3369144.0
2016-11-01,5210,5410,5200,5320,132610,5916.947130287755,6327.082937638493,23.138433417608248,-410.1358073507381,247.72597766023847,3501754.0
2016-11-02,5280,5280,4995,5100,231582,5791.2629563973305,6236.187905220826,20.412142916089774,-444.92494882349547,254.03805404278063,3270172.0
2016-11-03,5170,5270,5000,5130,101521,5689.530193874664,6154.248060389654,21.76582886697524,-464.7178665149895,255.32865870585601,3371693.0
2016-11-04,5190,5190,5020,5160,62842,5608.06401020164,6080.600055916347,23.173072392533367,-472.53604571470714,248.49383053772823,3434535.0
2016-11-07,5160,5580,5160,5450,219966,5583.746470170618,6033.888940663283,35.290307539269506,-450.1424704926658,262.1133785950843,3654501.0
2016-11-08,5580,5580,5350,5370,64517,5550.862397836676,5984.711982095632,33.71075101866983,-433.8495842589564,259.5834060562399,3589984.0
2016-11-09,5320,5470,5000,5180,123800,5493.806644323341,5925.103687125586,30.247975506439012,-431.2970428022445,276.03953591468417,3466184.0
2016-11-10,5200,5430,5140,5350,95925,5471.682545196673,5882.503414005172,36.53006299969579,-410.82086880849874,277.123995847557,3562109.0
2016-11-11,5300,5630,5270,5570,88805,5486.808307474108,5859.3550129677515,43.608237639375815,-372.54670549364346,283.52186871818,3650914.0
2016-11-14,5570,5870,5500,5850,111073,5542.683952478092,5858.662049044214,51.08502569905856,-315.9780965661221,290.1595227216428,3761987.0
2016-11-15,5810,5850,5750,5770,34204,5577.655652096847,5852.094489855754,49.08265674139348,-274.43883775890663,275.6411089976511,3727783.0
2016-11-16,5880,5990,5620,5900,106214,5627.247090235794,5855.643046162735,52.35110327968388,-228.3959559269415,282.81000721685336,3833997.0
2016-11-17,5930,6020,5800,5980,65209,5681.516768661056,5864.854672372902,54.295418625694325,-183.3379037118466,278.0596255876834,3899206.0
2016-11-18,5950,6030,5720,5900,62820,5715.129573482432,5867.45802997491,52.00990104896923,-152.32845649247793,280.4651978462917,3836386.0
2016-11-21,5880,5880,5630,5800,100529,5728.186562177442,5862.461138865657,49.220796990767006,-134.27457668821444,279.6800679859559,3735857.0
2016-11-22,5930,5940,5660,5690,67791,5722.3117064578355,5849.6862396904235,46.2807361548504,-127.37453323258796,279.70398426093453,3668066.0
2016-11-23,5700,5700,5330,5400,104354,5672.725290079707,5816.376147861503,39.57008511200846,-143.65085778179673,286.4316205130505,3563712.0
2016-11-24,5400,5480,5100,5120,242096,5587.690630067444,5764.7927295013915,34.385806540902195,-177.10209943394784,293.3816775123228,3321616.0
2016-11-25,5270,5340,5160,5200,74860,5528.045917749375,5722.956231019807,36.92837134016253,-194.9103132704322,287.94653129053967,3396476.0
2016-11-28,5240,5390,5090,5300,86515,5492.961930403317,5691.626139833154,40.055311973408,-198.66420942983768,288.83694406320734,3482991.0
2016-11-29,5200,5420,5130,5410,83572,5480.198556495114,5670.764944289958,43.38059242879546,-190.56638779484456,288.92265181515603,3566563.0
2016-11-30,5410,5470,5300,5370,52314,5463.244932418942,5648.486059527739,42.458251106380914,-185.24112710879672,280.1788105570367,3514249.0
2016-12-01,5400,5440,5280,5390,47861,5451.976481277567,5629.338944007165,43.10956468451234,-177.36246272959852,271.3610993171594,3562110.0
2016-12-02,5400,5430,5250,5370,57689,5439.364714927171,5610.128651858486,42.59040196706571,-170.76393693131467,264.67078901203837,3504421.0
2016-12-05,5370,5370,5240,5250,64260,5410.231681861453,5583.452455424524,39.5154868581485,-173.2207735630709,254.8266666898922,3440161.0
2016-12-06,5340,5990,5280,5680,321626,5451.734500036614,5590.604125393078,52.69502287337709,-138.86962535646398,290.2326156523478,3761787.0
2016-12-07,5730,5910,5720,5800,144279,5505.313807723289,5606.114930919517,55.602472447810044,-100.80112319622822,285.8438784799252,3906066.0
2016-12-08,5900,5920,5630,5700,105819,5535.265529612014,5613.069380481034,52.69587167563252,-77.80385086902061,286.14627271743365,3800247.0
2016-12-09,5740,5760,5540,5680,104643,5557.532371210166,5618.027204149106,52.109166276568644,-60.49483293893991,281.3399454154821,3695604.0
2016-12-12,5680,5780,5550,5750,75101,5587.142775639371,5627.802966804728,54.03800148107043,-40.66019116535699,277.6140729800739,3770705.0
