Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2019-02-13,15600,15600,14950,15300,3961223,,,,,,3961223.0
2019-02-14,15250,16000,15200,16000,2626606,,,,,,6587829.0
2019-02-15,15800,15850,15600,15650,1276624,,,,,,5311205.0
2019-02-18,15700,15800,15650,15750,1034314,,,,,,6345519.0
2019-02-19,15800,15850,15550,15550,974123,,,,,,5371396.0
2019-02-20,15400,15500,15100,15250,2923220,,,,,,2448176.0
2019-02-21,15200,15250,15050,15100,883514,,,,,,1564662.0
2019-02-22,14950,15000,14750,14850,1546763,,,,,,17899.0
2019-02-25,14900,15050,14850,14900,905856,,,,,,923755.0
2019-02-26,14900,14950,14700,14700,890582,,,,,,33173.0
2019-02-27,14650,14850,14500,14800,1573961,,,,,,1607134.0
2019-02-28,14800,14800,14600,14800,2377878,15220.833333333334,,,,,1607134.0
2019-03-04,14700,14750,14350,14400,1547446,15094.551282051283,,,,,59688.0
2019-03-05,14400,14400,14150,14250,1286767,14964.620315581855,,,,,-1227079.0
2019-03-06,14350,14450,14150,14350,1117292,14870.063343953876,,29.337347662729627,,317.5210043174737,-109787.0
2019-03-07,14400,14450,14150,14200,905411,14766.976675653279,,26.87728541580894,,315.65580589454476,-1015198.0
2019-03-08,14150,14200,14000,14000,651905,14648.980264014313,,23.98887709124325,,303.7603238723922,-1667103.0
2019-03-11,13950,14200,13950,14150,663971,14572.214069550573,,30.059687884751057,,298.3994041461024,-1003132.0
2019-03-12,14200,14450,14150,14400,841522,14545.719597312023,,38.82870039268455,,298.55462260573137,-161610.0
2019-03-13,14300,14550,14250,14550,715885,14546.378120802481,,43.41302669782136,,298.6912970869596,554275.0
2019-03-14,14550,14600,14350,14350,1578814,14516.166102217485,,39.19524043524724,,294.1911551343911,-1024539.0
2019-03-15,14400,14850,14350,14850,3539125,14567.525163414795,,51.8023392112838,,312.8212901542148,2514586.0
