Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2021-09-17,111000,135000,91000,111500,17373529,,,,,,17373529.0
2021-09-23,112000,113000,99000,99100,2914293,,,,,,14459236.0
2021-09-24,100000,102000,95500,99200,2262592,,,,,,16721828.0
2021-09-27,98300,99400,96500,97000,672212,,,,,,16049616.0
2021-09-28,98000,103000,97000,100000,1037427,,,,,,17087043.0
2021-09-29,98300,108000,98000,107500,1435139,,,,,,18522182.0
2021-09-30,107500,117000,106000,115500,1704373,,,,,,20226555.0
2021-10-01,114500,119500,109000,113500,1203513,,,,,,19023042.0
2021-10-05,111500,112500,104500,104500,706523,,,,,,18316519.0
2021-10-06,107000,111500,105500,107000,797435,,,,,,19113954.0
2021-10-07,109000,112000,107000,109500,474072,,,,,,19588026.0
2021-10-08,109500,110000,103000,104500,423907,105733.33333333333,,,,,19164119.0
2021-10-12,104000,106000,100500,101000,292797,105005.12820512819,,,,,18871322.0
2021-10-13,101500,103000,99800,102000,252749,104542.80078895461,,,,,19124071.0
2021-10-14,103000,103000,100000,102000,248276,104151.60066757697,,41.99949148556938,,6666.122796033876,19124071.0
2021-10-15,104500,107000,103500,105000,292470,104282.1236417959,,47.04046084088766,,6488.755702500938,19416541.0
2021-10-18,103000,104000,100000,101500,659149,103854.10461998114,,42.40944450429122,,6335.633543544002,18757392.0
2021-10-19,102500,103000,100000,101500,332255,103491.93467844557,,42.409444504291216,,6003.007875110449,18757392.0
2021-10-20,101500,102500,100000,100500,269309,103031.6370356078,,41.06968322861544,,5663.302205425785,18488083.0
2021-10-21,100500,102500,100000,100500,239165,102642.15441474506,,41.069683228615446,,5364.181235629959,18488083.0
2021-10-22,101000,101500,100000,101000,169264,102389.51527401505,,42.12981315061896,,5007.046282750598,18657347.0
2021-10-25,100500,106500,100000,106000,516573,102944.97446262812,,51.52169149623854,,5142.1907628086165,19173920.0
2021-10-26,106500,109500,104000,108500,388727,103799.59377606995,,55.41765739255567,,5173.973383680319,19562647.0
2021-10-27,108500,116500,108000,113500,771405,105291.96396436688,,61.99593787556237,,5464.35787212501,20334052.0
2021-10-28,114500,118000,111000,112000,569668,106323.96950831043,,59.174998855581926,,5596.334215302213,19764384.0
2021-10-29,113500,119000,113000,117000,693739,107966.43573780113,105415.38461538461,64.90709212855529,2551.051122416524,5715.242450791575,20458123.0
2021-11-01,116500,119000,113500,118500,385442,109586.98408583173,106384.61538461539,66.42990168742095,3202.3687012163427,5697.247737384558,20843565.0
2021-11-02,118500,119000,113500,116000,368462,110573.6019187807,107096.86609686611,61.629800085919705,3476.7358219145826,5680.95574959329,20475103.0
2021-11-03,116000,117500,112500,116500,281713,111485.35546973751,107793.3945341353,62.217815304100114,3691.960935602212,5625.332338588938,20756816.0
2021-11-04,117000,117000,112000,112500,292430,111641.45462823943,108142.03197605119,54.96132870142636,3499.4226521882374,5574.77103269818,20464386.0
2021-11-05,112000,114500,108500,113500,330870,111927.38468543335,108538.91849634369,56.332509022296016,3388.4661890896678,5608.831885964808,20795256.0
2021-11-08,114000,114000,110000,112000,176789,111938.55627228976,108795.29490402192,53.69196018762757,3143.2613682678348,5481.072265096332,20618467.0
2021-11-09,113500,115500,108500,109500,335982,111563.39376886057,108847.49528150178,49.52523297430113,2715.8984873587906,5600.737203072796,20282485.0
2021-11-10,109000,111500,106000,111000,255794,111476.71780442048,109006.9400754646,51.935399658124496,2469.7777289558726,5592.8588106690795,20538279.0
2021-11-11,110000,112000,109500,112000,164295,111557.22275758655,109228.64821802278,53.52853454504907,2328.5745395637787,5352.60308294357,20702574.0
2021-11-12,112000,114000,111000,112000,169377,111625.34233334247,109433.93353520628,53.52853454504907,2191.4087981361954,5170.986514991978,20702574.0
2021-11-15,112500,114000,111000,114000,180931,111990.67428205902,109772.16068074654,56.84629242444165,2218.513601312472,5004.351816495322,20883505.0
2021-11-16,114500,114500,111000,111500,145772,111915.18593097302,109900.14877846903,51.86201293721058,2015.0371525039955,4889.496658332729,20737733.0
2021-11-17,111500,113000,108000,108500,179729,111389.77271082332,109796.434054138,46.58364523127379,1593.3386566853296,4897.892128021692,20558004.0
2021-11-18,108000,109500,105500,106000,175355,110560.5769091582,109515.21671679444,42.6848743268658,1045.3601923637616,4829.9836774589585,20382649.0
2021-11-19,106000,109500,105500,109000,122211,110320.48815390309,109477.05251555041,48.27894037810053,843.4356383526756,4767.473899589133,20504860.0
2021-11-22,108500,110500,107500,109000,137867,110117.33613022568,109441.7152921763,48.27894037810054,675.6208380493772,4634.872819675164,20504860.0
2021-11-23,110000,111500,108500,111000,147284,110253.13057172942,109557.14378905213,51.90811797804637,695.9867826772825,4512.659142412116,20652144.0
2021-11-24,111000,113500,110000,112500,123175,110598.80279146336,109775.13313801122,54.48750999387198,823.6696534521325,4437.209497134125,20775319.0
2021-11-25,113500,116000,112000,114000,248249,111122.06390046899,110088.08623889928,56.972779838471276,1033.9776615697047,4404.734520626392,21023568.0
2021-11-26,114500,116500,111500,111500,171573,111180.20791578146,110192.67244342525,51.88724110802366,987.535472356205,4448.82393137381,20851995.0
2021-11-29,107000,110000,107000,108500,177072,110767.86823643045,110067.28929946783,46.52084107824371,700.5789369626291,4452.604405381589,20674923.0
2021-11-30,109500,109500,106000,106500,184116,110111.27312313346,109803.0456476554,43.30528016603003,308.2274754780665,4382.405217622103,20490807.0
2021-12-01,106000,109000,103500,108000,142292,109786.46187342063,109669.48671079203,46.303092252317484,116.97516262860154,4464.576874735869,20633099.0
2021-12-02,106000,114000,106000,113500,213861,110357.77543135593,109953.22843591854,55.578113349302534,404.5469954373839,4723.976515029099,20846960.0
2021-12-03,113000,114500,111000,111000,180027,110456.57921114733,110030.76707029494,51.24519245216458,425.81214085238753,4634.345558824226,20666933.0
2021-12-06,109500,113500,108500,112500,162493,110770.95164020159,110213.67321323605,53.58341620437803,557.2784269655385,4661.0740503774205,20829426.0
2021-12-07,113000,114500,109500,110000,188247,110652.34369555519,110197.84556781115,49.336529720336344,454.49812774403836,4685.807468416946,20641179.0
2021-12-08,111000,111000,107500,108000,213352,110244.29081931594,110035.04219241774,46.18299906821629,209.24862689820293,4599.405819416419,20427827.0
