Date,open,high,low,close,volume,EMA_12,EMA_26,RSI,MACD,ATR,OBV
2020-10-15,267300,347490,250965,255420,6623446,,,,,,6623446.0
2020-10-16,250470,250470,197010,198495,4549894,,,,,,2073552.0
2020-10-19,196515,200475,185130,187110,1997976,,,,,,75576.0
2020-10-20,188100,191565,174240,180675,1829915,,,,,,-1754339.0
2020-10-21,178695,183645,175230,177210,1675397,,,,,,-3429736.0
2020-10-22,174735,183150,173745,178200,1206055,,,,,,-2223681.0
2020-10-23,181170,182160,169785,170775,914694,,,,,,-3138375.0
2020-10-26,171270,171765,154440,154440,997930,,,,,,-4136305.0
2020-10-27,152955,164340,150975,160875,1129785,,,,,,-3006520.0
2020-10-28,159885,161865,155925,156915,587066,,,,,,-3593586.0
2020-10-29,153945,159885,152955,155430,523483,,,,,,-4117069.0
2020-10-30,147510,149985,140580,140580,1153848,176343.75,,,,,-5270917.0
2020-11-02,141075,145035,139590,142065,417052,171070.09615384616,,,,,-4853865.0
2020-11-03,143055,150480,143055,150480,696399,167902.38905325442,,,,,-4157466.0
2020-11-04,151965,151965,145530,147510,333104,164765.09842967681,,17.792769138400274,,12269.425474982685,-4490570.0
2020-11-05,148995,171270,148500,162360,1581516,164395.0832866496,,31.907103215669718,,13492.654525913029,-2909054.0
2020-11-06,162855,164340,157905,160380,417279,163777.37816562658,,31.139416088989655,,12766.757525911908,-3326333.0
2020-11-09,162360,167805,159390,161370,433562,163407.01229399172,,32.02012407829406,,12332.805103674522,-2892771.0
2020-11-10,166815,169785,164835,166320,496144,163855.16424876222,,36.40010596770768,,11952.874297382577,-2396627.0
2020-11-11,168795,170280,161370,162360,298989,163625.13897972187,,34.4858185017691,,11665.140956812495,-2695616.0
2020-11-12,162360,162360,154440,155925,329564,162440.5022136108,,31.579471814838108,,11319.00793209691,-3025180.0
2020-11-13,154935,160875,154440,158400,226874,161818.88648843992,,33.887298132985286,,10876.899978610894,-2798306.0
2020-11-16,153945,170280,152955,169785,1173866,163044.4424132953,,43.35268826756471,,11449.656344352818,-1624440.0
2020-11-17,167310,181170,163845,177705,934530,165299.91281124987,,48.84001535544395,,11962.61335242683,-689910.0
2020-11-18,179685,183645,176220,179685,423211,167513.00314798066,,50.14035095625181,,11572.641231882026,-266699.0
2020-11-19,179685,180675,174240,178200,290520,169157.1565098298,168795.0,49.13171847696969,362.1565098298015,11137.418075401074,-557219.0
2020-11-20,180180,191070,176220,182655,830495,171233.74781600985,169821.66666666666,52.235940315351534,1412.0811493431975,11447.797591558505,273276.0
2020-11-23,183150,184140,176220,178200,408506,172305.47892123912,170442.28395061727,49.01474461149384,1863.1949706218438,11156.413588609566,-135230.0
2020-11-24,179190,179685,172260,179190,391538,173364.63601027927,171090.26291723823,49.7562291340576,2274.3730930410384,10851.61558699137,256308.0
2020-11-25,181665,182655,170775,172260,445507,173194.69200869784,171176.91010855392,44.840268270787,2017.7819001439202,10934.765706808852,-189199.0
2020-11-26,175230,179685,173250,174240,347134,173355.50862274432,171403.80565606843,46.467666254260855,1951.70296667589,10653.633366511327,157935.0
2020-11-27,176220,176715,173250,176220,129647,173796.19960386056,171760.56079265598,48.116164117309545,2035.6388112045825,10082.773799716257,287582.0
2020-11-30,176220,179190,174735,177705,179501,174397.55351095894,172200.88962282962,49.37532268920815,2196.6638881293184,9639.403659575044,467083.0
2020-12-01,180675,183150,177705,179190,331490,175134.85297081142,172718.60150262003,50.66473119742021,2416.251468191389,9311.37035190184,798573.0
2020-12-02,181170,181170,178200,180180,197720,175911.02943684044,173271.29768761114,51.55068149933788,2639.7317492293078,8818.767668773362,996293.0
2020-12-03,181665,188595,180180,187605,673089,177710.10183117268,174333.05341445474,57.68778650099869,3377.0484167179384,8787.597558190713,1669382.0
2020-12-04,187110,187605,183150,185625,260954,178927.77847253074,175169.49390227292,55.66292500956348,3758.2845702578197,8455.047778249254,1408428.0
2020-12-07,186615,186615,178200,178695,256937,178891.9663998337,175430.64250210454,49.15910993105982,3461.323897729162,8451.990186365201,1151491.0
2020-12-08,178200,181665,175230,180180,205427,179090.1254152439,175782.4467612079,50.49397724808929,3307.678654036019,8298.749752935117,1356918.0
2020-12-09,181170,181170,178200,178200,158457,178953.18304366793,175961.5247788962,48.65948499190327,2991.658264771744,7895.731252310031,1198461.0
2020-12-10,177210,179685,175230,179685,392458,179065.77026771902,176237.3377582372,50.123083133514186,2828.4325094818196,7636.594413679489,1590919.0
2020-12-11,180180,180180,177210,178695,145400,179008.72868806994,176419.3868131826,49.11778738092526,2589.341874887352,7286.492803172968,1445519.0
2020-12-14,177705,177705,173250,173745,199659,178198.92427452072,176221.28408628018,44.33026232931002,1977.6401882405335,7148.833405805335,1245860.0
2020-12-15,173745,173745,168795,170280,153741,176980.62823228678,175781.18896877795,41.29593589155006,1199.4392635088298,6985.006118275751,1092119.0
2020-12-16,171270,172260,169290,171270,97990,176102.0700427042,175447.02682294254,42.50679921921167,655.043219761661,6686.780141429209,1190109.0
2020-12-17,167310,167310,158895,159885,1134309,173607.1361899805,174294.28409531718,33.857762584224865,-687.1479053366929,7108.088398763489,55800.0
2020-12-18,160875,162360,158895,160380,163871,171572.19216075272,173263.59638455295,34.48196727646469,-1691.4042238002294,6838.966495317518,219671.0
2020-12-21,160380,160380,155430,156915,162915,169317.2395206369,172052.58924495644,32.191756053605815,-2735.3497243195307,6699.765046188114,56756.0
2020-12-22,155925,156915,152460,152955,167842,166799.97190207738,170637.9530045893,29.759104056069486,-3837.981102511927,6534.717690397967,-111086.0
2020-12-23,152955,156420,150975,151470,151294,164441.51468637318,169218.10463387897,28.877820471510514,-4776.589947505796,6454.76336332169,-262380.0
2020-12-24,151470,156915,149985,156420,133952,163207.4355038542,168270.09688322127,35.71203967528155,-5062.661379367055,6489.564614527112,-128428.0
2020-12-28,156915,157410,153450,154935,116699,161934.75311864587,167282.31192890857,34.636746530832795,-5347.558810262708,6304.6593082624295,-245127.0
2020-12-29,154935,158895,153450,156915,111793,161162.48340808495,166514.3628971376,37.345610186033234,-5351.879489052633,6241.924917264923,-133334.0
2020-12-30,156915,159390,155925,158400,118682,160737.48596068728,165913.29897883112,39.37493537679399,-5175.813018143846,6039.589463666669,-14652.0
2021-01-04,158400,158895,154440,156420,154471,160073.25735135077,165210.09164706586,37.6250844762971,-5136.834295715089,5924.296703261349,-169123.0
2021-01-05,155430,157410,153945,156915,170669,159587.3716049891,164595.64041394988,38.36256480786617,-5008.268808960769,5745.599032132116,1546.0
2021-01-06,158400,159390,155925,156915,149691,159176.23751191385,164026.70408699065,38.362564807866185,-4850.466575076804,5580.090070225872,1546.0
2021-01-07,156915,157905,155430,155430,141273,158599.8932793117,163389.91119165803,36.84680318235398,-4790.017912346317,5355.003166216546,-139727.0
2021-01-08,156420,160380,153450,158895,288214,158645.29431326376,163056.95480709078,42.55067397975376,-4411.6604938270175,5469.053124939234,148487.0
2021-01-11,160380,160875,152460,152955,256497,157769.8644189155,162308.66185841738,36.46968469747017,-4538.797439501883,5682.167681956719,-108010.0
2021-01-12,152955,155430,148500,151965,204549,156876.80835446698,161542.4646837198,35.557603075144584,-4665.656329252815,5772.355542578666,-312559.0
2021-01-13,151965,178200,151470,166815,2100265,158405.7609153182,161933.0228552961,54.100743575103564,-3527.261939977878,7285.800424441943,1787706.0
2021-01-14,164835,168795,161865,164340,344936,159318.72077450005,162111.3174586075,51.4438247470079,-2792.5966841074405,7260.126667139893,1442770.0
2021-01-15,159390,160875,155430,155430,696577,158720.45603996157,161616.40505426622,43.21565351126579,-2895.9490143046423,7379.09106500097,746193.0
2021-01-18,154440,166815,152955,163845,637058,159508.84741842904,161781.4861613576,51.160765435856,-2272.638742928568,7846.082142630146,1383251.0
2021-01-19,166320,172755,165330,171765,464377,161394.40935405536,162521.00570496076,57.22672653162943,-1126.5963509053981,7922.69614978195,1847628.0
2021-01-20,172260,175230,167310,174240,428281,163370.65406881607,163389.07935644515,58.94287179371575,-18.425287629070226,7922.502109840954,2275909.0
2021-01-21,176220,176220,171270,171270,244940,164585.938058229,163972.85125596772,56.03734402934735,613.0868022612703,7708.688901822432,2030969.0
2021-01-22,171270,196020,169785,190575,2274558,168584.2552800399,165943.3807925627,67.3154136502147,2640.874487477209,9040.62513196898,4305527.0
2021-01-25,199980,214830,195525,201465,1903689,173642.83139080298,168574.6118449655,71.72235125631856,5068.219545837492,10133.942821138176,6209216.0
2021-01-26,201465,216810,192555,208395,915523,178989.318869141,171524.27022681988,74.11425962370328,7465.048642321111,11148.255336902386,7124739.0
2021-01-27,205920,219285,204435,205425,1013334,183056.34673542698,174035.4353952036,71.3295579662039,9020.911340223392,11414.044225629024,6111405.0
2021-01-28,210870,222750,206415,217800,1670533,188401.5241607459,177277.25499555888,75.46593283093704,11124.269165187026,11838.298638398592,7781938.0
2021-01-29,219780,219780,198495,202455,780936,190563.597366785,179142.27314403598,63.27530395310031,11421.324222749012,12516.094237186446,7001002.0
2021-02-01,202455,215325,197010,215325,614231,194373.04392574116,181822.47513336665,67.95137315206135,12550.568792374514,12932.029055618588,7615233.0
2021-02-02,216810,240075,211365,230175,1376806,199881.03716793485,185404.14364200615,72.32936053216673,14476.893525928695,14063.38962431942,8992039.0
2021-02-03,229185,238590,223245,230175,550782,204541.64683440642,188720.50337222792,72.32936053216673,15821.143462178501,14155.26218773684,8992039.0
2021-02-04,231660,244530,226215,239085,870203,209856.00885988233,192451.20682613697,74.73133301531183,17404.802033745364,14453.377522669956,9862242.0
2021-02-05,241065,247005,235125,240570,404555,214581.2382660543,196015.56187605276,75.11899233569686,18565.67639000155,14268.995579311586,10266797.0
2021-02-08,244530,248985,240570,243045,330393,218960.2785328152,199499.22395930812,75.78575647940028,19461.054573507077,13849.650825463643,10597190.0
2021-02-09,239580,240075,227700,228690,589769,220457.15875853592,201661.50366602602,64.91923929624679,18795.6550925099,13956.746581031966,10007421.0
2021-02-10,229680,238590,228195,229185,393039,221799.90356491503,203700.28117224632,65.10504204980643,18099.62239266871,13701.705661155713,10400460.0
2021-02-15,230670,234630,223740,224235,309475,222174.53378569733,205221.37145578364,61.5919327675553,16953.1623299137,13500.407485236798,10090985.0
2021-02-16,225720,253935,225225,245520,944712,225766.14397251312,208206.45505165152,69.27057748371728,17559.688920861605,14659.992812417398,11035697.0
2021-02-17,245025,252450,239580,246510,397698,228957.50643828034,211043.75467745512,69.57525144669239,17913.751760825224,14531.882629085565,11433395.0
2021-02-18,252450,256410,237105,239085,440824,230515.5823708526,213120.8839606066,64.41672643796338,17394.698410245997,14873.447317033584,10992571.0
2021-02-19,240075,243540,226710,232155,346154,230767.8004676445,214530.81848204313,59.9491188500418,16236.981985601364,15013.439983604683,10646417.0
2021-02-22,233640,234135,224235,224730,227876,229838.9080880069,215286.31340929918,55.50717181647643,14552.594678707712,14647.614566321481,10418541.0
2021-02-23,225225,232155,218790,226215,211158,229281.38376677505,216095.84574935108,56.20607832985463,13185.538017423969,14555.864233396507,10629699.0
2021-02-24,232155,237105,207900,208890,578534,226144.2478026558,215562.07939754732,46.94164512944828,10582.168405108474,15603.662737371942,10051165.0
2021-02-25,212850,214335,202950,209880,389760,223642.05583301646,215141.18462735863,47.47443132976789,8500.871205657837,15301.94688055732,10440925.0
2021-02-26,200475,206910,198495,204435,276883,220687.12416639854,214348.13391422096,44.80932255868693,6338.99025217758,15021.834951796354,10164042.0
2021-03-02,210870,214335,203940,204930,178281,218262.95121772186,213650.4943650194,45.11099284865337,4612.456852702453,14690.984797712648,10342323.0
2021-03-03,207900,212355,205920,210375,734296,217049.42026114927,213407.86515279574,48.44895680312823,3641.5551083535247,14171.458128667882,11076619.0
2021-03-04,207405,214830,206910,210870,237815,216098.74022097245,213219.87514147753,48.7540606782163,2878.865079494921,13724.503802953288,11314434.0
2021-03-05,207405,207900,202455,205425,168219,214456.62634082284,212642.47698284956,45.55980627109624,1814.1493579732778,13344.921054360637,11146215.0
2021-03-08,207405,213345,203940,205920,285953,213143.2992114655,212144.5157248607,45.90677757744846,998.7834866047779,13063.26904397537,11432168.0
2021-03-09,207405,208890,195030,198000,306500,210813.56087124004,211096.77381931548,41.36419206715704,-283.21294807543745,13120.221410754855,11125668.0
2021-03-10,201465,201960,190575,191070,217464,207776.08996797234,209613.3090919588,37.83620779005185,-1837.2191239864624,12996.190041635864,10908204.0
2021-03-11,192555,211365,191070,209385,450555,208023.61458828428,209596.39730736925,49.97887115502209,-1572.782719084964,13517.87333177775,11358759.0
2021-03-12,212850,226215,212355,225720,466259,210746.13542085592,210790.73824756412,57.88111182906631,-44.602826708200155,13754.596952114945,11825018.0
2021-03-15,217800,224235,211860,215820,359103,211526.72997149348,211163.27615515195,52.47088026871612,363.4538163415273,13762.129971012617,11465915.0
2021-03-16,218790,220770,213840,216810,183279,212339.54074510987,211581.55199551108,52.94454780800768,757.9887495987932,13273.86611171046,11649194.0
2021-03-17,217800,231660,217800,228690,391398,214854.99601509294,212848.84444028803,58.31334315101849,2006.1515748049133,13386.501635928447,12040592.0
2021-03-18,229680,233145,227700,231660,257871,217440.38124354018,214242.26337063705,59.555707089726596,3198.1178729031235,12818.996388323267,12298463.0
2021-03-19,226215,229185,220770,223740,213202,218409.55335991862,214945.79941725655,54.86039847515477,3463.753942662064,12681.153388953455,12085261.0
2021-03-22,225225,232155,224235,227700,204858,219838.85284300806,215890.5550159783,56.69861730224054,3948.2978270297754,12376.309978752348,12290119.0
2021-03-23,229680,232155,217800,219780,184780,219829.79855946836,216178.66205183175,52.12654481948316,3651.1365076366055,12517.695871735676,12105339.0
2021-03-24,218790,223245,213840,216810,146267,219365.214165704,216225.42782577014,50.48255942406315,3139.7863399338676,12295.28611481232,11959072.0
2021-03-25,216810,233145,216315,233145,309847,221485.18121713414,217478.72946830568,58.27665168752052,4006.451748828462,12619.294809679897,12268919.0
2021-03-26,234630,240570,226710,239580,400523,224268.9994914212,219115.86061880155,60.888375811131276,5153.138872619631,12707.94215661576,12669442.0
2021-03-29,241065,241065,231660,234135,227488,225786.84572351025,220228.3894618533,57.602697901022744,5558.456261656946,12471.95456453676,12441954.0
2021-03-30,235620,246015,234630,240075,363020,227985.0233045087,221698.5087609753,60.130289619022484,6286.5145435334125,12429.66158610065,12804974.0
2021-03-31,242550,248490,238590,240570,279729,229921.1735653535,223096.39700090306,60.342466392188484,6824.77656445044,12248.929769990802,13084703.0
2021-04-01,243540,244530,231660,236610,284751,230950.22378606835,224097.40463046578,57.697114077357384,6852.81915560257,12293.301436459778,12799952.0
2021-04-02,237600,241065,231660,240570,592776,232430.18935744243,225317.5968800609,59.604246544899134,7112.59247738152,12086.953136352735,13392728.0
2021-04-05,252450,262350,241065,245520,1694289,234444.00637937436,226814.07118524157,61.91553133280022,7629.935194132791,12779.441561576172,15087017.0
2021-04-06,250470,261855,248985,256410,932212,237823.39001331676,229006.36220855702,66.46189002113306,8817.027804759739,13033.453597361087,16019229.0
2021-04-07,259380,276705,253935,273240,1042515,243272.09924203728,232282.92797088614,72.02082527504058,10989.171271151135,13729.03200104266,17061744.0
2021-04-08,275220,282150,262350,264330,639948,246511.77628172384,234656.78515822793,65.80249659040355,11854.991123495915,14162.736725376304,16421796.0
2021-04-09,265320,269280,254430,255420,515372,247882.27223838173,236194.80107243327,60.2045402375076,11687.47116594846,14211.833702892758,15906424.0
2021-04-12,253440,259875,247500,249975,463174,248204.23035555377,237215.55654854933,57.012543654104164,10988.673807004438,14080.614559587866,15443250.0
2021-04-13,252945,255915,248985,249975,323934,248476.65645469935,238160.70050791604,57.01254365410417,10315.955946783302,13569.795879542804,15443250.0
2021-04-14,239085,244530,229680,233145,1029999,246117.9400770533,237789.1671369593,47.90731945670595,8328.772940094,14050.220435903559,14413251.0
2021-04-15,225225,252450,225225,247500,1269470,246330.56468058354,238508.48808977712,54.57157538184991,7822.07659080642,14991.372226919479,15682721.0
2021-04-16,253500,255500,242500,249000,440679,246741.24703741685,239285.637120164,55.21629037782739,7455.609917252848,14849.117864555128,16123400.0
2021-04-19,250000,254000,240500,241500,347666,245934.9013393527,239449.66400015185,51.29633502693561,6485.237339200859,14752.743817055856,15775734.0
2021-04-20,241000,247500,239500,242000,215412,245329.53190252924,239638.5777779184,51.54331459255765,5690.954124610842,14270.365533338829,15991146.0
