"Date","Price","Open","High","Low","Vol.","Change %"
"08/22/2024","773.47","782.59","783.89","768.48","950.99M","-0.82%"
"08/21/2024","779.87","783.98","784.92","775.30","1.07B","-0.96%"
"08/20/2024","787.44","783.73","787.95","783.35","997.06M","1.28%"
"08/19/2024","777.47","787.32","788.79","776.71","1.14B","-1.13%"
"08/16/2024","786.33","787.34","788.86","783.88","1.08B","1.22%"
"08/14/2024","776.83","775.11","778.66","774.17","1.11B","1.56%"
"08/13/2024","764.86","771.98","773.90","757.19","1.17B","-1.02%"
"08/12/2024","772.72","767.21","775.31","767.21","885.11M","1.08%"
"08/09/2024","764.43","759.91","768.21","759.91","843.85M","2.57%"
"08/08/2024","745.28","738.29","751.51","732.74","1.01B","-0.44%"
"08/07/2024","748.54","731.82","754.41","731.44","947.16M","2.14%"
"08/06/2024","732.87","709.04","738.77","707.72","1.08B","6.02%"
"08/05/2024","691.28","765.57","765.57","672.57","1.17B","-11.30%"
"08/02/2024","779.33","799.45","799.97","778.39","845.79M","-4.20%"
"08/01/2024","813.53","807.52","815.28","807.50","644.08M","1.29%"
"07/31/2024","803.15","802.00","804.17","795.18","798.87M","-0.08%"
"07/30/2024","803.78","805.17","807.38","800.36","842.01M","-0.52%"
"07/29/2024","807.99","800.64","808.73","800.39","652.99M","1.31%"
"07/26/2024","797.56","799.97","802.06","795.02","777.35M","0.03%"
"07/25/2024","797.29","802.28","803.55","794.23","1.03B","-2.08%"
"07/24/2024","814.25","809.45","819.81","807.55","837.08M","0.26%"
"07/23/2024","812.12","816.30","821.93","808.79","939.60M","0.27%"
"07/22/2024","809.96","827.98","828.09","806.79","906.83M","-2.26%"
"07/19/2024","828.72","820.29","828.82","819.13","871.20M","0.76%"
"07/18/2024","822.48","820.14","824.96","812.90","869.76M","-0.84%"
"07/17/2024","829.41","841.28","843.10","829.09","828.95M","-1.21%"
"07/16/2024","839.61","850.96","851.20","837.29","874.49M","-1.56%"
"07/15/2024","852.88","852.62","852.93","847.68","785.85M","0.30%"
"07/12/2024","850.37","848.04","855.03","845.03","764.43M","-0.24%"
"07/11/2024","852.42","861.73","862.61","851.72","835.02M","-0.71%"
"07/10/2024","858.55","859.01","860.82","854.60","896.44M","-0.22%"
"07/09/2024","860.42","860.18","864.11","857.60","1.05B","0.13%"
"07/08/2024","859.27","848.59","859.27","848.59","742.51M","1.39%"
"07/05/2024","847.49","842.50","849.25","841.98","780.46M","0.79%"
"07/04/2024","840.81","838.90","844.10","838.90","744.76M","0.56%"
"07/03/2024","836.10","832.98","838.89","829.50","788.69M","0.75%"
"07/02/2024","829.91","846.86","847.39","828.49","710.21M","-2.04%"
"07/01/2024","847.15","840.59","847.97","840.40","620.76M","0.80%"
"06/28/2024","840.44","840.11","842.36","838.29","706.93M","0.21%"
"06/27/2024","838.65","841.12","844.62","837.80","814.04M","-0.41%"
"06/26/2024","842.12","845.91","846.76","839.34","704.56M","0.02%"
"06/25/2024","841.99","839.50","844.54","836.12","663.21M","0.06%"
"06/24/2024","841.52","852.27","852.48","841.43","670.00M","-1.31%"
"06/21/2024","852.67","853.48","856.02","848.50","772.54M","-0.56%"
"06/20/2024","857.51","861.44","864.70","854.94","637.74M","-0.43%"
"06/19/2024","861.17","860.66","866.21","856.16","1.03B","0.26%"
"06/18/2024","858.95","863.32","864.81","855.35","1.04B","0.00%"
"06/17/2024","858.96","860.13","864.10","857.11","820.23M","-0.37%"
"06/14/2024","862.19","872.69","873.37","859.69","975.48M","-1.05%"
"06/13/2024","871.33","879.52","879.52","871.12","928.80M","0.08%"
"06/12/2024","870.67","871.36","876.45","867.32","1.22B","0.27%"
"06/11/2024","868.36","866.88","872.36","865.91","1.04B","0.42%"
"06/10/2024","864.71","862.21","867.60","860.90","907.18M","-0.17%"
"06/07/2024","866.18","856.17","866.48","855.06","848.54M","1.81%"
"06/05/2024","850.75","849.33","852.18","844.13","904.88M","0.58%"
