Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2022-11-03,685.42,695.63,683.74,694.13,707278181,-0.0046,2,-3.24,4750449084800,319615919318102
2022-11-04,691.69,694.17,684.99,693.89,737321589,-0.0003,2,-0.24,5424942898745,319806801284679
2022-11-07,696.22,700.49,695.1,700.48,722344492,0.0095,1,6.59,4651070928412,322884894550289
2022-11-08,703.36,713.33,703.36,713.33,846229977,0.0183,1,12.85,5810476966421,328769979001164
2022-11-09,715.19,717.09,711.15,714.6,931480127,0.0018,1,1.27,5824931684302,329414677068255
2022-11-10,708.49,712.48,705.7,707.78,1041901657,-0.0095,2,-6.82,6157827810608,326431031187154
2022-11-11,727.22,732.12,724.53,731.22,1079376887,0.0331,1,23.44,7471802014687,337264814235686
2022-11-14,732.29,734.73,728.81,729.54,1100846011,-0.0023,2,-1.68,6717777424053,337140902387706
2022-11-15,730.33,744.96,730.33,744.96,1130885553,0.021099999999999997,1,15.42,6639306699465,344193558659399
2022-11-16,746.55,746.62,737.87,743.1,1186546228,-0.0025,2,-1.86,6517654800287,343209334494209
2022-11-17,740.62,742.29,735.04,737.54,978990600,-0.0075,2,-5.56,5746481992732,340965031533293
2022-11-18,738.34,742.17,731.53,731.92,1297151301,-0.0076,2,-5.62,6078255258263,338951690005533
2022-11-21,733.0,733.65,717.55,718.57,981797456,-0.0182,2,-13.35,5315208041133,332699337394302
2022-11-22,716.24,719.8,711.92,712.26,895809089,-0.0088,2,-6.31,5004877586727,329829714579478
2022-11-23,718.29,725.64,718.29,725.59,830056173,0.0187,1,13.33,5035913098123,335667394857994
2022-11-24,729.41,738.7,729.41,738.22,793573958,0.0174,1,12.63,5222187019960,341717146968777
2022-11-25,737.46,737.53,732.48,733.56,710328850,-0.0063,2,-4.66,4723353329704,339637553238086
2022-11-28,731.81,731.81,717.13,717.9,878676916,-0.0213,2,-15.66,5419027909882,332414215094245
2022-11-29,715.02,727.6,713.26,727.54,794007803,0.0134,1,9.64,4828375894525,336927388299632
2022-11-30,726.56,729.54,722.4,729.54,813568793,0.0027,1,2.0,5003807646157,337947065677640
2022-12-01,740.97,744.56,739.16,740.6,825110488,0.0152,1,11.06,5758034113830,343075080230538
2022-12-02,740.13,740.18,732.41,732.95,856591397,-0.0103,2,-7.65,6105784023168,339643001144892
2022-12-05,736.45,739.77,731.07,733.32,1058482673,0.0005,1,0.37,5258240835790,339917270391513
2022-12-06,726.32,727.34,719.29,719.44,926869131,-0.0189,2,-13.88,5019200256718,333769906652176
2022-12-07,715.63,722.62,711.63,718.14,982850616,-0.0018,2,-1.3,5033008873398,333420326905253
2022-12-08,718.37,719.69,711.08,712.52,1069811230,-0.0078000000000000005,2,-5.62,5819829414081,330917120166935
2022-12-09,717.24,721.14,712.4,719.49,1278548475,0.0098,1,6.97,6153962230900,334174610218005
2022-12-12,716.88,718.31,714.26,715.22,964001067,-0.0059,2,-4.27,4713130416393,332248030270132
2022-12-13,717.64,719.33,712.21,715.16,1191298483,-0.0001,2,-0.06,4878762164837,332194007303160
2022-12-14,718.17,729.17,718.17,729.0,1082237656,0.0194,1,13.84,5359244088087,338621742436927
2022-12-15,725.32,730.51,721.46,722.68,957408065,-0.0087,2,-6.32,4765903194878,335706650690362
2022-12-16,711.33,720.48,710.2,717.41,889444273,-0.0073,2,-5.27,4729865927302,333728481678709
2022-12-19,716.8,722.42,714.63,717.22,776382980,-0.0003,2,-0.19,4424672451571,333338382026031
2022-12-20,715.13,715.29,701.44,703.13,977951443,-0.0196,2,-14.09,5388784442362,326822623464700
2022-12-21,708.13,709.95,701.61,705.7,938032477,0.0037,1,2.57,5181366913552,327971511518424
2022-12-22,710.47,715.35,709.52,715.02,851987960,0.0132,1,9.32,4454190720079,332311677394446
2022-12-23,704.93,704.93,691.25,691.25,1107302430,-0.0332,2,-23.77,5147797944521,321813279703994
2022-12-26,691.94,696.96,686.8,694.68,797707556,0.005,1,3.43,4331951164904,323390640890782
2022-12-27,697.25,704.21,697.25,704.19,901437356,0.0137,1,9.51,5092351194343,327910002219152
2022-12-28,699.24,699.39,691.01,692.37,834832047,-0.0168,2,-11.82,5137454012918,321475844186489
2022-12-29,691.35,693.12,675.8,679.29,952158164,-0.0189,2,-13.08,4811065003230,315498720104122
2023-01-02,683.84,688.77,670.38,671.51,742766883,-0.0115,2,-7.78,4368090675028,311897723962202
2023-01-03,672.18,675.75,660.32,674.95,935983853,0.0051,1,3.44,5089081840536,313443983727042
2023-01-04,670.18,683.67,667.3,683.67,901765440,0.0129,1,8.72,5078751515147,317540886338069
2023-01-05,685.78,688.35,677.77,679.92,885279201,-0.0055000000000000005,2,-3.75,5386582895251,315902966634724
2023-01-06,677.28,691.17,676.4,688.94,818505863,0.013300000000000001,1,9.02,5526770459644,320090411554481
2023-01-09,695.02,701.21,695.02,701.21,1008250417,0.0178,1,12.27,5133008656994,325718026654199
2023-01-10,700.16,704.6,694.92,696.05,1158010390,-0.0074,2,-5.16,6117171540235,323644848790326
2023-01-11,701.29,710.29,701.29,709.77,1247665887,0.0197,1,13.72,5513943719806,329777375205274
2023-01-12,713.56,714.1,707.54,710.82,1246163428,0.0015,1,1.05,5282576216473,330354754662007
2023-01-13,712.24,714.75,709.26,711.82,1082281898,0.0014000000000000002,1,1.0,5228817012586,330987809068553
2023-01-16,714.71,718.15,713.19,716.89,1230665863,0.0070999999999999995,1,5.07,5646744491823,333362222147532
2023-01-17,716.7,718.9,708.54,709.71,1162082903,-0.01,2,-7.18,6282539324111,330058542928887
2023-01-18,711.12,713.28,708.79,711.75,1175236186,0.0029,1,2.04,6534155029258,331005187288778
2023-01-19,707.66,712.94,705.76,712.89,1008732586,0.0016,1,1.14,6275312810268,331969248601759
2023-01-20,712.32,718.03,712.32,717.97,1006210961,0.0070999999999999995,1,5.08,6147616035795,334506823768744
2023-01-25,725.23,732.42,725.23,732.35,1016337377,0.02,1,14.38,7703890930377,341163277030754
