,open,high,low,close,volume
20240822,103100,103500,102000,102400,458855
20240821,103400,103900,102300,103000,566956
20240820,104100,104900,102600,103400,895891
20240819,106300,106600,102600,103200,806135
20240816,103700,107000,103200,105900,1467142
20240814,103800,103900,101700,102300,713158
20240813,102200,103200,101100,102800,727338
20240812,102300,103000,101300,102100,639297
20240809,103500,104900,101500,101900,1080152
20240808,100100,102100,99300,101600,1074481
20240807,100400,103100,99900,101600,1475882
20240806,100900,105200,97600,102700,1867054
20240805,103900,104400,95000,96300,2493835
20240802,109000,110000,106700,107100,1332881
20240801,113300,114500,112100,112100,615829
20240731,110500,113000,110500,112100,882651
20240730,112800,115300,111600,111600,765612
20240729,112100,116100,110900,113700,1192545
20240726,118500,118500,110000,112100,1582067
20240725,118300,118900,114500,115000,1138700
20240724,118800,119400,117900,118400,689203
20240723,117200,120600,117200,120500,1194748
20240722,116700,117500,113800,115900,968117
20240719,118300,118400,114700,116300,1498610
20240718,120000,120700,118500,119900,864546
20240717,123000,123000,120100,121000,944338
20240716,120900,122900,120600,122900,891422
20240715,121300,121600,118700,120000,669497
20240712,122800,123500,120000,121300,863955
20240711,123000,123200,121300,122300,998099
20240710,121600,122900,120800,122000,1118813
20240709,125000,125400,120600,122500,1662846
20240708,126200,127500,124200,124200,999050
20240705,126700,128200,125300,126300,805600
20240704,124100,126600,124100,125600,793881
20240703,124800,125500,122500,123700,1035953
20240702,128000,128300,123500,123600,1369592
20240701,128100,129900,127700,128600,659327
20240628,132300,132300,128600,129300,1026360
20240627,129100,132300,128200,131500,901065
20240626,127800,130900,127600,130800,1219468
20240625,129200,130600,127900,129000,1100760
20240624,127800,128900,126100,128300,712382
20240621,130400,130500,126500,127900,1680099
20240620,131400,131600,128700,130600,1110575
20240619,132200,135000,130800,132300,1606458
20240618,129900,133900,129100,131000,2632809
20240617,124000,129400,123800,129100,2654199
20240614,121400,124600,120800,122700,1278973
20240613,123100,125400,121600,121700,2186257
20240612,124000,124000,121400,122500,970708
20240611,122700,123200,121300,122000,1214447
20240610,121000,123000,120000,121400,970865
20240607,120500,122300,119500,121100,976721
20240605,119000,120200,118300,119500,1068743
20240604,120700,121700,118100,119000,820199
20240603,120100,122800,119800,120700,906152
20240531,119200,120800,117700,117700,2011874
20240530,121100,122200,117700,117700,1096042
20240529,121200,123000,119200,122000,1277990
20240528,123000,124800,122000,122400,1096369
20240527,120500,124400,118600,122500,1644197
20240524,119300,122100,118800,120000,1463021
20240523,119000,120900,116200,120500,1760819
20240522,113600,119700,113400,118900,2260904
20240521,114900,115000,113800,114400,695579
20240520,113400,116500,113000,114900,850630
20240517,115100,115900,112500,112700,1087425
20240516,114900,115500,113400,114700,963262
20240514,114500,115200,112500,113900,788713
20240513,113900,115700,113300,114300,935835
20240510,113500,114500,112000,114100,1422408
20240509,116400,116400,111200,111700,1762344
20240508,114700,117200,114700,116000,792482
20240507,114000,116600,114000,115700,1204913
20240503,120300,120800,113600,113900,1779155
20240502,118300,119600,117500,119600,1246995
20240430,118100,119500,117200,118000,1264927
20240429,119500,121300,117600,118300,1820652
20240426,116600,121500,114500,118200,2705868
20240425,114800,118000,114200,116600,1708852
20240424,114800,116800,114200,116200,1178637
20240423,116000,118300,114500,115900,1392773
20240422,111600,115500,111600,115100,1916502
20240419,111000,113700,107800,110400,2114673
20240418,114000,114600,110700,112200,1665994
20240417,114800,114900,111300,113100,1576611
20240416,113500,115200,112200,114700,1988405
20240415,109200,115000,107200,114600,2446762
20240412,111500,111700,108000,109800,1226958
