,open,high,low,close,volume
20240822,13510,13750,12650,12700,3507552
20240821,13000,13070,12810,13030,953945
20240820,13100,13300,12950,13100,943597
20240819,13400,13440,12900,12910,1233668
20240816,13450,13620,13370,13400,1282480
20240814,13340,13550,13170,13240,1417439
20240813,13490,13670,13140,13160,1112754
20240812,13370,13500,13240,13430,901040
20240809,13340,13450,13150,13310,1697829
20240808,12980,13190,12760,13070,1480843
20240807,12640,13300,12570,13090,1836377
20240806,11720,13100,11720,12730,3806822
20240805,12630,12870,11170,11580,3869530
20240802,13700,13700,13220,13220,2179589
20240801,13920,14510,13920,14000,2879076
20240731,13580,13820,13480,13790,1275386
20240730,13720,13990,13510,13580,1658862
20240729,13620,14010,13560,13810,1342550
20240726,13970,14300,13600,13620,2340901
20240725,14030,14340,13700,13850,2469934
20240724,14130,14560,13890,14260,2371236
20240723,14160,14280,13730,14160,2980018
20240722,14300,14420,14050,14160,1632654
20240719,14270,14430,14080,14300,1599035
20240718,14030,14300,13800,14270,2303581
20240717,14220,14340,14130,14180,2103446
20240716,14310,14630,13800,14220,5170277
20240715,14990,15780,14100,14300,10504945
20240712,16230,16340,15340,15460,4557737
20240711,15580,17100,15520,16130,18552596
20240710,15340,15720,15290,15380,5738586
20240709,14480,14990,14470,14990,3609023
20240708,14400,14880,14330,14480,3133403
20240705,14630,14860,14390,14430,3217358
20240704,15630,15720,14750,14750,5028986
20240703,15460,15640,15100,15580,3957301
20240702,15820,16150,15500,15500,4452825
20240701,16620,16710,15980,15980,3779951
20240628,17190,17280,16480,16560,7024190
20240627,16170,16960,15810,16820,11628395
20240626,15630,16800,15630,16000,10137268
20240625,15520,15860,15300,15680,2515704
20240624,16500,16510,15680,15680,4930251
20240621,15780,16350,15710,16240,9078809
20240620,15780,16000,15510,15610,2923166
20240619,16480,16680,15660,15700,7644172
20240618,15730,16170,15610,15790,4081064
20240617,16000,16010,15210,15650,3503493
20240614,15100,15930,15090,15550,8978950
20240613,16010,16710,14050,15020,28017323
20240612,15530,15960,15320,15750,4315830
20240611,15900,15970,15220,15420,4405939
20240610,15170,15890,15120,15720,6695172
20240607,15560,15780,15330,15400,4433084
20240605,16070,16090,15390,15550,6316893
20240604,16680,16740,15950,16100,5610149
20240603,16540,17260,16320,16590,6545454
20240531,17330,17450,16710,16710,7406336
20240530,17950,18230,17200,17300,6527281
20240529,18930,19190,18050,18070,7351170
20240528,19100,19300,18540,18690,7128819
20240527,19320,19400,18620,19010,8784723
20240524,18180,19730,18150,19180,17602795
20240523,18000,18890,17530,18750,13180161
20240522,19500,19820,18510,18650,12991055
20240521,19890,20950,19020,19300,24760806
20240520,19200,19950,18550,19680,38903322
20240517,18200,18900,17700,18360,16959726
20240516,17660,18800,17270,18580,35903867
20240514,18430,18540,17000,17240,28425492
20240513,15000,18900,14640,18110,85375345
20240510,14570,14920,14120,14600,12132535
20240509,14400,14690,13970,14380,7391615
20240508,14150,14600,13910,14060,9705604
20240507,13190,14480,13190,14300,17865402
20240503,13540,13700,13080,13080,4652395
20240502,13580,13800,13260,13490,5062726
20240430,14380,14610,13720,13760,10445696
20240429,13840,14670,13560,14210,24093129
20240426,12560,14090,12560,13800,33239861
20240425,12470,12570,12280,12300,2271634
20240424,12530,12670,12240,12650,3860350
20240423,12560,12760,12210,12400,2990197
20240422,12900,13250,12260,12450,5357633
20240419,13110,13170,12100,12750,7311102
20240418,12500,13230,12290,13100,10065225
20240417,11950,12430,11900,12110,5672528
20240416,13230,13460,11740,11990,12284180
20240415,13500,13850,13200,13380,9813698
20240412,13330,14250,13170,13330,39353665
20240411,12840,13270,12610,12950,6045230
20240409,13170,13730,12640,13000,13213465
20240408,12790,13430,12470,13100,20644411
20240405,12630,13820,12010,12790,60912237
20240404,10990,11450,10830,11420,10991536
20240403,10830,10910,10140,10720,4089196
20240402,10620,11230,10410,10830,8145451
20240401,10530,10990,10520,10790,5747116
20240329,9940,11240,9700,10410,12938000
20240328,10500,10520,10250,10250,1080497
20240327,10100,10580,10060,10400,1558000
20240326,10240,10300,10060,10130,773411
20240325,10370,10480,10110,10230,959618
20240322,10350,10680,10290,10340,1671690
20240321,10330,10420,10180,10270,1044448
20240320,10600,10600,10150,10340,1391761
20240319,10620,10870,10320,10400,1971826
20240318,10400,11270,10280,10610,8773352
20240315,10400,10590,10040,10100,2756505
20240314,9310,11660,9310,10260,17058639
20240313,9020,9350,8920,9300,1407989
20240312,8980,8980,8830,8960,539997
20240311,8920,9000,8840,8860,578339
20240308,8920,8980,8710,8840,1144544
20240307,9360,9420,8870,8880,1145932
20240306,9420,9460,9230,9230,831435
20240305,9190,9900,9190,9420,2455365
20240304,9420,9440,9200,9200,413739
20240229,9120,9380,9120,9380,571446
20240228,9080,9200,9050,9180,398435
20240227,9200,9240,9100,9120,310472
20240226,9200,9250,9130,9140,387324
20240223,9270,9300,9080,9260,721227
20240222,9340,9370,9050,9260,1119475
20240221,9730,9760,9330,9390,878893
20240220,9930,9930,9690,9740,591029
20240219,9990,10070,9930,9960,474382
20240216,9960,10020,9840,9930,522497
20240215,10000,10010,9910,9920,399282
20240214,9800,9980,9790,9910,303398
20240213,9900,10170,9880,9980,586194
20240208,9700,9900,9670,9810,668866
20240207,9740,9740,9560,9670,345635
20240206,9600,9730,9410,9600,381932
20240205,9690,9780,9380,9600,538923
20240202,9330,9820,9310,9650,700983
20240201,9180,9380,9140,9320,459635
20240131,9350,9520,9250,9310,454678
20240130,10050,10060,9200,9250,1475688
20240129,9720,10156,9611,9720,1841397
20240126,9802,9838,9575,9720,1366020
20240125,9811,9938,9456,9865,2330625
20240124,9157,10274,9057,9802,12246229
20240123,8684,8939,8684,8911,397335
20240122,8848,8902,8675,8684,310838
20240119,8521,8830,8512,8766,463465
20240118,8521,8639,8457,8475,376953
20240117,8793,8821,8557,8575,514704
20240116,8848,8957,8793,8821,315017
20240115,8993,9029,8821,8848,442656
20240112,9011,9029,8866,8993,382738
20240111,9029,9075,8993,9011,360461
20240110,9120,9157,8975,8993,496857
20240109,9111,9139,9048,9102,407620
20240108,9157,9157,9029,9029,375493
20240105,8930,9157,8911,9029,549076
20240104,9129,9129,8993,9020,534003
20240103,9320,9347,9157,9166,773249
20240102,9211,9347,9157,9320,1009041
20231228,8948,9166,8893,9157,1239207
