,open,high,low,close,volume
20240822,1403,1422,1363,1363,259485
20240821,1421,1440,1381,1403,336241
20240820,1410,1447,1409,1420,176229
20240819,1435,1450,1407,1409,268066
20240816,1495,1495,1426,1433,413142
20240814,1455,1496,1455,1464,237524
20240813,1530,1537,1437,1441,439287
20240812,1476,1544,1471,1510,384701
20240809,1460,1536,1460,1479,534318
20240808,1510,1510,1448,1461,515546
20240807,1600,1664,1511,1513,1162690
20240806,1552,1719,1550,1590,2169214
20240805,1571,1610,1451,1595,2296782
20240802,1653,1689,1552,1589,2035199
20240801,1370,1720,1370,1653,14356473
20240731,1373,1391,1365,1375,215427
20240730,1373,1374,1340,1373,267753
20240729,1330,1376,1325,1370,449773
20240726,1291,1338,1275,1334,509099
20240725,1295,1302,1264,1290,295515
20240724,1286,1321,1285,1298,368040
20240723,1315,1346,1310,1310,271812
20240722,1360,1362,1300,1318,614239
20240719,1399,1399,1354,1360,457522
20240718,1435,1435,1392,1395,402991
20240717,1446,1446,1436,1436,199912
20240716,1455,1465,1444,1446,148304
20240715,1453,1468,1446,1459,311517
20240712,1452,1483,1452,1467,277592
20240711,1454,1466,1446,1455,117458
20240710,1454,1460,1443,1445,155229
20240709,1440,1520,1440,1461,581738
20240708,1435,1455,1429,1445,145573
20240705,1460,1470,1431,1435,258176
20240704,1477,1491,1455,1455,211155
20240703,1496,1501,1474,1479,280628
20240702,1529,1529,1497,1499,160795
20240701,1504,1529,1497,1527,219004
20240628,1501,1511,1494,1503,137531
20240627,1513,1525,1501,1501,178628
20240626,1507,1538,1502,1528,315921
20240625,1509,1511,1501,1503,145060
20240624,1550,1553,1505,1507,360330
20240621,1571,1576,1548,1550,288529
20240620,1550,1595,1548,1571,447183
20240619,1564,1573,1546,1551,490955
20240618,1588,1588,1552,1568,363076
20240617,1599,1607,1573,1574,435280
20240614,1621,1625,1587,1599,527872
20240613,1649,1659,1620,1625,643262
20240612,1666,1669,1649,1650,358249
20240611,1674,1676,1665,1666,234967
20240610,1687,1691,1671,1674,252581
20240607,1684,1702,1683,1687,177713
20240605,1700,1700,1677,1684,319711
20240604,1725,1727,1686,1694,298371
20240603,1705,1726,1695,1725,265248
20240531,1699,1707,1692,1700,215935
20240530,1740,1740,1682,1701,464161
20240529,1747,1775,1738,1738,275149
20240528,1751,1773,1745,1746,268980
20240527,1775,1777,1741,1747,442062
20240524,1791,1799,1771,1771,376287
20240523,1801,1807,1793,1793,325352
20240522,1810,1818,1800,1801,292592
20240521,1822,1825,1806,1811,425461
20240520,1827,1832,1822,1826,264225
20240517,1853,1861,1823,1830,565194
20240516,1871,1873,1855,1859,260826
20240514,1864,1885,1855,1866,178966
20240513,1918,1918,1864,1867,490437
20240510,1938,1953,1910,1922,431789
20240509,1854,2035,1854,1940,3167633
20240508,1837,1862,1835,1858,371612
20240507,1834,1855,1825,1838,317786
20240503,1842,1862,1827,1832,494599
20240502,1867,1867,1834,1839,391906
20240430,1869,1886,1857,1867,206209
20240429,1838,1872,1830,1869,382778
20240426,1843,1843,1825,1832,293068
20240425,1862,1862,1838,1838,383669
20240424,1853,1862,1841,1860,291192
20240423,1853,1865,1838,1841,323829
20240422,1860,1892,1845,1851,378613
20240419,1916,1916,1844,1860,539053
20240418,1852,1929,1847,1917,437305
20240417,1859,1888,1849,1852,282084
20240416,1930,1931,1854,1856,651952
20240415,1899,1929,1845,1922,792712
20240412,1914,1922,1903,1909,369060
20240411,1957,1957,1911,1912,464492
20240409,1954,2005,1954,1957,355700
20240408,1982,1982,1950,1963,422700
20240405,2005,2010,1981,1981,596772
20240404,2045,2075,2010,2015,342720
20240403,2030,2055,2010,2045,346661
