,open,high,low,close,volume
20240822,26300,26600,25750,26150,670269
20240821,27200,27300,25700,26150,1671141
20240820,28100,28100,26650,27750,1008943
20240819,28000,28100,27400,27600,722658
20240816,28500,29000,28000,28100,1615505
20240814,27450,28550,26950,28100,2640957
20240813,26250,27000,26050,26600,787732
20240812,25450,26950,25350,26600,2036178
20240809,23450,25250,23300,25050,1991813
20240808,22700,23200,22200,22700,937647
20240807,23000,23650,22700,23100,1026266
20240806,23200,24200,23050,23300,1156916
20240805,25650,25850,22150,22950,1913961
20240802,26450,26650,25850,26200,922365
20240801,24950,27350,24800,27000,2052828
20240731,24650,24800,24250,24750,574867
20240730,24800,25100,24500,24600,487892
20240729,25050,25350,24550,25050,650209
20240726,25100,25650,24500,25000,993849
20240725,24900,25850,24350,25500,1137022
20240724,25250,26350,25050,25100,1253966
20240723,25900,26050,25150,25150,588872
20240722,26900,26950,25450,25700,879345
20240719,25500,26500,25300,26500,1081903
20240718,25100,25650,24900,25550,619248
20240717,26250,26350,25400,25550,894600
20240716,26600,26650,25450,25450,2235077
20240715,26700,27150,26550,27100,847285
20240712,28000,28300,26900,27250,753663
20240711,27400,27450,26850,27250,688245
20240710,27100,27250,26700,26850,522722
20240709,27450,28200,27250,27350,942451
20240708,27150,27350,26800,27100,597624
20240705,27200,27400,26750,27150,729253
20240704,26350,27450,26300,27000,1787633
20240703,25600,26650,25500,25850,1341712
20240702,26350,26400,25350,25550,1634930
20240701,26300,26800,25700,26500,2643189
20240628,28100,28200,27300,27600,1472981
20240627,28800,29300,28100,28200,1213987
20240626,29750,29750,28600,28850,1494802
20240625,30300,30550,29850,29850,786339
20240624,29900,30350,29700,30000,570705
20240621,30550,30650,29850,29900,848857
20240620,30500,31150,30000,30350,936462
20240619,30000,30850,29950,30350,1286564
20240618,29950,30200,29350,29650,1720896
20240617,30350,30950,30150,30250,1178883
20240614,33100,33150,31000,31050,2667604
20240613,34200,34300,32550,33350,2734231
20240612,32700,34300,32050,33900,4165796
20240611,30700,32600,30050,32350,4022195
20240610,29500,30400,29350,29750,1206210
20240607,29600,30200,28850,29400,1256740
20240605,29500,29950,29200,29450,985222
20240604,30500,31000,28850,29700,2338489
20240603,31600,32350,30600,30850,1380441
20240531,32250,33450,31450,31450,2678080
20240530,32250,33000,30350,32200,3202679
20240529,32200,32300,31000,31650,2290167
20240528,34150,34550,31950,32400,3658066
20240527,31700,34300,31650,32850,8590020
20240524,31700,32500,30050,30250,3811845
20240523,31250,33900,31150,32250,13437653
20240522,29100,30100,28500,28800,3144895
20240521,31800,31850,28050,28050,4379428
20240520,31300,32700,30850,31800,3498469
20240517,30600,31500,29550,30950,2823079
20240516,29900,31300,29650,30000,3128502
20240514,29100,29450,28500,29250,925738
20240513,29400,29850,28800,28950,1349973
20240510,29300,29650,28200,28800,1377330
20240509,29000,29300,28550,28900,1450770
20240508,28250,28950,27750,28800,1864751
20240507,27400,28250,26900,28000,2400501
20240503,26200,27650,25950,26500,1928258
20240502,25400,26250,25100,25950,874755
20240430,26300,26300,25400,25600,1304639
20240429,23350,26600,23300,26300,3856197
20240426,23600,23750,23000,23150,1304757
20240425,24500,24750,23600,23800,1234964
20240424,25150,25550,24550,24650,932315
20240423,25400,25450,24550,24550,677148
20240422,25550,25600,25000,25100,455611
20240419,25300,26100,24700,24900,1358441
20240418,24600,26000,24600,25500,1090783
20240417,24500,24750,24100,24100,524347
20240416,24200,25050,24200,24500,675151
20240415,25250,25350,24650,24700,834166
20240412,26850,26900,25650,25700,1378114
20240411,27050,27300,26700,26950,719799
20240409,27000,27650,27000,27300,516788
20240408,27250,27250,26750,26900,396852
20240405,27050,27650,27050,27150,511043
20240404,27700,27750,27100,27150,642066
20240403,27750,28000,27300,27500,781561
20240402,28600,28800,27700,27750,1329765
20240401,28750,29100,28250,29050,1518983
20240329,27850,28600,27800,28350,1398808
20240328,28200,29250,27550,27650,4018173
20240327,27150,27400,27000,27100,461724
20240326,27250,27650,27100,27200,620861
20240325,27600,27600,27150,27250,580568
20240322,27600,28050,27500,27600,784096
20240321,27550,28100,27350,27550,881630
20240320,27300,27550,27000,27050,452820
20240319,27650,27700,27050,27050,545394
20240318,27550,27650,27100,27650,455440
20240315,27600,27600,27050,27450,715543
20240314,26900,27800,26800,27800,871964
20240313,27300,27300,26900,26900,685184
20240312,27150,27350,27000,27250,494684
20240311,27400,27450,26950,27000,534057
20240308,27050,27350,26900,27350,790138
20240307,26900,27100,26500,26650,678458
20240306,27200,27450,26800,26900,827642
20240305,27300,27700,27150,27250,636334
20240304,28000,28100,27400,27600,722389
20240229,27700,27950,27450,27750,920770
20240228,27600,28250,27450,27950,1658587
20240227,26950,27300,26800,27300,1292909
20240226,26750,27650,26650,26800,2495943
20240223,28800,28800,26500,26900,6545619
20240222,32950,33100,28900,29300,4885784
20240221,32900,33150,32550,32800,486652
20240220,33450,33650,32850,32950,579253
20240219,33300,33850,32900,33250,621708
20240216,32600,34150,32600,33600,1359706
20240215,32750,32750,32050,32250,514452
20240214,31600,32150,31400,32000,577862
20240213,32600,32850,32200,32250,629246
20240208,32500,32600,31600,31850,819718
20240207,32000,32200,31000,31600,1782214
20240206,32800,33200,32250,32250,819274
20240205,34550,34650,32800,33200,1058349
20240202,35250,35850,34650,34700,837462
20240201,33400,35000,32850,35000,1014891
20240131,33300,33900,32750,33350,639514
20240130,33000,34100,32950,33250,777968
20240129,33000,33100,32550,32600,421000
20240126,32750,33100,32400,32950,460852
20240125,33200,33350,32550,32950,569270
20240124,33750,34150,33250,33750,768656
20240123,32650,33550,32600,32900,841747
20240122,32700,32900,31650,32200,771241
20240119,33400,34100,32450,32600,1316582
20240118,34100,34600,32800,33200,1408701
20240117,37000,37050,34100,34150,2041632
20240116,37000,38500,37000,37750,863341
20240115,36750,37950,36750,37200,627403
20240112,37550,38000,36750,36750,618701
20240111,38650,38900,37500,37500,1051976
20240110,37750,39300,37600,38550,2410753
20240109,36700,38100,36450,37000,1441041
20240108,36300,36850,35600,35600,655553
20240105,36400,36950,36050,36300,714593
20240104,36650,36900,35550,36600,1083258
20240103,38050,38450,37450,37450,867468
20240102,39500,39500,38300,38600,753499
20231228,38600,39750,38300,39500,1435804
20231227,38750,39200,37650,38600,1022244
20231226,38000,38700,37700,38450,916700
20231222,39200,39200,38000,38550,1725903
20231221,36700,39150,36550,38750,3150545
20231220,36700,38250,36350,37700,6081344
20231219,34500,35200,34150,34650,1060440
20231218,35500,35900,34100,35000,1882164
20231215,33650,37700,33650,34950,10737122
20231214,32250,32750,31950,32400,1420540
20231213,31700,31700,30800,31000,908669
20231212,31600,32750,31600,32100,752427
20231211,31550,31650,31200,31400,395697
20231208,31750,32000,31250,31400,347363
20231207,31950,32050,31100,31550,675508
20231206,32250,32800,31950,32150,494236
20231205,32200,32650,32050,32550,466451
20231204,32350,32550,31700,32550,502431
20231201,33400,33400,31800,31850,799280
20231130,32000,33400,31800,33400,2419158
20231129,32750,32900,32050,32500,791448
20231128,33450,33550,32650,32700,832647
20231127,33600,34500,33200,33250,625463
20231124,34200,34650,33800,33800,430817
20231123,34350,35300,34200,34500,746479
20231122,33900,34450,33250,34000,743395
20231121,33400,34550,33300,34300,1441641
20231120,31650,33300,31350,33000,771415
20231117,32900,32950,31700,31750,791013
20231116,33500,33550,32000,33000,977743
20231115,33100,34500,32550,33350,2917701
20231114,30900,31200,30600,30950,339071
20231113,30850,31150,30300,30400,310520
20231110,30900,31450,30450,30450,480377
20231109,31300,31800,31100,31500,450551
20231108,32000,32450,31700,31750,467555
20231107,32750,32800,31700,31900,819424
20231106,32000,33150,31500,33150,1643965
20231103,30800,31500,30650,30750,1023827
20231102,30300,30650,29400,30150,1359318
20231101,29650,31800,29500,30700,3646580
20231031,27900,29400,26500,28650,2381489
20231030,27300,27950,26900,27700,851657
20231027,28050,28100,27150,27500,1084945
20231026,28000,28500,27600,27800,759696
20231025,29150,29650,28900,29000,641133
20231024,27950,28950,27350,28900,1078080
20231023,29050,29250,27400,27700,2148494
20231020,29800,30400,28800,29900,3058470
20231019,30600,31350,30100,30500,965378
20231018,31950,32450,31300,31300,1024675
20231017,30600,31800,30500,31250,987583
20231016,30450,31600,30050,30650,1379039
20231013,29700,30600,29150,30400,854962
20231012,29250,30550,29200,30300,1419166
20231011,28150,29500,28000,29300,1971207
20231010,27050,27700,26850,27050,931796
20231006,27000,27400,26950,27000,952566
20231005,28000,28200,27250,27250,1057951
20231004,29200,29250,27850,27850,1663516
20230927,29150,29850,28400,29750,963262
20230926,29750,30050,29400,29500,584272
20230925,29800,30650,29700,29750,686852
20230922,30100,30450,29700,30100,1244691
20230921,31500,31550,30550,30600,977379
20230920,32000,32100,31500,31650,647611
20230919,32450,32550,32000,32000,566218
20230918,32500,32750,32250,32550,509899
20230915,32400,33050,32300,32650,1687548
20230914,31850,32400,31800,32100,1241304
20230913,33150,33150,32000,32100,1344985
20230912,33300,33950,33100,33150,760265
20230911,33400,33600,33050,33250,924853
20230908,33800,34450,33150,33400,1135140
20230907,34000,34300,33350,33500,1198556
20230906,35700,35750,34000,34050,2785363
20230905,37000,37350,35300,35850,1252135
20230904,36100,37450,35850,37250,645954
20230901,36800,37500,36300,36300,678512
20230831,37200,37200,36000,36450,1267626
20230830,36600,37650,36400,37150,868466
20230829,35800,36250,35550,35950,544358
20230828,35700,36250,35400,36000,526671
20230825,35150,35550,34900,35300,1088615
20230824,36150,36550,35850,35900,432953
20230823,36800,36950,35800,35800,649535
20230822,37550,37850,36600,36900,1065114
20230821,35450,38250,35450,37750,2054639
20230818,34550,35400,34500,35150,597111
20230817,34850,35450,34250,35200,859655
20230816,36300,36400,35250,35300,1177015
20230814,38300,38300,36650,36850,938766
20230811,37800,39150,37800,38400,862939
20230810,38250,38900,37500,38050,1181441
20230809,37150,37700,36850,37500,517329
20230808,38000,38050,36900,37000,687678
20230807,38050,38150,37450,37650,486351
20230804,37700,38650,37700,38050,562416
20230803,38400,38400,37500,37850,895188
20230802,39100,39600,38500,38700,954698
20230801,37900,39700,37900,39050,1427889
20230731,36750,38350,36750,37850,1891322
20230728,37850,38050,35750,36650,3540779
20230727,41650,42550,38000,38450,3652552
20230726,43000,43000,41500,41600,1441144
20230725,43200,43450,42100,43050,1101472
20230724,43750,43900,42700,43200,990968
20230721,44200,44550,43700,44150,832495
20230720,44250,45250,43850,44450,888231
20230719,44000,44500,43000,44450,826521
20230718,43850,45600,43850,44000,1754341
20230717,43500,43850,42700,42950,1056718
20230714,45050,45150,43700,44500,1309117
20230713,43750,45150,43700,45050,2311206
20230712,42850,43200,42500,42900,680755
20230711,42400,43100,42000,42750,851960
20230710,41500,42350,41300,41950,850411
20230707,40800,41200,40450,41000,712161
20230706,42150,42150,40950,41150,1144375
20230705,42150,42450,41800,42100,700540
20230704,42900,43150,42000,42100,703714
20230703,42850,43400,42500,42950,693545
20230630,41900,42600,41600,42300,673469
20230629,42150,42800,41600,41750,891365
20230628,43150,43250,41900,42300,1011444
20230627,42650,43250,42500,42850,595894
20230626,43450,43500,42250,42950,930982
20230623,45350,45650,43050,43250,1907819
20230622,45000,45350,44500,45200,718933
20230621,46150,46150,44900,44900,1242730
20230620,48050,48050,46200,46250,1429497
20230619,46900,47850,46550,47850,1050018
20230616,46600,47700,46500,46950,1257435
20230615,47550,47600,45750,46300,1589275
20230614,47550,48550,47150,47450,1510626
20230613,48250,48350,47100,47200,1026476
20230612,48500,49000,47700,47750,789011
20230609,48600,48850,47800,48300,1193858
20230608,47850,48850,47550,48700,2080445
20230607,47650,48100,47300,47300,934013
20230605,47250,47750,46750,47600,1099342
20230602,45150,47300,45000,47250,2313894
20230601,45050,45600,44600,44600,905906
20230531,45550,45800,44750,44750,1999825
20230530,45600,45900,45150,45550,895902
20230526,45600,46400,44750,44900,1175864
20230525,46550,46700,45350,45350,1295549
20230524,46400,47000,46350,46850,490817
20230523,47000,47100,46250,46700,1014790
20230522,46500,46950,45900,46550,861379
20230519,47300,47350,46200,46500,1439445
20230518,48350,48350,47350,47400,743097
20230517,46800,48600,46550,47950,1760038
20230516,46550,47000,46050,46850,910120
