,open,high,low,close,volume
20240822,11150,11190,10490,10680,8310968
20240821,11160,11390,11040,11140,4647832
20240820,10900,11280,10760,11240,6740085
20240819,10820,11080,10720,10800,4663765
20240816,10920,11190,10780,10820,7671575
20240814,10850,10880,10560,10740,5102175
20240813,11050,11180,10720,10760,5350939
20240812,11010,11280,10840,11130,5431821
20240809,11060,11300,10920,10940,6466610
20240808,10480,11020,10340,10920,9056376
20240807,10780,10890,10530,10590,8283852
20240806,10580,11090,10300,10710,17582157
20240805,10960,11000,9540,10050,19668979
20240802,11510,11670,11140,11300,9157050
20240801,11630,11890,11520,11680,5812145
20240731,11600,11990,11570,11710,9325409
20240730,11760,11920,11470,11630,7768630
20240729,11990,12120,11690,11830,11072238
20240726,11190,12280,11100,11870,42712575
20240725,10930,11260,10760,10950,11020100
20240724,10910,11270,10850,11090,7271938
20240723,10650,11000,10600,11000,9626178
20240722,10520,10770,10380,10600,8304476
20240719,11000,11140,10520,10550,9464533
20240718,10930,11380,10840,11070,23326291
20240717,10350,11000,10350,10930,29719406
20240716,9990,10290,9900,10280,11737001
20240715,9980,10100,9910,9940,6635356
20240712,9810,9900,9710,9900,3775805
20240711,9910,9920,9770,9830,3657611
20240710,9670,9930,9650,9840,6564407
20240709,9810,9840,9660,9700,3289800
20240708,9560,9850,9540,9800,6538033
20240705,9590,9640,9450,9560,4624967
20240704,9410,9600,9340,9520,3899629
20240703,9670,9680,9290,9440,5577928
20240702,9690,9700,9450,9620,5270315
20240701,9370,9870,9320,9680,11996745
20240628,9430,9490,9220,9350,4799314
20240627,9320,9450,9280,9430,4886765
20240626,9290,9520,9200,9400,7311052
20240625,9030,9630,8990,9290,17773640
20240624,8850,9080,8800,8950,6017203
20240621,9030,9170,8860,8890,6598905
20240620,9060,9090,8920,8970,3859998
20240619,8890,9080,8890,9050,5006873
20240618,8980,8990,8850,8860,2922469
20240617,9050,9090,8880,8890,4236357
20240614,8900,9190,8840,9040,6984197
20240613,8800,9080,8790,8910,12078697
20240612,9170,9270,8950,9140,6272659
20240611,9500,9500,9180,9220,4569574
20240610,9310,9420,9250,9320,2704465
20240607,9280,9520,9280,9360,4792938
20240605,9460,9490,9210,9270,4979588
20240604,9520,9700,9350,9400,8245620
20240603,9220,10120,9130,9600,17818481
20240531,9360,9380,9130,9160,6263725
20240530,9400,9480,9270,9320,4522692
20240529,9490,9520,9390,9400,3530764
20240528,9570,9690,9500,9540,3041833
