,open,high,low,close,volume
20240822,286000,287500,275500,278000,348949
20240821,286500,287000,276000,284500,575140
20240820,300000,300500,284000,287500,740267
20240819,306000,314500,299000,300000,394494
20240816,311000,312000,305000,305000,327057
20240814,312000,312500,304500,308000,322587
20240813,306500,317500,302500,308000,529064
20240812,305000,309500,299500,306000,415270
20240809,300500,308500,299000,303500,585906
20240808,279500,295000,271000,293500,880321
20240807,265000,284500,263000,279000,931915
20240806,272500,279000,262000,264000,1341907
20240805,285000,293000,247000,267000,1287553
20240802,299000,306000,289000,289000,766410
20240801,290000,306000,287000,303500,1012194
20240731,312000,323500,285500,288000,1502478
20240730,323000,330000,310000,318500,1056943
20240729,304500,324000,297000,322500,833331
20240726,298000,302500,290000,298500,595132
20240725,299500,312500,290000,293500,1242819
20240724,286000,307500,284500,298500,959357
20240723,274000,288000,270000,287000,624919
20240722,283500,288000,273500,275000,578974
20240719,270500,283500,263500,281500,645057
20240718,273000,288500,269500,271500,1173896
20240717,274000,285000,271500,275000,792136
20240716,268000,282000,267000,269500,998491
20240715,264500,271500,258500,265000,907019
20240712,260000,261000,251000,253500,341135
20240711,258500,264000,255000,256500,471648
20240710,257500,273500,255500,256500,1228430
20240709,251500,254500,245500,252000,381822
20240708,241500,253000,241000,251500,545599
20240705,242000,244000,237000,241500,240727
20240704,233000,243500,231500,242000,331914
20240703,236000,238000,230000,233000,292953
20240702,244500,245500,230000,235000,527577
20240701,247500,251500,242500,243500,389973
20240628,236500,250000,231000,249500,793957
20240627,227500,236500,227000,235000,395296
20240626,232000,233000,226500,229500,272134
20240625,238000,240000,231000,232500,325915
20240624,236500,241500,235000,236000,270448
20240621,248500,254000,234000,236000,680174
20240620,253500,255500,242000,248000,748341
20240619,234500,256000,233000,251000,1699164
20240618,239000,239000,230000,232500,455800
20240617,232000,241500,228000,238500,687722
20240614,225500,234500,222000,228500,708824
20240613,213500,226000,211500,225000,869481
20240612,210500,213000,209000,212000,278649
20240611,216000,217500,209000,210000,280885
20240610,207500,214500,206500,214000,292737
20240607,210500,214500,209000,209500,390959
20240605,210500,212500,206000,206500,426878
20240604,220000,221500,209500,211000,905384
20240603,213000,243500,209500,223000,3172835
20240531,208500,210500,204000,205000,413790
20240530,217500,220500,203500,204000,456680
20240529,223500,225500,215500,218000,481569
20240528,215500,225000,211000,223000,635646
20240527,204500,212000,204500,211000,332934
20240524,198300,206000,195500,204000,321893
20240523,201000,203500,194000,201500,322109
20240522,207500,209500,201000,201000,364716
20240521,210500,212000,206000,207500,228813
20240520,207500,212000,200500,210500,381712
20240517,215000,217000,207500,208000,299874
20240516,219000,221000,214000,215000,325066
20240514,221500,221500,216000,217000,227031
20240513,218000,223000,216000,221500,240031
20240510,217500,222500,217500,218000,319605
20240509,219000,219000,213000,214000,297223
20240508,218500,219000,213000,218500,292650
20240507,217000,219000,211500,218500,355997
20240503,222500,224000,215000,215500,335186
20240502,212000,225000,210000,220500,793182
20240430,231500,232500,211500,211500,1215823
20240429,235000,236000,228000,232000,461211
20240426,243000,249500,232000,235000,697251
20240425,239500,244500,235000,241000,598872
20240424,235000,246000,231500,241500,879604
20240423,224000,236500,223000,236500,933249
20240422,236500,237500,219000,220000,704924
20240419,229500,240500,226000,234000,1861363
20240418,221500,226500,218500,226000,496547
20240417,212500,224500,207500,220000,817587
20240416,211000,220500,207000,211000,854102
20240415,221000,222500,210000,210000,498153
20240412,216000,222000,213500,217000,471206
20240411,207000,216500,207000,214000,526361
20240409,209500,214500,205500,209000,567978
20240408,212000,221000,210000,212000,677490
20240405,225500,234500,210000,212500,1368496
20240404,225000,238500,220500,236000,1095178
20240403,241000,241500,216000,228000,2107940
20240402,211500,245000,200500,241000,3141771
20240401,207000,212000,204500,209000,320698
20240329,208500,213500,203500,204500,455605
20240328,219500,220000,206500,207500,792022
20240327,223000,225000,214000,223000,835381
20240326,207500,219000,207000,216000,1175300
20240325,207500,214500,201500,203500,889909
20240322,195900,217000,195700,202000,1947227
20240321,192800,194400,190100,193700,391654
20240320,193200,195000,188700,191400,590195
20240319,189200,192900,186800,190500,1109665
20240318,181900,184800,180600,183200,511934
20240315,183600,187000,179900,180100,499618
20240314,184800,188600,181800,182600,759230
20240313,185800,188000,179200,183100,845400
20240312,192700,193900,183000,185300,953483
