,open,high,low,close,volume
20240822,33150,33150,31500,32250,2029029
20240821,32350,33800,32250,33200,2408540
20240820,31600,32900,31000,32800,1984111
20240819,32000,32550,31200,31300,1131395
20240816,31600,32050,31050,31800,1253041
20240814,31250,31300,30500,31250,793244
20240813,31350,32100,30900,30950,729398
20240812,31500,31750,30950,31500,812349
20240809,31800,31800,30750,31500,1171028
20240808,29750,31500,29500,31350,2001554
20240807,29550,30700,29050,30400,1579480
20240806,28100,29500,27500,29300,2154772
20240805,30200,30200,25400,26950,3510391
20240802,32050,32500,30700,31150,2443976
20240801,30600,32950,30200,32600,4640047
20240731,30250,31150,30150,30550,2015374
20240730,30000,30700,29600,30100,1286856
20240729,30900,31000,29700,30100,2173949
20240726,29400,31050,29300,30950,4299741
20240725,29550,30050,28900,29000,2383661
20240724,31100,31100,30250,30300,1363197
20240723,30650,31100,30400,30950,1594335
20240722,30300,31150,30250,30400,1321797
20240719,30350,30400,29750,30100,895161
20240718,31100,31650,30250,30450,1923604
20240717,31150,32900,30950,31400,5024659
20240716,30250,30650,30150,30500,1413578
20240715,30150,30550,29900,30100,1213619
20240712,30000,30250,29700,29900,605903
20240711,29900,30150,29400,30000,1165777
20240710,30100,30650,29650,29850,1376969
20240709,30550,30600,30100,30250,528686
20240708,30150,30900,30050,30400,1000946
20240705,30150,30200,29750,30100,829472
20240704,30050,30350,29750,30150,888895
20240703,31000,31050,29900,30050,1164483
20240702,31800,31800,30600,31100,986506
20240701,30700,31450,30300,31450,1940760
20240628,29750,30550,29300,30550,1084684
20240627,30300,30500,29600,29750,1348254
20240626,31700,31900,30000,30300,2545313
20240625,32300,33400,31650,31700,2437574
20240624,32100,33100,31750,32000,1956929
20240621,33400,34450,31450,31750,3947353
20240620,33150,33400,31950,32050,1364334
20240619,32000,33300,31700,33100,2169037
20240618,32750,32800,31450,31850,1184423
20240617,33000,33200,31500,32500,1838401
20240614,31450,32700,31250,32250,1956161
20240613,32000,32600,31450,31450,2285687
20240612,30350,31950,29550,31900,2242575
20240611,31100,31600,30100,30350,1050470
20240610,29850,31300,29600,30300,1221784
20240607,29300,30900,29200,30500,1675996
20240605,29900,30650,28950,28950,1062482
