,open,high,low,close,volume
20240822,51700,53700,51200,53300,874929
20240821,51100,52700,50500,51600,628465
20240820,51800,52800,50300,50700,570412
20240819,53200,53400,50400,50700,641537
20240816,50400,52500,50100,52500,862145
20240814,50600,50600,49000,49300,588811
20240813,50800,51200,49350,49600,491982
20240812,49500,51500,49150,50700,682420
20240809,47500,50300,47150,49250,955589
20240808,48250,48950,46450,46450,819210
20240807,49250,51600,49200,49250,1032152
20240806,48400,50200,47700,48800,1101052
20240805,51800,52300,44000,47100,1226977
20240802,53800,56200,52700,52900,1219794
20240801,53100,55500,52800,54800,997810
20240731,52600,53800,51200,53000,1532325
20240730,52800,52800,50500,50600,766311
20240729,52500,54400,51500,52000,1961871
20240726,50800,51300,49650,50000,617696
20240725,48800,51600,47450,50600,1516063
20240724,51800,52900,49450,49600,1354008
20240723,53200,54100,52100,52700,717834
20240722,56700,56700,53100,53200,842300
20240719,55700,56600,54700,56400,1152128
20240718,52200,56200,51400,55400,2102311
20240717,53900,54400,52300,52400,771013
20240716,54200,56300,53600,54000,1418184
20240715,55000,55500,53700,53700,590949
20240712,55600,56100,54200,55000,779632
20240711,56100,56800,55100,56200,1185448
20240710,57000,58100,55600,55700,1068806
20240709,57900,58600,56900,57000,795900
20240708,58100,59200,56100,57400,1412253
20240705,56100,58300,55900,57700,1416366
20240704,57400,59200,56200,56400,1831969
20240703,57800,58400,55900,57400,1890417
20240702,63700,64100,57500,57600,3559661
20240701,64600,66200,62400,63700,2162163
20240628,67800,68900,64200,65400,2478980
20240627,67800,71100,65900,67400,5321466
20240626,66500,69100,62600,68400,4432581
20240625,67400,68200,65400,65400,3003266
20240624,64900,68800,64900,67300,5624013
20240621,62200,71000,61800,64400,13891185
20240620,63400,64500,59100,63000,4416807
20240619,67000,67500,60400,62100,4361283
20240618,69500,71900,65600,66600,4951911
20240617,69400,70100,66100,68400,3441271
20240614,67600,72800,66400,68300,11494763
20240613,55800,67900,53800,65700,14677664
20240612,53200,56100,52500,54700,3964952
20240611,46950,55300,46950,53700,5446535
20240610,47150,48000,46600,47050,676682
20240607,48200,50500,47400,47650,1904710
20240605,46050,49550,45650,47600,2787983
20240604,49600,54200,46000,46100,5628047
20240603,43100,53500,42950,51200,9276270
20240531,43100,44000,42850,43050,470047
