,open,high,low,close,volume
20240822,195100,197000,188700,189700,144241
20240821,193200,196300,191000,195100,140304
20240820,202000,202000,191200,194700,280000
20240819,204000,210500,200000,200500,149476
20240816,205000,209500,200500,206000,201276
20240814,205500,205500,198600,204500,229383
20240813,204000,213500,200500,204000,290176
20240812,203500,205500,199400,203000,135599
20240809,208000,209000,201000,201500,165852
20240808,198800,205500,195200,204000,209513
20240807,191000,207500,190000,202500,271438
20240806,185300,198700,183000,191000,389214
20240805,191000,194800,169600,179600,503027
20240802,199900,210500,196000,197100,308107
20240801,200000,208000,200000,204500,181805
20240731,208500,214500,196500,200000,449190
20240730,220000,222500,209500,212000,234027
20240729,213000,226000,206000,217500,367019
20240726,215000,224000,199800,210500,699573
20240725,230000,234500,217000,217500,414329
20240724,229500,238000,224500,234000,414521
20240723,226000,237500,224000,228500,506029
20240722,232500,236000,220500,226000,314014
20240719,230500,235500,223000,232000,405021
20240718,235000,243000,227000,231000,396822
20240717,241000,249000,235500,238000,442001
20240716,235500,245000,232500,239500,746476
20240715,216000,241000,211000,233500,1534221
20240712,204000,207000,200500,206000,134493
20240711,209500,211000,202000,203500,203946
20240710,213000,217000,207000,207500,290789
20240709,205000,213000,201000,211000,253998
20240708,197000,209000,196900,205500,298064
20240705,198100,199300,195700,196900,159283
20240704,196400,201500,195500,198100,199718
20240703,198000,200000,195000,197600,309264
20240702,220500,220500,193500,195700,1043295
20240701,218000,228000,216000,221000,299137
20240628,202000,221500,197800,220000,423839
20240627,199000,201500,196600,200500,140627
20240626,204500,205000,199000,200000,168064
20240625,214500,219500,203000,204500,190246
20240624,207500,214500,206500,210500,202458
20240621,213500,217000,203500,206500,230734
20240620,209500,216500,201000,213000,363512
20240619,203000,216500,195600,211000,809581
20240618,204500,206500,199200,200500,500612
20240617,179900,206500,177700,206500,1396562
20240614,173000,178000,171300,176000,212939
20240613,172300,175200,170500,173000,178877
20240612,170000,175200,169100,172300,128161
20240611,177400,179100,169500,169500,233713
20240610,167500,177000,166200,175900,352260
20240607,168000,172800,167000,167600,236086
20240605,164000,168000,163600,166100,164298
20240604,161400,166200,160700,165300,176160
20240603,160800,167700,160700,162300,270967
20240531,163000,164100,156900,160200,150822
20240530,164600,169200,160800,160800,297359
20240529,171000,172000,159800,160500,384946
20240528,164100,171000,163000,170600,382786
20240527,155600,164000,154500,161600,224686
20240524,151300,155700,150700,154700,88527
20240523,152400,155100,149900,154200,109330
20240522,156400,157800,152200,152400,131742
20240521,156000,158200,154700,156300,95069
20240520,155400,157700,153600,156500,150006
20240517,162100,162300,152200,154200,347245
20240516,164900,167400,161800,162000,141765
20240514,167300,168500,162800,163400,166805
20240513,167000,170400,166400,168100,139668
20240510,166900,169800,165200,166800,145415
20240509,166100,167700,164900,164900,129441
20240508,169400,169500,164200,166700,181059
20240507,170600,172000,168000,169200,175077
20240503,177700,178700,170500,171100,329798
20240502,161600,180600,161000,178900,679192
20240430,169700,171000,159400,160800,299640
20240429,172100,172900,167300,171000,219124
20240426,164100,172100,161500,169500,313138
20240425,166100,169400,162700,164000,155226
20240424,164800,168700,162100,166100,221346
20240423,159100,166400,159100,164600,233392
20240422,164100,164100,154200,158600,211222
20240419,159000,166900,155900,162300,410313
20240418,158400,158700,155000,158100,197314
20240417,158700,161500,155100,158200,222476
20240416,164000,166700,158500,158800,211035
20240415,167900,172500,163100,164200,232207
20240412,167100,168400,163400,163900,158426
20240411,163100,167700,161200,166200,161802
20240409,164600,168800,164500,167300,172606
20240408,165700,168800,163600,165300,188288
20240405,174400,176000,165300,166300,302194
20240404,172500,176700,170500,174300,237937
20240403,183500,183700,170800,174200,355574
20240402,179200,182100,173300,181700,404238
20240401,180500,181300,177000,179100,223379
20240329,177300,184800,177300,178400,402561
20240328,180300,181800,175000,176900,414126
20240327,180700,182900,173800,182000,452530
20240326,170600,177900,170600,177300,446366
20240325,170800,175000,169000,169500,402364
20240322,167000,175000,165900,167300,710837
20240321,161700,167400,159500,164700,307491
20240320,165100,166100,160900,161500,238634
20240319,165600,168500,163300,164400,323480
20240318,164700,167500,162500,163300,293251
20240315,167400,169400,160800,162000,303589
20240314,172400,176600,164500,165400,608756
20240313,175000,183000,170800,172200,616839
20240312,178700,182000,168000,172500,527832
20240311,184400,191300,175900,177700,643926
20240308,178700,186500,176300,183300,504913
20240307,170000,179500,167500,177600,838886
20240306,154100,169500,154100,168500,1236603
20240305,146000,157800,145800,152300,866910
20240304,144700,148200,139900,144700,301058
20240229,140400,147900,137800,143200,615031
20240228,137300,142400,137300,140100,420752
20240227,134700,140900,134700,137100,558197
20240226,132800,136300,131300,135000,292732
20240223,139600,139700,131200,133400,408870
20240222,135600,148600,134900,138000,1152264
20240221,130500,139300,128500,137600,674347
20240220,130500,134700,127200,128000,561579
20240219,129300,132700,128800,130800,433205
20240216,127200,129400,125800,127700,241548
20240215,129300,130500,125800,127200,422704
20240214,117200,132700,115400,127000,1071555
20240213,114700,118600,114100,118200,442233
20240208,114200,118800,113300,113600,489058
20240207,119000,120700,112800,113400,1024257
20240206,108700,114200,107600,113000,330331
20240205,107300,111000,105700,108900,193152
20240202,105200,109400,104700,106900,208781
20240201,104500,107900,104300,105400,183940
20240131,104900,108300,104200,105100,247494
20240130,108400,109100,104000,105600,312101
20240129,113200,114300,107600,108500,325019
20240126,116000,117000,112500,113000,262768
20240125,117000,121300,115700,116300,234155
20240124,123400,125800,118900,119000,223838
20240123,123800,123900,120300,122600,177700
20240122,122400,124900,119200,123900,183486
20240119,121500,122400,119500,121400,180426
20240118,121200,124400,120000,121300,232632
20240117,120100,121300,116700,120500,235620
20240116,121400,122700,119900,120600,154156
20240115,128000,128900,120500,122600,269188
20240112,124100,129500,124100,126100,423838
20240111,123400,126400,121800,124500,332269
20240110,119900,124400,118800,123800,327498
20240109,120600,121500,115000,119800,266216
20240108,123300,124500,120400,120500,277309
20240105,126800,129600,120500,123200,508621
20240104,130600,135500,126000,126100,564684
20240103,128400,131400,126500,130500,347854
20240102,131700,132000,127900,128300,267529
20231228,129500,131600,128800,130500,253060
20231227,131500,133900,127200,130300,487126
20231226,135300,135700,129300,130600,455290
20231222,138200,146700,135500,135700,1148691
20231221,136400,140700,134300,138500,510154
20231220,138100,140900,134300,137500,631833
20231219,140000,144400,135700,138000,1111680
20231218,133000,141500,130900,138100,1740230
20231215,126600,135600,126600,130100,1144691
20231214,129700,131100,121100,127000,1113561
20231213,131800,137300,126000,127500,1432293
20231212,126000,138000,124600,133600,4027572
20231211,118000,128100,110400,128100,5475435
20231208,98500,99400,97300,98600,146428
20231207,97600,100700,96700,98300,174331
20231206,98600,100600,96000,97300,158349
20231205,99900,102300,97600,98000,149091
20231204,99900,101800,97600,100100,176633
20231201,98000,102300,97500,100100,291735
20231130,96000,98500,95300,97500,169984
20231129,94800,97300,93600,95400,172109
20231128,92400,95100,91500,95000,143883
20231127,91500,92300,90000,91900,99795
20231124,93000,93700,91000,91500,161441
20231123,94400,95600,92500,93500,97061
20231122,92400,96200,92300,93800,158333
20231121,93500,93900,91700,92200,85516
20231120,93500,93700,92100,93000,56826
20231117,93300,95100,93000,93600,82026
20231116,96100,96100,92500,93500,193991
20231115,97800,98300,94600,96200,187874
20231114,97200,99000,96400,97700,124909
20231113,98200,99500,96700,97000,191772
20231110,92900,99000,92800,98800,380489
20231109,91100,94500,90700,93400,272888
20231108,91200,91700,89700,90500,137365
20231107,90300,91200,89600,90800,158020
20231106,91500,91600,89000,90700,220685
20231103,88600,91300,88600,90700,169852
20231102,88900,90700,87900,88500,179588
20231101,87300,90300,87300,88400,149026
20231031,91200,91600,86600,87100,172523
20231030,87100,90800,86500,90300,221848
20231027,86500,86500,83400,85800,269885
20231026,88000,90800,87400,88000,194490
20231025,88600,91900,87700,89400,319232
20231024,92900,93200,85800,87800,423047
20231023,87700,92700,85600,91500,458340
20231020,85300,88600,85300,88000,306975
20231019,85100,85700,82000,85200,175501
20231018,84600,88300,83800,85600,309263
20231017,86200,87100,83100,83400,254071
20231016,90300,92100,86000,86200,332169
20231013,87200,90000,86500,89500,194421
20231012,91100,91900,87700,88000,311340
20231011,90000,91700,87200,91100,362327
