,open,high,low,close,volume
20240822,88800,89700,87400,89200,851377
20240821,84900,88200,84900,88000,995890
20240820,86600,87000,85100,85200,676165
20240819,88900,89200,85100,85500,1098006
20240816,92300,93100,89300,89600,1125901
20240814,92800,93300,90500,90800,988674
20240813,90000,92000,88200,90200,851595
20240812,90900,92000,89700,90000,769057
20240809,88600,92300,87600,90500,1512075
20240808,86900,89100,84300,84600,989505
20240807,90600,92500,88600,88600,1052651
20240806,84000,92400,83600,91500,2042681
20240805,90000,92600,80400,81100,2169450
20240802,91700,94300,91100,91200,819745
20240801,93000,94200,90000,93600,1172163
20240731,95200,95200,92200,92300,1028005
20240730,94500,98000,94300,96100,1165245
20240729,94300,96000,92300,95100,796700
20240726,95500,96400,92500,94400,728133
20240725,91500,96300,90700,96000,1283494
20240724,92200,95600,92100,92900,786311
20240723,96600,97200,92900,93400,982037
20240722,99900,100000,95000,95400,1091421
20240719,98200,100500,97200,100300,1314577
20240718,94000,100700,93400,98200,2280655
20240717,97100,98800,94400,94700,1332052
20240716,101500,102200,97000,97400,1549573
20240715,102300,103400,99600,103000,1623293
20240712,97800,101400,97700,101400,1319701
20240711,100700,102700,98300,98300,1664225
20240710,103000,104000,99100,99900,1310889
20240709,105000,105600,101000,101200,1759557
20240708,97400,107700,97100,104400,4354627
20240705,97000,100700,95000,98300,1275397
20240704,99500,103800,97000,97000,2641317
20240703,91500,97800,91400,96900,3001453
20240702,93100,93400,89700,90000,710672
20240701,90500,92200,89100,92200,765321
20240628,89600,92300,88700,90100,987113
20240627,90700,92500,89500,89600,799894
20240626,91500,92000,89300,89500,771864
20240625,91300,93100,90500,90500,735054
20240624,92200,92700,91000,91300,819841
20240621,92700,95500,92600,92800,959680
20240620,96000,97000,94000,94100,822867
20240619,93400,97800,93000,96100,1564674
20240618,98500,99200,94100,94100,1364513
20240617,98300,100000,97100,97100,1010065
20240614,101700,102200,99100,99400,1264340
20240613,103500,103500,100700,101000,1308162
20240612,102100,104100,100100,101300,965244
20240611,104500,106300,102500,103100,1401671
20240610,108000,108000,102100,103700,2164746
20240607,101400,109200,99600,107500,4378368
20240605,96400,101900,96300,100600,2359278
20240604,93400,99200,93100,96400,2013995
20240603,93800,96400,92400,93300,1087783
20240531,90500,94400,88400,94400,2569476
20240530,89000,93200,89000,90100,1362862
20240529,93600,94400,90300,90300,1443581
20240528,97600,98400,94700,94700,1032993
20240527,94100,98600,90800,97300,2566944
