,open,high,low,close,volume
20240822,288000,291500,278000,289000,683068
20240821,300500,305500,288500,288500,525838
20240820,306500,314500,298500,300500,791286
20240819,298000,304000,295000,298500,389208
20240816,294000,302500,290000,301000,577339
20240814,295500,297500,290000,292500,430710
20240813,300500,302000,286000,292500,774853
20240812,307500,311500,300500,303000,545500
20240809,301000,314000,298500,302000,1015992
20240808,278500,299500,277000,297000,1109967
20240807,278500,292000,277500,284000,848285
20240806,278500,294500,242000,279000,3135455
20240805,287500,295500,249500,261500,1973233
20240802,310000,316000,294000,295000,1007536
20240801,313500,326000,311500,319000,656310
20240731,321500,328500,308500,315000,1356855
20240730,296000,322000,282500,320500,2349207
20240729,288500,300000,281500,298500,676704
20240726,281000,292000,276000,283500,788442
20240725,300500,304500,275000,275500,1381700
20240724,284500,306500,281500,304500,1562612
20240723,266000,290000,265500,285000,1528091
20240722,271500,275000,260000,264000,458389
20240719,263000,271500,261000,271500,420452
20240718,271500,274000,260000,263000,635432
20240717,272500,280000,270500,274000,463467
20240716,280000,283000,267000,273000,744022
20240715,271000,283500,268000,278500,817537
20240712,265000,281000,264000,272500,1111137
20240711,268000,270000,256500,269500,824947
20240710,260000,275000,259000,270000,915461
20240709,270000,274000,260000,262500,847411
20240708,285500,291000,269000,272500,1180188
20240705,254500,281000,254000,279000,1227503
20240704,256500,262000,251000,257000,670641
20240703,266500,268500,257000,258500,647987
20240702,277500,286500,255500,262500,1353467
20240701,277500,283000,275500,277500,585740
20240628,282000,286500,273500,280500,660408
20240627,279500,298500,271000,284500,1384490
20240626,288000,291000,277500,286000,675152
20240625,286500,292500,278000,289500,807498
20240624,286500,294000,274000,286000,1246288
20240621,262500,281000,253500,281000,1901776
20240620,255000,261000,250000,259500,814568
20240619,274500,276500,253000,255000,1191608
20240618,269500,280000,267000,273500,829928
20240617,269500,279500,264000,267500,992296
20240614,267500,275500,259500,265000,1011279
20240613,285500,291000,263500,268500,1888940
20240612,286500,287500,270000,276000,1383564
20240611,250500,285500,250500,283500,2972232
20240610,265000,270000,249000,253000,1736891
20240607,245000,269000,240500,269000,2857943
20240605,230500,242500,228000,238000,2086713
20240604,199800,238500,199600,233500,4791829
20240603,184000,199000,180500,199000,1469329
20240531,181900,185900,171200,185900,5071763
20240530,180900,188500,178800,180000,886508
20240529,184000,187600,182100,182100,646508
20240528,188800,192300,185200,186000,772435
20240527,193500,194800,188000,189800,784527
20240524,183400,194900,181100,193100,1202683
20240523,192300,195200,184900,185900,944616
20240522,198400,201000,190800,192300,2008231
20240521,192400,192400,187300,189400,665018
20240520,189400,194200,187600,190000,1219942
20240517,174900,190000,172700,189600,3198012
20240516,179900,187600,176500,178000,1914494
20240514,165700,175900,163900,174500,1352421
20240513,169900,169900,159400,164400,1299020
20240510,172200,173700,168900,170200,544365
20240509,173700,174700,169800,169900,610465
20240508,179800,180700,169400,174100,1027934
20240507,179800,183900,175800,177300,852416
20240503,181800,185900,176800,177200,961336
20240502,176400,182100,175500,180800,851089
20240430,176600,180000,172200,176900,1006664
20240429,174000,181500,171500,176500,1008109
20240426,180400,191600,173300,173700,2896505
20240425,177700,182900,173400,173700,678762
20240424,173100,183300,171100,178300,1198718
20240423,166700,177000,165900,173900,1133270
20240422,171400,178200,163600,166300,1268393
