,open,high,low,close,volume
20240822,346500,355000,337000,346000,222471
20240821,332500,342000,331000,339500,141753
20240820,328000,336000,324000,333500,194990
20240819,325000,334000,319000,325000,145441
20240816,334500,335000,322500,324500,161699
20240814,330000,332500,324500,331500,239178
20240813,317500,331000,305500,331000,1281466
20240812,289000,300000,289000,293000,287768
20240809,282500,295000,278000,294500,130482
20240808,276500,284500,276000,282000,125275
20240807,281000,287000,276000,277500,157494
20240806,282500,290000,279000,285500,115945
20240805,285000,286500,260000,273000,173656
20240802,285500,295000,284500,287500,70077
20240801,291500,295500,289000,289500,56863
20240731,293000,298500,292500,294000,102272
20240730,289500,302000,289500,292500,99829
20240729,285000,293500,283500,292000,57283
20240726,286500,288500,282500,285000,49045
20240725,289000,293000,283000,286500,110756
20240724,289500,290500,284000,287000,65429
20240723,286000,295500,284000,292000,205759
20240722,280500,287000,277000,281000,75649
20240719,269000,282000,268000,280500,106595
20240718,279000,279000,268000,272000,85674
20240717,274500,278000,273000,276500,76330
20240716,279000,279000,272000,275000,53232
20240715,281000,284000,271000,275000,96960
20240712,286500,289000,276500,280000,104303
20240711,288000,291000,282000,284000,115139
20240710,287500,290500,281500,283000,79090
20240709,283000,294000,282000,289500,130058
20240708,278000,286000,277000,278000,48069
20240705,272000,284000,269500,280000,124281
20240704,272000,277000,269000,272000,78875
20240703,273500,277000,269000,272500,77366
20240702,271000,276000,269000,271000,74218
20240701,278000,279000,271000,273500,88473
20240628,280500,284000,271000,281500,156709
20240627,287000,291500,278000,281500,118854
20240626,280000,293000,279500,289500,118745
20240625,278500,283500,275500,282500,83044
20240624,299000,299000,273000,276000,217712
20240621,293000,297000,290000,297000,477134
20240620,287500,294500,284500,291500,108847
20240619,279000,297000,278500,290000,346197
20240618,277000,278000,273000,276500,160880
20240617,271000,277500,269000,274500,152334
20240614,263000,278000,259500,272000,249943
20240613,266500,271000,264500,265500,256241
20240612,258000,267500,256000,265000,217577
20240611,256000,259000,253000,255500,61684
20240610,251500,258500,248000,254500,62029
20240607,248000,257500,248000,256000,99217
20240605,249000,254000,246000,246000,58446
20240604,245000,251000,242500,249500,58607
20240603,251000,254000,245500,247500,52047
20240531,255000,257500,243500,250000,362249
20240530,242000,253000,241500,251000,88005
20240529,244000,247000,240500,244000,127155
20240528,258000,259500,241000,246500,164875
20240527,262000,264000,258000,260000,136567
20240524,255500,261500,255000,260000,94601
20240523,252000,258500,252000,256000,78182
20240522,251000,255000,249500,254500,78621
20240521,250000,254000,247500,252500,75619
20240520,260000,260000,251000,252500,90498
20240517,257500,260000,256000,258000,74960
20240516,260500,262000,256500,258500,122777
20240514,260000,265000,255000,257000,112229
20240513,258500,260000,249500,259500,179601
20240510,265000,267500,258000,259000,187175
20240509,269000,271000,255000,263500,430254
20240508,260000,265500,258500,260000,212701
20240507,254000,260500,254000,257500,192672
20240503,244500,253500,243500,251000,159261
20240502,237000,245500,236500,243000,119352
20240430,238500,245000,238500,239500,122430
20240429,231500,241000,231500,240000,148646
20240426,227500,232500,227000,229500,176318
20240425,237500,238000,225000,225500,320859
20240424,240000,245500,239500,240000,263898
20240423,243500,247000,232000,238000,1619683
20240422,258000,262500,254000,259000,72912
20240419,256000,261500,250500,254000,124042
20240418,255500,262000,252500,260000,126476
20240417,254500,257500,249000,253000,100673
20240416,244000,255000,242500,254000,126646
20240415,235500,247500,231000,247000,86107
20240412,244500,247000,237000,238500,86884
20240411,237500,248000,237000,247500,109169
20240409,247000,249500,239000,242000,55846
20240408,248500,251500,243500,243500,66121
20240405,249500,253000,248500,249500,39956
20240404,255500,260000,250000,253000,104001
20240403,250000,256000,249000,253500,92064
20240402,246000,257500,244500,252000,122469
20240401,252000,253500,248000,250500,74153
20240329,250000,253000,243500,247000,104447
20240328,255500,255500,247000,250000,155553
20240327,250000,265000,248000,257000,371514
20240326,242500,247000,238500,246500,129365
20240325,236000,242500,232500,240000,125503
20240322,237500,240000,232500,236000,64214
20240321,239000,241000,234500,240500,81387
20240320,241000,243000,234000,237500,72127
20240319,234500,243000,234000,237000,114517
20240318,233000,240000,230500,238000,95801
20240315,234000,234500,222000,230500,176385
20240314,239000,241500,213500,235000,503053
20240313,234500,239500,231500,239000,80343
20240312,234500,239000,229500,234000,97830
20240311,225000,234500,224000,232500,120866
20240308,219500,226000,218500,222000,97789
20240307,214500,221000,213500,216000,74937
20240306,215000,218000,210500,213000,70286
20240305,215500,221000,215500,218000,68627
20240304,226500,230000,216000,217500,127079
20240229,223000,227000,220000,227000,97956
20240228,225000,229500,223000,225000,83055
20240227,219500,225500,217000,224000,98827
20240226,226000,226000,217500,217500,90380
20240223,226000,229000,222500,224500,88710
20240222,228000,228000,222000,225000,86029
20240221,234500,235500,224000,226000,111295
20240220,235000,238000,229000,232000,69317
20240219,237500,239500,232500,235000,55699
20240216,243000,243500,236000,237500,64520
20240215,242000,242000,235000,238000,83153
20240214,227500,243000,226500,239500,271909
20240213,219500,230000,219000,230000,285922
20240208,213000,216000,211500,214000,125582
20240207,212000,217000,210500,212000,67863
20240206,218000,222000,210000,211500,93543
20240205,221000,222000,214000,220000,93404
20240202,215000,225000,214500,223000,144478
20240201,212000,217500,208500,214000,99007
20240131,218500,220000,212000,214500,102684
20240130,215000,226500,214000,218500,239273
20240129,220000,229000,212000,212500,249597
20240126,204500,215500,204000,210500,115167
20240125,209500,209500,202500,207000,86069
20240124,206000,212500,203500,207500,157157
20240123,197400,205500,194200,204000,89271
20240122,195100,201500,193600,196000,57398
20240119,186000,194500,186000,193500,87504
20240118,187300,188700,184400,184500,56737
20240117,196400,197000,186000,186000,86708
20240116,201500,204000,195000,195000,78967
20240115,203500,206000,200500,204000,60213
20240112,200500,202500,199100,201500,42400
20240111,205500,205500,201000,201000,69914
20240110,207000,208000,199400,203000,87864
20240109,203500,208500,202000,206500,88719
20240108,199800,202000,196800,201000,67791
20240105,201500,211000,199100,201500,138826
20240104,193600,202500,192300,200500,137394
20240103,196300,199200,194100,194800,132017
20240102,193500,197900,191400,195800,112608
20231228,188500,194800,187200,193600,123609
20231227,182500,190500,182100,189400,178234
20231226,183100,185800,180700,181200,330425
20231222,208500,208500,177000,178500,616485
20231221,208500,210000,205000,207000,80852
20231220,212000,213500,209000,209000,102865
20231219,208500,212500,207500,209000,61267
20231218,208000,212000,207000,208500,50061
20231215,210000,212000,205500,208500,138748
20231214,216000,218000,209500,210000,263340
20231213,209500,214500,208500,211500,77766
20231212,213000,215000,206500,208000,96153
20231211,209000,213000,206000,213000,76497
20231208,214500,215000,204000,207000,141013
20231207,210000,214500,209000,212500,62224
20231206,213000,217500,210500,212000,80792
20231205,218000,219000,211000,213000,91489
20231204,217000,221500,216000,218000,83716
20231201,214000,219500,211500,217500,80376
20231130,217500,218000,209500,213000,159654
20231129,216500,220500,214500,216000,98653
20231128,217500,218500,213000,216000,87428
20231127,208500,217500,208000,217000,148104
20231124,210000,211000,204000,205500,76468
20231123,208000,211500,205000,210000,65636
20231122,207000,210500,205000,208000,80514
20231121,203500,210500,202000,209000,163038
20231120,193900,203500,190900,203000,166287
20231117,203500,205000,191800,193100,165836
20231116,204000,206500,200500,203500,142474
20231115,197900,204500,192600,204000,225505
20231114,193400,196000,190300,193000,162902
20231113,194000,195000,189800,193900,123965
20231110,188400,193300,187000,192900,117386
20231109,189000,194300,186300,190800,585646
20231108,181200,193900,180300,190800,945555
20231107,171000,172900,169700,172500,90525
20231106,171800,173400,167900,173400,153666
20231103,169100,172800,165000,169900,125403
20231102,168400,169700,165800,168900,98961
20231101,164500,167800,163900,166000,81027
20231031,163600,168800,162400,163800,121430
20231030,165200,166600,161300,162000,85180
20231027,166300,168200,162300,165200,128056
20231026,162500,165200,159700,163100,121472
20231025,162300,167300,162300,164800,139683
20231024,158400,164900,155700,163600,193876
20231023,159500,160000,153300,155500,140474
20231020,153100,160800,152400,159400,289731
20231019,152700,153400,150900,153000,71879
20231018,154700,156600,154200,154200,55717
20231017,154200,155900,154000,154700,67619
20231016,154400,155400,152500,154100,65920
20231013,151500,156100,151400,154900,67930
20231012,154700,154800,152400,154000,66983
20231011,152000,155200,151300,153200,77119
20231010,154000,154500,150200,151200,109221
20231006,148500,151800,147500,149400,59272
20231005,147000,149500,146300,148000,78211
20231004,149300,152000,145900,146500,119792
