,open,high,low,close,volume
20240822,16450,16600,16300,16600,1764164
20240821,16400,16550,16330,16450,1639899
20240820,16100,16560,16100,16510,3349843
20240819,15430,16140,15420,16040,3811543
20240816,15430,15640,15350,15420,2412665
20240814,15100,15410,15040,15270,2030550
20240813,14710,15110,14710,15020,2033796
20240812,14650,14820,14640,14750,1760105
20240809,14640,14740,14440,14670,3336989
20240808,14400,14790,14310,14450,2421205
20240807,14150,14730,14020,14530,2426268
20240806,14520,14760,14120,14150,4467360
20240805,14700,14780,13740,13980,8090921
20240802,15620,15700,15000,15130,4726728
20240801,15650,16180,15630,15830,2916216
20240731,15840,16040,15660,15740,4402644
20240730,15790,15930,15520,15680,15407636
20240729,16110,16960,16010,16330,10151683
20240726,14810,16230,14800,16180,14562584
20240725,14710,14710,14500,14530,1397398
20240724,14810,14910,14580,14670,1810483
20240723,14860,14970,14840,14860,1321083
20240722,14890,14950,14770,14930,1385798
20240719,14800,14870,14740,14870,1351086
20240718,14990,14990,14850,14900,1552304
20240717,14840,14900,14700,14860,1500162
20240716,14800,14910,14740,14770,1327935
20240715,14890,14910,14650,14750,964591
20240712,14950,14960,14730,14840,1160692
20240711,14800,14880,14650,14880,1841911
20240710,14600,14700,14600,14660,1023631
20240709,14810,14820,14520,14690,1756305
20240708,14640,14810,14600,14740,1054351
20240705,14850,14990,14720,14760,2437685
20240704,14640,14930,14620,14850,1937735
20240703,14580,15000,14500,14640,3105248
20240702,14260,14620,14260,14480,1711786
20240701,14660,14660,14330,14400,1633518
20240628,14480,14690,14430,14690,2213641
20240627,14330,14490,14080,14450,2576067
20240626,14490,14620,14400,14470,1816480
20240625,14630,14650,14510,14630,1358955
20240624,14240,14570,14200,14490,2161796
20240621,14300,14390,14190,14240,4197495
20240620,14140,14380,14110,14360,1305776
20240619,14180,14190,14060,14140,1458410
20240618,13980,14170,13940,14120,907160
20240617,14110,14180,13910,13950,1500261
20240614,13950,14350,13940,14120,2505641
20240613,14100,14340,13960,13960,2592007
20240612,14010,14180,14010,14180,788061
20240611,14110,14210,13990,14100,1343306
20240610,14100,14220,14080,14100,829120
20240607,14290,14420,14140,14280,1565944
20240605,14070,14170,13980,14080,1171072
20240604,14140,14340,14000,14070,1602271
20240603,14260,14380,14130,14250,878513
20240531,14140,14280,14090,14170,3595365
20240530,14130,14220,14020,14030,1195849
20240529,14080,14340,14050,14240,1490822
20240528,14280,14320,14180,14220,1103613
20240527,14400,14520,14260,14350,1239343
20240524,14270,14470,14220,14430,1196078
20240523,14680,14810,14430,14480,1836640
20240522,14950,14960,14750,14820,1587000
20240521,14610,14900,14600,14870,1393864
20240520,14660,14970,14610,14740,1829573
20240517,14640,14700,14540,14580,1204116
20240516,14590,14780,14560,14640,1966682
20240514,14570,14620,14420,14440,1205602
20240513,14610,14810,14520,14590,1605921
20240510,14540,14760,14470,14530,1942383
20240509,14510,14590,14290,14340,2015366
20240508,14250,14540,14200,14500,2066619
20240507,14270,14360,14100,14190,2314190
20240503,14050,14160,14020,14130,877182
20240502,14110,14190,13920,13980,1669616
20240430,14200,14300,14130,14230,1980111
20240429,14350,14400,14140,14190,1924262
20240426,14120,14470,14120,14350,2574082
20240425,13850,14160,13850,14020,1217139
20240424,14310,14350,13950,14120,1963697
20240423,14150,14450,14120,14200,1983757
20240422,13890,14180,13890,14150,2449323
20240419,13310,13590,13280,13540,2059911
20240418,13310,13630,13200,13500,1615309
20240417,13500,13500,13170,13170,1314789
20240416,13450,13590,13300,13400,2220892
20240415,13270,13590,13150,13560,1771800
20240412,13590,13700,13340,13410,2604557
20240411,13440,13920,13260,13770,3245321
20240409,14120,14130,13860,13910,1166510
20240408,14000,14150,13860,14030,1552017
20240405,13850,14090,13830,13930,880023
20240404,13770,14140,13770,14010,1583858
20240403,13970,14000,13740,13760,2355836
20240402,13910,14140,13830,14050,1671570
20240401,14450,14450,13900,14070,1861825
20240329,14630,14630,14210,14320,2158189
20240328,14560,14690,14480,14590,2637837
20240327,14930,15060,14550,14610,2514047
20240326,15130,15290,15030,15120,2213599
20240325,15240,15320,14990,15130,2092278
20240322,15140,15450,15060,15200,2059724
20240321,14880,15360,14770,15290,3738348
20240320,14800,15020,14650,14710,2163979
20240319,14720,14880,14640,14660,2360692
20240318,15170,15170,14510,14910,3495088
20240315,15170,15500,15060,15230,5769346
20240314,14800,15320,14670,15160,18648947
20240313,14290,14610,14220,14600,3122499
20240312,14250,14350,14100,14270,2810384
20240311,14240,14400,14100,14250,2181338
20240308,14580,14600,14180,14290,2853431
20240307,14460,14500,14340,14470,2322735
20240306,14520,14640,14360,14500,2439972
20240305,14760,15000,14420,14470,5231984
20240304,14470,14750,14300,14640,19050010
20240229,14510,14900,14470,14900,6024363
20240228,14460,14600,14350,14520,3366119
20240227,14590,15050,14530,14940,6101989
20240226,14870,14870,14200,14630,4068702
20240223,14850,15150,14830,14920,3587976
20240222,14920,14920,14590,14830,1770523
20240221,14770,14890,14600,14800,2312191
20240220,15070,15180,14600,14660,2502362
20240219,14810,15200,14800,15060,3068160
20240216,14260,14750,14260,14750,4242150
20240215,14160,14230,14010,14120,1763594
20240214,14300,14380,13990,14020,3308665
20240213,14780,14890,14230,14380,4318452
20240208,14490,14700,14340,14610,3172244
20240207,14200,14620,13600,14500,4325703
20240206,14710,15000,14420,14580,3536212
20240205,14780,14900,14250,14750,4671234
20240202,14530,14840,14020,14710,6674144
20240201,13910,14490,13880,14410,6228659
20240131,13430,13920,13430,13880,3552141
20240130,13500,13680,13440,13490,2247308
20240129,13130,13560,12980,13480,2925020
20240126,13030,13160,12900,13130,1568685
20240125,12990,13050,12910,13030,1444969
20240124,12780,13030,12750,13000,2736620
20240123,12680,12800,12610,12800,1396434
20240122,12690,12690,12570,12610,668847
20240119,12510,12680,12480,12620,1183552
20240118,12510,12550,12450,12470,1102444
20240117,12530,12570,12430,12450,1075902
20240116,12550,12590,12490,12530,771367
20240115,12530,12650,12490,12620,743109
20240112,12520,12630,12490,12540,717352
20240111,12540,12680,12470,12470,1485888
20240110,12530,12570,12480,12480,976582
20240109,12610,12640,12510,12590,1180302
