,open,high,low,close,volume
20240822,351500,364000,348500,363000,474976
20240821,333000,353000,332000,350000,489967
20240820,333000,334000,327000,330000,104179
20240819,336500,336500,328000,329500,126345
20240816,343500,344500,335500,336500,151534
20240814,334000,342000,332000,337000,196856
20240813,325500,331500,322000,329500,127711
20240812,321000,330000,321000,328500,144514
20240809,323000,329000,317000,322000,260609
20240808,324500,325500,311000,321000,425356
20240807,332500,338500,322500,324500,290231
20240806,331500,342000,328000,337000,370935
20240805,332500,340000,311000,322000,408563
20240802,326000,337500,324000,336000,200803
20240801,325000,337000,322000,333500,219837
20240731,334000,335000,323000,324000,181873
20240730,326000,342000,326000,333000,164442
20240729,323500,333000,321500,329500,95268
20240726,332000,334000,322500,325000,165067
20240725,315000,342500,313000,332500,464700
20240724,324000,330000,320000,321500,158027
20240723,330500,333500,324000,326000,152694
20240722,343000,343000,328000,328500,268882
20240719,335000,347500,335000,345500,237970
20240718,333000,342500,331500,335000,197622
20240717,346000,348000,335500,336500,262255
20240716,359000,360000,343000,346500,345755
20240715,373000,373500,357500,358500,245160
20240712,371000,375000,368500,373000,182104
20240711,364500,375000,357500,375000,516468
20240710,363000,367000,360500,362000,172607
20240709,359000,370000,358000,363000,273777
20240708,358000,364000,352500,358500,229191
20240705,359000,361500,352000,357500,207422
20240704,364000,367000,355500,359000,226816
20240703,360000,369500,353000,358000,714015
20240702,353000,362000,341500,343500,352020
20240701,328000,348500,325500,347000,305328
20240628,327000,331500,322500,326500,152685
20240627,331500,334000,327500,328000,122751
20240626,330500,338000,330000,331000,113087
20240625,334000,336000,331000,331000,124542
20240624,334000,336000,330500,331000,102798
20240621,338000,343000,333000,333000,165513
20240620,343000,346000,340000,340000,105297
20240619,332500,344500,332000,343000,220974
20240618,340000,343500,331000,331000,213956
20240617,345000,346000,336500,336500,273382
20240614,363000,363000,349000,349000,302758
20240613,356000,363000,349000,363000,412793
20240612,356500,361000,350500,351500,163853
20240611,354000,365000,353000,356500,219013
20240610,355500,358500,350000,353000,180618
20240607,355000,360000,352500,359000,208870
20240605,339000,359500,338000,351500,395864
20240604,329500,340000,329000,336500,146087
20240603,330500,341000,329500,332000,194056
20240531,331500,335500,328000,331000,264516
20240530,342000,343500,326000,328000,401661
20240529,356500,361000,342000,342000,386788
20240528,363500,363500,359000,360000,136480
20240527,357000,366000,355500,364500,157232
20240524,358500,359000,355500,356000,213011
20240523,364000,366000,360000,362000,157841
