,open,high,low,close,volume
20240822,94700,99600,91500,96200,8269168
20240821,103000,109700,93800,94300,13922671
20240820,96800,97400,91600,94000,1639667
20240819,95800,99200,94200,96400,1447204
20240816,88800,95500,88800,95200,1746075
20240814,87600,91700,86300,88200,1073183
20240813,88300,88300,85400,87400,698617
20240812,89300,90100,85800,87300,783976
20240809,89800,90300,88200,88800,441331
20240808,89200,90100,86900,88500,560303
20240807,86700,90400,86100,88800,719080
20240806,86400,89200,84400,86600,950793
20240805,88100,90000,76300,82800,1127248
20240802,90600,92100,89900,90800,611517
20240801,93300,95000,91700,92000,721342
20240731,98100,99000,89500,94400,1779758
20240730,96300,97600,94600,97600,794408
20240729,96000,97300,95900,96300,514277
20240726,95800,97500,95500,95700,582102
20240725,96600,98500,95000,95500,904711
20240724,97200,98300,96200,97800,616203
20240723,97500,98500,95900,96800,737260
20240722,95800,98400,93900,96500,895603
20240719,96900,97900,94500,95400,800957
20240718,97000,99700,95500,97300,1185321
20240717,98400,100300,95500,96600,1599301
20240716,96500,100400,95400,96900,1666460
20240715,95400,98600,95000,97200,1686942
20240712,88000,96700,88000,94900,3637834
20240711,89700,91200,88300,88300,773148
20240710,88500,91200,87900,89400,1163763
20240709,88400,89200,86700,88500,1072095
20240708,90000,90200,85900,87400,1490241
20240705,79900,91500,79600,89500,5652055
20240704,78500,80400,78400,79900,482253
20240703,78100,79800,76500,79000,660001
20240702,83200,83300,77000,77000,1380115
20240701,81400,84400,80500,83800,1273231
20240628,79300,82000,78300,80900,542676
20240627,79100,80400,78700,79300,400250
20240626,78300,80700,77900,79600,583522
20240625,77900,79500,77200,78800,427710
20240624,77700,81000,77000,78000,627521
20240621,78700,79100,77000,77600,529054
20240620,76900,79700,75900,78100,832434
20240619,75800,76300,74700,76200,385232
20240618,75800,76100,74800,75600,383351
20240617,74000,76600,74000,76200,467795
20240614,74800,76400,74400,74500,415885
20240613,75900,77600,74700,74700,707906
20240612,75800,76400,73500,74300,724899
20240611,78400,78800,75700,75800,876806
20240610,82700,82800,78200,78400,1027497
20240607,80200,82900,79800,81800,1389990
20240605,79300,81000,76700,79600,1321312
20240604,76700,79500,75600,78500,2159318
20240603,70700,82300,70300,75000,4589831
20240531,70600,70900,68400,68800,731720
20240530,69600,71400,68400,69800,445711
20240529,70000,71000,69600,69700,278248
20240528,71000,71500,70100,70300,349415
20240527,70300,71900,69000,70800,392252
20240524,71900,73100,69800,70000,619069
20240523,73100,73400,71500,71800,415839
20240522,77500,78400,69800,72900,1336386
20240521,76900,77200,75900,76800,343293
20240520,77400,77700,74700,76500,543426
20240517,72200,77500,71900,77400,972490
20240516,71000,74300,70800,74000,606723
20240514,70800,71000,69600,69900,283525
20240513,71900,73300,70500,70600,248054
20240510,72100,72900,71500,71600,203490
20240509,72500,72600,71500,71500,218010
20240508,72700,72800,71500,72500,226529
20240507,72800,73800,72100,72300,263695
20240503,72800,72900,71800,71900,151677
20240502,72100,72600,70900,72000,212511
20240430,72900,74000,72200,72400,326354
20240429,71500,73100,71500,72900,261466
20240426,71200,72100,70600,71000,226429
20240425,71900,72600,71300,71500,211263
20240424,73800,73800,71900,72300,334254
20240423,71800,74000,71000,73200,320085
20240422,70800,74200,70800,71600,516293
20240419,69400,70000,67800,69300,310670
20240418,69200,70900,69000,70100,242556
20240417,69800,70900,68500,68500,270147
20240416,69000,70200,68700,69300,242507
20240415,70500,70900,69600,69800,250416
20240412,69300,71800,69200,71200,355781
20240411,69100,70000,68200,69200,382633
20240409,71600,72200,70400,70600,229370
20240408,72400,72400,70000,71300,305107
20240405,71800,72700,71000,72100,335019
20240404,72700,74900,72700,73400,372611
20240403,74700,75200,72200,72500,744578
20240402,79700,79900,75500,75700,995759
20240401,77200,83400,77200,79200,1667727
20240329,77800,78000,76500,76700,333947
20240328,76400,78000,75800,77400,393811
20240327,77900,77900,75000,76300,536095
20240326,78100,79000,77000,77900,628160
20240325,77700,78300,76500,77900,509190
20240322,77500,77800,75800,76300,488810
20240321,75000,76400,74700,76300,400569
20240320,75800,77200,74200,74700,498066
20240319,74800,77200,74000,75100,604996
20240318,74500,76100,73800,74300,364414
20240315,76200,77800,73700,74000,634851
20240314,75600,77200,74800,75200,541937
20240313,77200,79500,75100,76000,786264
20240312,77300,78900,75900,76800,830199
20240311,76900,80400,75700,77400,2332169
20240308,70500,73900,70100,73600,918395
20240307,71500,73000,69200,69600,589460
20240306,68700,71000,68000,70800,714146
20240305,66300,69200,66100,68700,700950
20240304,67000,67500,65300,65600,542348
20240229,68500,69200,67400,67400,408812
20240228,68800,69100,67900,68700,322926
20240227,70700,71200,68500,69400,583786
20240226,68500,70700,67600,69900,1168985
20240223,64500,69200,64200,67000,1157150
20240222,66500,66500,64100,64300,329028
20240221,65300,68400,65200,65800,870947
20240220,63200,66000,62800,65100,596221
20240219,62700,63700,61900,63300,291503
20240216,62500,62800,61500,62600,164929
20240215,62700,62700,61700,61900,152711
20240214,62700,62800,61500,62000,192013
20240213,61900,63500,61600,63400,389351
20240208,61500,62200,61100,61200,383655
20240207,59900,61800,59800,61600,315898
20240206,59300,60000,59100,59800,165894
20240205,59800,60300,59100,59400,188864
20240202,59200,60400,58500,59900,183086
20240201,58800,59700,57500,59100,366195
20240131,60500,60500,58900,59200,265418
20240130,60700,61400,60400,60500,154197
20240129,61900,62000,60200,60300,188092
20240126,60000,62200,59700,61400,232086
20240125,59400,60400,59100,60200,160131
20240124,60200,60300,59300,59500,167239
20240123,59700,60900,59700,60200,185582
20240122,59700,60000,59000,59600,253583
20240119,59800,60500,59500,59700,289308
20240118,60100,60800,59800,59800,178512
20240117,62100,62300,60300,60400,281428
20240116,62600,63200,61500,62200,181175
20240115,63500,63500,62100,62600,184155
20240112,65300,65800,62800,63000,309476
20240111,64800,66100,64400,65300,265973
20240110,64900,65300,64000,64800,186172
20240109,65200,65800,64200,64500,239025
20240108,66100,66500,64300,64400,244527
20240105,66300,66900,65200,65900,301451
20240104,68300,68300,66100,66300,371864
20240103,68400,69800,68000,68800,562166
20240102,68800,68900,67300,67800,377268
20231228,68600,69200,66900,68800,379712
20231227,67100,68800,67100,67900,528358
