,open,high,low,close,volume
20240822,517000,518000,499000,507000,97998
20240821,520000,539000,511000,515000,140255
20240820,526000,536000,514000,525000,106527
20240819,551000,551000,519000,521000,158899
20240816,557000,562000,545000,548000,158927
20240814,581000,609000,523000,545000,477464
20240813,585000,600000,562000,567000,121047
20240812,601000,604000,568000,587000,124211
20240809,591000,608000,583000,599000,97843
20240808,601000,605000,573000,586000,89232
20240807,568000,594000,561000,590000,125722
20240806,550000,579000,545000,567000,159402
20240805,545000,568000,486000,528000,223061
20240802,606000,607000,573000,578000,160595
20240801,618000,636000,607000,616000,114998
20240731,619000,637000,606000,617000,110568
20240730,637000,644000,621000,623000,55940
20240729,623000,653000,619000,638000,88097
20240726,619000,636000,611000,623000,84619
20240725,667000,669000,612000,614000,219871
20240724,668000,686000,652000,679000,129830
20240723,636000,668000,629000,659000,148448
20240722,644000,656000,617000,634000,97899
20240719,624000,641000,617000,636000,78443
20240718,606000,630000,596000,630000,118939
20240717,638000,641000,605000,611000,126579
20240716,636000,647000,617000,620000,114053
20240715,597000,650000,594000,636000,231011
20240712,620000,629000,591000,593000,160264
20240711,623000,675000,607000,630000,265442
20240710,617000,632000,610000,619000,85568
20240709,609000,629000,603000,614000,131998
20240708,598000,611000,586000,603000,80921
20240705,589000,608000,589000,596000,126064
20240704,616000,620000,581000,588000,164589
20240703,614000,622000,590000,605000,149903
20240702,606000,622000,593000,609000,156936
20240701,668000,679000,614000,615000,239222
20240628,664000,673000,649000,669000,99543
20240627,651000,672000,645000,662000,119198
20240626,653000,677000,636000,652000,151394
20240625,670000,678000,648000,654000,118599
20240624,710000,712000,662000,670000,155706
20240621,634000,710000,625000,700000,368809
20240620,678000,692000,635000,644000,207818
20240619,695000,718000,651000,673000,284517
20240618,700000,712000,671000,712000,188158
20240617,655000,698000,648000,686000,222956
20240614,630000,688000,628000,647000,330275
20240613,594000,625000,589000,612000,159914
20240612,600000,610000,585000,607000,107489
20240611,621000,635000,582000,590000,169084
20240610,611000,639000,599000,619000,153346
20240607,610000,641000,594000,603000,214014
20240605,550000,589000,546000,581000,171046
20240604,579000,580000,526000,545000,190939
20240603,553000,604000,547000,587000,275536
20240531,524000,532000,512000,529000,76712
20240530,537000,538000,515000,528000,93900
20240529,535000,552000,528000,538000,106987
20240528,525000,566000,519000,539000,179025
20240527,505000,545000,492000,520000,204200
20240524,486000,517000,478500,501000,190653
20240523,491500,503000,481000,488500,138604
20240522,493500,527000,492000,495000,192817
20240521,507000,537000,487500,497500,302892
20240520,487500,579000,487500,502000,676388
20240517,446500,446500,446500,446500,88024
20240516,340000,348500,337000,343500,62744
20240514,334500,343500,322000,335500,75011
20240513,331500,353000,324000,329000,143339
20240510,310000,333000,310000,325500,105083
20240509,300000,314000,298000,310000,67142
20240508,312000,312000,295500,301000,63509
20240507,304000,315500,299500,305500,65343
20240503,302000,308500,298500,303000,49300
20240502,299500,310500,297500,302500,71900
20240430,300000,303500,292500,295500,71519
20240429,285000,300500,284500,300500,83738
20240426,287500,288500,280000,287000,59641
20240425,289000,295500,280500,287000,73547
20240424,282000,294000,276500,290000,80257
20240423,294000,296500,271000,283500,165295
20240422,274500,293000,272000,293000,162023
20240419,269500,277000,265000,271000,86459
20240418,267500,273000,258500,268500,130174
20240417,253000,266000,251500,260500,132348
20240416,242500,259000,240500,246000,123649
20240415,238500,248000,231500,242500,81581
20240412,233000,250500,232500,240000,126160
20240411,220500,237000,213000,233000,124874
20240409,218000,224000,215000,222500,41051
20240408,217000,223500,215500,216500,40095
20240405,216000,221000,215000,217000,24395
20240404,218000,225000,217000,219500,64147
20240403,214500,219000,212000,218000,53109
20240402,216500,221500,214000,215500,52899
20240401,212000,222000,210000,218000,83788
20240329,213000,215500,207500,210500,49874
20240328,205000,215000,202500,212000,105375
20240327,204000,206500,201000,203000,48375
20240326,206500,212500,202500,206000,53124
20240325,193500,212500,192300,206500,133456
20240322,189000,196800,189000,193000,66562
20240321,191000,192500,186400,188800,70154
20240320,192800,192800,188400,190200,37451
20240319,196700,198100,190900,191200,39716
20240318,195300,199800,192200,197300,46179
20240315,186000,196300,185200,195300,72640
20240314,185900,188400,184700,184900,43313
20240313,192000,193300,186000,186800,50921
20240312,192000,192400,188600,190500,30962
20240311,201000,201000,191600,191700,46312
20240308,197500,203000,193900,200000,60457
20240307,193100,197900,193100,195000,76571
20240306,190900,196400,189800,190900,60481
20240305,189400,192900,185500,190200,56312
20240304,177000,194300,177000,191000,194547
20240229,175000,177200,169600,170900,72333
20240228,178700,179000,175100,175500,38696
20240227,183000,184000,178400,178500,39633
20240226,187900,187900,181400,183000,36828
20240223,186000,187500,182000,186000,40516
20240222,186700,188900,183200,185700,70491
20240221,181800,188000,177200,186700,74083
20240220,184100,187400,180200,180200,43375
20240219,183800,190400,183200,183400,47403
20240216,178200,185500,175400,183800,111266
20240215,173700,179000,172400,177400,69569
20240214,174900,174900,171600,172000,46129
