,open,high,low,close,volume
20240822,80100,80500,79700,80500,77464
20240821,79900,80300,79100,79700,70110
20240820,80500,80600,79400,79900,91488
20240819,80600,81200,79600,80000,85634
20240816,79500,81100,79400,80500,136995
20240814,79400,79400,78200,78700,103562
20240813,78300,79300,78200,79200,76624
20240812,78600,79400,78000,78800,93421
20240809,80300,80400,77400,78000,246295
20240808,78500,80900,77800,80300,188953
20240807,77100,80300,76600,79300,171744
20240806,83200,83500,77200,77600,253466
20240805,83800,83800,77400,78100,242747
20240802,86000,86700,84300,85000,107636
20240801,85900,86900,85400,86100,89466
20240731,84800,87300,83900,86700,464155
20240730,83200,85800,82200,84800,188472
20240729,83100,87000,82200,84300,262585
20240726,81200,83400,80800,82900,256203
20240725,81300,81300,79900,80500,120603
20240724,80300,81300,80300,81100,61335
20240723,81100,81500,80500,80900,70500
20240722,81900,81900,80700,81100,109113
20240719,80500,81800,80200,81800,115197
20240718,81500,81600,80500,81000,105837
20240717,81400,81600,80500,81400,118568
20240716,81200,81500,80800,80900,80463
20240715,82000,82000,81000,81000,80233
20240712,81700,82500,80500,81600,119832
20240711,81300,81700,80500,81700,165226
20240710,81500,81800,80500,80600,102549
20240709,81800,82600,81300,82100,101235
20240708,82100,82700,81200,81200,81863
20240705,83100,84000,82500,83100,233020
20240704,80100,82800,79900,82700,261122
20240703,80100,80700,79700,79700,136663
20240702,79700,80200,79200,79400,155817
20240701,80300,80700,79900,80500,91239
20240628,79900,80600,79600,80600,134773
20240627,80600,80900,78600,79400,254395
20240626,81100,81800,80900,81600,123853
20240625,81500,81900,80700,81800,118366
20240624,82500,82900,80600,80600,133587
20240621,81600,82500,81200,82500,324453
20240620,81700,81800,80400,81800,184675
20240619,80400,82400,80100,81700,233076
20240618,80600,80700,79500,79500,123816
20240617,79900,80400,79500,80400,114414
20240614,80900,81600,79700,80000,311687
20240613,83200,85300,81400,81400,351352
20240612,80300,83100,80300,83000,270712
20240611,80700,81000,79500,79800,135828
20240610,80500,81400,79800,80500,130925
20240607,80400,81500,79800,81300,206024
20240605,80000,80400,79100,79600,154024
20240604,81800,82400,78900,79000,216503
20240603,81300,82200,81200,81700,154536
20240531,81900,82500,80300,81300,503669
20240530,81000,82100,80600,81100,141487
20240529,80600,82600,80500,81500,238111
20240528,79200,82000,79200,81400,229888
20240527,78700,80500,78700,79900,129686
20240524,79700,80600,78400,78400,210423
20240523,80400,81200,80200,80600,133393
20240522,79800,81700,79700,81000,247895
20240521,80300,81400,79500,80500,284239
20240520,82000,82100,80800,81100,181396
20240517,81000,81500,80700,81000,239817
20240516,82400,82800,80700,81000,263759
20240514,81000,81200,80100,80500,218244
20240513,80500,81200,79900,81000,184044
20240510,80200,80900,79700,79800,378174
20240509,80300,80300,78900,79100,182517
20240508,80200,80300,79400,79900,142167
20240507,78100,79700,78000,79500,255616
20240503,78700,78800,77000,77100,207760
20240502,78800,79100,77700,77800,170539
20240430,80000,80600,79200,79400,259196
20240429,80300,81000,79600,80200,152404
20240426,78200,79600,77800,78900,111546
20240425,78100,79000,77900,77900,135072
20240424,80700,81300,79000,79100,127404
20240423,79100,80500,78500,79200,156862
20240422,77000,79900,76600,79000,272294
20240419,75100,76000,74800,75500,245639
20240418,76100,76800,73900,76200,457818
20240417,77500,78300,75800,76100,355634
20240416,76400,77700,75500,77000,266193
20240415,76900,78100,76000,77100,274880
20240412,78900,80100,77400,77600,421932
20240411,78600,80600,77500,79600,359357
20240409,81600,82000,80700,80800,378747
20240408,80700,81000,79600,80600,221875
20240405,80500,81500,78700,80100,463078
20240404,83200,83600,81600,82300,305063
20240403,84500,84500,81300,82200,373280
20240402,85200,86300,84800,85500,212341
20240401,88400,88600,86200,86600,175392
20240329,87900,89100,86600,87500,233338
20240328,88700,88700,87600,87600,244326
20240327,88000,90000,87800,89200,207116
20240326,90200,91400,89600,89900,198728
20240325,90900,90900,89500,89800,164908
20240322,90300,92500,90300,90400,188487
20240321,89900,92100,89200,91300,260531
20240320,89800,90500,89000,89100,175463
20240319,89000,89700,87800,89100,307990
20240318,93100,94700,88600,89600,652430
20240315,98400,99500,93400,94900,589886
20240314,100200,101500,98200,101400,443284
20240313,96700,100400,96000,99800,270025
20240312,98600,99200,95300,95300,151310
20240311,94300,99200,94300,97300,257359
20240308,98300,98300,94800,95200,294300
20240307,94300,97900,93900,97300,223645
20240306,93500,95500,93100,94300,171931
20240305,93800,95600,93100,93600,205279
20240304,93500,96400,92700,95000,282387
20240229,93700,95000,93000,93700,390728
20240228,92500,96500,91200,94700,409867
20240227,94400,94500,92200,93400,230955
20240226,100600,100600,92700,93900,604229
20240223,99100,102700,99100,101500,438973
20240222,99900,100100,97700,99000,314203
20240221,100600,102200,98600,101000,335960
20240220,102900,103300,96700,101600,637308
20240219,98000,103600,96800,103500,808969
20240216,93300,96500,92800,96500,325404
20240215,92800,93500,91700,92500,268657
20240214,91800,93500,91600,92000,249458
20240213,93900,94900,92300,93000,424591
20240208,92900,94500,92600,94000,412281
20240207,90000,94200,89300,93900,861867
20240206,90300,91800,88900,90200,363460
20240205,91000,92700,88500,91200,667586
20240202,89900,92400,86400,92100,972696
20240201,81800,93700,81200,88100,1805465
20240131,77500,82700,76800,82000,1310120
20240130,77500,79900,77000,77700,840371
20240129,74000,76700,73500,75800,474271
20240126,73300,74300,73200,73700,174559
20240125,73000,74100,72800,73600,590749
20240124,73000,73500,72600,73000,307856
20240123,72300,73100,71600,73000,265352
20240122,72500,72600,71300,71700,213732
20240119,72500,73400,71200,72200,383174
20240118,72100,73000,71700,72100,439025
20240117,75000,75300,71800,72200,598265
20240116,76000,76400,75000,75200,257242
20240115,76400,77500,76400,77000,147255
20240112,77100,77300,75900,76300,341783
20240111,79400,79500,77400,77400,298902
20240110,79800,80500,78800,78800,157218
20240109,81000,81000,79300,79500,161600
20240108,80400,80800,79500,79700,122049
20240105,80600,81000,79700,79700,135407
20240104,81600,81900,80500,80700,143659
20240103,83800,84500,81700,81700,204529
20240102,85700,86000,83800,84800,152447
20231228,83500,85900,83000,85900,261319
20231227,85100,86200,82900,83100,254699
20231226,86600,88400,86600,88300,269198
20231222,86400,87000,85800,85800,127365
20231221,85900,86700,85500,86400,83179
20231220,86300,87300,85700,86500,275372
20231219,85400,86500,85200,86000,135230
20231218,86300,87000,84700,86300,171076
20231215,85100,87400,84600,87400,292006
20231214,84600,86300,84000,86300,320025
20231213,84300,84900,82900,83400,188597
20231212,83300,85500,82700,84900,166727
20231211,82800,83200,81800,82700,110374
20231208,82100,82600,81700,82400,108448
20231207,81400,82000,80700,81700,141906
20231206,82400,83100,82000,82400,133272
20231205,81900,82300,81300,81900,175811
20231204,82500,83100,82100,82400,189091
20231201,83100,83400,81700,82000,574474
20231130,81900,84100,81600,84100,387163
20231129,82300,83200,81600,82200,148070
20231128,82500,83500,81700,83000,185416
20231127,82600,82600,80900,81700,108969
20231124,83000,83400,82200,82200,101601
20231123,84300,84900,83000,83400,136500
20231122,85300,86100,84600,85100,83501
20231121,86600,86600,85500,86500,112736
20231120,85300,86200,84800,85400,88990
20231117,85700,85700,84600,85300,91990
20231116,84000,84900,83700,84900,115476
20231115,82900,84400,82400,84300,212557
20231114,82800,82900,81300,81300,276869
20231113,82200,83000,81200,81800,80501
20231110,81900,82700,80800,81300,61896
20231109,80900,82700,80900,82700,109301
20231108,83100,83900,81100,81500,128795
20231107,82900,83100,80500,82400,236797
20231106,79300,84600,78500,84600,225945
20231103,79200,79800,78600,79000,125591
20231102,78800,79800,77800,78300,124333
20231101,77300,78300,76600,77500,135688
20231031,77900,78500,76400,77200,193181
20231030,76700,77300,75300,77100,210099
20231027,79800,79800,77000,77400,156611
20231026,80300,80300,78100,78500,136082
20231025,79500,80900,79400,80200,136294
20231024,80800,80800,78300,79200,154089
20231023,82700,82700,79500,80000,165444
20231020,80900,82000,80500,81200,99488
20231019,82100,82500,81100,82000,126760
20231018,83200,84000,82600,82900,90189
20231017,84800,84800,83400,83600,108760
20231016,83000,84400,83000,83800,111189
20231013,83300,83500,82700,83100,85805
20231012,85000,85000,83800,84500,148937
20231011,83800,84900,83500,83800,194611
20231010,83300,85600,82700,83200,161178
20231006,82600,82800,80900,81400,97276
20231005,81100,81800,80800,81000,115890
20231004,82000,83000,80900,81000,247893
20230927,84100,84300,83100,83800,210605
20230926,84600,85800,83000,85000,162034
20230925,84700,85400,83900,85100,147860
20230922,82700,85200,82300,83900,140355
20230921,84500,85300,83200,83500,100965
20230920,84500,85800,84300,85300,82928
20230919,84100,85800,84100,84600,85010
20230918,85800,85800,84500,84500,77545
20230915,85200,86400,84100,85800,266105
20230914,84800,85000,83800,85000,208962
20230913,82900,84700,82900,84700,117602
20230912,84800,84800,83400,83800,108348
20230911,83900,84700,83100,84100,103704
20230908,84800,84800,83200,83900,79884
20230907,83600,84800,83500,84500,158307
20230906,83800,84800,83100,84300,144654
20230905,83800,84700,83800,84500,131966
20230904,82300,84300,82100,84300,118156
20230901,82600,83900,82500,82900,148226
