,open,high,low,close,volume
20240822,18390,18810,17900,18650,761886
20240821,18270,18580,18080,18420,651226
20240820,18700,19000,18480,18670,745934
20240819,20000,20100,18700,19140,1452747
20240816,20900,21400,20150,20600,1336493
20240814,21800,23050,21500,21850,2016202
20240813,23400,23650,22000,23000,3293295
20240812,21150,22000,20500,21600,1426308
20240809,19940,21900,19910,21600,2132457
20240808,23050,24350,21050,21050,4853313
20240807,23500,23550,21600,22800,2785241
20240806,21050,23950,21000,23050,4145170
20240805,23900,24950,20150,22600,8496027
20240802,20850,23850,20600,23000,15277471
20240801,20000,20550,19500,20200,3683249
20240731,16950,21050,16340,20350,11362849
20240730,16710,16760,16230,16340,251409
20240729,16760,17100,16580,16760,854648
20240726,15600,15860,15260,15810,215069
20240725,16140,16600,15540,15660,375320
20240724,16860,16910,16310,16340,401596
20240723,17160,17340,16880,17000,374478
20240722,17500,18090,17320,17370,900174
20240719,17680,18170,17220,17260,756341
20240718,17400,18390,17130,17640,2940451
20240717,16960,17020,16640,16710,410051
20240716,16790,18520,16620,17130,3281537
20240715,17570,17650,16770,16810,383140
20240712,17910,17940,17300,17300,343636
20240711,17530,18200,17410,17730,768145
20240710,17560,17670,17120,17280,380945
20240709,18040,18110,17450,17550,440868
20240708,17900,18210,17520,17970,600872
20240705,17500,18860,17460,18030,1949298
20240704,18190,18500,17400,17500,960563
20240703,18310,18700,17970,18010,1079122
20240702,17790,20450,17790,18840,12430715
20240701,18000,18180,17310,17340,472113
20240628,17450,18790,17390,18000,2066522
20240627,17370,17510,17090,17110,409038
20240626,17710,17860,17040,17200,704359
20240625,18770,19480,18080,18080,1826414
20240624,18330,18680,18040,18040,798376
20240621,19110,19730,18490,18520,1358450
20240620,20200,20500,19200,19200,2134394
20240619,19810,20550,19160,19500,4541790
20240618,17950,21400,17670,19860,11790083
20240617,18240,18750,17660,17660,956937
20240614,18670,18690,17950,18190,887535
20240613,18080,19390,18000,18670,2904202
20240612,18600,19390,18040,18120,1620721
20240611,19830,21400,18760,19020,3308044
20240610,19480,20250,19100,19740,2905602
20240607,22400,26650,19600,19870,16769516
20240605,23650,28100,21600,23300,18062960
20240604,21650,23300,21500,23300,11398794
20240603,13890,17950,13850,17950,7056561
20240531,13530,13960,13520,13810,221420
20240530,14490,14610,13800,13810,532618
20240529,14750,15200,14250,14330,2257503
20240528,14090,14320,13980,14110,301333
20240527,14280,14350,13760,14020,395556
20240524,14200,14570,14120,14210,233213
20240523,14260,14390,14060,14300,368325
20240522,14900,15000,14570,14570,467379
20240521,15450,15700,15160,15160,907387
20240520,15650,16930,15380,16060,5256944
20240517,15350,15700,15130,15260,538312
20240516,15300,15480,15190,15290,378057
20240514,15740,15870,15360,15450,456710
20240513,16030,16350,15600,15700,820674
20240510,16350,17070,16180,16510,1914821
20240509,16640,16950,16100,16360,1182019
20240508,16910,17170,16290,16380,1861669
20240507,16780,18450,16700,17800,6919179
20240503,15620,18050,15550,17150,13174919
20240502,14950,15430,14610,15100,983311
20240430,15420,15770,15080,15450,1707576
20240429,16810,16930,16120,16130,2124280
20240426,17710,18630,17420,18070,3279546
20240425,16900,18910,16560,17840,10556200
20240424,16050,16960,16050,16960,703996
20240423,15800,16550,15800,16130,754883
20240422,17870,18110,16050,16050,1758989
20240419,17220,22350,16890,21000,23990207
20240418,17240,17770,17050,17230,2478663
20240417,18600,19920,17900,19030,6745165
20240416,20450,22400,19840,20200,15234638
20240415,17660,20550,17640,18830,14698875
20240412,14590,16380,14400,16230,4314946
20240411,15500,15890,15020,15110,1715221
20240409,14130,16440,13800,15300,8738926
20240408,14330,15100,14040,14350,1890709
20240405,15140,15600,14230,14470,4025259
20240404,13780,14100,13620,13820,990306
20240403,15220,16190,14040,14200,4253322
20240402,12810,15710,12650,15310,8178530
20240401,12440,12580,12390,12520,48036
20240329,12550,12610,12320,12430,75492
20240328,12420,12440,12290,12410,59685
20240327,12620,12750,12370,12410,121701
20240326,12720,12800,12580,12710,93851
20240325,12490,13000,12430,12610,163096
20240322,12540,12560,12380,12460,43321
20240321,12550,12590,12400,12500,66004
20240320,12630,12810,12520,12610,83970
20240319,12660,12810,12500,12510,177418
20240318,12350,12500,12300,12410,64189
20240315,12780,12850,12460,12500,198396
20240314,12710,12850,12330,12410,304788
20240313,12000,12410,11950,12190,90044
20240312,11980,12100,11890,12050,96651
20240311,12220,12350,11940,12080,127116
20240308,12440,12490,12290,12360,86775
20240307,12670,12710,12420,12440,96695
20240306,12940,12940,12620,12680,69043
20240305,12650,12940,12510,12940,114127
20240304,12590,12870,12590,12800,81850
20240229,12510,12590,12410,12510,71249
20240228,12680,12860,12530,12560,115266
20240227,12700,13350,12540,12590,251458
20240226,12830,12980,12500,12700,98520
