,open,high,low,close,volume
20240822,119100,120600,115400,117100,139983
20240821,116500,119100,115300,117000,116508
20240820,119700,120000,116700,117300,138574
20240819,117100,119500,116700,117300,136360
20240816,119800,122800,117100,117100,331338
20240814,111800,116200,111800,114000,252636
20240813,110000,111900,108500,111200,219986
20240812,109400,110200,106100,109000,154182
20240809,105300,109200,104600,107500,273725
20240808,103300,105000,102000,102700,169340
20240807,104500,107000,103400,105700,283567
20240806,103000,107200,100600,105700,382203
20240805,105300,107900,94000,99700,441511
20240802,113200,115400,109900,110200,349841
20240801,118600,124000,118000,119900,381321
20240731,113300,117500,112600,115700,214371
20240730,116000,117000,112000,113300,284162
20240729,116800,118300,115500,117200,227368
20240726,119500,121600,115500,115700,369085
20240725,123600,124500,116200,119800,610836
20240724,130800,134800,127000,127000,480042
20240723,127500,133100,122700,130500,790566
20240722,132200,133700,124700,126300,320834
20240719,130400,134400,128000,131500,303588
20240718,132800,134400,130600,132800,324584
20240717,143400,144600,135500,135500,435353
20240716,150600,150700,140300,143700,528802
20240715,151200,155300,148200,149700,380607
20240712,155800,157500,149100,149600,511356
20240711,159800,160000,155200,157100,679073
20240710,139700,158800,138800,156700,2036796
20240709,135600,143400,135000,138400,521418
20240708,132200,136300,131600,134600,432895
20240705,132900,133100,128500,131000,338320
20240704,134200,135500,130700,132700,275382
20240703,132300,133700,130000,131900,260598
20240702,130300,134000,129400,131600,476893
20240701,143800,145300,130100,130200,833151
20240628,146500,149900,143100,143900,382735
20240627,141200,148000,139300,145800,485425
20240626,142500,147100,140400,141500,353212
20240625,143000,146000,142200,142800,252406
20240624,147200,147900,140600,142100,362479
20240621,141500,149800,141400,148800,898536
20240620,141200,142800,137400,140600,410087
20240619,143400,146600,140200,141100,399943
20240618,148400,149300,141000,141800,444622
20240617,147200,149800,140700,146700,367691
20240614,144100,149700,143800,145700,647226
20240613,144500,150300,143200,143200,660362
20240612,146200,147100,141800,143700,487582
20240611,154200,154600,145800,146600,490370
20240610,146900,153300,145400,152100,542583
20240607,147600,154000,147600,149900,627064
20240605,161900,161900,148500,149900,1153220
20240604,168200,170800,162100,163800,460351
20240603,170200,172000,163900,169800,524575
20240531,177200,178100,167900,170100,675091
20240530,178000,182500,174200,177000,392925
20240529,188000,192800,180300,180700,568047
20240528,176300,186500,175000,183200,635788
20240527,171000,183000,168200,174700,876111
20240524,162300,173500,161300,171000,878054
20240523,167100,171600,163900,168000,1147114
20240522,184000,184700,174400,175800,810055
20240521,189100,194800,177600,179300,1080877
20240520,173800,189300,172100,187500,1563113
20240517,160200,175000,159500,167000,1220912
20240516,156100,161900,150600,161500,815968
20240514,153100,157500,147400,150800,600312
20240513,149800,161500,143500,150300,1589800
20240510,146400,147200,141000,145000,414569
20240509,145600,146200,141800,143500,379976
20240508,142400,148100,140400,144500,569047
20240507,134900,144900,133100,143700,792423
20240503,138100,138100,129100,129600,422390
20240502,135200,142100,133300,135300,394281
20240430,140000,144700,136600,138100,710344
20240429,130700,142300,127100,138300,1390776
20240426,120000,129100,120000,127800,984365
20240425,120500,120700,116500,116800,482903
20240424,123800,126200,120400,122200,525239
20240423,128500,128600,120000,122300,601354
20240422,128300,136600,122000,126700,1213091
20240419,129100,130400,117200,124900,1115586
20240418,115300,130500,114800,130500,905697
20240417,111700,116600,111700,113600,430963
20240416,123600,128500,112100,113000,781920
20240415,125400,132000,121200,124800,869780
20240412,116200,128100,113700,122100,1181262
20240411,109000,115900,105700,114900,480873
20240409,112700,117000,111200,112000,341735
20240408,114300,115300,110500,111100,302940
20240405,110600,118000,110000,114000,654461
20240404,104000,110400,104000,109600,330909
20240403,104200,105700,102300,102600,181804
20240402,109200,110000,104800,105500,317965
20240401,113300,114500,108300,110200,214682
20240329,115300,119300,112800,113400,313915
20240328,116700,118000,113800,114200,239125
20240327,108500,117300,107500,115600,476131
20240326,110600,111200,107700,108500,161602
20240325,111500,115400,109400,109700,199441
20240322,111300,113300,108100,110600,258884
20240321,106600,111800,104600,111000,339542
20240320,107400,108000,104200,105100,222542
20240319,112000,113000,106600,107400,306784
20240318,106100,112400,105700,110600,568846
20240315,102000,106800,99900,104100,446916
20240314,100500,107800,100000,101300,816061
20240313,97100,101900,97000,98700,299611
20240312,98800,99500,95900,97600,155711
20240311,95200,100300,95200,97300,295472
20240308,97300,97700,94600,96200,163612
20240307,96300,98600,94600,95800,194340
20240306,94400,97100,93300,95700,199988
20240305,89700,97500,89300,94900,507924
20240304,88900,89700,88100,88800,156122
20240229,89100,90700,87600,87900,132430
20240228,87300,90000,87200,89200,123742
20240227,89500,90300,86800,87300,173879
20240226,94400,94400,89600,89800,282382
20240223,96100,97400,94700,95300,124404
20240222,95000,96900,93200,96100,135082
20240221,94700,96100,93100,94300,121555
20240220,97000,99000,94600,95100,199366
20240219,95900,98700,94500,96300,245732
20240216,91600,95500,91600,95400,267450
20240215,91800,91900,90400,91000,187531
20240214,92300,94400,90300,90400,335146
20240213,97800,98100,92300,93000,404463
20240208,98900,102300,96900,97800,246293
20240207,98100,100600,97000,100000,263013
20240206,103000,103400,96200,98000,482990
20240205,104000,108200,102000,103800,551811
20240202,97000,103800,94900,102900,593151
20240201,91000,99500,89600,96000,670302
20240131,87400,91400,86800,91100,244486
20240130,85500,89300,85300,87600,317549
20240129,82800,85800,82400,85000,132563
20240126,82200,84200,81600,82700,88281
20240125,80300,83300,78600,83200,167446
20240124,79100,81200,79100,80000,106023
20240123,78400,79500,77900,79100,75598
20240122,80100,80200,78200,78400,113535
20240119,80600,81300,79300,79800,113428
20240118,77600,81000,77200,80100,123992
20240117,79700,80300,77300,77900,138010
20240116,80100,80900,79000,80000,85314
20240115,81500,81900,79600,80100,143405
20240112,82500,82800,81300,81900,86831
20240111,84500,84700,82100,82100,120196
20240110,84000,84500,83300,83600,81033
20240109,86300,86400,83400,83600,148924
20240108,87200,87300,85200,85200,165741
20240105,87800,88500,86900,87000,93445
20240104,88400,88900,87100,87900,142499
20240103,90500,91200,88100,89100,175893
20240102,92700,92800,89900,91600,108836
20231228,91300,93500,91100,93200,99096
20231227,91000,91600,89300,91200,136703
20231226,91200,91900,88800,91400,152197
20231222,93500,93600,90000,90300,150121
20231221,92000,95300,91300,93000,213204
20231220,91300,94300,91300,92400,203151
20231219,90700,92000,88700,90800,171457
20231218,90800,91100,88700,90400,154449
20231215,89800,91900,89300,90200,371550
20231214,84900,88500,83300,87100,391422
20231213,87200,89700,83400,83400,305394
20231212,86000,87000,84600,86300,135555
20231211,85900,85900,84800,85100,117372
20231208,86100,86500,84000,85700,133403
20231207,87200,88200,84100,85600,160678
20231206,87300,87800,85400,86900,125161
20231205,86500,90000,84100,86500,289700
20231204,85500,91000,85400,87700,457204
20231201,85300,85500,83400,84000,102362
20231130,84600,86600,84400,84700,166702
20231129,85400,85900,83600,85000,135993
20231128,85000,86400,84200,84700,119565
20231127,85100,85100,82700,84500,110569
20231124,85300,86500,84400,85100,102243
20231123,85900,86700,84300,85100,155125
20231122,83700,87100,82200,85500,381452
20231121,81000,83700,79800,83000,242043
20231120,77200,80900,77000,80500,208414
20231117,77200,77900,75400,76800,177359
20231116,79000,79200,77400,77600,182294
20231115,80900,81600,78000,78700,236654
20231114,77200,79000,76900,78800,152195
20231113,77700,78100,75600,76500,123492
20231110,77100,77400,75600,76700,149958
20231109,79100,79400,77500,78100,131593
20231108,80100,81500,78800,79100,149870
20231107,85500,85500,79200,79800,304221
20231106,82000,85900,81700,85500,371355
20231103,81000,81700,78000,79500,142817
20231102,78500,81100,78300,79700,194603
20231101,78300,80100,76800,77200,196743
20231031,84200,84200,78200,78300,275547
20231030,80500,84100,80100,83100,139454
20231027,81800,82600,79900,81000,185517
20231026,82100,83500,81400,81800,186809
20231025,85700,86700,82500,84300,149683
