,open,high,low,close,volume
20240822,3525,3530,3165,3165,11898373
20240821,3165,3220,3100,3200,3779842
20240820,3230,3430,3210,3230,5414603
20240819,3265,3270,3140,3145,2149544
20240816,3340,3365,3245,3275,3524568
20240814,3070,3495,3070,3240,17746557
20240813,3170,3220,3010,3020,2528320
20240812,3195,3215,3125,3130,1977624
20240809,3130,3265,3105,3160,4350967
20240808,2995,3080,2975,3020,1897964
20240807,3085,3165,3010,3100,3073508
20240806,2800,3145,2800,3070,7720455
20240805,3080,3145,2640,2780,5362919
20240802,3310,3330,3200,3225,3083613
20240801,3310,3780,3290,3445,23583733
20240731,3125,3190,3105,3180,2286705
20240730,3310,3320,3125,3180,2429148
20240729,3275,3350,3270,3325,2195817
20240726,3340,3405,3250,3265,2637558
20240725,3405,3455,3320,3340,3331890
20240724,3575,3665,3515,3515,3809138
20240723,3560,3680,3400,3620,9913797
20240722,3650,3685,3490,3525,4866820
20240719,3865,3865,3705,3710,3933563
20240718,3855,3900,3750,3900,4473205
20240717,4105,4130,3930,3930,4982958
20240716,4285,4365,4055,4140,5971757
20240715,4165,4360,4120,4240,9283084
20240712,4525,4545,4225,4275,17110121
20240711,4245,4495,4195,4260,22555781
20240710,4470,4685,4245,4245,42379980
20240709,4075,4220,4030,4150,14298271
20240708,3860,4160,3845,4120,22727756
20240705,3860,3965,3845,3845,7098981
20240704,4190,4225,3885,3895,12158482
20240703,4220,4275,4030,4095,12091589
20240702,4040,4540,4000,4260,62402125
20240701,4485,4595,4075,4075,18976040
20240628,4570,4775,4350,4420,55457213
20240627,4335,4400,4185,4350,42273031
20240626,3590,4415,3590,4265,114402422
20240625,3620,3740,3515,3540,6918206
20240624,3780,3925,3630,3690,10657968
20240621,3470,4000,3440,3755,69550871
20240620,3570,3650,3455,3455,4720401
20240619,3695,3930,3545,3565,18852275
20240618,3425,3650,3335,3545,6606865
20240617,3725,3730,3505,3560,6159866
20240614,3540,3725,3500,3620,13506013
20240613,3470,3930,3405,3635,77509538
20240612,3355,3410,3295,3335,5698663
20240611,3465,3470,3300,3355,6374934
20240610,3355,3540,3285,3490,16155270
20240607,3460,3550,3350,3395,7142608
20240605,3480,3495,3365,3405,6654554
20240604,3555,3575,3475,3505,6189009
20240603,3550,3635,3510,3600,8061279
20240531,3690,3735,3540,3595,11584842
20240530,3995,4070,3700,3710,10749149
20240529,4385,4460,4090,4090,10821046
20240528,4425,4430,4215,4300,11518231
20240527,4445,4455,4220,4350,17702571
20240524,3900,4545,3850,4440,63272484
20240523,4170,4335,3920,3995,17043460
20240522,4375,4555,4110,4135,22567982
20240521,4490,4540,4135,4225,17224461
20240520,4460,4550,4245,4440,25055109
20240517,4710,4720,4325,4385,23005587
20240516,5020,5070,4720,4910,21431170
20240514,4990,5260,4690,4840,34151905
20240513,4705,5450,4540,4885,117444691
20240510,4280,4900,4100,4580,104333088
20240509,4215,4450,4055,4205,51493659
20240508,4235,4550,3970,4050,95097122
20240507,3300,4170,3285,4170,132635351
20240503,3350,3625,3200,3210,37088166
20240502,3300,3490,3180,3400,40550384
20240430,3320,3540,3210,3275,64766061
20240429,2970,3435,2870,3195,143592317
20240426,2390,2850,2355,2850,107846053
20240425,2330,2330,2190,2195,9837269
20240424,2310,2410,2280,2375,10217571
20240423,2370,2615,2370,2475,26163453
20240422,2600,2615,2315,2370,12745001
20240419,2570,2640,2390,2565,17543406
20240418,2695,2770,2505,2600,34818595
20240417,2360,2590,2325,2450,45233743
20240416,2765,3120,2175,2410,82887044
20240415,2430,2690,2430,2690,9505230
20240412,2340,2460,2320,2385,6978038
20240411,2210,2300,2210,2290,4082717
20240409,2395,2595,2245,2250,51094100
20240408,2225,2565,2100,2245,123671343
20240405,1884,2095,1747,2095,103507183
20240404,1485,1633,1479,1613,6708400
20240403,1463,1470,1431,1470,363206
20240402,1474,1485,1449,1472,573221
20240401,1462,1472,1442,1462,544762
20240329,1470,1495,1435,1464,872790
20240328,1450,1488,1427,1442,945492
20240327,1417,1470,1408,1430,642640
20240326,1428,1436,1400,1416,540826
20240325,1442,1461,1419,1426,577367
20240322,1454,1480,1442,1442,552549
20240321,1433,1510,1431,1454,1478499
20240320,1457,1459,1421,1436,959290
20240319,1477,1490,1429,1436,2020904
20240318,1390,1500,1383,1478,5423122
20240315,1365,1386,1339,1377,1303751
20240314,1309,1522,1302,1358,14610653
20240313,1272,1313,1263,1309,853603
20240312,1253,1277,1252,1271,490717
20240311,1242,1278,1236,1247,292029
20240308,1227,1263,1227,1253,300528
20240307,1277,1287,1226,1227,421816
20240306,1252,1278,1245,1274,432487
20240305,1220,1333,1220,1252,1617864
20240304,1212,1235,1205,1223,297631
20240229,1224,1260,1217,1218,248224
20240228,1223,1238,1214,1219,170275
20240227,1241,1265,1229,1230,523337
20240226,1183,1249,1177,1241,492699
20240223,1193,1194,1178,1182,244521
20240222,1206,1206,1190,1192,167720
20240221,1224,1228,1202,1205,207390
20240220,1248,1248,1215,1224,200336
20240219,1237,1249,1233,1237,133871
20240216,1238,1258,1231,1243,284913
20240215,1238,1245,1231,1238,139950
20240214,1221,1245,1221,1238,222917
20240213,1210,1230,1210,1224,168735
20240208,1220,1227,1206,1210,131482
20240207,1215,1225,1210,1222,104920
20240206,1219,1227,1207,1215,206826
20240205,1270,1270,1219,1220,366177
20240202,1245,1252,1234,1250,321269
20240201,1225,1244,1220,1238,190758
20240131,1225,1250,1210,1225,168856
20240130,1223,1278,1211,1225,686060
20240129,1223,1293,1200,1236,1907265
20240126,1180,1250,1165,1221,1112354
20240125,1152,1180,1132,1178,384910
20240124,1140,1200,1140,1151,867184
20240123,1142,1146,1132,1145,116904
20240122,1150,1161,1137,1142,199664
20240119,1140,1151,1137,1146,138508
20240118,1125,1139,1119,1137,178254
20240117,1160,1160,1116,1119,324318
20240116,1166,1169,1115,1160,165653
20240115,1165,1176,1155,1165,152319
20240112,1186,1187,1165,1166,198805
20240111,1174,1195,1170,1184,351608
20240110,1179,1181,1164,1174,175626
20240109,1172,1174,1164,1173,191364
20240108,1175,1175,1161,1165,175363
20240105,1175,1178,1160,1167,162895
20240104,1173,1180,1164,1174,162131
20240103,1170,1175,1161,1173,218203
20240102,1155,1171,1155,1170,213066
20231228,1145,1165,1145,1157,352525
20231227,1134,1144,1130,1142,151592
20231226,1137,1151,1130,1138,190924
20231222,1139,1146,1126,1140,193396
20231221,1137,1155,1124,1138,260227
20231220,1127,1137,1125,1134,149772
20231219,1132,1135,1120,1127,101742
20231218,1133,1133,1120,1132,131552
20231215,1130,1130,1118,1125,106263
20231214,1134,1154,1117,1119,309225
20231213,1140,1141,1130,1131,139406
20231212,1136,1144,1136,1140,133172
20231211,1145,1146,1130,1139,94249
20231208,1146,1146,1133,1140,116773
20231207,1136,1148,1133,1146,135789
20231206,1123,1145,1123,1140,129803
20231205,1131,1135,1122,1125,245654
20231204,1141,1150,1131,1136,255956
20231201,1151,1157,1140,1141,228816
20231130,1152,1159,1136,1151,247394
20231129,1150,1155,1130,1142,292327
20231128,1155,1161,1144,1148,280789
20231127,1147,1186,1145,1151,535067
20231124,1165,1188,1142,1146,1305957
20231123,1135,1147,1134,1136,275617
20231122,1120,1138,1114,1132,309401
20231121,1121,1138,1119,1127,256101
20231120,1120,1131,1106,1124,226405
20231117,1129,1146,1114,1116,413639
20231116,1079,1136,1072,1128,1127338
20231115,1077,1080,1058,1074,168022
20231114,1036,1076,1036,1056,229862
20231113,1041,1051,1031,1041,125434
20231110,1034,1047,1031,1041,164474
20231109,1041,1045,1033,1042,121044
20231108,1052,1058,1042,1042,168651
20231107,1064,1069,1040,1050,157391
20231106,1055,1075,1054,1064,328009
20231103,1045,1053,1040,1053,120524
20231102,1032,1053,1032,1041,115035
20231101,1020,1037,1017,1030,99165
20231031,1043,1050,1017,1019,112696
