,open,high,low,close,volume
20240822,43950,44300,42350,42850,1268030
20240821,44450,45250,43700,44100,1283227
20240820,45100,46150,44500,45650,2183231
20240819,45150,45200,43250,43400,1433084
20240816,43250,45350,42300,45000,3866068
20240814,41100,41250,39850,40250,1768405
20240813,41400,41650,39000,39300,1441398
20240812,39600,41950,39200,40400,1956560
20240809,40250,40600,38600,39100,2141268
20240808,35700,38350,35600,38000,1623478
20240807,35250,38500,34900,37300,2731058
20240806,35000,36550,34300,35800,2943491
20240805,36900,37700,30900,33250,3326042
20240802,41200,41950,38500,38600,3426532
20240801,48000,48450,44100,44100,2948158
20240731,44150,45400,43300,45150,2186227
20240730,42950,43400,41250,43300,1280118
20240729,44000,44400,43400,44050,884202
20240726,43100,44500,41700,43950,1636267
20240725,45150,45900,42900,42950,2461768
20240724,46050,49700,46050,47350,1796775
20240723,48600,49050,46250,46850,1320820
20240722,48600,48650,45800,47200,1762755
20240719,49000,50700,48500,48850,1184663
20240718,47200,49450,46200,48950,2207278
20240717,53900,53900,49750,49850,2188441
20240716,52800,54400,52500,53500,1185034
20240715,53500,53700,52400,52800,784187
20240712,54500,55000,52100,53100,2340737
20240711,57100,58800,56000,56500,2151417
20240710,56200,57200,55300,56000,859264
20240709,56200,56600,55200,56000,877503
20240708,56000,57000,55100,55500,1119334
20240705,55900,58000,55800,56700,1409059
20240704,59300,59600,55800,55900,2252927
20240703,58000,59700,56400,57600,2505359
20240702,57300,58100,55700,57600,2047438
20240701,58400,59300,56400,56700,2302708
20240628,52500,59500,52000,58700,8094579
20240627,52600,53000,51700,51800,1167137
20240626,53400,54500,52500,53900,2085859
20240625,50300,53200,49700,52200,1878075
20240624,52300,52700,50800,52100,1318523
20240621,52300,53500,51700,53000,1349915
20240620,54700,55300,53200,53600,1580115
20240619,56600,56900,54000,54600,3303434
20240618,53900,58200,53400,56100,10318726
20240617,51100,54200,50800,52400,3502092
20240614,51500,52000,48650,51400,3863128
20240613,50400,54000,49650,50800,7955006
20240612,48500,49250,47700,48350,1188337
20240611,49150,49350,46600,47950,1739374
20240610,47550,49650,47500,48800,1967143
20240607,49100,50900,47500,47500,3227956
20240605,48900,49850,48100,48950,1911365
20240604,48500,49500,47750,48050,1561478
20240603,48350,49550,45950,48150,2055924
20240531,48100,48850,47100,48000,1621226
20240530,48200,50400,48050,48500,1843709
20240529,50900,51100,48300,48950,2009057
20240528,50700,50900,48650,49500,2313343
20240527,51200,53100,50100,50400,2716930
20240524,51800,53300,49750,50300,2832971
20240523,54500,54900,51400,52100,3834364
20240522,53000,54100,50400,52400,4027897
20240521,52500,54500,51500,53000,6729455
20240520,49300,52000,48800,51200,4122550
20240517,50600,51300,47750,49300,6350174
20240516,45700,50800,44650,50800,19221010
20240514,41600,43400,41050,42750,2447728
20240513,41350,42200,40800,41300,1214783
20240510,42850,43100,41050,41100,2115252
20240509,41400,43200,41050,43150,3801948
20240508,40050,41500,39700,41400,1801508
20240507,40200,42000,40050,40400,3282443
20240503,40900,41100,39000,39000,1519458
20240502,39400,40900,38800,40400,1984431
20240430,38800,41800,37750,40050,6270716
20240429,39000,39200,37550,38350,1637190
20240426,38000,38450,37350,38150,1832019
20240425,35850,37500,35850,36600,1240766
20240424,36500,37650,36300,37100,2570671
20240423,36400,36650,35300,35300,1503835
20240422,36600,37350,34750,35900,2494084
20240419,38250,38850,36650,38100,2174713
20240418,36400,39150,36150,39050,1961328
