,open,high,low,close,volume
20240822,146100,146300,145000,145700,153520
20240821,145300,146000,144000,145700,189640
20240820,145400,146300,142800,145700,301439
20240819,146300,146500,142900,143900,226829
20240816,144500,148700,144500,146100,457217
20240814,143900,144700,141500,142200,245987
20240813,146400,147300,141000,141500,403451
20240812,144100,147200,143800,145800,204899
20240809,146700,147000,142600,143500,255808
20240808,143000,147200,141600,143300,419409
20240807,139600,146500,139100,144900,287898
20240806,143000,144400,138000,138900,435291
20240805,147200,147300,132700,138200,487169
20240802,154100,156100,150000,150600,507100
20240801,163000,164600,158200,159500,526245
20240731,154200,160800,153800,159600,614593
20240730,154500,155200,153100,154000,200081
20240729,155700,156500,154000,155800,280319
20240726,158300,158700,153600,154900,414928
20240725,158500,161200,157100,157300,605826
20240724,159800,162600,158200,159500,293981
20240723,162400,163500,159900,159900,392452
20240722,167300,167400,159700,160500,674236
20240719,170300,170500,165500,168000,442821
20240718,170400,174500,169700,171900,593120
20240717,172800,176500,170800,172700,972204
20240716,160400,172400,158900,172000,1269824
20240715,165400,165500,159200,160400,536177
20240712,162100,166000,159600,164800,515763
20240711,166300,166500,163800,164900,469263
20240710,163800,166900,163500,164300,472188
20240709,165200,165900,162900,163700,336344
20240708,170500,170500,163000,163300,765328
20240705,162900,171000,162900,170500,1759045
20240704,155900,164000,155900,162500,1078418
20240703,154600,156600,152500,154900,256166
20240702,155500,156800,152500,153800,364380
20240701,157000,157800,155500,156000,248977
20240628,154700,158300,153700,158000,485281
20240627,150700,155500,150500,154500,511165
20240626,150100,151800,150000,151500,255389
20240625,149300,151600,148500,150500,306740
20240624,149800,150800,148700,149000,205262
20240621,150700,151800,149200,149400,327110
20240620,151600,153500,150900,151300,381301
20240619,152000,152500,149500,152000,394800
20240618,151600,153400,150700,151600,372889
20240617,151200,152900,149800,150700,254056
20240614,148200,152000,147500,151700,489662
20240613,153000,153100,147500,148000,662012
20240612,151300,152200,149800,151200,296538
20240611,150200,150600,147900,149700,298638
20240610,150800,151900,149200,150900,245178
20240607,151700,152500,150700,151000,287365
20240605,154900,155000,150600,151700,478461
20240604,157900,158400,152500,153200,509986
20240603,156600,161000,155600,159100,366091
20240531,157800,162500,155000,155000,1190470
20240530,156600,159000,156300,156600,272252
20240529,161600,161600,156300,158100,437758
20240528,159000,162900,157700,159600,492574
20240527,157200,160300,155500,159500,333806
20240524,156500,158500,154700,156500,291245
20240523,156400,160900,156000,158200,369293
20240522,160000,160800,155800,156200,503171
20240521,156800,161400,155200,158400,881199
20240520,153200,155800,152700,154600,243677
20240517,153600,154300,151000,151700,187152
20240516,154000,154400,153100,154200,248908
20240514,152000,152400,150600,151600,192906
20240513,153800,154500,151000,151900,268113
20240510,155500,156700,153100,153600,226013
20240509,156000,156800,154600,154600,292807
20240508,158000,158100,155800,156600,237523
20240507,154400,158300,154200,158000,552899
20240503,155000,156500,150900,151100,324784
20240502,154500,157300,152400,153100,359890
20240430,153200,158900,152100,155900,966754
20240429,148300,152400,147800,151300,611116
20240426,146000,147700,144900,146200,213048
20240425,146200,146900,144500,144500,228193
20240424,144800,149200,144800,148000,359089
20240423,144200,145000,142500,143200,344970
20240422,144300,145300,143200,144900,246835
20240419,145500,146200,140800,142900,440321
