,open,high,low,close,volume
20240822,199300,199600,186600,191800,672934
20240821,202000,202500,195700,199700,335928
20240820,201500,202500,197200,202500,286133
20240819,196700,204500,196700,199300,424279
20240816,199800,203500,189000,196700,723287
20240814,197600,198400,191900,197600,380382
20240813,198000,202000,193200,195700,397115
20240812,202000,204000,196600,199100,312800
20240809,210000,210500,200500,202000,400985
20240808,189100,206500,187100,205500,658256
20240807,190800,195500,187200,192000,558177
20240806,183500,195800,183500,190300,1033802
20240805,190400,196000,162900,172800,1261095
20240802,209000,212500,200500,203000,408778
20240801,204500,213000,200000,213000,333897
20240731,200500,210500,200000,207000,490877
20240730,201000,204000,196700,201000,365306
20240729,200000,206000,195900,203000,447137
20240726,190500,203000,190300,198800,1098426
20240725,185000,189000,175600,183800,875455
20240724,189700,190500,183600,189000,444894
20240723,186600,190800,184100,189700,454688
20240722,174300,187000,174300,186600,686267
20240719,177100,179000,171300,174100,446971
20240718,180000,182100,176400,177100,398119
20240717,180000,184000,176900,179200,551960
20240716,172300,178500,170100,178300,549559
20240715,167100,171400,165900,168800,296923
20240712,166000,168000,162800,165700,234150
20240711,165500,169200,163500,167100,248249
20240710,159700,166500,159100,164100,397291
20240709,160200,160500,157200,159700,153233
20240708,155100,161300,154500,160000,256267
20240705,159700,160000,154900,155700,253603
20240704,156900,161000,154600,159700,218721
20240703,158000,158500,153600,156700,203904
20240702,159000,159800,155500,157200,220393
20240701,160000,161500,157100,159900,168638
20240628,157900,160000,155500,158800,287465
20240627,150000,157800,148800,157500,378924
20240626,150600,152700,149000,150500,281380
20240625,155800,157100,150500,151800,400489
20240624,152000,155700,150700,154300,364763
20240621,151500,155600,149700,151600,565193
20240620,147200,150000,145700,149900,477826
20240619,140000,146600,139000,145700,571372
20240618,138900,140300,136700,138600,278955
20240617,139000,139500,136500,137700,210212
20240614,132200,139300,132200,138900,428546
20240613,133000,134900,132900,133000,213658
20240612,133300,134600,131400,133400,156537
20240611,136400,137800,133300,133700,186538
20240610,134900,136000,133500,134700,136834
20240607,131900,135500,131800,135000,294666
20240605,130000,132400,129600,130800,109970
20240604,132000,133900,129900,130700,156839
20240603,131200,134800,129600,132800,184229
20240531,132000,132300,129100,130400,264434
20240530,133600,134300,129000,130800,224061
20240529,134000,136000,132600,134300,230294
20240528,134600,137500,133400,135400,190498
20240527,137500,137500,132100,134300,238014
20240524,127500,136100,127100,135400,327931
20240523,127800,130700,127300,128700,180513
20240522,131200,131800,127400,128300,285728
20240521,132000,133000,129200,131200,219201
20240520,134600,134700,131400,131900,165918
20240517,137800,138000,133600,134500,249670
20240516,137800,138000,135100,137700,296050
20240514,137200,137200,134500,135900,190837
20240513,131600,137200,130700,136300,492508
20240510,131400,132000,128900,129900,141091
20240509,131000,131800,129000,129500,191606
20240508,132000,133100,130400,130800,169581
20240507,127600,132600,127100,132500,279702
20240503,130100,130200,127700,128300,152870
20240502,133000,133000,129200,129500,205850
20240430,132600,133500,130300,131500,269506
20240429,130200,132900,129100,132700,441479
20240426,127300,131800,127300,129000,476373
20240425,129800,130700,126300,127300,348090
20240424,125400,129900,123900,129400,569640
20240423,119100,128200,118800,125300,577236
20240422,121300,122900,117800,119300,219316
20240419,118300,121000,115600,119300,269638
20240418,113400,121000,112700,119400,375758
20240417,112300,114200,111800,112300,156746
20240416,116900,117800,110800,111700,272471
20240415,116900,119300,114700,118100,143881
20240412,116300,120100,114600,117600,235730
20240411,116900,118400,114100,116300,273342
20240409,119700,121400,118000,118600,130141
20240408,119100,119200,116700,118500,162229
20240405,119600,121300,119200,119600,121020
20240404,121300,121800,118500,121000,211694
20240403,120100,122100,118100,119700,204535
20240402,118700,121500,117300,119800,162613
20240401,119600,119800,116200,119700,167375
20240329,120300,121800,117200,118400,199548
20240328,120200,122300,119500,120200,154202
20240327,123000,123300,119100,120200,333316
20240326,125800,126100,122500,124900,206321
20240325,125900,126300,123100,124400,138608
20240322,127900,128800,124000,125900,283417
20240321,129000,129000,126100,127900,208546
20240320,125700,128700,125200,127600,361496
20240319,125400,125500,122700,124500,218550
20240318,125600,127300,120600,125400,426019
20240315,121000,127800,120900,123800,851885
20240314,113800,121500,113300,118500,497364
20240313,114500,115200,112000,112900,127504
20240312,115500,116000,112600,114100,100978
20240311,111000,116200,111000,114100,132433
20240308,114800,115300,111400,112200,117143
20240307,112700,115700,111900,113500,142547
20240306,110500,113800,109300,112400,196603
20240305,108000,111900,108000,110200,207160
20240304,112800,113300,107300,107800,360550
20240229,114500,115200,111800,111900,311650
20240228,114000,116900,112100,115300,147467
20240227,112300,116100,110600,113800,246776
20240226,115700,115700,111200,111500,268495
20240223,117000,117200,115000,115000,130685
20240222,119800,119800,116600,116800,84018
20240221,117200,119900,116300,118800,159230
20240220,119500,120400,116300,116400,141653
20240219,120000,120300,118100,119500,96418
20240216,117900,121500,117600,119900,214906
20240215,115600,116700,114500,116400,120694
20240214,117400,117400,114200,114300,203379
20240213,122700,123200,118000,118500,218838
20240208,121400,122200,120200,121100,249797
20240207,121700,122600,119600,121400,152311
20240206,121900,123800,119800,120400,188255
20240205,119100,123500,116900,123000,302387
20240202,115000,120000,114900,119100,315586
20240201,112500,115900,112000,114700,160045
20240131,110500,113700,110500,113500,133430
20240130,114500,116000,111000,111700,139768
