,open,high,low,close,volume
20240822,253500,254000,248500,254000,91175
20240821,249000,257000,247000,252500,104656
20240820,252500,254000,246500,248500,86525
20240819,254000,257500,249500,250000,101307
20240816,255000,255500,250500,252000,104110
20240814,255000,256000,248000,250000,89822
20240813,252000,255000,247000,251000,116109
20240812,239500,252000,239500,250500,187804
20240809,248500,250500,234500,235500,170355
20240808,238500,246500,237000,243000,149122
20240807,227000,247000,226000,241500,211807
20240806,228000,236500,225000,231000,202749
20240805,235500,237000,211000,217500,334018
20240802,247500,251500,241500,243000,154353
20240801,258000,261000,250000,256500,151570
20240731,246500,256000,242500,256000,197299
20240730,246500,250000,244000,245000,147943
20240729,262000,264000,245500,247500,299454
20240726,256000,261500,250500,259000,151158
20240725,276000,277000,254500,258500,409177
20240724,283000,285000,265500,274500,340577
20240723,287000,290000,278000,280500,129573
20240722,295500,295500,280500,284500,161070
20240719,297500,298000,286000,297500,227052
20240718,294000,300000,291000,298500,179290
20240717,305000,305500,295500,297000,150478
20240716,299000,305000,298000,302000,281238
20240715,292000,298500,290000,294500,174319
20240712,280500,288000,278500,287500,154434
20240711,294500,297000,286500,286500,204355
20240710,277500,289000,275500,287500,313836
20240709,277500,278000,272500,275000,158055
20240708,270000,276500,268500,275500,158890
20240705,268000,272500,267000,268500,138334
20240704,266000,269500,258500,268000,201393
20240703,272500,272500,263000,265000,122769
20240702,272000,278000,266500,269000,168675
20240701,269000,273500,268000,270500,79728
20240628,273500,273500,265500,272000,133144
20240627,273000,273500,267500,272000,126508
20240626,264000,274000,262500,273000,185144
20240625,265000,269500,262000,265500,169003
20240624,254000,266000,254000,262000,192355
20240621,254500,261000,254000,255500,131786
20240620,265000,267000,261000,261500,107752
20240619,264500,270000,263500,265000,183966
20240618,265000,270000,259500,263500,271868
20240617,261500,266000,257000,261500,207474
20240614,245500,264500,239500,264000,487478
20240613,257500,257500,243500,245000,442866
20240612,255500,272000,251000,251000,1644960
20240611,236500,237000,220000,229500,487174
20240610,243000,248500,240000,243000,161372
20240607,244500,246000,239000,241000,144701
20240605,243500,249000,239500,244000,129367
20240604,250500,254000,242500,243000,143638
20240603,253000,253500,246000,249000,143571
20240531,250500,258000,248000,248000,345454
20240530,248500,252500,242000,246000,192486
20240529,244500,256000,239500,247500,425967
20240528,235500,240000,233000,239500,136128
20240527,238000,238500,234000,238000,104874
20240524,233000,238500,230000,236500,119220
20240523,234000,243500,232500,237000,196854
20240522,236000,237000,233000,234500,117162
20240521,237000,238000,233500,236000,120278
20240520,241000,241500,233000,235500,137778
20240517,244000,245000,237000,238500,118417
20240516,247000,249000,242500,243500,164013
20240514,235000,245000,233000,242500,262737
20240513,235000,236500,232000,233500,90232
20240510,237500,238000,231500,234000,115582
20240509,234000,236500,230500,232500,191259
20240508,235500,237000,232000,233500,143518
20240507,237500,240000,234500,239500,284279
20240503,229500,237500,229500,234500,508130
20240502,222500,226000,221500,223500,140927
20240430,218000,225000,217000,222000,408070
20240429,215000,216500,211500,215000,107652
20240426,213000,215000,210500,213500,145052
20240425,207000,215500,205000,212500,413615
20240424,188900,210000,188900,209000,515047
20240423,184700,189100,184500,187200,80194
20240422,182500,185000,182300,184500,69115
20240419,184700,186400,179500,181300,134717
20240418,184000,187700,184000,186600,112356
20240417,188700,190500,184100,184100,133239
20240416,193000,194000,188300,188700,171290
20240415,200000,201500,196300,196700,110441
20240412,199400,204000,196100,202000,192191
20240411,194200,197700,191000,195600,144876
20240409,205000,207000,197600,198100,149097
20240408,199700,206500,195900,205000,182774
20240405,195700,199500,192700,197400,112745
20240404,201000,202500,196200,198500,127761
20240403,202500,202500,198200,198300,119435
