,open,high,low,close,volume
20240822,55200,55300,55000,55300,226614
20240821,55100,55400,54900,55200,260321
20240820,54800,55400,54800,54900,495123
20240819,54800,55200,54700,55100,347178
20240816,55100,55300,54500,54500,348625
20240814,54800,55000,54300,55000,414406
20240813,54300,54900,54100,54700,355119
20240812,55000,55300,53900,54300,375288
20240809,54400,55200,54000,54900,517655
20240808,54800,56400,54300,54400,837535
20240807,52500,54900,52400,54800,1332415
20240806,52900,53400,51800,51800,872052
20240805,54100,54200,51000,51900,1156229
20240802,53700,55000,53700,54200,810806
20240801,53800,54400,53700,53700,331608
20240731,54800,54900,53600,54100,678732
20240730,53300,54900,53300,54600,482511
20240729,54200,54400,54000,54200,289528
20240726,54400,54500,53900,54200,427643
20240725,53800,54700,53700,54100,1018590
20240724,53200,53700,52900,53500,298013
20240723,53400,53800,53400,53400,266708
20240722,53800,53900,53100,53800,419813
20240719,53600,53900,53000,53900,436959
20240718,53000,54000,52500,53900,1055163
20240717,53000,53400,52400,52900,647981
20240716,52200,52900,52000,52800,670318
20240715,52100,52300,51900,52300,287799
20240712,52300,52400,51800,52300,540656
20240711,51600,52300,51300,52300,825544
20240710,51200,51400,51200,51200,321727
20240709,51400,51500,51200,51300,253292
20240708,51500,51600,51300,51400,214401
20240705,51500,51800,51300,51600,333496
20240704,51200,51500,51200,51500,311132
20240703,51700,51700,51200,51200,353040
20240702,51200,51700,51100,51700,362880
20240701,51200,51500,51100,51500,320898
20240628,51500,51500,51000,51500,486619
20240627,51200,51400,50900,51400,506768
20240626,52000,52100,51800,52000,501576
20240625,52400,52400,51900,52300,362479
20240624,51800,52400,51700,52400,371485
20240621,51300,52200,51100,52200,724315
20240620,51200,51300,51100,51200,344789
20240619,51400,51500,51100,51200,410447
20240618,51000,51500,50800,51500,621638
20240617,50800,51100,50700,51000,522604
20240614,51000,51200,50900,50900,659465
20240613,51600,51700,51100,51100,752600
20240612,51000,51400,50900,51300,374966
20240611,51400,51400,51000,51100,554710
20240610,51500,51700,51300,51400,419669
20240607,51600,52000,51500,51900,456623
20240605,51500,51700,51100,51500,526779
20240604,51100,51300,51000,51100,512427
20240603,51400,51800,51200,51500,444118
20240531,52200,52300,51000,51000,1284378
20240530,51300,52300,51300,51700,495056
20240529,51200,51800,51200,51800,375020
20240528,51700,51900,51500,51600,298101
20240527,51800,52100,51500,52000,284856
20240524,51800,51900,51300,51800,293308
20240523,52000,52200,51900,51900,278104
20240522,52000,52300,51700,52200,313496
20240521,52000,52100,51500,51900,303856
20240520,51900,52500,51700,52000,339945
20240517,51800,52200,51700,51800,301907
20240516,52900,52900,51900,52000,918037
20240514,52600,52800,52500,52800,250879
20240513,52500,52900,52100,52600,313968
20240510,52100,52800,51900,52400,443963
20240509,51400,51800,51300,51800,575327
20240508,51400,51500,51100,51300,307570
20240507,51100,51500,51000,51300,470079
20240503,51000,51100,50700,50800,325457
20240502,51000,51400,50300,51000,309494
20240430,51200,51500,51000,51300,475962
20240429,51300,51500,51100,51200,435081
20240426,51200,51500,51000,51300,258398
20240425,50800,51500,50800,51000,333001
20240424,51300,51300,51000,51100,254099
20240423,51100,51200,50700,50900,284214
20240422,50600,51100,50400,51000,431700
20240419,50300,50700,50000,50100,515479
20240418,50500,50900,50400,50700,259449
20240417,50800,50900,50300,50300,260423
20240416,50300,50900,50200,50700,377635
20240415,50500,50800,50100,50700,322663
20240412,50900,51200,50200,50500,584064
