,open,high,low,close,volume
20240822,14150,14160,14020,14140,844980
20240821,14160,14180,14050,14160,857683
20240820,13900,14180,13900,14170,1211129
20240819,13730,13970,13690,13890,1585583
20240816,13780,13830,13610,13690,1305163
20240814,13670,13750,13580,13720,850171
20240813,13400,13670,13400,13620,1046251
20240812,13500,13560,13430,13480,683331
20240809,13440,13520,13320,13430,853985
20240808,13130,13480,13120,13390,1105614
20240807,13050,13350,12970,13200,1463137
20240806,13090,13450,13050,13060,2114124
20240805,13520,13560,12790,12910,2979610
20240802,13880,13950,13580,13690,2138935
20240801,13940,14140,13910,14000,820531
20240731,13890,14050,13830,14000,1282180
20240730,14080,14080,13660,13840,2332380
20240729,14230,14650,14190,14380,2449391
20240726,13760,14370,13760,14230,2419946
20240725,13820,13880,13710,13810,789344
20240724,13880,13950,13800,13880,652142
20240723,14010,14060,13890,13900,762181
20240722,13970,14050,13900,13970,742999
20240719,13970,13970,13850,13960,806117
20240718,13920,14000,13850,13990,913734
20240717,13910,13960,13780,13910,1050283
20240716,13900,14030,13850,13900,786491
20240715,14080,14080,13830,13870,894169
20240712,14130,14130,13870,14020,817068
20240711,13950,14140,13870,14030,983818
20240710,13870,13950,13810,13880,547422
20240709,14070,14130,13860,13880,1073148
20240708,14250,14290,14030,14100,947202
20240705,14340,14470,14190,14250,1103345
20240704,14140,14430,14040,14250,1416253
20240703,14120,14410,14000,14050,2330257
20240702,13750,14110,13750,14000,1042486
20240701,14000,14000,13720,13850,811380
20240628,13720,14020,13700,14020,1177653
20240627,13600,13710,13470,13710,743306
20240626,13630,13820,13560,13710,864275
20240625,13750,13760,13620,13740,581558
20240624,13520,13700,13450,13620,830197
20240621,13560,13590,13400,13500,821684
20240620,13390,13580,13350,13560,797530
20240619,13390,13440,13270,13390,758454
20240618,13280,13350,13060,13310,547009
20240617,13370,13400,13160,13170,826067
20240614,13270,13460,13260,13370,990289
20240613,13380,13530,13310,13310,1048005
20240612,13330,13390,13250,13380,724526
20240611,13440,13480,13320,13410,596772
20240610,13490,13560,13410,13420,680003
20240607,13440,13670,13440,13620,728710
20240605,13440,13480,13300,13440,475568
20240604,13470,13550,13280,13460,1171918
