,open,high,low,close,volume
20240822,82600,84700,81100,82400,1304438
20240821,91700,91700,82100,83300,3840006
20240820,90500,92500,89700,92300,1019534
20240819,91000,91500,88700,90500,1215367
20240816,87000,92900,85900,90900,3027346
20240814,84900,88500,84100,85500,1359733
20240813,82400,85300,80800,84700,1025589
20240812,82500,83800,81500,82600,707003
20240809,80900,82900,80000,82000,892316
20240808,80800,81400,79000,79400,847183
20240807,80400,84500,80000,82400,1266210
20240806,80700,82000,78400,80300,1425214
20240805,79100,81700,74300,77200,1987534
20240802,82000,83000,80500,81000,817476
20240801,81700,87200,80500,82800,2500416
20240731,77300,80800,76300,80800,997458
20240730,77200,78700,76200,77700,644937
20240729,78900,79100,76800,77200,930711
20240726,80200,80600,78100,79200,870407
20240725,79200,80600,78500,80000,933996
20240724,83500,83900,80300,80600,921262
20240723,82100,85200,82000,83000,946772
20240722,82500,83400,80500,81300,885330
20240719,83100,85400,82200,83400,860275
20240718,83200,86000,82300,83800,1301775
20240717,82500,85300,79200,84300,2601198
20240716,84000,85000,82000,82500,1374318
20240715,85400,88500,84400,85100,1687609
20240712,85500,88700,82100,84600,4216483
20240711,92000,93100,89000,89700,3135120
20240710,93400,95500,92400,93700,1961454
20240709,91200,95300,88200,95100,4698285
20240708,95400,98100,91000,92200,5115734
20240705,84100,94400,83500,93100,9186653
20240704,78400,86200,75100,82100,12009460
20240703,73000,76800,65800,76800,12341428
20240702,62600,62600,58800,59100,2102835
20240701,59400,63800,58500,62600,3064043
20240628,63800,65600,58100,58500,3770235
20240627,63200,65600,63100,63900,1696469
20240626,72000,72700,60800,65000,6976235
20240625,66100,73800,65900,72800,6153731
20240624,64200,66800,63900,66000,2298144
20240621,63500,64300,62500,64300,1249929
20240620,63300,64700,62700,63500,1081048
20240619,62800,63500,61500,63400,1235060
20240618,63000,64400,62300,62800,1117297
20240617,61500,63600,61000,63200,1209337
20240614,64200,65200,61500,62300,2459429
20240613,62500,67000,61500,63600,5693263
20240612,58200,60800,58100,60600,1618488
20240611,59200,59500,58100,58500,1289052
20240610,58900,59900,58200,59200,1303429
20240607,60200,60900,57900,59600,2660882
20240605,58500,60700,56800,59600,2820122
20240604,56000,59200,54700,57800,4909559
20240603,59700,60800,57000,57300,3740662
20240531,62500,64800,58300,61200,5754591
20240530,65800,66600,61200,61500,5062564
20240529,63000,66900,62600,66100,6560217
20240528,56700,67600,55700,64700,17559460
20240527,51500,57000,50300,56200,8121396
20240524,47350,51300,47300,50700,5655935
20240523,49500,57400,48700,48700,14556424
20240522,49250,49600,47250,49300,6976093
20240521,46800,49750,45150,48500,21085467
20240520,47000,49150,47000,47000,16852798
20240517,67100,67100,67100,67100,617840
20240516,98000,106900,93700,95800,5372076
20240514,100000,101100,94500,94600,2145049
20240513,99600,102000,97100,98000,1820213
20240510,105600,106200,101000,101000,1638737
20240509,106700,111000,103500,105600,1864854
20240508,104100,107000,100600,106900,1492323
20240507,103900,107900,103400,104100,1284318
20240503,105100,106900,102400,102400,1540761
20240502,111200,112400,106200,106500,1420543
20240430,107100,114300,107000,111200,2081958
20240429,110100,110500,106300,109400,1177733
20240426,109600,111700,100100,110100,2387462
20240425,107300,112600,107000,109600,1700986
20240424,107600,109500,105400,108500,1229934
20240423,106400,109000,104300,106700,1400682
20240422,103200,109300,101800,106300,3046455
20240419,97300,100000,93000,100000,2060066
20240418,92900,98500,91600,97300,1486658
20240417,97900,98300,91200,93200,1771610
20240416,97700,99200,92700,95100,1702377
20240415,92000,99900,90300,98500,2489447
20240412,90700,93800,89200,93000,1328147
20240411,91200,95600,90100,90500,1553074
